runtime_label	mismatch_type	runtime_state	current_governance_state	required_runtime_action
VerbComplementVP	STATUS_MISMATCH	provisional	research_pending	SYNC_EMBEDDED_STATUS_IN_FUTURE_CANDIDATE
AdjectivalPredicateClause	RETIRED_LABEL_RESIDUE	ACTIVE_REGISTRY_METADATA_ONLY	retired	REMOVE_FROM_ACTIVE_REGISTRY_OR_MOVE_TO_RETIRED_ALIAS_METADATA_IN_FUTURE_CANDIDATE
BareClassifierNP	RETIRED_LABEL_RESIDUE	ACTIVE_REGISTRY_METADATA_ONLY	retired	REMOVE_FROM_ACTIVE_REGISTRY_OR_MOVE_TO_RETIRED_ALIAS_METADATA_IN_FUTURE_CANDIDATE
DemonstrativeQuantifiedClassifierNP	RETIRED_LABEL_RESIDUE	ACTIVE_REGISTRY_METADATA_ONLY	retired	REMOVE_FROM_ACTIVE_REGISTRY_OR_MOVE_TO_RETIRED_ALIAS_METADATA_IN_FUTURE_CANDIDATE
DirectionalCausedMotionVP	RETIRED_LABEL_RESIDUE	ACTIVE_REGISTRY_METADATA_ONLY	retired	REMOVE_FROM_ACTIVE_REGISTRY_OR_MOVE_TO_RETIRED_ALIAS_METADATA_IN_FUTURE_CANDIDATE
ModalResponseFragment	RETIRED_LABEL_RESIDUE	ACTIVE_REGISTRY_METADATA_ONLY	retired	REMOVE_FROM_ACTIVE_REGISTRY_OR_MOVE_TO_RETIRED_ALIAS_METADATA_IN_FUTURE_CANDIDATE
NegativeHaveClause	RETIRED_LABEL_RESIDUE	ACTIVE_REGISTRY_METADATA_ONLY	retired	REMOVE_FROM_ACTIVE_REGISTRY_OR_MOVE_TO_RETIRED_ALIAS_METADATA_IN_FUTURE_CANDIDATE
NominalModifierNP	RETIRED_LABEL_RESIDUE	ACTIVE_REGISTRY_METADATA_ONLY	retired	REMOVE_FROM_ACTIVE_REGISTRY_OR_MOVE_TO_RETIRED_ALIAS_METADATA_IN_FUTURE_CANDIDATE
PossessiveNP	RETIRED_LABEL_RESIDUE	ACTIVE_REGISTRY_METADATA_ONLY	retired	REMOVE_FROM_ACTIVE_REGISTRY_OR_MOVE_TO_RETIRED_ALIAS_METADATA_IN_FUTURE_CANDIDATE
PossessiveNominalFragment	RETIRED_LABEL_RESIDUE	ACTIVE_REGISTRY_METADATA_ONLY	retired	REMOVE_FROM_ACTIVE_REGISTRY_OR_MOVE_TO_RETIRED_ALIAS_METADATA_IN_FUTURE_CANDIDATE
ProhibitiveFragment	RETIRED_LABEL_RESIDUE	ACTIVE_REGISTRY_METADATA_ONLY	retired	REMOVE_FROM_ACTIVE_REGISTRY_OR_MOVE_TO_RETIRED_ALIAS_METADATA_IN_FUTURE_CANDIDATE
