id	item_type	duplicate_status	terminal_classification	evidence_use	discrepancy_status	accepted_duplicate_targets	implementation_crosswalk_targets	research_claim_ids	research_route_ids	research_non_candidate_route_ids	parser_owner_hint_count	review_note
GLOSSIKA-YUEHK-A1-W18-20260719-I043	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I044	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route			src/runtime-resources/lexicon/token-lexicon/study-suite.js	W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I045	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	retained_lexical_register_route_481			W18-C12;W18-C13	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I046	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	retained_lexical_register_route_481			W18-C12;W18-C13	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I047	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		9	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I048	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I049	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I050	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I051	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I052	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I053	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I054	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I055	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route			src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I056	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I057	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	source_translation_collision_unresolved			W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I058	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	source_translation_collision_unresolved			W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I059	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	retained_lexical_register_route_481			W18-C12;W18-C13	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I060	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	retained_lexical_register_route_481			W18-C12;W18-C13	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I061	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	retained_lexical_register_route_481			W18-C12;W18-C13	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I062	lexical_entry	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_with_implementation_crosswalk			src/runtime-resources/lexicon/compositional-lexical-phrases.js;src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	W18-C14		W18-N01	0	The source numeral is retained compositionally; the reconciled non-candidate route does not authorize ten opaque whole-form entries.
GLOSSIKA-YUEHK-A1-W18-20260719-I063	lexical_entry	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress				W18-C14		W18-N01	0	The source numeral is retained compositionally; the reconciled non-candidate route does not authorize ten opaque whole-form entries.
GLOSSIKA-YUEHK-A1-W18-20260719-I064	lexical_entry	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress				W18-C14		W18-N01	0	The source numeral is retained compositionally; the reconciled non-candidate route does not authorize ten opaque whole-form entries.
GLOSSIKA-YUEHK-A1-W18-20260719-I065	lexical_entry	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress				W18-C14		W18-N01	0	The source numeral is retained compositionally; the reconciled non-candidate route does not authorize ten opaque whole-form entries.
GLOSSIKA-YUEHK-A1-W18-20260719-I066	lexical_entry	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress				W18-C14		W18-N01	0	The source numeral is retained compositionally; the reconciled non-candidate route does not authorize ten opaque whole-form entries.
GLOSSIKA-YUEHK-A1-W18-20260719-I067	lexical_entry	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress				W18-C14		W18-N01	0	The source numeral is retained compositionally; the reconciled non-candidate route does not authorize ten opaque whole-form entries.
GLOSSIKA-YUEHK-A1-W18-20260719-I068	lexical_entry	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress				W18-C14		W18-N01	0	The source numeral is retained compositionally; the reconciled non-candidate route does not authorize ten opaque whole-form entries.
GLOSSIKA-YUEHK-A1-W18-20260719-I069	lexical_entry	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress				W18-C14		W18-N01	0	The source numeral is retained compositionally; the reconciled non-candidate route does not authorize ten opaque whole-form entries.
GLOSSIKA-YUEHK-A1-W18-20260719-I070	lexical_entry	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress				W18-C14		W18-N01	0	The source numeral is retained compositionally; the reconciled non-candidate route does not authorize ten opaque whole-form entries.
GLOSSIKA-YUEHK-A1-W18-20260719-I071	lexical_entry	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_ingress				W18-C14		W18-N01	0	The source numeral is retained compositionally; the reconciled non-candidate route does not authorize ten opaque whole-form entries.
GLOSSIKA-YUEHK-A1-W18-20260719-I072	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route				W18-C06	W18-F05		8	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I073	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only							2	The source utterance or grammar-table row is retained as pedagogical attestation without parser, productivity, or status inference.
GLOSSIKA-YUEHK-A1-W18-20260719-I074	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only							9	The source utterance or grammar-table row is retained as pedagogical attestation without parser, productivity, or status inference.
GLOSSIKA-YUEHK-A1-W18-20260719-I075	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route				W18-C07	W18-F06		11	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I076	dialog_turn	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only							0	The source utterance or grammar-table row is retained as pedagogical attestation without parser, productivity, or status inference.
GLOSSIKA-YUEHK-A1-W18-20260719-I077	dialog_turn	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route				W18-C07	W18-F06		9	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I078	dialog_turn	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route				W18-C08	W18-F07		4	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I079	dialog_turn	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route				W18-C09;W18-C10	W18-F08;W18-F09		13	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I080	grammar_entry	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route	retained_particle_profile_route_481		src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	W18-C15	W18-F12		11	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I081	grammar_entry	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route	retained_particle_profile_route_481		src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	W18-C15	W18-F12		11	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I082	grammar_entry	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route	retained_particle_profile_route_481		src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	W18-C15	W18-F12		11	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I083	grammar_entry	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route	retained_particle_profile_route_481		src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js	W18-C15	W18-F12		11	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I084	grammar_entry	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route	retained_particle_profile_route_481;source_category_simplification_unresolved		src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js	W18-C15	W18-F12		11	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I085	grammar_entry	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route	retained_particle_profile_route_481			W18-C15	W18-F12		11	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I086	grammar_entry	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route	retained_particle_profile_route_481		src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js	W18-C15	W18-F12		11	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I087	grammar_entry	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route	retained_particle_profile_route_481		src/runtime-resources/lexicon/token-lexicon/study-suite.js	W18-C15	W18-F12		11	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I088	grammar_entry	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route	retained_particle_profile_route_481;question_force_profile_unresolved		src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	W18-C15	W18-F12		11	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I089	grammar_entry	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route	retained_particle_profile_route_481		src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js	W18-C15	W18-F12		11	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I090	grammar_entry	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_open_research_or_audit_route	retained_particle_profile_route_481		src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js	W18-C15	W18-F12		11	The source attestation is retained while the named research or parser-audit route remains explicitly open.
GLOSSIKA-YUEHK-A1-W18-20260719-I091	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only							11	The source utterance or grammar-table row is retained as pedagogical attestation without parser, productivity, or status inference.
GLOSSIKA-YUEHK-A1-W18-20260719-I092	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only							20	The source utterance or grammar-table row is retained as pedagogical attestation without parser, productivity, or status inference.
GLOSSIKA-YUEHK-A1-W18-20260719-I093	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only							11	The source utterance or grammar-table row is retained as pedagogical attestation without parser, productivity, or status inference.
