id	ordinal	section	subsection	item_type	register	source_display	source_jyutping	source_english	source_morpheme_gloss	source_hash	classification	canonical_lexicon_owners	canonical_pronunciation_owners	canonical_parser_owner_candidates	exact_project_match_paths	source_discrepancies_json	review_state
GLOSSIKA-YUEHK-A1-W18-20260719-I011	11	vocabulary_and_situations	common_verbs	lexical_entry		瞓	fan3	to sleep		sha256:00f8fbc2d2aafcf8049c8192e1cc9221529c643ce19eb8afe5d587f12efd14be	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I012	12	vocabulary_and_situations	common_verbs	lexical_entry		行	haang4	to walk		sha256:b19c1e685b31dfff267ae8dddb80bf005ffdf80e264fb49b574065280b984e2c	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/function-words-and-particles.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I013	13	vocabulary_and_situations	common_verbs	lexical_entry		跑	paau2	to run		sha256:ea91aeadcf6c121d4e6670caba3837dc64f9d35874166848e79697ca2151e65d	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	src/runtime-resources/pronunciation/jyutping-review-expectations.js			[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I014	14	vocabulary_and_situations	common_verbs	lexical_entry		坐	co5	to sit		sha256:b500245e541b03b8cf7f3e1901f7b1e8442f77d760c70db50b5ecbccea74daca	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I015	15	vocabulary_and_situations	common_verbs	lexical_entry		企	kei5	to stand		sha256:b2cd8e4cc91452ed429a3bde50ad9afc7f6adfc7657455821bf0e5ad1fb734b4	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I016	16	vocabulary_and_situations	common_verbs	lexical_entry		睇	tai2	to look/to watch		sha256:fd90b28db3d5c341028b5556f8e42b048490bd948cb006f90fa21c42026c68ca	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I017	17	vocabulary_and_situations	common_verbs	lexical_entry		聽	teng1	to listen/to hear		sha256:94fcd620dd0b9e436332f13a36c0cdf09b11e929f41a3f0cdb78556ce95eb3d5	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I018	18	vocabulary_and_situations	common_verbs	lexical_entry		講	gong2	to speak/to say		sha256:365638679a25f36faa6f814f2532b11f8f21ee3e4da706961e711fc8a2da90ee	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I019	19	vocabulary_and_situations	common_verbs	lexical_entry		寫	se2	to write		sha256:ab563ea5f7d75a5d42c87a9d8c5e698f59d8cf81c2c5ed095a0e98f9e4dbccba	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I020	20	vocabulary_and_situations	common_verbs	lexical_entry		讀	duk6	to read		sha256:dfa656dc19ee7caa6a86c976596aa3653c64d9762ec50a8deed51b7f2b6f0d7b	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/study-suite.js	src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js			[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I021	21	vocabulary_and_situations	common_verbs	lexical_entry		做	zou6	to do/to make		sha256:0ff227fe0a059d3113f19e23b9c1ced5506815b90525a47de0466abbf39e1716	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I022	22	vocabulary_and_situations	common_verbs	lexical_entry		買	maai5	to buy		sha256:3c1371317eefe4eaa63e424b4b20e55b335a8a9b4e5ae976a6d5d69ad9a24da2	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I023	23	vocabulary_and_situations	common_verbs	lexical_entry		賣	maai6	to sell		sha256:fb68cc55f4af6b644970e0801606cb8c38b4834489241aa84a250cb10fff649a	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I024	24	vocabulary_and_situations	common_verbs	lexical_entry		畀	bei2	to give		sha256:5491582f403a6a9b004208ce18b02038a4184dc637734def8e600ebd700594f9	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[{"type":"multifunctional_lexeme","status":"existing_runtime_coverage_requires_boundary_review","note":"Single source gloss does not exhaust readings, valency, coverb, directional, aspectual, or collision behavior."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I025	25	vocabulary_and_situations	common_verbs	lexical_entry		攞	lo2	to take/to get		sha256:b1cf62409b112e018be8bd7c5625d0813227cb807f6150996512ef46f46107c8	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[{"type":"multifunctional_lexeme","status":"existing_runtime_coverage_requires_boundary_review","note":"Single source gloss does not exhaust readings, valency, coverb, directional, aspectual, or collision behavior."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I026	26	vocabulary_and_situations	common_verbs	lexical_entry		嚟	lai4	to come		sha256:878cef68b9ad29b500ec5a2408b0994bf4a0ed39317da7cb8138d33589671b55	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js	src/runtime-resources/pronunciation/jyutping-review-expectations.js	src/parser/clause-relations/conditional.js|src/parser/clause-relations/graph.js|src/parser/clause-relations/markers.js|src/parser/clause-relations/punctuation.js|src/parser/detectors/coverbs/frames.js|src/parser/detectors/motion/directional.js|src/parser/detectors/motion/ordering-review.js|src/parser/detectors/motion/path-goal-source.js|src/parser/detectors/motion/purpose-chains.js		[{"type":"multifunctional_lexeme","status":"existing_runtime_coverage_requires_boundary_review","note":"Single source gloss does not exhaust readings, valency, coverb, directional, aspectual, or collision behavior."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I027	27	vocabulary_and_situations	common_verbs	lexical_entry		去	heoi3	to go		sha256:45a7360fac9e1e8b42bb6116d55d7f699f6e0361da71789d861a56ad63ee7bb7	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js		src/parser/clause-relations/conditional.js|src/parser/clause-relations/graph.js|src/parser/clause-relations/markers.js|src/parser/clause-relations/punctuation.js|src/parser/detectors/coverbs/frames.js|src/parser/detectors/motion/directional.js|src/parser/detectors/motion/ordering-review.js|src/parser/detectors/motion/path-goal-source.js|src/parser/detectors/motion/purpose-chains.js		[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I028	28	vocabulary_and_situations	common_verbs	lexical_entry		返	faan1	to return/to go back		sha256:3c770e554b9daeb7a68fd95e89226cb46f71592e51ca8afd5119994bca006ccb	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js	src/runtime-resources/pronunciation/jyutping-review-expectations.js	src/parser/clause-relations/conditional.js|src/parser/clause-relations/graph.js|src/parser/clause-relations/markers.js|src/parser/clause-relations/punctuation.js|src/parser/detectors/coverbs/frames.js|src/parser/detectors/motion/directional.js|src/parser/detectors/motion/ordering-review.js|src/parser/detectors/motion/path-goal-source.js|src/parser/detectors/motion/purpose-chains.js		[{"type":"multifunctional_lexeme","status":"existing_runtime_coverage_requires_boundary_review","note":"Single source gloss does not exhaust readings, valency, coverb, directional, aspectual, or collision behavior."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I029	29	vocabulary_and_situations	common_verbs	lexical_entry		住	zyu6	to live		sha256:abec6d7ec2839265617eccc0e9911ffe03553c9d35e767be86aa646c3d42d980	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/study-suite.js	src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js			[{"type":"multifunctional_lexeme","status":"existing_runtime_coverage_requires_boundary_review","note":"Single source gloss does not exhaust readings, valency, coverb, directional, aspectual, or collision behavior."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I030	30	vocabulary_and_situations	common_verbs	lexical_entry		著	zoek3	to wear		sha256:cf53296f63a3d724451ffc5aede9b052858a7a395c30953dafaa29b94ff1f2f9	new_attestation					[{"type":"multifunctional_lexeme","status":"existing_runtime_coverage_requires_boundary_review","note":"Single source gloss does not exhaust readings, valency, coverb, directional, aspectual, or collision behavior."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I031	31	vocabulary_and_situations	common_verbs	lexical_entry		洗	sai2	to wash		sha256:70c4d3118dd90262f8726939efbb3bfa69db7ce6dd7d1d8f147a9514c3c80861	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I032	32	vocabulary_and_situations	common_verbs	lexical_entry		煮	zyu2	to cook		sha256:8c5abfde0fdf970e09754babad61ac11fbf40bca5a8d6f84751b49e95fb8ae9d	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/verbs.js	src/runtime-resources/pronunciation/jyutping-review-expectations.js			[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I033	33	vocabulary_and_situations	common_verbs	lexical_entry		開	hoi1	to open		sha256:0e38d42a03bfe1367b881994223b7e8ddef1959a13dec6dbbcac21ba7705702c	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/statives.js				[{"type":"multifunctional_lexeme","status":"existing_runtime_coverage_requires_boundary_review","note":"Single source gloss does not exhaust readings, valency, coverb, directional, aspectual, or collision behavior."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I034	34	vocabulary_and_situations	temporal_lexicon	lexical_entry		黎明	lai4 ming4	dawn		sha256:d3364b5f0cef3fbbea36593934f37c9fdbb0f0d07c944c66f499f85882b81c52	new_attestation					[{"type":"register_or_a1_appropriateness","status":"requires_external_review","note":"Source form may be formal, written, literary, or unusually advanced for ordinary A1 conversation."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I035	35	vocabulary_and_situations	temporal_lexicon	lexical_entry		黃昏	wong4 fan1	dusk		sha256:f73cb81bb1a0695d1f31b7605dfbd65cfae17e5b25a166e0fcb53035fc6df499	new_attestation					[{"type":"register_or_a1_appropriateness","status":"requires_external_review","note":"Source form may be formal, written, literary, or unusually advanced for ordinary A1 conversation."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I036	36	vocabulary_and_situations	temporal_lexicon	lexical_entry		午夜	ng5 je6	midnight		sha256:b94dd9731f8ed90dcfd022600e4df0cb38b1224755d0a65e0cfb75b10f4691e4	new_attestation					[{"type":"register_or_a1_appropriateness","status":"requires_external_review","note":"Source form may be formal, written, literary, or unusually advanced for ordinary A1 conversation."},{"type":"translation_collision","status":"source_only","note":"Both source entries are glossed midnight; lexical and register distinctions require review."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I037	37	vocabulary_and_situations	temporal_lexicon	lexical_entry		正午	zing3 ng5	noon		sha256:0f055a32a1e30d57d16eee42a08bc242d9777b2b420978d1f4667967cc2b6d3d	new_attestation					[{"type":"register_or_a1_appropriateness","status":"requires_external_review","note":"Source form may be formal, written, literary, or unusually advanced for ordinary A1 conversation."},{"type":"translation_collision","status":"source_only","note":"Both source entries are glossed noon; lexical and register distinctions require review."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I038	38	vocabulary_and_situations	temporal_lexicon	lexical_entry		世紀	sai3 gei2	century		sha256:d4baecb4240c111f4153577181b6ee068f73c74e3b8423c44f2f77e41e610911	new_attestation					[{"type":"register_or_a1_appropriateness","status":"requires_external_review","note":"Source form may be formal, written, literary, or unusually advanced for ordinary A1 conversation."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I039	39	vocabulary_and_situations	temporal_lexicon	lexical_entry		十年	sap6 nin4	decade		sha256:7d10b757ac98e6789460c19d506f07589d43713458069aecec65eb1c89b373c0	new_attestation					[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I040	40	vocabulary_and_situations	temporal_lexicon	lexical_entry		秒	miu5	second		sha256:a80fb6d10bf31a9f31def95bb667a2961d507669ab6de2f55c433031a99a8608	new_attestation					[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I041	41	vocabulary_and_situations	temporal_lexicon	lexical_entry		約會	joek3 wui2	appointment		sha256:d1728ac3ee76ed4b0acc5d932fdec6b680ba89c552f97a4303b6e5d9194f277e	new_attestation					[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I042	42	vocabulary_and_situations	temporal_lexicon	lexical_entry		日曆	jat6 lik6	calendar		sha256:4dfae40b663dde36fbd2fc48f067b2202fec067f050627caf4a84e8ffe98cd44	new_attestation					[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I043	43	vocabulary_and_situations	temporal_lexicon	lexical_entry		早	zou2	early		sha256:d30d4c0c1966a74740cf44f4519a8627de243d21daa9194f4f502aadfa15e137	new_attestation					[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I044	44	vocabulary_and_situations	temporal_lexicon	lexical_entry		遲	ci4	late		sha256:d00110d96d30ed05ce840ceca3a5b44a07e0d02fa198c79d7ebe103244ea313d	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/study-suite.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I045	45	vocabulary_and_situations	temporal_lexicon	lexical_entry		季度	gwai3 dou6	quarter		sha256:a6f3ec5776cc1aaee855da13489af2be6fc135cd6846d44837ff57fdc3103bd9	new_attestation					[{"type":"register_or_a1_appropriateness","status":"requires_external_review","note":"Source form may be formal, written, literary, or unusually advanced for ordinary A1 conversation."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I046	46	vocabulary_and_situations	temporal_lexicon	lexical_entry		時代	si4 doi6	era		sha256:d26dad6abe3c29d76e86e883de083d098eb63aa61a054cc8bfad05e2dfecd5cd	new_attestation					[{"type":"register_or_a1_appropriateness","status":"requires_external_review","note":"Source form may be formal, written, literary, or unusually advanced for ordinary A1 conversation."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I047	47	vocabulary_and_situations	temporal_lexicon	lexical_entry		過去	gwo3 heoi3	past		sha256:f79d6d003daa31c5c92ddb045acf190759c142ee4c8749d9f7d7ec3bcba4086d	new_attestation			src/parser/clause-relations/conditional.js|src/parser/clause-relations/graph.js|src/parser/clause-relations/markers.js|src/parser/clause-relations/punctuation.js|src/parser/detectors/coverbs/frames.js|src/parser/detectors/motion/directional.js|src/parser/detectors/motion/ordering-review.js|src/parser/detectors/motion/path-goal-source.js|src/parser/detectors/motion/purpose-chains.js		[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I048	48	vocabulary_and_situations	temporal_lexicon	lexical_entry		將來	zoeng1 loi4	future		sha256:2abfe0e8e32e7857cad28492e63df6a6ec96741263cc8b28a9c8f2f55d5820d3	new_attestation					[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I049	49	vocabulary_and_situations	temporal_lexicon	lexical_entry		永遠	wing5 jyun5	forever		sha256:02b78686865a2038553b1e2b7b7a05488221b5f2eb260ecd7ee54b7a7891aaaa	new_attestation					[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I050	50	vocabulary_and_situations	temporal_lexicon	lexical_entry		以前	ji5 cin4	formerly		sha256:9c258bb68d614d226d702256d1792696df06e0bf1681e7d18ed75523e91ee321	new_attestation					[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I051	51	vocabulary_and_situations	temporal_lexicon	lexical_entry		暫時	zaam6 si4	temporary		sha256:2832d3cc808d556f44171ceef418560a82cf6d43baed2c4c50ec3f6be238d1c1	new_attestation					[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I052	52	vocabulary_and_situations	temporal_lexicon	lexical_entry		長期	coeng4 kei4	long-term		sha256:dfa9db765b2d89b391d3586b67c52e88c8a5da3dcb931720eda70caa8f31e850	new_attestation					[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I053	53	vocabulary_and_situations	temporal_lexicon	lexical_entry		短期	dyun2 kei4	short-term		sha256:b403d4466e629f68c9db34ebd0958f6644db3f6301e4cb6afe0e0f7dbc747456	new_attestation					[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I054	54	vocabulary_and_situations	temporal_lexicon	lexical_entry		定期	ding6 kei4	regular		sha256:15736afa69baba27dca1b319c7d1ced40ca6b598b7921d9241beb713e5264e09	new_attestation					[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W18-20260719-I055	55	vocabulary_and_situations	temporal_lexicon	lexical_entry		最近	zeoi3 gan6	recently		sha256:4f3d11fe025956781a666ed330495ddef88bf4164506aab9e4dcbb670ccb40fa	existing_runtime_entry	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js				[]	REQUIRES_EXPERT_CONTEXT_REVIEW
