construction	candidate_id	source_file	turn_index_zero_based	participant	matched_surface_span	matched_pos	text	previous_text	next_text	selection_stratum	classification	decision_reason	reviewer	review_date
AA07	aa07-6fa172e2cb3a8a6d7f33	FC-R009_v.cha	1	XXA	嘅機場	u+n	除咗就話Oasis呢一到達哩個澳洲嘅機場嘅時候呢,就話否認呢國泰航空公司對佢哋嘅指控之外呢.	今日娛樂版呢關於一啲外國嘅娛樂消息呢.	係.	common_or_proper_nominal_modifier	genuine	Place-name modifier `澳洲` + 嘅 + overt head `機場`.	ChatGPT expert review	2026-07-31
AA07	aa07-efa3ae87651e01714e35	FC-105_v2.cha	128	XXB	嘅歌	u+n	噉可能商台真係播咗好多郭富城嘅歌呢,係唔係?	唓,噉𠻺,噉𠻺睇下你邊個台嘅啫.	唓,唔通到黎明咩?	common_or_proper_nominal_modifier	genuine	Proper-name modifier `郭富城` + 嘅 + overt head `歌`.	ChatGPT expert review	2026-07-31
AA07	aa07-856c6cf745df1dc0d79b	FC-001_v2.cha	78	XXB	嘅package	u+xn	要等我老公,睇下佢嗰度有乜嘢平嘅,即係平嘅package,咪睇下去邊囖.	未定啊.	你想去邊喇噉樣?	adjective_or_property_modifier	genuine	Property modifier `平` + 嘅 + overt code-switched head `package`.	ChatGPT expert review	2026-07-31
AA07	aa07-5667e162e8815db3f5a4	FC-001_v2.cha	150	XXB	嘅嘢	u+n	就係想去睇下啲咁,即係天然嘅嘢囖.	條尾都發死人喇,係唔係啊?	但會唔會好貴啊睇哩啲?	adjective_or_property_modifier	genuine	Property modifier `天然` + 嘅 + overt head `嘢`.	ChatGPT expert review	2026-07-31
AA07	aa07-4dbd908cab466d5f03f5	FC-012_v.cha	138	XXC	嘅狗	u+n	跟住養隻兔仔呢,跟住買咗隻細嘅狗返來呢.	我好憎哩啲嘢,因為成陣味,又好污糟,又臭.	兔仔好易死𡃉.	adjective_or_property_modifier	genuine	Property modifier `細` + 嘅 + overt head `狗`.	ChatGPT expert review	2026-07-31
AA07	aa07-cfac25ada77b85d38e2c	FC-012_v.cha	342	XXB	嘅寵物	u+n	而家最新嘅寵物呀?	"""幾扺死""."	哩隻唔係.	adjective_or_property_modifier	genuine	Property modifier `最新` + 嘅 + overt head `寵物`.	ChatGPT expert review	2026-07-31
AA07	aa07-6e7f799b4409b1bf02e4	FC-022a_v.cha	57	XXA	嘅字	u+n	噉如果帶-帶一本噉又好似冇地名喎,但係如果帶本有地名又舊版喎,噉又可能好多新嘅字都冇擺入去噉樣囖.	係.	係囖.	adjective_or_property_modifier	genuine	Property modifier `新` + 嘅 + overt head `字`.	ChatGPT expert review	2026-07-31
AA07	aa07-cd71c9777549ef78f582	FC-022a_v.cha	112	XXB	嘅字典	u+n	因為呢如果只係買一啲通用嘅字典呢,就只係幫到你,誒,譯一啲好普通嘅文章.	噉呢就不妨呢係多買啲字典.	喀.	adjective_or_property_modifier	genuine	Property modifier `通用` + 嘅 + overt head `字典`.	ChatGPT expert review	2026-07-31
AA07	aa07-06d203b0010516bcfeb2	FC-022a_v.cha	112	XXB	嘅文章	u+n	因為呢如果只係買一啲通用嘅字典呢,就只係幫到你,誒,譯一啲好普通嘅文章.	噉呢就不妨呢係多買啲字典.	喀.	adjective_or_property_modifier	genuine	Degree-property phrase `好普通` + 嘅 + overt head `文章`.	ChatGPT expert review	2026-07-31
AA07	aa07-e1713e047f35b7346ef2	FC-R017_v.cha	28	XXA	嘅問題	u+n	噉哩個都會係目前呢即係,誒,幾大嘅問題.	噉你按返嗰個,誒,每年即係,誒,加人工嗰個比例來計,噉𠻺儲咗咁長嘅時間,誒,即係都會係一個累積嘅數喺度.	噉而哩啲人呢,又好笑,有啲個案呢,就係話,即係佢其實係有個幾高嘅quali𡃉,譬如話有個大學畢業證書,或者有啲乜嘢文憑噉樣樣.	adjective_or_property_modifier	genuine	Degree-property phrase `幾大` + 嘅 + overt head `問題`.	ChatGPT expert review	2026-07-31
AA07	aa07-16a4b35f6933328d0aa0	FC-019_v.cha	74	XXJ	嘅時候	u+n	但係我去到嘅時候我唔知剪短,噉佢會問你想點樣剪短喇.	"即係我""""其實,我心目中又冇一個,即係,特定嘅,即係style噉樣喇."	跟住你又剪齊,但係我又-其實我又唔想剪齊.	verbal_or_clausal_material	false_positive	Clausal `我去到` forms a temporal `...嘅時候` adjunct.	ChatGPT expert review	2026-07-31
AA07	aa07-27d5a00de9325360645f	FC-R013b_v.cha	129	XXC	嘅時候	u+n	即係溝通到嘅時候,你可以喺上邊直程住吖嗎.	係嘞.	即係哩個我唔知吖.	verbal_or_clausal_material	false_positive	Verbal `溝通到` forms a temporal `...嘅時候` adjunct.	ChatGPT expert review	2026-07-31
AA07	aa07-3fc92ea87c09daf89fa7	FC-R017_v.cha	118	XXA	嘅時候	u+n	根本係喺度即大家諗下點樣渡過哩個難關嘅時候.	即係而家.	即係唔好講話你外來要返來,即係開餐館喇.	verbal_or_clausal_material	false_positive	The event clause forms a temporal adjunct with `時候`.	ChatGPT expert review	2026-07-31
AA07	aa07-08909147c71f7e6cc25b	FC-R013a_v.cha	69	XXB	嘅時候	u+n	然後當佢哋,咦,發覺開始明白個規律嘅時候,就差唔多又有第二個噉啊.	噉𠻺每個行入來都會有哩個情況囖.	噉哩個係-哩個其實我相信就算喺邊間大公司都會係噉.	verbal_or_clausal_material	false_positive	The clause ending in `明白個規律` forms a temporal adjunct.	ChatGPT expert review	2026-07-31
AA07	aa07-c426a8496903a07e5195	FC-020_v.cha	49	XXA	嘅時候	u+n	"噉跟住我打返俾佢嘅時候佢就話""誒,啊!校長而家見𡁵人喎,或者佢留底個電話,阿校長話一陣間親自覆你."	跟住就下個-跟住嗰個星期一就打電話俾佢喇.	"""噉樣喇."	verbal_or_clausal_material	false_positive	`我打返俾佢` is a clause in a temporal adjunct.	ChatGPT expert review	2026-07-31
AA07	aa07-508a0c15d66cc7d1e698	FC-108a_v2.cha	58	XXB	嘅時候	u+n	誒,話我哋即係臨尾呢又話我哋夠鐘嘅時候唔叫人哋停筆嗰啲噉嘅嘢囖.	等我諗下先.	吓吓.	verbal_or_clausal_material	false_positive	`夠鐘` is the predicate of a temporal `...嘅時候` clause.	ChatGPT expert review	2026-07-31
AA07	aa07-12a62ca83e28351b705c	FC-005a_v2.cha	19	XXA	嘅時候	u+n	而家根本係人都咯,冇人需求嘅時候呢,𠻺根本就炒唔起.	而且又,以前𠻺少呢,你就,誒,需求多.	你揸咗喺手嗰啲咪盞,唉,睇下點樣樣,幾時甩得身就甩,甩唔到身就真係過渡九七.	verbal_or_clausal_material	false_positive	`冇人需求` is a clause in a temporal adjunct.	ChatGPT expert review	2026-07-31
AA07	aa07-6185fd3f815c8cddd44e	FC-009b_v.cha	85	XXB	嘅時候	u+n	噉有冇-有冇人教,即係教你,誒,跑嘅時候應該點樣呼吸啊,應該點樣跑啊噉樣𡃉?	即係有參加,但係,誒,都有攞獎,但係就冇以前參加咁多囖.	你唔會注重哩啲𡃉喎,我覺得.	verbal_or_clausal_material	false_positive	`跑` heads an event clause in `跑嘅時候`.	ChatGPT expert review	2026-07-31
AA07	aa07-4e97b983133d0a3909de	FC-022a_v.cha	55	XXA	嘅嘢	u+n	"噉佢哋譯嘅嘢又唔同噉樣""吖""嗎."	係嘞,係嘞,係嘞.	係.	relative_clause_candidate	false_positive	`佢哋譯` is a relative clause modifying `嘢`.	ChatGPT expert review	2026-07-31
AA07	aa07-80e082acd05706afdf2d	FC-R018_v.cha	85	XXA	嘅嘢	u+n	噉但係即係見到嘅嘢就唔夠多啊.	喀.	係唔係啊?	relative_clause_candidate	false_positive	`見到` is a relative clause modifying `嘢`.	ChatGPT expert review	2026-07-31
AA07	aa07-dc7386621ecc2c3d09aa	FC-R018_v.cha	87	XXA	嘅嘢	u+n	即係嫌自己見嘅嘢唔夠多.	係唔係啊?	倫敦就會成日去啊.	relative_clause_candidate	false_positive	`見` is a relative clause modifying `嘢`.	ChatGPT expert review	2026-07-31
AA07	aa07-51c16c474b6ba727c146	FC-R018_v.cha	72	XXC	嘅地方	u+n	噉英國係一個我不嬲都好鍾意嘅地方.	係,係,係.	嗯.	relative_clause_candidate	false_positive	`我不嬲都好鍾意` is a relative clause modifying `地方`.	ChatGPT expert review	2026-07-31
AA07	aa07-cdae5759ac730c184607	FC-R002b_v2.cha	94	XXC	嘅地方	u+n	另外一個我覺得有趣嘅地方呢就係話佢嗰個男性主導同埋女性主導啊.	哩個係所謂即係嗰個時代氣息呢.	即係𠻺喺嗰個社會嘅一個嘅轉移啊.	relative_clause_candidate	false_positive	`我覺得有趣` is clausal material modifying `地方`.	ChatGPT expert review	2026-07-31
AA07	aa07-eabc35e6475a6517c889	FC-109a_v2.cha	97	XXB	嘅嘢	u+n	噉人人都有嘅嘢,自己都想有喇,係唔係?	噉𠻺,冇辦法即係而家-即係大家嘅心態就算我都係.	噉但係你會唔會過份吖?	relative_clause_candidate	false_positive	`人人都有` is a relative clause modifying `嘢`.	ChatGPT expert review	2026-07-31
AA07	aa07-f9521f792b2b00296e0d	FC-005b_v2.cha	80	XXA	嘅價值	u+n	冇嗰個賣返出去嘅價值囖,變咗你真係永遠就自己揸住來睇𡃉咋.	而且佢哋話呢,儲成版就有保值嘅作用囖,喀,不過你唔好整花,整摺,有任何損毀嚹,如果唔係就冚唪唥冇,即係價-,冇,點啊?	喀,啊如果你真係冇花冇損毀呢就有一日冇飯食嘅時候啊,你真係窮到,唉,死嚹.	relative_clause_candidate	false_positive	`賣返出去` is a relative clause modifying `價值`.	ChatGPT expert review	2026-07-31
AA07	aa07-967b1685d824f9636688	FC-038a_v2.cha	173	XXX	嘅困難	u+an	講佢整條路上邊遇到嘅嘢啊,同埋佢,係喇,面對嘅困難啊各方面喇,喀.	噉佢,誒,離開自己嘅鄉下,噉呢就去哩個,誒,書-書入邊講嘅天城喇,喀.	哦.	relative_clause_candidate	false_positive	`面對` is verbal relative-clause material modifying `困難`.	ChatGPT expert review	2026-07-31
AA07	aa07-e52512c188a8d257317c	FC-011_v.cha	68	XXB	嘅公關	u+n	噉即係其實等如人哋嘅公關部啊噉樣.	噉就,誒,佢-而家我哋個部門呢就叫企業傳播部.	嗯.	head_or_attachment_ambiguity	false_positive	Matched `公關` is internal to compound head `公關部`; the span truncates the head.	ChatGPT expert review	2026-07-31
AA07	aa07-311f31f81b831b87f2f2	FC-R010a_v.cha	97	XXA	嘅電訊	u+n	噉𠻺日本嘅電訊-誒,電話公司呢,NTT呢.	噉但係呢,新近呢,日本有哩一個呢,就更加係進化版𠻹.	上個月𠻺推出咗哩一個流動電話定位資料服務啊.	head_or_attachment_ambiguity	ambiguous	Repair `電訊-電話公司` leaves the head boundary unresolved.	ChatGPT expert review	2026-07-31
AA07	aa07-0625e8dbd6bc4b0c44b0	FC-022b_v.cha	200	XXB	嘅電子	u+n	噉,誒,或者如果你揾到一部好嘅電子辭典呢,噉或者你介紹俾我呢,我都我都考慮下.	不過我自己呢就都冇買到.	喀,但係我以前有聽過呢,張先生呢講過話啲電子辭典喎.	head_or_attachment_ambiguity	false_positive	`電子` is a compound modifier inside `電子辭典`, not the head.	ChatGPT expert review	2026-07-31
AA07	aa07-e93e0a3dbeeadc1531ad	FC-022b_v.cha	142	XXB	嘅深圳	u+ns	因為呢就如果喺大嘅書局,頭先我講嘅深圳書城啊之類呢,佢裏邊有好多種類型嘅書籍𡃉.	係嘞.	噉除咗係工具書呢,其他嘅,譬如話係一啲教科書啊,或者其他嘅書,都係,誒,即係好值得我哋睇下,考慮下會唔會買呢噉.	head_or_attachment_ambiguity	false_positive	The query crosses from relative clause `頭先我講嘅` into `深圳書城`.	ChatGPT expert review	2026-07-31
AA07	aa07-543491a14bcca16f1ad8	FC-038b_v2.cha	232	XXY	嘅PhD	u+xjn	又HongKongU嘅PhD畢業𡃉喎.	喀.	喀.	head_or_attachment_ambiguity	ambiguous	Code-switched `HongKongU嘅PhD畢業` permits competing degree and compound analyses.	ChatGPT expert review	2026-07-31
AA07	aa07-aa579977ef0c046fcff6	FC-022b_v.cha	21	XXA	嘅啲	u+q	即係都幾齊嘅啲字.	係.	嗯.	head_or_attachment_ambiguity	false_positive	`啲` is determiner/classifier material, not an overt noun head.	ChatGPT expert review	2026-07-31
AA07	aa07-eca292629e8e20aef3f9	FC-R017_v.cha	11	XXA	嘅位	u+q	係話即係可以繼續喺哩間公司服務落去啊,即係會唔會有晉升機會都唔知,但係已經似乎係去到一個呢,幾穩定嘅位來𠺢嗎.	嗯.	即係諗都諗唔到,吓,點解會係噉.	head_or_attachment_ambiguity	false_positive	`位` is a measure/position element rather than a clear overt noun head.	ChatGPT expert review	2026-07-31
AA07	aa07-f255130ab6f66cb89099	FC-106b_v2.cha	85	XXB	嘅角度	q+n	係你哋嘅角度問題咋喎,同埋明知暗又唔開閃光燈喎.	唔關事𡃉喎.	哩張又好似真係暗咗啲.	head_or_attachment_ambiguity	ambiguous	`你哋嘅角度問題` leaves `角度` versus compound-head attachment unresolved.	ChatGPT expert review	2026-07-31
AA07	aa07-c553bfda0524e2411c13	FC-022a_v.cha	120	XXB	嘅時候	u+n	但係當你出來工作嘅時候呢,或者如果你經常都需要係應付哩一類專科嘅文章嘅時候呢,我諗你就要需要考慮要買啲專業嘅字典嘞.	喀.		repair_annotation_or_missing_context	unusable	The compact row contains only `嘅時候`; the preceding modifier is unavailable.	ChatGPT expert review	2026-07-31
AA07	aa07-fcea4c8df1e52c6631dc	FC-029_v.cha	121	XXS	嘅保險	u+an	嘅保險囖.	喀.	喀.	repair_annotation_or_missing_context	unusable	The compact row contains only `嘅保險`; the preceding modifier is unavailable.	ChatGPT expert review	2026-07-31
AA07	aa07-8eb9544a50a2c91a9d73	FC-042_v.cha	33	XXH	嘅形	u+Ng	於是啲生物嘅形-嘅形態係唔會相差太遠嘅.	即係如果用科學家啲角度,佢哋話覺得應該只可以一個好窄嘅生命進化環境入邊先可以有生物.	"但係你好似""MIB""嗰啲噉喎."	repair_annotation_or_missing_context	unusable	Self-repair `形-嘅形態` does not preserve a stable local candidate.	ChatGPT expert review	2026-07-31
AA07	aa07-eb26b1e66a48241e315d	FC-011_v.cha	83	XXB	嘅產	u+Ng	噉然之後就,誒,有時呢就會搞一啲即係新嘅產-即係唔係產品嘅,即係新嘅服務俾啲-誒,俾啲出邊睇呢,即係promote返我哋銀行嗰個形象囖.	即係去幫所有department聯絡啊,噉樣喇.	即係例如最近搞一啲internet喇,上網喇.	repair_annotation_or_missing_context	unusable	Abandoned repair `新嘅產-` truncates the intended noun `產品`.	ChatGPT expert review	2026-07-31
AA07	aa07-74e99cb73853bdda2e79	FC-R004_v2.cha	201	XXC	嘅情	u+Ng	原本呢,譬如你計開啊我舊年噉樣嘅情-,誒,同樣嘅時間噉樣先算喇.	佢就佔咗個生意額嘅幾多成嘞,即係噉樣樣.	噉呢,就當中呢,哦,原來呢,我做過生意裏邊呢,有兩成呢,係交咗租嘅.	repair_annotation_or_missing_context	unusable	Abandoned repair `噉樣嘅情-` truncates the intended noun.	ChatGPT expert review	2026-07-31
AA07	aa07-11ff6bae8d95db622a13	FC-055_v2.cha	433	XXM	嘅D	u+xnx	由最原始嘅D-Ram去到嘅Sim-Ram,去到EDOM,去到SD-Ram.	Ram嘅種類?	冇喎.	repair_annotation_or_missing_context	false_positive	Matched `D` is only the first segment of compound `D-Ram`.	ChatGPT expert review	2026-07-31
AA07	aa07-1f0e69ffdaeebdf25fbd	FC-005a_v2.cha	117	XXA	嘅郵	u+Ng	連嗰啲嘢係點嘅樣,冚唪唥乜嘢你都唔知,好似有陣時,嗰啲首日封噉,佢有嗰,誒,特別嘅郵chop啲印呢,你訂嗰陣時,佢冇話俾你聽有個特別郵chop𡃉,噉你咪訂訂訂,訂晒嗰啲普通郵chop噉𡃉囖.	係喇,我唔鍾意噉樣.	到到嗰個時候佢真係,賣嘅時候呢,出嘅時候呢,佢就話俾你聽有個特別郵chop嘞.	repair_annotation_or_missing_context	false_positive	Matched `郵` is a fragment before code-switched `chop`, not a complete head.	ChatGPT expert review	2026-07-31
AA07	aa07-1280bd35f97b540ba5b0	FC-R013b_v.cha	39	XXB	嘅媒	u+Ng	電視唔係一個要原創性好高嘅媒-即係人哋,你唔會對自己話我係-你唔會當話我係一個藝術工作者囖.	唔係.	我覺得唔得囖.	repair_annotation_or_missing_context	unusable	Repair `媒-` truncates the intended noun.	ChatGPT expert review	2026-07-31
AA07	aa07-2c026d40e972162d7615	FC-001_v2.cha	53	XXB	嘅時候	u+n	即係不過要係淡季嘅時候呢.	吓?	就唔唔-,一定唔會七八月𡃉嚹.	lexicalized_or_localizer_boundary	genuine	Nominal modifier `淡季` + 嘅 + overt temporal noun `時候`.	ChatGPT expert review	2026-07-31
AA07	aa07-89e83495f60ab6830f4c	FC-001_v2.cha	172	XXA	嘅時侯	u+n	都好怪啫,如果你十二月去,即係點啊,夏天嘅時侯聖誕節,好似唔係好適應啊,係唔係啊?	唔使咁凍.	未-未試過喎,噉又可以試下喎.	lexicalized_or_localizer_boundary	genuine	Nominal modifier `夏天` + 嘅 + overt temporal noun `時侯`.	ChatGPT expert review	2026-07-31
AA07	aa07-bf9213b421b39b1787f0	FC-005a_v2.cha	28	XXA	嘅感覺	u+n	套摺都有限量,但係套摺呢就少,嗰個數量𠻺少啲,因為通常佢都唔做咁多套摺嘅,喀,因為套摺好似有啲唔係幾抵噉嘅感覺.	有冇限量啊?	係喇,我都覺得唔抵.	lexicalized_or_localizer_boundary	genuine	Property phrase links through 嘅 to overt noun `感覺`.	ChatGPT expert review	2026-07-31
AA07	aa07-b8d6c7158eefb02c10e1	FC-005a_v2.cha	86	XXB	嘅樣	u+n	係喇,又-,係點嘅樣𡃉回歸嗰套?	喀,所以就出埋嗰套之後,另外,嗱,七月一號又有一個乜嘢,回歸嗰套喇.	到而家重未見過樣𡃉.	lexicalized_or_localizer_boundary	ambiguous	`點嘅樣` may be modifier linkage or a formulaic interrogative expression.	ChatGPT expert review	2026-07-31
AA07	aa07-6df05af0aedb2aec3434	FC-020_v.cha	258	XXB	嘅心目中	u+n	即係揾工-雖然你有時話anydiscipline,但係其實佢嘅心目中都有啲dis-有啲discipline佢係鍾意啲𠺢嗎.	噉佢哋嗰啲科目呢係比較好啲.	係喇,係喇,係喇.	lexicalized_or_localizer_boundary	ambiguous	`佢嘅心目中` is possessive plus localizer; ordinary noun-head status is unclear.	ChatGPT expert review	2026-07-31
AA07	aa07-76fb7ee0cbc8aaa52933	FC-104_v2.cha	102	XXB	嘅口中	u+s	噉講開呢,噉變咗喺佢嘅口中就成日都知道有阿琪哩個女仔囖.	我只係提起下啲同學嘅嘢啫.	"噉𠻺有一次我話""咦!阿琪來𡁵喎."	lexicalized_or_localizer_boundary	ambiguous	`佢嘅口中` is a possessive localizer phrase, not clearly canonical AA07.	ChatGPT expert review	2026-07-31
AA07	aa07-d28cbec28df82a64a8b7	FC-005b_v2.cha	79	XXA	嘅作用	u+n	而且佢哋話呢,儲成版就有保值嘅作用囖,喀,不過你唔好整花,整摺,有任何損毀嚹,如果唔係就冚唪唥冇,即係價-,冇,點啊?	唔係啊,我諗我下次都係買啲,試下買一版先得.	冇嗰個賣返出去嘅價值囖,變咗你真係永遠就自己揸住來睇𡃉咋.	lexicalized_or_localizer_boundary	false_positive	`保值` is verbal material modifying `作用`, a relative/clausal profile.	ChatGPT expert review	2026-07-31
AA07	aa07-a9bb70dbc7d22185abe3	FC-005b_v2.cha	1	XXA	嘅事	u+n	好短時間𡃉咋,喺我寄晒,即係由佢開始加郵票,至到我寄晒啲個八嘅郵票,再至到個八開始升值嘅時候呢,只係個零兩個月間嘅事來𡃉咋.	搭啲,兩三毫子先至搭夠再寄啲新嘅,噉嗰陣時就,快快脆脆猛咁將啲個八黏黏晒,嘩,諗下,ei3留喺度冇用𡃉嗎,寄寄寄.	嗰啲個八郵票呢,嘩,升到真係癲.	lexicalized_or_localizer_boundary	genuine	Temporal nominal `個零兩個月間` + 嘅 + overt head `事`.	ChatGPT expert review	2026-07-31
