id	ordinal	section	subsection	item_type	speaker	previous_turn_id	next_turn_id	source_display	source_jyutping	source_english	source_hash	classification	exact_match_paths	normalized_match_paths	review_state
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I011	11	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I010	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I012	我想學跳舞,你可唔可以教我呀?	Mei5 Mei5: Ngo5 soeng2 hok6 tiu3 mou5, nei5 ho2 m4 ho2 ji5 gaau3 ngo5 aa3?		sha256:c77445fc6d45a13d7da5203d02dd1c6b30250041bca26a03a01d4e9488b0d2d0	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I012	12	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I011	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I013	我教得唔好㗎,不如你去學校學啦。	Aa3 Man4: Ngo5 gaau3 dak1 m4 hou2 gaa3, bat1 jyu4 nei5 heoi3 hok6 haau6 hok6 laa1.		sha256:1d443180bcf06f630bbcbd3bd1cfda4eae773f15dd22350e44dda904502afe05	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I013	13	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I012	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I014	我驚學校太貴喇。	Mei5 Mei5: Ngo5 geng1 hok6 haau6 taai3 gwai3 laa3.		sha256:d750c440256b3983382b3a6870048c17d405a8e20edff28e8e877b1e2f72b705	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I014	14	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I013	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I015	咁你想學啲咩舞呀?	Aa3 Man4: Gam2 nei5 soeng2 hok6 di1 me1 mou5 aa3?		sha256:c648f49132fa09754fc878622c858ae1845d7025c9127ad3667a7e9beb6a3591	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I015	15	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I014	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I016	我想學爵士舞,你識唔識呀?	Mei5 Mei5: Ngo5 soeng2 hok6 Zoek6 Si6 Mou5, nei5 sik1 m4 sik1 aa3?		sha256:ebadd01b53569d3a4f96a83d96673c2045603d0d4aaa61831a32e6e768da4c01	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I016	16	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I015	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I017	唔識呀,我淨係識跳華爾滋。	Aa3 Man4: M4 sik1 aa3, ngo5 zing6 hai6 sik1 tiu3 Waa4 Ji5 Zi1.		sha256:71c146be7ae04d7fae07c0b8a90064bf4508f33ff11475b9f057f4fcd3926815	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I017	17	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I016	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I018	咁你可唔可以陪我去睇下呀?	Mei5 Mei5: Gam2 nei5 ho2 m4 ho2 ji5 pui4 ngo5 heoi3 tai2 haa5 aa3?		sha256:7ed67ddd57f29703a2f461cdb73d0ac3baab9f9946798e590a2ef257cada169d	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I018	18	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I017	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I019	去邊度睇呀?	Aa3 Man4: Heoi3 bin1 dou6 tai2 aa3?		sha256:08988e65a4acede568062cba28fb2b56769098c2b7d98b50ef6467b4c7921d38	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I019	19	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I018	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I020	去跳舞學校睇吓課程。	Mei5 Mei5: Heoi3 tiu3 mou5 hok6 haau6 tai2 haa5 fo3 cing4.		sha256:694dd3339db4fc05965e699675cb9a181c4a64a8a027f193294a9e411e2a33c2	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I020	20	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I019	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I021	得呀,幾時去呀?	Aa3 Man4: Dak1 aa3, gei2 si4 heoi3 aa3?		sha256:e96409082202dea50746cc89f2125ce0d4a407e570d430816ab8e6f255c6017f	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I021	21	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I020	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I022	聽日得唔得呀?	Mei5 Mei5: Ting1 jat6 dak1 m4 dak1 aa3?		sha256:5c26262b1c6d71c794d6341551f8c84ed4a9ed3621f37cb97f9cc5e212576d00	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I022	22	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I021	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I023	得呀,聽日下晝得唔得呀?	Aa3 Man4: Dak1 aa3, ting1 jat6 haa6 zau3 dak1 m4 dak1 aa3?		sha256:ffadbbf0052fc2febd5c75995cb701ed19b83fb1541d068c60cd97be7a9034e0	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I023	23	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I022	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I024	得呀!咁我哋約幾點呀?	Mei5 Mei5: Dak1 aa3! Gam2 ngo5 dei6 joek3 gei2 dim2 aa3?		sha256:6f233dfc1a936ed541f1da2302383895531176b621a7a4af708dab774598c18d	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I024	24	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I023	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I025	三點得唔得呀?	Aa3 Man4: Saam1 dim2 dak1 m4 dak1 aa3?		sha256:1434703fccad0465c1befc4aec5e2849ef63a97b80b1b4e006f9be79f5c23fe3	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I025	25	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I024	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I026	得呀!喺邊度見呀?	Mei5 Mei5: Dak1 aa3! Hai2 bin1 dou6 gin3 aa3?		sha256:023127ec12946e6d3b3afc8517d5021f9dac726d4c4bd5facb4a5d4606500b41	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I026	26	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I025	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I027	喺學校門口見啦。	Aa3 Man4: Hai2 hok6 haau6 mun4 hau2 gin3 laa1.		sha256:5a80252a0db846ca5648fc8e604d1536c671432072c1ac2d91467c0f5d833557	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I027	27	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I026	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I028	好呀!咁學校叫咩名呀?	Mei5 Mei5: Hou2 aa3! Gam2 hok6 haau6 giu3 me1 meng2 aa3?		sha256:4526f2637f335b6bd2b4fbcebff20037744a465fab2eff53a5b7d866bef442bb	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I028	28	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I027	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I029	叫「星光舞蹈學校」,你識唔識呀?	"Aa3 Man4: Giu3 ""Sing1 Gwong1 Mou5 Dou6 Hok6 Haau6"", nei5 sik1 m4 sik1 aa3?"		sha256:dda94ae01cd7ff3cfd68af2f88c621505cf9454258e1c6aec561a54f8cf86352	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I029	29	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I028	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I030	唔識呀,喺邊度呀?	Mei5 Mei5: M4 sik1 aa3, hai2 bin1 dou6 aa3?		sha256:bc5aee5f7e07955b5e1476bad297e72e1352ba25adc074de17038165e9c44514	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I030	30	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I029	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I031	喺旺角度,好近地鐵站。	Aa3 Man4: Hai2 Wong6 Gok3 dou6, hou2 kan5 dei6 tit3 zaam6.		sha256:c217f0124aff9513140fda7f5095965011db6eae68b12d078a0f6c7295394def	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I031	31	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I030	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I032	好呀,咁我搵到喇!	Mei5 Mei5: Hou2 aa3, gam2 ngo5 wan2 dou2 laa3!		sha256:c29562c58bf1d9d1bb8cdbe2567fc4301a90aad1304ce394d27dd140dad7da84	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I032	32	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I031	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I033	記住著運動鞋呀!	Aa3 Man4: Gei3 zyu6 zoek3 wan6 dung6 haai4 aa3!		sha256:f45caee332269893f928981d4625a4a79878471f68b2dc1ad1e9cf2c0eff2fb3	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I033	33	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I032	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I034	好呀,我記住喇!	Mei5 Mei5: Hou2 aa3, ngo5 gei3 zyu6 laa3!		sha256:20c7a88153c01238e0641adb840b1ce41e818b86c304664ac70a511c566edbf6	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I034	34	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I033	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I035	咁聽日見喇!	Aa3 Man4: Gam2 ting1 jat6 gin3 laa3!		sha256:0ecc461ca26189e678eaa40c70cb555c7b5c10d239a7fee6a248d102caf8feda	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I035	35	dialog	learning_to_dance	dialog_turn	美美	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I034	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I036	聽日見!多謝你呀!	Mei5 Mei5: Ting1 jat6 gin3! Do1 ze6 nei5 aa3!		sha256:d91006f17570f52a785690af24a70c56b76b9aab6771bc68732efc57570e5695	new_attestation			REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-001-20251130-I036	36	dialog	learning_to_dance	dialog_turn	阿文	GLOSSIKA-YUEHK-A1-DLG-001-20251130-I035		唔使客氣!	Aa3 Man4: M4 sai2 haak3 hei3!		sha256:117cac7a434aca42d216121d169f31422da9a1aaa8baadf94799e1ad4e33cfe2	exact_duplicate	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-002-20251207/crosswalk.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-002-20251207/items.tsv|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-002-20251207/source.json	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-002-20251207/review.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-004-20251221/crosswalk.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-004-20251221/items.tsv|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-004-20251221/review.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-004-20251221/source.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/crosswalk.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/items.tsv|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/review.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/source.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-011-20260215/crosswalk.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-011-20260215/items.tsv|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-011-20260215/review.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-011-20260215/source.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-013-20260301/crosswalk.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-013-20260301/items.tsv|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-013-20260301/review.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-013-20260301/source.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W15-20260628/items.tsv|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W15-20260628/review.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W15-20260628/source.json|docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md	REQUIRES_EXPERT_CONTEXT_REVIEW
