packet_id	candidate_id	selection_strata	source_file	turn_index_zero_based	token_index_zero_based	matched_form	nominal_start_form	later_predicate_form	text	previous_text	next_text	expert_class	profile_disposition	span_recommendation	decision_confidence	decision_reason	source_limit_or_note
AA56-R1-011	aa56-74900adeaf33c3ab6097	wh_or_embedded_complement_control	FC-005a_v2.cha	17	32	冇	乜	冇	噉兼夾呢,女,即係,炒女皇郵票嗰陣時又已經炒到七七八八𡃉嘞,而家淨得哩啲,好似雀仔哩啲噉嘅嘢,都冇乜特色,又冇乜嘢特別意思噉樣,好似呃錢噉樣,噉𠻺啲人,就冇乜人嚹,即係,冇咁,冇咁搶得咁犀利囖.	噉就,誒,而且佢又有好多預早訂晒喇,噉嚹啲人就唔使,唔使去排囖.	而且又,以前𠻺少呢,你就,誒,需求多.	event_negation_or_minimizer	exclude_as_clausal_event_negation	subject/context + 冇乜/冇 + event predicate	high	The visible material minimizes or negates an event/frequency profile, not existence of an introduced NP.	Law's clausal 冇 boundary and the overt event predicate prevent a token-only existential analysis.
AA56-R1-012	aa56-36a460907b04e6b4643a	all_human_plus_predicate;inherited_aa77_sibling_anchor	FC-005a_v2.cha	19	7	冇	人	需求	而家根本係人都咯,冇人需求嘅時候呢,𠻺根本就炒唔起.	而且又,以前𠻺少呢,你就,誒,需求多.	你揸咗喺手嗰啲咪盞,唉,睇下點樣樣,幾時甩得身就甩,甩唔到身就真係過渡九七.	negative_human_quantificational_clause	separate_negative_quantificational_sibling	冇人 + predicate ('nobody/no one predicates')	high	冇人 supplies a negative human quantifier or negative existential subject and the following predicate states what no person does or is.	The sources inspected do not establish this as the morphological negative of positive participant-introducing AA56; keep the asymmetry explicit.
AA56-R1-013	aa56-0258ddc2331e04c7c37e	repair_control	FC-005a_v2.cha	32	36	冇	噉		即係靚啲喇,即係你起碼連埋套郵票,噉𠻺好-好睇,噉樣樣囖,喀,就唔使淨係得四個郵票,噉𠻺乜都冇噉.	收藏.	最後,誒,睇下先,九七年七月一號之前呢,最後嗰一套話,誒,都係重係英女皇頭嗰個呢,係唔係有青馬大橋嗰啲𡃉?	negative_property_or_discourse_absence	exclude_as_property_or_discourse_profile	冇 + property/discourse nominal or proform	high	The row expresses absence of a property, change, feature, or discourse referent; any later predicate is not linked to an introduced nominal.	Negative spelling alone cannot donate positive presentational evidence.
AA56-R1-014	aa56-1b03b3d64219565f0e18	predicate_less_initial_control	FC-005a_v2.cha	60	0	有	啲		有啲乜嘢,百週年乜嘢郵局,乜嘢百週年啊.	譬如之前係有啲乜嘢啊?	噉有啲呢,就係奧運會啊好似係奧運會啊.	bare_existential_or_listing	route_to_bare_existential_or_inventory_profile	有／冇 + nominal, without a locally NP-linked following predicate	high	The row asserts, questions, lists, or denies existence/availability of nominal material, but the mechanically located later predicate is absent, internal to the NP, or belongs to another clause.	Does not satisfy the source-linked AA56 NP-plus-predicate endpoint; positive and negative bare existence require separate typing.
AA56-R1-015	aa56-f60c84b5da39f66de619	all_human_plus_predicate;all_initial_indefinite_np_plus_predicate	FC-005a_v2.cha	91	0	冇	人	提	冇人提過嗰個嘢係點嘅樣𡃉.	咦,會唔會出特區旗啊,特區花啊,嗰啲噉嘅嘢呢?	只係話有一-,會出有一套回歸嘅郵票同埋小全章,𠻺首日封,即係乜都出齊,噉樣喇.	negative_human_quantificational_clause	separate_negative_quantificational_sibling	冇人 + predicate ('nobody/no one predicates')	high	冇人 supplies a negative human quantifier or negative existential subject and the following predicate states what no person does or is.	The sources inspected do not establish this as the morphological negative of positive participant-introducing AA56; keep the asymmetry explicit.
AA56-R1-016	aa56-fbbbc9206ae3a14c3951	all_human_plus_predicate;inherited_aa77_sibling_anchor	FC-005a_v2.cha	93	5	冇	人	講	但係呢就,從來冇人講過嗰套嘢嘅樣係點樣樣嘅.	只係話有一-,會出有一套回歸嘅郵票同埋小全章,𠻺首日封,即係乜都出齊,噉樣喇.	即係乜嘢作-,即係嗰啲構思啊,即係邊個係設計啊,以乜嘢為主題啊,點樣樣,冚唪唥全部冇人講過,所以個個好似懵查查啊,好似斷估噉𡃉咋.	negative_human_quantificational_clause	separate_negative_quantificational_sibling	冇人 + predicate ('nobody/no one predicates')	high	冇人 supplies a negative human quantifier or negative existential subject and the following predicate states what no person does or is.	The sources inspected do not establish this as the morphological negative of positive participant-introducing AA56; keep the asymmetry explicit.
AA56-R1-017	aa56-d696aa0417ed55e8aca0	all_human_plus_predicate;inherited_aa77_sibling_anchor	FC-005a_v2.cha	94	27	冇	人	講	即係乜嘢作-,即係嗰啲構思啊,即係邊個係設計啊,以乜嘢為主題啊,點樣樣,冚唪唥全部冇人講過,所以個個好似懵查查啊,好似斷估噉𡃉咋.	但係呢就,從來冇人講過嗰套嘢嘅樣係點樣樣嘅.	所以就出埋哩幾套之後就應該玩完嚹.	negative_human_quantificational_clause	separate_negative_quantificational_sibling	冇人 + predicate ('nobody/no one predicates')	high	冇人 supplies a negative human quantifier or negative existential subject and the following predicate states what no person does or is.	The sources inspected do not establish this as the morphological negative of positive participant-introducing AA56; keep the asymmetry explicit.
AA56-R1-018	aa56-cf4d5769dd7717209a64	all_initial_indefinite_np_plus_predicate	FC-005a_v2.cha	97	0	有	啲	有	有啲有,有啲冇.	你嗰陣時話訂嗰啲呢,即係話有一年裏邊訂呢,噉有冇包埋你頭先講嗰幾款嗰啲?	係囖.	partitive_indefinite_subject_not_marker	exclude_from_aa56_marker_evidence	有啲 / 有啲人 as an indefinite determiner or partitive pronoun + predicate	high	Here 有啲 functions as 'some/some of them' and forms the subject nominal itself; the row does not independently establish existential-marker 有 followed by a separate NP.	HKCanCor token boundaries cannot decide grammatical segmentation; these rows are contrastive evidence against a token-only AA56 rule.
AA56-R1-019	aa56-e339c5220e1ba17edc20	wh_or_embedded_complement_control	FC-005b_v2.cha	11	3	冇	哩	係	但係而家又冇哩一樣𡃉喇,係唔係啊?	心痛嚹.	即係哩排又冇話?	negative_property_or_discourse_absence	exclude_as_property_or_discourse_profile	冇 + property/discourse nominal or proform	high	The row expresses absence of a property, change, feature, or discourse referent; any later predicate is not linked to an introduced nominal.	Negative spelling alone cannot donate positive presentational evidence.
AA56-R1-020	aa56-225f70ac899ce8844b46	explicit_subject_or_possessor_control	FC-005b_v2.cha	16	17	有	啲	炒	嗰陣時嗰啲𠻺純粹炒𡃉啫,嗰陣時嗰啲就,𠻺,我都重有啲炒嘅喺度啊.	而家-,如果而家再揾女皇頭嗰啲呢,就真係儲郵票𡃉嚹,嗰啲真係,真係儲來,即係收集返起來,即係,趁而家跌返啲價,啲人儲返一套喺度.	係咩?	aa55_possession_or_subject_have	exclude_from_aa56_and_route_to_aa55_or_subject_predication	overt subject/possessor + 有／冇 + possessed or associated nominal	high	An overt possessor, experiencer, institution, or affected subject precedes 有／冇, so the nominal is possessed, associated, or predicated of that subject rather than introduced subjectlessly.	Directly contrasts with Lam, Lau, and Lee's subjectless existential-marker analysis.
AA56-R1-021	aa56-0a928e16988466b993ff	repair_control	FC-005b_v2.cha	79	27	有	任何	唔係	而且佢哋話呢,儲成版就有保值嘅作用囖,喀,不過你唔好整花,整摺,有任何損毀嚹,如果唔係就冚唪唥冇,即係價-,冇,點啊?	唔係啊,我諗我下次都係買啲,試下買一版先得.	冇嗰個賣返出去嘅價值囖,變咗你真係永遠就自己揸住來睇𡃉咋.	bare_existential_or_listing	route_to_bare_existential_or_inventory_profile	有／冇 + nominal, without a locally NP-linked following predicate	high	The row asserts, questions, lists, or denies existence/availability of nominal material, but the mechanically located later predicate is absent, internal to the NP, or belongs to another clause.	Does not satisfy the source-linked AA56 NP-plus-predicate endpoint; positive and negative bare existence require separate typing.
AA56-R1-022	aa56-cbfebd5156da98ec2a91	all_human_plus_predicate	FC-005b_v2.cha	130	3	有	人	收購	不過都重有人收購而家.	你用得兩用嘅話,即係,轉多兩轉已經掂咗啲人氣手氣之後呢,就已經冇價值𡃉嚹.	而家只要你係女皇頭,佢就要𡃉嚹.	positive_np_predication_core	retain_as_narrow_positive_aa56_evidence	有 + overt indefinite NP + predicate whose argument is that NP	high	The overt 有 introduces an indefinite nominal and the following verbal, adjectival, copular, modal, or locative predicate is predicated of that nominal.	Supports the positive source-linked family only; it does not prove a negative 冇 counterpart or one mandatory predicate subtype.
AA56-R1-023	aa56-e9646aaaea321ad6eff0	predicate_less_initial_control	FC-005b_v2.cha	134	0	有	啲		有啲噉嘅嘢咩?	係咩?	有啊,喺,乜嘢,旺角嗰度,日日,嗰啲唔知係唔係大陸人來嘅,走落來,黏張紙喺度,有年份嗰啲𠻺特別價錢囖,冇年份嗰啲求其,好似話女皇頭兩毫子嘅,佢就四毫子一個幫你收噉.	bare_existential_or_listing	route_to_bare_existential_or_inventory_profile	有／冇 + nominal, without a locally NP-linked following predicate	high	The row asserts, questions, lists, or denies existence/availability of nominal material, but the mechanically located later predicate is absent, internal to the NP, or belongs to another clause.	Does not satisfy the source-linked AA56 NP-plus-predicate endpoint; positive and negative bare existence require separate typing.
AA56-R1-024	aa56-4337ac87972878c75d82	overt_place_domain_control	FC-005b_v2.cha	135	30	有	年份	冇	有啊,喺,乜嘢,旺角嗰度,日日,嗰啲唔知係唔係大陸人來嘅,走落來,黏張紙喺度,有年份嗰啲𠻺特別價錢囖,冇年份嗰啲求其,好似話女皇頭兩毫子嘅,佢就四毫子一個幫你收噉.	有啲噉嘅嘢咩?	你就俾一拃佢,佢咪照數俾你囖,你俾十個佢,佢俾四蚊你噉樣囖,喀,噉就佢就唔理你乜嘢年代嘞,佢收咗返去,佢自己點搞就唔理佢𡃉嚹,總言之佢就收晒你啲女皇頭嘅返去.	aa77_overt_place_existential	exclude_from_aa56_and_route_to_aa77	overt place/domain + 有／冇 + nominal	high	The clause contains an overt local place or domain before 有／冇 and asserts existence or absence within that domain.	AA77 owns the overt-place relation; no silent deletion of the place is permitted.
AA56-R1-025	aa56-a70463ef7bbc0923ee2f	explicit_subject_or_possessor_control	FC-009b_v.cha	4	3	有	問題	覺得	我都應該有問題嘅,覺得自己.	喀.	跟住後來呢我就停咗啊直程.	aa55_possession_or_subject_have	exclude_from_aa56_and_route_to_aa55_or_subject_predication	overt subject/possessor + 有／冇 + possessed or associated nominal	high	An overt possessor, experiencer, institution, or affected subject precedes 有／冇, so the nominal is possessed, associated, or predicated of that subject rather than introduced subjectlessly.	Directly contrasts with Lam, Lau, and Lee's subjectless existential-marker analysis.
AA56-R1-026	aa56-ad30a30fbdfde7bcb279	all_human_plus_predicate	FC-009b_v.cha	14	4	有	人	幫	跟住後來呢就有人幫我,誒,整嗰啲嘢囖.	喀.	跟住後來我直程行唔到嘍.	positive_np_predication_core	retain_as_narrow_positive_aa56_evidence	有 + overt indefinite NP + predicate whose argument is that NP	high	The overt 有 introduces an indefinite nominal and the following verbal, adjectival, copular, modal, or locative predicate is predicated of that nominal.	Supports the positive source-linked family only; it does not prove a negative 冇 counterpart or one mandatory predicate subtype.
AA56-R1-027	aa56-a8b0b8dbccd30fe9a50e	all_initial_indefinite_np_plus_predicate	FC-009b_v.cha	16	0	有	個	孭	有個男仔孭我走喇.	跟住後來我直程行唔到嘍.	吓?	positive_np_predication_core	retain_as_narrow_positive_aa56_evidence	有 + overt indefinite NP + predicate whose argument is that NP	high	The overt 有 introduces an indefinite nominal and the following verbal, adjectival, copular, modal, or locative predicate is predicated of that nominal.	Supports the positive source-linked family only; it does not prove a negative 冇 counterpart or one mandatory predicate subtype.
AA56-R1-028	aa56-992030eb1058add17b86	repair_control	FC-009b_v.cha	30	3	冇	我	包	噉我就冇-我包咗-包紮咗幾次,就冇去到囖.	嗯.	係.	repair_or_unusable	exclude_from_productive_evidence	retain overt repair tokens; assign no normalized AA56 span	high	A false start, repetition, truncation, or restart prevents one stable overt construction span from being assigned safely.	The underlying continuation may be grammatical, but repaired corpus material cannot establish the productive boundary by itself.
AA56-R1-029	aa56-38c7b88e948150cefa68	post_np_locative_coda_control	FC-009b_v.cha	72	1	有	個	講	咪有個tearing喺你個ligament上邊嘅,嗰度噉講喇.	噉跟住佢話,即係佢係噉講過啲乜嘢英文乜嘢-乜嘢-乜嘢有個tearing.	乜嘢叫做tearing啊?	positive_np_predication_core	retain_as_narrow_positive_aa56_evidence	有 + overt indefinite NP + predicate whose argument is that NP	high	Subjectless 有 introduces 個 tearing and the following 喺你個 ligament 上邊 supplies a locative predicate of that introduced nominal.	Supports the positive source-linked family only; it does not prove a negative 冇 counterpart or one mandatory predicate subtype.
AA56-R1-030	aa56-ac82cedaa9fb53248217	wh_or_embedded_complement_control	FC-009b_v.cha	82	7	冇	乜	跑	噉我由中五開始就冇乜跑過囖.	嗯.	哦.	event_negation_or_minimizer	exclude_as_clausal_event_negation	subject/context + 冇乜/冇 + event predicate	high	The visible material minimizes or negates an event/frequency profile, not existence of an introduced NP.	Law's clausal 冇 boundary and the overt event predicate prevent a token-only existential analysis.
AA56-R1-031	aa56-65ddd1ceb909378b75fd	wh_or_embedded_complement_control	FC-011_v.cha	16	1	冇	乜	咋	其實冇乜福利𡃉咋喎.	福利?	係?	negative_existential_or_availability_complement	separate_negative_existential_or_availability_profile	冇 + nominal + activity/availability complement	high	The clause denies available things, food, work, or analogous nominal material and may license a following activity complement, rather than introducing a participant for predication.	Related existential semantics do not prove identity with positive presentational AA56.
AA56-R1-032	aa56-0ef7f04d6d3fb9a35d40	repair_control	FC-011_v.cha	48	11	冇	乜		噉都-賺咗好多個月錢吖,冇乜所謂吖.	係啊.	都抵𠸏.	lexicalized_or_fixed_expression	exclude_or_lexically_quarantine	fixed 有／冇 expression	high	The matched sequence is a conventional modal, reason, discourse, or evaluative expression whose meaning and syntax are not a productive introduced-NP predication.	Requires lexical or construction-specific handling before parser promotion.
AA56-R1-033	aa56-e2e55d23fe5c2a95463f	explicit_subject_or_possessor_control	FC-011_v.cha	76	12	有	啲	做	噉,誒,係嘞,噉,誒,我哋有啲乜嘢做呢?	係喇.	喀.	aa55_possession_or_subject_have	exclude_from_aa56_and_route_to_aa55_or_subject_predication	overt subject/possessor + 有／冇 + possessed or associated nominal	high	An overt possessor, experiencer, institution, or affected subject precedes 有／冇, so the nominal is possessed, associated, or predicated of that subject rather than introduced subjectlessly.	Directly contrasts with Lam, Lau, and Lee's subjectless existential-marker analysis.
AA56-R1-034	aa56-f09e9b7c3d9d0312fbfb	post_np_locative_coda_control	FC-011_v.cha	88	13	有	啲	擺	即係,誒,喺啲銀行呢,你咪見到有啲機呢,擺咗喺度俾人撳撳撳來問嘢𠸏.	kiosk啊.	交錢嗰啲?	positive_np_predication_core	retain_as_narrow_positive_aa56_evidence	有 + overt indefinite NP + predicate whose argument is that NP	high	有 introduces 啲機 and 擺咗喺度 predicates a resulting location of those machines; the locative predicate is one subtype of the general source pattern.	Supports the positive source-linked family only; it does not prove a negative 冇 counterpart or one mandatory predicate subtype.
AA56-R1-035	aa56-425ece703bcc9a0b848a	all_initial_indefinite_np_plus_predicate	FC-012_v.cha	20	0	有	個	有	有個冷-有個冷氣掣俾佢𠺢嗎.	夜晚先開𠺢嗎.	你都唔-都唔愛錫啲生物𠸏.	repair_or_unusable	exclude_from_productive_evidence	retain overt repair tokens; assign no normalized AA56 span	high	A false start, repetition, truncation, or restart prevents one stable overt construction span from being assigned safely.	The underlying continuation may be grammatical, but repaired corpus material cannot establish the productive boundary by itself.
AA56-R1-036	aa56-df51b464d8646966de8c	repair_control	FC-012_v.cha	20	4	有	個	俾	有個冷-有個冷氣掣俾佢𠺢嗎.	夜晚先開𠺢嗎.	你都唔-都唔愛錫啲生物𠸏.	ambiguous_boundary	quarantine_pending_independent_evidence	preserve the overt 有／冇 and nominal material without forcing a construction span	medium	Context permits more than one analysis, including bare existence, possession, ellipsis, object complementation, topic structure, or disfluent predication.	No hidden subject, predicate, place, or argument may be inserted to resolve the ambiguity.
AA56-R1-037	aa56-8dbf6365615353248c51	post_np_locative_coda_control	FC-012_v.cha	56	1	有	狗		帶有狗嘅味同埋毛啊喺件褸上邊啊.	人着褸啊.	點解入埋衣櫃度𠸏?	lexical_compound_false_positive	exclude_as_lexical_compound	lexical 帶有 + complement	high	The character 有 is part of lexical 帶有 'contain/bear', not an independent existential or possessive marker.	Shared orthography and corpus tokenization cannot donate AA56 evidence.
AA56-R1-038	aa56-ce4154a2d954e1090187	explicit_subject_or_possessor_control	FC-012_v.cha	59	12	有	狗毛		點解你隻狗會整到你-你件褸有狗毛?	喺衣櫃裏邊取暖.	唔係啊.	aa55_possession_or_subject_have	exclude_from_aa56_and_route_to_aa55_or_subject_predication	overt subject/possessor + 有／冇 + possessed or associated nominal	high	An overt possessor, experiencer, institution, or affected subject precedes 有／冇, so the nominal is possessed, associated, or predicated of that subject rather than introduced subjectlessly.	Directly contrasts with Lam, Lau, and Lee's subjectless existential-marker analysis.
AA56-R1-039	aa56-5714e8af63e64f4d93be	wh_or_embedded_complement_control	FC-012_v.cha	67	10	有	啲		噉但係會唔會食食下飯發覺有啲狗毛嗰啲?	慣咗嗱?	會𡃉.	bare_existential_or_listing	route_to_bare_existential_or_inventory_profile	有／冇 + nominal, without a locally NP-linked following predicate	high	The row asserts, questions, lists, or denies existence/availability of nominal material, but the mechanically located later predicate is absent, internal to the NP, or belongs to another clause.	Does not satisfy the source-linked AA56 NP-plus-predicate endpoint; positive and negative bare existence require separate typing.
AA56-R1-040	aa56-48332345f9496e98feff	predicate_less_initial_control	FC-012_v.cha	69	0	有	可能		有可能𡃉.	會𡃉.	哎吔.	lexicalized_or_fixed_expression	exclude_or_lexically_quarantine	fixed 有／冇 expression	high	The matched sequence is a conventional modal, reason, discourse, or evaluative expression whose meaning and syntax are not a productive introduced-NP predication.	Requires lexical or construction-specific handling before parser promotion.
AA56-R1-041	aa56-38c5935b9616c52fc44f	all_initial_indefinite_np_plus_predicate	FC-012_v.cha	101	0	有	個	拖	有個人呢,拖住條曲-拖住隻曲架狗周街走呢,好過癮.	好過癮𡃉,我覺得曲架.	噉跟住有又有一隻呢好似芝娃娃定乜鬼啊,好細隻冇毛嗰啲呢.	positive_np_predication_core	retain_as_narrow_positive_aa56_evidence	有 + overt indefinite NP + predicate whose argument is that NP	high	The overt 有 introduces an indefinite nominal and the following verbal, adjectival, copular, modal, or locative predicate is predicated of that nominal.	Supports the positive source-linked family only; it does not prove a negative 冇 counterpart or one mandatory predicate subtype.
AA56-R1-042	aa56-2eca8be08ca610d0248f	all_human_plus_predicate	FC-012_v.cha	426	7	有	人	傾電話	你O.T.到八,九點重有人傾電話先?	企喺度聽電話囖,企喺度對住部電腦囖.	同屋企人或者朋友傾電話嗰啲唔係公事吖.	positive_np_predication_core	retain_as_narrow_positive_aa56_evidence	有 + overt indefinite NP + predicate whose argument is that NP	high	The overt 有 introduces an indefinite nominal and the following verbal, adjectival, copular, modal, or locative predicate is predicated of that nominal.	Supports the positive source-linked family only; it does not prove a negative 冇 counterpart or one mandatory predicate subtype.
AA56-R1-043	aa56-1762144bc0b85cf9ab4e	explicit_subject_or_possessor_control	FC-013_v.cha	5	4	有	個		十-佢係有個rules𠺢嗎.	梗係分開兩個禮拜.	唔可以一次過放三十日㗎?	aa55_possession_or_subject_have	exclude_from_aa56_and_route_to_aa55_or_subject_predication	overt subject/possessor + 有／冇 + possessed or associated nominal	high	An overt possessor, experiencer, institution, or affected subject precedes 有／冇, so the nominal is possessed, associated, or predicated of that subject rather than introduced subjectlessly.	Directly contrasts with Lam, Lau, and Lee's subjectless existential-marker analysis.
AA56-R1-044	aa56-ab7b908fab3a305ccd4b	all_initial_indefinite_np_plus_predicate	FC-013_v.cha	32	0	有	個	咬	有個BB啊隻腳俾蚊咬咗好大粒啊.	哎吔.	你見唔見到啊?	positive_topic_chain_extended	quarantine_as_extended_discourse_profile	有 + introduced NP + following topic/possessor chain	medium	有個 BB introduces a participant, but the following overt subject is 隻腳 and the passive predicate applies to that possessed body part.	Compatible with broader discourse presentation, but not sufficient to widen the narrow NP-predicate identity automatically.
AA56-R1-045	aa56-41840c6f372dcf18ec2d	wh_or_embedded_complement_control	FC-013_v.cha	86	4	有	乜嘢		你去日本重有乜嘢啊?	梗係睇櫻花喇.	ei1重有乜嘢北海道滑雪呀,啲人走去.	aa77_overt_place_existential	exclude_from_aa56_and_route_to_aa77	overt place/domain + 有／冇 + nominal	high	The clause contains an overt local place or domain before 有／冇 and asserts existence or absence within that domain.	AA77 owns the overt-place relation; no silent deletion of the place is permitted.
AA56-R1-046	aa56-b976606f4938cccf0e32	repair_control	FC-013_v.cha	131	6	有	蚊		佢就話-誒,有蚊啊.	噉即係幾多錢唧?	隻手吖,死喇,咬到噉.	bare_existential_or_listing	route_to_bare_existential_or_inventory_profile	有／冇 + nominal, without a locally NP-linked following predicate	high	The row asserts, questions, lists, or denies existence/availability of nominal material, but the mechanically located later predicate is absent, internal to the NP, or belongs to another clause.	Does not satisfy the source-linked AA56 NP-plus-predicate endpoint; positive and negative bare existence require separate typing.
AA56-R1-047	aa56-3b0d9c3d028d01cff65b	wh_or_embedded_complement_control	FC-018_v.cha	1	6	有	乜嘢	得意	今次你返桂林呢,有乜嘢得意嘅事發生啊?	你,誒,哩個旅行嘅經歷吖.	噉樣講法呀?	existential_interrogative_or_complement	separate_existential_complement_profile	matrix or embedded existential/wh complement, not a simple asserted participant introduction	medium	The wh existential asks whether an event-denoting nominal exists and includes 發生, but interrogative force and internal modification make it a boundary rather than a plain asserted AA56 example.	May share existential semantics, but question force and embedding must remain overt rather than donated to AA56.
