packet_id	selection_strata	candidate_id	source_file	source_file_sha256	turn_index_zero_based	token_index_zero_based	participant	matched_form	utterance_initial_lexical	preceding_lexical_token_count	nominal_start_form	nominal_start_hkcancor_pos	nominal_start_ud_pos	has_later_predicate_candidate	later_predicate_form	later_predicate_ud_pos	later_predicate_token_index_zero_based	immediate_left_form	immediate_left_ud_pos	text	previous_text	next_text	expert_class	profile_disposition	span_recommendation	decision_confidence	decision_reason	source_limit_or_note
AA56-R1-011	wh_or_embedded_complement_control	aa56-74900adeaf33c3ab6097	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	17	32	XXA	冇	False	26	乜	r	PRON	True	冇	VERB	37	都	ADV	噉兼夾呢,女,即係,炒女皇郵票嗰陣時又已經炒到七七八八𡃉嘞,而家淨得哩啲,好似雀仔哩啲噉嘅嘢,都冇乜特色,又冇乜嘢特別意思噉樣,好似呃錢噉樣,噉𠻺啲人,就冇乜人嚹,即係,冇咁,冇咁搶得咁犀利囖.	噉就,誒,而且佢又有好多預早訂晒喇,噉嚹啲人就唔使,唔使去排囖.	而且又,以前𠻺少呢,你就,誒,需求多.						
AA56-R1-012	all_human_plus_predicate;inherited_aa77_sibling_anchor	aa56-36a460907b04e6b4643a	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	19	7	XXA	冇	False	6	人	n	NOUN	True	需求	VERB	9	,	X	而家根本係人都咯,冇人需求嘅時候呢,𠻺根本就炒唔起.	而且又,以前𠻺少呢,你就,誒,需求多.	你揸咗喺手嗰啲咪盞,唉,睇下點樣樣,幾時甩得身就甩,甩唔到身就真係過渡九七.						
AA56-R1-013	repair_control	aa56-0258ddc2331e04c7c37e	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	32	36	XXA	冇	False	29	噉	r	PRON	False				都	ADV	即係靚啲喇,即係你起碼連埋套郵票,噉𠻺好-好睇,噉樣樣囖,喀,就唔使淨係得四個郵票,噉𠻺乜都冇噉.	收藏.	最後,誒,睇下先,九七年七月一號之前呢,最後嗰一套話,誒,都係重係英女皇頭嗰個呢,係唔係有青馬大橋嗰啲𡃉?						
AA56-R1-014	predicate_less_initial_control	aa56-1b03b3d64219565f0e18	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	60	0	XXA	有	True	0	啲	q	NOUN	False						有啲乜嘢,百週年乜嘢郵局,乜嘢百週年啊.	譬如之前係有啲乜嘢啊?	噉有啲呢,就係奧運會啊好似係奧運會啊.						
AA56-R1-015	all_human_plus_predicate;all_initial_indefinite_np_plus_predicate	aa56-f60c84b5da39f66de619	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	91	0	XXA	冇	True	0	人	n	NOUN	True	提	VERB	2			冇人提過嗰個嘢係點嘅樣𡃉.	咦,會唔會出特區旗啊,特區花啊,嗰啲噉嘅嘢呢?	只係話有一-,會出有一套回歸嘅郵票同埋小全章,𠻺首日封,即係乜都出齊,噉樣喇.						
AA56-R1-016	all_human_plus_predicate;inherited_aa77_sibling_anchor	aa56-fbbbc9206ae3a14c3951	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	93	5	XXA	冇	False	4	人	n	NOUN	True	講	VERB	7	從來	ADV	但係呢就,從來冇人講過嗰套嘢嘅樣係點樣樣嘅.	只係話有一-,會出有一套回歸嘅郵票同埋小全章,𠻺首日封,即係乜都出齊,噉樣喇.	即係乜嘢作-,即係嗰啲構思啊,即係邊個係設計啊,以乜嘢為主題啊,點樣樣,冚唪唥全部冇人講過,所以個個好似懵查查啊,好似斷估噉𡃉咋.						
AA56-R1-017	all_human_plus_predicate;inherited_aa77_sibling_anchor	aa56-d696aa0417ed55e8aca0	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	94	27	XXA	冇	False	21	人	n	NOUN	True	講	VERB	29	全部	NUM	即係乜嘢作-,即係嗰啲構思啊,即係邊個係設計啊,以乜嘢為主題啊,點樣樣,冚唪唥全部冇人講過,所以個個好似懵查查啊,好似斷估噉𡃉咋.	但係呢就,從來冇人講過嗰套嘢嘅樣係點樣樣嘅.	所以就出埋哩幾套之後就應該玩完嚹.						
AA56-R1-018	all_initial_indefinite_np_plus_predicate	aa56-cf4d5769dd7717209a64	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	97	0	XXA	有	True	0	啲	q	NOUN	True	有	VERB	2			有啲有,有啲冇.	你嗰陣時話訂嗰啲呢,即係話有一年裏邊訂呢,噉有冇包埋你頭先講嗰幾款嗰啲?	係囖.						
AA56-R1-019	wh_or_embedded_complement_control	aa56-e339c5220e1ba17edc20	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	11	3	XXB	冇	False	3	哩	r	PRON	True	係	VERB	10	又	ADV	但係而家又冇哩一樣𡃉喇,係唔係啊?	心痛嚹.	即係哩排又冇話?						
AA56-R1-020	explicit_subject_or_possessor_control	aa56-225f70ac899ce8844b46	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	16	17	XXA	有	False	14	啲	q	NOUN	True	炒	VERB	19	重	ADV	嗰陣時嗰啲𠻺純粹炒𡃉啫,嗰陣時嗰啲就,𠻺,我都重有啲炒嘅喺度啊.	而家-,如果而家再揾女皇頭嗰啲呢,就真係儲郵票𡃉嚹,嗰啲真係,真係儲來,即係收集返起來,即係,趁而家跌返啲價,啲人儲返一套喺度.	係咩?						
AA56-R1-021	repair_control	aa56-0a928e16988466b993ff	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	79	27	XXA	有	False	22	任何	r	PRON	True	唔係	VERB	33	,	X	而且佢哋話呢,儲成版就有保值嘅作用囖,喀,不過你唔好整花,整摺,有任何損毀嚹,如果唔係就冚唪唥冇,即係價-,冇,點啊?	唔係啊,我諗我下次都係買啲,試下買一版先得.	冇嗰個賣返出去嘅價值囖,變咗你真係永遠就自己揸住來睇𡃉咋.						
AA56-R1-022	all_human_plus_predicate	aa56-cbfebd5156da98ec2a91	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	130	3	XXA	有	False	3	人	n	NOUN	True	收購	VERB	5	重	ADV	不過都重有人收購而家.	你用得兩用嘅話,即係,轉多兩轉已經掂咗啲人氣手氣之後呢,就已經冇價值𡃉嚹.	而家只要你係女皇頭,佢就要𡃉嚹.						
AA56-R1-023	predicate_less_initial_control	aa56-e9646aaaea321ad6eff0	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	134	0	XXB	有	True	0	啲	q	NOUN	False						有啲噉嘅嘢咩?	係咩?	有啊,喺,乜嘢,旺角嗰度,日日,嗰啲唔知係唔係大陸人來嘅,走落來,黏張紙喺度,有年份嗰啲𠻺特別價錢囖,冇年份嗰啲求其,好似話女皇頭兩毫子嘅,佢就四毫子一個幫你收噉.						
AA56-R1-024	overt_place_domain_control	aa56-4337ac87972878c75d82	FC-005b_v2.cha	91e91321966b1ff126280a045553c91ec40d0f45daf3beba4fe5e84a7181f868	135	30	XXA	有	False	22	年份	n	NOUN	True	冇	VERB	38	,	X	有啊,喺,乜嘢,旺角嗰度,日日,嗰啲唔知係唔係大陸人來嘅,走落來,黏張紙喺度,有年份嗰啲𠻺特別價錢囖,冇年份嗰啲求其,好似話女皇頭兩毫子嘅,佢就四毫子一個幫你收噉.	有啲噉嘅嘢咩?	你就俾一拃佢,佢咪照數俾你囖,你俾十個佢,佢俾四蚊你噉樣囖,喀,噉就佢就唔理你乜嘢年代嘞,佢收咗返去,佢自己點搞就唔理佢𡃉嚹,總言之佢就收晒你啲女皇頭嘅返去.						
AA56-R1-025	explicit_subject_or_possessor_control	aa56-a70463ef7bbc0923ee2f	FC-009b_v.cha	c9bfd5c37661f770dd4d42712f8484fdeb720eafc25e363ec3779da6aa48cdf5	4	3	XXA	有	False	3	問題	n	NOUN	True	覺得	VERB	7	應該	AUX	我都應該有問題嘅,覺得自己.	喀.	跟住後來呢我就停咗啊直程.						
AA56-R1-026	all_human_plus_predicate	aa56-ad30a30fbdfde7bcb279	FC-009b_v.cha	c9bfd5c37661f770dd4d42712f8484fdeb720eafc25e363ec3779da6aa48cdf5	14	4	XXA	有	False	4	人	n	NOUN	True	幫	VERB	6	就	ADV	跟住後來呢就有人幫我,誒,整嗰啲嘢囖.	喀.	跟住後來我直程行唔到嘍.						
AA56-R1-027	all_initial_indefinite_np_plus_predicate	aa56-a8b0b8dbccd30fe9a50e	FC-009b_v.cha	c9bfd5c37661f770dd4d42712f8484fdeb720eafc25e363ec3779da6aa48cdf5	16	0	XXA	有	True	0	個	q	NOUN	True	孭	VERB	3			有個男仔孭我走喇.	跟住後來我直程行唔到嘍.	吓?						
AA56-R1-028	repair_control	aa56-992030eb1058add17b86	FC-009b_v.cha	c9bfd5c37661f770dd4d42712f8484fdeb720eafc25e363ec3779da6aa48cdf5	30	3	XXA	冇	False	3	我	r	PRON	True	包	VERB	6	就	ADV	噉我就冇-我包咗-包紮咗幾次,就冇去到囖.	嗯.	係.						
AA56-R1-029	post_np_locative_coda_control	aa56-38c7b88e948150cefa68	FC-009b_v.cha	c9bfd5c37661f770dd4d42712f8484fdeb720eafc25e363ec3779da6aa48cdf5	72	1	XXA	有	False	1	個	q	NOUN	True	講	VERB	13	咪	ADV	咪有個tearing喺你個ligament上邊嘅,嗰度噉講喇.	噉跟住佢話,即係佢係噉講過啲乜嘢英文乜嘢-乜嘢-乜嘢有個tearing.	乜嘢叫做tearing啊?						
AA56-R1-030	wh_or_embedded_complement_control	aa56-ac82cedaa9fb53248217	FC-009b_v.cha	c9bfd5c37661f770dd4d42712f8484fdeb720eafc25e363ec3779da6aa48cdf5	82	7	XXA	冇	False	7	乜	r	PRON	True	跑	VERB	9	就	ADV	噉我由中五開始就冇乜跑過囖.	嗯.	哦.						
AA56-R1-031	wh_or_embedded_complement_control	aa56-65ddd1ceb909378b75fd	FC-011_v.cha	8aee56f612436ff9ddb299b1d3e7f7b0c468ddc79ad7e25f6b2da7277d8d1866	16	1	XXA	冇	False	1	乜	r	PRON	True	咋	VERB	5	其實	ADV	其實冇乜福利𡃉咋喎.	福利?	係?						
AA56-R1-032	repair_control	aa56-0ef7f04d6d3fb9a35d40	FC-011_v.cha	8aee56f612436ff9ddb299b1d3e7f7b0c468ddc79ad7e25f6b2da7277d8d1866	48	11	XXB	冇	False	9	乜	r	PRON	False				,	X	噉都-賺咗好多個月錢吖,冇乜所謂吖.	係啊.	都抵𠸏.						
AA56-R1-033	explicit_subject_or_possessor_control	aa56-e2e55d23fe5c2a95463f	FC-011_v.cha	8aee56f612436ff9ddb299b1d3e7f7b0c468ddc79ad7e25f6b2da7277d8d1866	76	12	XXB	有	False	7	啲	q	NOUN	True	做	VERB	15	我哋	PRON	噉,誒,係嘞,噉,誒,我哋有啲乜嘢做呢?	係喇.	喀.						
AA56-R1-034	post_np_locative_coda_control	aa56-f09e9b7c3d9d0312fbfb	FC-011_v.cha	8aee56f612436ff9ddb299b1d3e7f7b0c468ddc79ad7e25f6b2da7277d8d1866	88	13	XXB	有	False	10	啲	q	NOUN	True	擺	VERB	18	到	PART	即係,誒,喺啲銀行呢,你咪見到有啲機呢,擺咗喺度俾人撳撳撳來問嘢𠸏.	kiosk啊.	交錢嗰啲?						
AA56-R1-035	all_initial_indefinite_np_plus_predicate	aa56-425ece703bcc9a0b848a	FC-012_v.cha	f20df16972d89c85f64e6be62b97a17f09b1a4e67639833ff27f1610b3bd277a	20	0	XXA	有	True	0	個	q	NOUN	True	有	VERB	4			有個冷-有個冷氣掣俾佢𠺢嗎.	夜晚先開𠺢嗎.	你都唔-都唔愛錫啲生物𠸏.						
AA56-R1-036	repair_control	aa56-df51b464d8646966de8c	FC-012_v.cha	f20df16972d89c85f64e6be62b97a17f09b1a4e67639833ff27f1610b3bd277a	20	4	XXA	有	False	3	個	q	NOUN	True	俾	VERB	8	-	X	有個冷-有個冷氣掣俾佢𠺢嗎.	夜晚先開𠺢嗎.	你都唔-都唔愛錫啲生物𠸏.						
AA56-R1-037	post_np_locative_coda_control	aa56-8dbf6365615353248c51	FC-012_v.cha	f20df16972d89c85f64e6be62b97a17f09b1a4e67639833ff27f1610b3bd277a	56	1	XXC	有	False	1	狗	n	NOUN	False				帶	VERB	帶有狗嘅味同埋毛啊喺件褸上邊啊.	人着褸啊.	點解入埋衣櫃度𠸏?						
AA56-R1-038	explicit_subject_or_possessor_control	aa56-ce4154a2d954e1090187	FC-012_v.cha	f20df16972d89c85f64e6be62b97a17f09b1a4e67639833ff27f1610b3bd277a	59	12	XXA	有	False	11	狗毛	n	NOUN	False				褸	NOUN	點解你隻狗會整到你-你件褸有狗毛?	喺衣櫃裏邊取暖.	唔係啊.						
AA56-R1-039	wh_or_embedded_complement_control	aa56-5714e8af63e64f4d93be	FC-012_v.cha	f20df16972d89c85f64e6be62b97a17f09b1a4e67639833ff27f1610b3bd277a	67	10	XXA	有	False	10	啲	q	NOUN	False				發覺	VERB	噉但係會唔會食食下飯發覺有啲狗毛嗰啲?	慣咗嗱?	會𡃉.						
AA56-R1-040	predicate_less_initial_control	aa56-48332345f9496e98feff	FC-012_v.cha	f20df16972d89c85f64e6be62b97a17f09b1a4e67639833ff27f1610b3bd277a	69	0	XXB	有	True	0	可能	vn	NOUN	False						有可能𡃉.	會𡃉.	哎吔.						
AA56-R1-041	all_initial_indefinite_np_plus_predicate	aa56-38c5935b9616c52fc44f	FC-012_v.cha	f20df16972d89c85f64e6be62b97a17f09b1a4e67639833ff27f1610b3bd277a	101	0	XXA	有	True	0	個	q	NOUN	True	拖	VERB	5			有個人呢,拖住條曲-拖住隻曲架狗周街走呢,好過癮.	好過癮𡃉,我覺得曲架.	噉跟住有又有一隻呢好似芝娃娃定乜鬼啊,好細隻冇毛嗰啲呢.						
AA56-R1-042	all_human_plus_predicate	aa56-2eca8be08ca610d0248f	FC-012_v.cha	f20df16972d89c85f64e6be62b97a17f09b1a4e67639833ff27f1610b3bd277a	426	7	XXC	有	False	6	人	n	NOUN	True	傾電話	VERB	9	重	ADV	你O.T.到八,九點重有人傾電話先?	企喺度聽電話囖,企喺度對住部電腦囖.	同屋企人或者朋友傾電話嗰啲唔係公事吖.						
AA56-R1-043	explicit_subject_or_possessor_control	aa56-1762144bc0b85cf9ab4e	FC-013_v.cha	2cf5054351ef94e796f07577f24d4a0b66f4ca79b26047ae046600d3988d223b	5	4	XXA	有	False	3	個	q	NOUN	False				係	VERB	十-佢係有個rules𠺢嗎.	梗係分開兩個禮拜.	唔可以一次過放三十日㗎?						
AA56-R1-044	all_initial_indefinite_np_plus_predicate	aa56-ab7b908fab3a305ccd4b	FC-013_v.cha	2cf5054351ef94e796f07577f24d4a0b66f4ca79b26047ae046600d3988d223b	32	0	XXB	有	True	0	個	q	NOUN	True	咬	VERB	8			有個BB啊隻腳俾蚊咬咗好大粒啊.	哎吔.	你見唔見到啊?						
AA56-R1-045	wh_or_embedded_complement_control	aa56-41840c6f372dcf18ec2d	FC-013_v.cha	2cf5054351ef94e796f07577f24d4a0b66f4ca79b26047ae046600d3988d223b	86	4	XXB	有	False	4	乜嘢	r	PRON	False				重	ADV	你去日本重有乜嘢啊?	梗係睇櫻花喇.	ei1重有乜嘢北海道滑雪呀,啲人走去.						
AA56-R1-046	repair_control	aa56-b976606f4938cccf0e32	FC-013_v.cha	2cf5054351ef94e796f07577f24d4a0b66f4ca79b26047ae046600d3988d223b	131	6	XXB	有	False	4	蚊	n	NOUN	False				,	X	佢就話-誒,有蚊啊.	噉即係幾多錢唧?	隻手吖,死喇,咬到噉.						
AA56-R1-047	wh_or_embedded_complement_control	aa56-3b0d9c3d028d01cff65b	FC-018_v.cha	ce62da97ef3381682529717fc362546c42a4f3a268990ca0afafe1a9f696d010	1	6	XXC	有	False	5	乜嘢	r	PRON	True	得意	ADJ	8	,	X	今次你返桂林呢,有乜嘢得意嘅事發生啊?	你,誒,哩個旅行嘅經歷吖.	噉樣講法呀?						
AA56-R1-048	all_initial_indefinite_np_plus_predicate	aa56-45ff05abb06a20672ec9	FC-018_v.cha	ce62da97ef3381682529717fc362546c42a4f3a268990ca0afafe1a9f696d010	22	0	XXM	有	True	0	種	q	NOUN	True	清涼	ADJ	3			有種即係清涼個感覺.	係啊.	係咩?						
AA56-R1-049	overt_place_domain_control	aa56-136bd24a79d10cdd3654	FC-018_v.cha	ce62da97ef3381682529717fc362546c42a4f3a268990ca0afafe1a9f696d010	33	21	XXM	有	False	18	外國	n	NOUN	False				,	X	噉啲風景都好靚,有好多嗰啲國內嘅旅遊客啊,有啲香港遊客啊,有外國遊客啊噉樣囖.	哦.	嗯.						
AA56-R1-050	repair_control	aa56-4f170f3c88d4d1f49f46	FC-018_v.cha	ce62da97ef3381682529717fc362546c42a4f3a268990ca0afafe1a9f696d010	52	1	XXM	有	False	1	香港	ns	PROPN	True	放假	VERB	6	邊	PRON	邊有-香港都未曾放假喇.	通-嗰陣時啊冚唪唥都退休人士吖.	啲人都未放假喇,啲學生-後生仔.						
AA56-R1-051	post_np_locative_coda_control	aa56-3356d66b7cfa567a4003	FC-018_v.cha	ce62da97ef3381682529717fc362546c42a4f3a268990ca0afafe1a9f696d010	146	4	XXC	冇	False	3	嗰啲	r	PRON	True	喺度	VERB	7	周圍	ADV	哦,即係周圍冇嗰啲橫額喺度呀?	都唔覺得好熱鬧啊.	"橫額就冇,淨係有少少,誒,即係嗰啲國旗啊,誒,特區個徽章啊,誒,""熱烈慶祝回歸""噉樣喇,係噉寫哩啲噉嘅嘢囖."						
AA56-R1-052	predicate_less_initial_control	aa56-1602ac8136e832ad8e6a	FC-018_v.cha	ce62da97ef3381682529717fc362546c42a4f3a268990ca0afafe1a9f696d010	158	0	XXM	冇	True	0	乜	r	PRON	False						冇乜特別.	即係冇乜特別,返到去.	哦.						
AA56-R1-053	explicit_subject_or_possessor_control	aa56-dd51e90320484c7b0591	FC-019_v.cha	81f02ee58db18cfc44dc76b96c0955b23acdfdc8be83e05a01b28d1667d4d264	73	9	XXJ	冇	False	6	一	m	NUM	True	特定	ADJ	15	又	ADV	"即係我""""其實,我心目中又冇一個,即係,特定嘅,即係style噉樣喇."	嗯.	但係我去到嘅時候我唔知剪短,噉佢會問你想點樣剪短喇.						
AA56-R1-054	wh_or_embedded_complement_control	aa56-4aae0650786a4293a193	FC-019_v.cha	81f02ee58db18cfc44dc76b96c0955b23acdfdc8be83e05a01b28d1667d4d264	85	12	XXC	冇	False	10	乜	r	PRON	False				即係	CCONJ	即係但係如果長呢-我覺得都係,即係冇乜變化啊.	係囖,係囖,係囖.	冇乜變化.						
AA56-R1-055	predicate_less_initial_control	aa56-3b11966d0b09ada82ea8	FC-019_v.cha	81f02ee58db18cfc44dc76b96c0955b23acdfdc8be83e05a01b28d1667d4d264	86	0	XXJ	冇	True	0	乜	r	PRON	False						冇乜變化.	即係但係如果長呢-我覺得都係,即係冇乜變化啊.	係嘞,係嘞,係嘞.						
AA56-R1-056	repair_control	aa56-5fc30c10624325ab69eb	FC-019_v.cha	81f02ee58db18cfc44dc76b96c0955b23acdfdc8be83e05a01b28d1667d4d264	111	13	XXJ	有	False	11	劉海	n	NOUN	True	剪	VERB	18	係	VERB	哎,我以前試過剪碎陰啊,但係係有-劉海噉樣嘅剪碎蔭,重好肉酸囖.	喀,喀喀喀.	更加細個啊個樣.						
AA56-R1-057	overt_place_domain_control	aa56-415a410addf0795ed783	FC-020_v.cha	6ec07be8de5bf5784dc1c6dba433bfb4eda92663c929a3e67c02103e0c8f0bf7	43	13	XXA	有	False	10	消息	n	NOUN	False				係	VERB	"""噉樣,佢話""你其他啲學校都重係有消息噉𠺢嗎."	做住一年先都好喇.	"""噉我咪話,""噉呀?"						
AA56-R1-058	repair_control	aa56-c58b868261d095501b07	FC-020_v.cha	6ec07be8de5bf5784dc1c6dba433bfb4eda92663c929a3e67c02103e0c8f0bf7	56	25	XXA	有	False	21	機會	n	NOUN	True	揾	VERB	27	會	AUX	"跟住我話""誒,啊!但係你嘅資料就會即係留低喇,噉睇下第日會唔會有機會揾你讀-揾你幫手噉樣."	喀,喀,喀.	嗯.						
AA56-R1-059	wh_or_embedded_complement_control	aa56-e3effad208429fa00a76	FC-020_v.cha	6ec07be8de5bf5784dc1c6dba433bfb4eda92663c929a3e67c02103e0c8f0bf7	101	9	XXB	有	False	7	乜	r	PRON	True	揾	VERB	12	係	VERB	噉呢,都係-即係都係有乜就揾乜噉樣喇.	哦.	喀,喀,喀,喀.						
AA56-R1-060	explicit_subject_or_possessor_control	aa56-9d25bb4fd794d1f5382b	FC-020_v.cha	6ec07be8de5bf5784dc1c6dba433bfb4eda92663c929a3e67c02103e0c8f0bf7	116	5	XXB	冇	False	4	乜	r	PRON	True	冇	VERB	12	都	ADV	噉,即係我都冇乜,ei1,我都冇乜啲-即係乜嘢目標噉-噉樣揾嘅,即係揾到乜嘢就揾乜嘢喇.	喀,喀,喀.	喀.						
AA56-R1-061	all_human_plus_predicate	aa56-855ca5c4e55f1e696558	FC-020_v.cha	6ec07be8de5bf5784dc1c6dba433bfb4eda92663c929a3e67c02103e0c8f0bf7	517	24	XXB	有	False	20	人	n	NOUN	True	去	VERB	26	重	ADV	"噉呢佢就話,誒,應-因為哩一兩日-佢話哩一兩日都重有人去interview嘅,噉佢話-噉就-誒,同埋""我哋都要計下分噉樣喎."	喀,喀,喀.	"""噉呢佢就話計完晒啲分之後呢,噉如果你係高過人哋呢,佢話噉你就有得secondinterview噉樣囖."						
AA56-R1-062	repair_control	aa56-b6b8194c8c4187a528b0	FC-022a_v.cha	f1ac38cc97b07a9757a7a7e9274732b52679d76fd9980defa2fe57d5c562a43d	2	7	XXA	有	False	5	一	m	NUM	False				都	ADV	誒,每年-即係每年都有一次嗰個書展囖.	誒,乜嘢書展呢?	你知唔知道𡃉?						
AA56-R1-063	overt_place_domain_control	aa56-fbef4911fceea348482f	FC-022a_v.cha	f1ac38cc97b07a9757a7a7e9274732b52679d76fd9980defa2fe57d5c562a43d	42	30	XXA	有	False	25	個	q	NOUN	False				嗰度	PRON	噉呢,但係呢佢-我會覺得呢,舊版呢就有一個係譬如講地名嘅,後-最尾嗰度有個index噉樣𠺢嗎.	係.	係appendix.						
AA56-R1-064	explicit_subject_or_possessor_control	aa56-35ed32f2b95ac13ac4e5	FC-022a_v.cha	f1ac38cc97b07a9757a7a7e9274732b52679d76fd9980defa2fe57d5c562a43d	67	3	XXA	冇	False	2	乜	r	PRON	True	聽	VERB	6	我	PRON	誒,我冇乜點聽過.	我諗你應該有用𡃉.	"誒,陸谷孫嗰本呢就係叫做""英漢大辭典""."						
