id	ordinal	section	subsection	item_type	register	source_display	source_jyutping	source_english	source_morpheme_gloss	source_hash	relation	source_internal_duplicate_of	project_record_id	project_status	lifecycle_status	canonical_exact_owners	supporting_exact_owners	discrepancy_types	review_state
GLOSSIKA-YUEHK-A1-W17-20260712-I011	11	vocabulary_and_situations	emotions_and_states	lexical_entry		嬲	nau1	angry		sha256:044272d8b48b210305490e410d849221b4cf4feb220ef15bd7dcd82988ce5161	exact_duplicate		LEX-W17-003	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R37.tsv|docs/research/PRQ2-005-HOI1-HABITUAL-ESTABLISHED-ACTIVITY-RESEARCH-R1.md|docs/research/PRQ2-007-HEI2SOENG5LAI4-INCHOATIVE-ASPECT-COLLISION-AUDIT-R1.tsv|docs/research/PRQ2-007-HEI2SOENG5LAI4-INCHOATIVE-ASPECT-RESEARCH-R1.md|docs/research/UC-RQ-001-GENERAL-ZOENG1-DISPOSAL-NATURAL-ATTESTATION-R1.tsv|grammar/research_pending/ExistentialClause.md|grammar/research_pending/ExistentialPresentationalClause.md|test-data/review-only-readiness.tsv|test-data/w17-corpus-semantic-disposition.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I012	12	vocabulary_and_situations	emotions_and_states	lexical_entry		驚	geng1	scared		sha256:f5e8f2f9456cdfc5e358733a2b635450f8cadd09b20413355f4df916504c5a2e	exact_duplicate		LEX-W17-004	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/parser/detectors/np/core.js|src/runtime-resources/grammar/templates/construction-templates.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js|src/runtime-resources/lexicon/token-lexicon/verbs.js	docs/research/LANE-06-CLASSIFIER-NP-SOURCE-MAP-CP021B-R5.md|docs/research/PRQ2-007-HEI2SOENG5LAI4-INCHOATIVE-ASPECT-COLLISION-AUDIT-R1.tsv|docs/research/PRQ2-007-HEI2SOENG5LAI4-INCHOATIVE-ASPECT-RESEARCH-R1.md|docs/research/PRQ2-007-HEI2SOENG5LAI4-INCHOATIVE-ASPECT-SOURCE-VERIFICATION-R1.tsv|docs/research/PRQ2-008-ZI2JIU3-ZAU6-SUFFICIENT-CONDITION-RESEARCH-R1.md|test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I013	13	vocabulary_and_situations	emotions_and_states	lexical_entry		擔心	daam1 sam1	worried		sha256:19da23aa6902be2adb87f66809d4209649bcf68fb5cd44338df2add77c330637	exact_duplicate		LEX-W17-005	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	docs/research/PRQ2-015-MUI5-GO3GO3-DOU1-DISTRIBUTIVE-QUANTIFICATION-COLLISION-AUDIT-R1.tsv|docs/research/PRQ2-015-MUI5-GO3GO3-DOU1-DISTRIBUTIVE-QUANTIFICATION-RESEARCH-R1.md|test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I014	14	vocabulary_and_situations	emotions_and_states	lexical_entry		悶	mun6	bored		sha256:5841cd021f90fbcebbae3a2ee48fcf7c78e17c2aba56164a7b47c19a1fdb88ec	exact_duplicate		LEX-W17-006	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	data/construction-adjudication-batches/batch-08.json|data/construction-identities.json|docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R37.tsv|grammar/research_pending/DegreeStativePredicate.md|test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I015	15	vocabulary_and_situations	emotions_and_states	lexical_entry		緊張	gan2 zoeng1	nervous		sha256:bf2625e7dc8aa78d54f67b8087502315f1dc45438395b9f3d912b8986eb88d5a	exact_duplicate		LEX-W17-007	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	docs/research/PRQ2-003-JYUT6-SCALAR-PROGRESSION-COLLISION-AUDIT-R1.tsv|docs/research/PRQ2-003-JYUT6-SCALAR-PROGRESSION-RESEARCH-R1.md|docs/research/PRQ2-015-MUI5-GO3GO3-DOU1-DISTRIBUTIVE-QUANTIFICATION-COLLISION-AUDIT-R1.tsv|docs/research/PRQ2-015-MUI5-GO3GO3-DOU1-DISTRIBUTIVE-QUANTIFICATION-RESEARCH-R1.md|test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I016	16	vocabulary_and_situations	emotions_and_states	lexical_entry		壓力	aat3 lik6	pressure; stress		sha256:0e49726780b9ced80f04552817d7f0310647a698da0e6e334c481553c12f249a	exact_duplicate		LEX-W17-008	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	data/construction-adjudication-batches/batch-08.json|data/construction-adjudication-batches/batch-13.json|data/construction-identities.json|docs/research/CONSTRUCTION-ADJUDICATION-BATCH-08.md|docs/research/CONSTRUCTION-ADJUDICATION-BATCH-13.md|docs/research/EVALUATION-PACKET-BLUEPRINTS-CP021B-R37.json|docs/research/PARSER-CONSTRUCTION-CANONICAL-CONSOLIDATION-MATRIX-CP021B-R35.tsv|test-data/cp021b-lx1-construction-freeze-baseline.json|test-data/native-speaker-naturalness-evidence-v1.json|test-data/native-speaker-naturalness-evidence-v1.tsv|test-data/review-only-readiness.tsv|test-data/w17-corpus-semantic-disposition.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv|test-data/w17-naturalized-alternatives.tsv|tests/constructions/ClauseRelationGraph.json|tests/constructions/ClauseSpan.json|tests/constructions/DegreeStativePredicate.json|tests/constructions/FormulaDiscourseUnit.json|tests/constructions/ModifierNP.json|tests/fixtures/regression-snapshots.json|tests/tooling/corpus-review/test_aa91_hkcancor_profile.py		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I017	17	vocabulary_and_situations	emotions_and_states	lexical_entry		辛苦	san1 fu2	tough; tiring		sha256:de029102991bded05e4f4deb6e037bad42a7351efb74ba3b02ec2c4c30a93adf	exact_duplicate		LEX-W17-009	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/items.tsv|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/review.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/source.json|data/research-ledgers/glossika-week14-claim-source.json|docs/research/GLOSSIKA-YUEHK-A1-W14-20260621-RESEARCH.md|docs/research/UC-RQ-004-005-COMPARISON-HKCANCOR-ATTESTATION-R1.md|docs/research/WECHAT-GX-TRAVEL-002-ADJUDICATION-REPORT.md|docs/research/WECHAT-GX-TRAVEL-002-REGRESSION-REMEDIATION-READINESS-R2.md|test-data/natural-corpus-wechat-guangxi-travel-002-raw.txt|test-data/natural-corpus-wechat-guangxi-travel-002-turns.json|test-data/natural-corpus-wechat-guangxi-travel-002-turns.tsv|test-data/natural-corpus-wechat-guangxi-travel-002-units.json|test-data/natural-corpus-wechat-guangxi-travel-002-units.tsv|test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv|test-data/WECHAT-GX-TRAVEL-002-ADJUDICATION-MATRIX.json|test-data/WECHAT-GX-TRAVEL-002-ADJUDICATION-MATRIX.tsv|test-data/WECHAT-GX-TRAVEL-002-QUEUE-G-grammar_research_external_evidence.tsv|test-data/WECHAT-GX-TRAVEL-002-QUEUE-R-accepted_behavior_regression.tsv|test-data/WECHAT-GX-TRAVEL-002-REGRESSION-REMEDIATION-READINESS-R2.json|test-data/WECHAT-GX-TRAVEL-002-REGRESSION-REMEDIATION-READINESS-R2.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I018	18	vocabulary_and_situations	emotions_and_states	lexical_entry		感動	gam2 dung6	touched; moved		sha256:82f8fed65c35361a481c03672d33228db2a5e166526ff3a9dc389816951812f6	exact_duplicate		LEX-W17-010	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I019	19	vocabulary_and_situations	emotions_and_states	lexical_entry		激動	gik1 dung6	excited		sha256:5e667507c3e1285af13778d177cd089609248d37d6637641c031aa2a14b4016c	exact_duplicate		LEX-W17-011	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I020	20	vocabulary_and_situations	emotions_and_states	lexical_entry		失望	sat1 mong6	disappointed		sha256:4d05480427fa8324243a2c4b5739e4c6cabf6bce14d6964f0defdbe995d37e58	exact_duplicate		LEX-W17-012	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I021	21	vocabulary_and_situations	emotions_and_states	lexical_entry		放鬆	fong3 sung1	to relax		sha256:87e6cfd6d5c0a18cd252705f461800c198ca7cf0e1c65d83fdc828f31a0e9124	exact_duplicate		LEX-W17-013	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	docs/research/CP024-P0-L45-VERB-VALENCY-INVENTORY-R1.tsv|test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I022	22	vocabulary_and_situations	emotions_and_states	lexical_entry		開心	hoi1 sam1	happy		sha256:8ab23f11b98c08060c470e891bbc11f69125bdd30138ce713d17f6fa1769cdcc	exact_duplicate		LEX-W17-014	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/parser/features/token-features.js|src/parser/orchestration/wrap-predicate.js|src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js|src/runtime-resources/lexicon/token-lexicon/statives.js	data/construction-adjudication-batches/batch-08.json|data/construction-identities.json|docs/research/CONSTRUCTION-ADJUDICATION-BATCH-08.md|docs/research/CP056-P1-NEGATED-LEXICALIZED-STATIVE-RETIREMENT-R1.md|docs/research/CP057-P1-NEGATED-STATIVE-PREDICATE-RECONCILIATION-R1.md|docs/research/PRQ2-003-JYUT6-SCALAR-PROGRESSION-COLLISION-AUDIT-R1.tsv|docs/research/PRQ2-003-JYUT6-SCALAR-PROGRESSION-RESEARCH-R1.md|grammar/research_pending/NegatedStativePredicate.md|test-data/cp021b-lx1-construction-freeze-baseline.json|test-data/review-only-readiness.tsv|test-data/w17-corpus-semantic-disposition.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv|test-data/w17-naturalized-alternatives.tsv|tests/constructions/ClauseSpan.json|tests/constructions/DegreeStativePredicate.json|tests/constructions/DiscourseParticleFrame.json|tests/constructions/NegatedStativePredicate.json|tests/constructions/OpinionStanceFrame.json|tests/fixtures/regression-snapshots.json		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I023	23	vocabulary_and_situations	emotions_and_states	lexical_entry		傷心	soeng1 sam1	sad		sha256:ed7f0128777bd15fff0e1c3efa246e4852d5b082354daa35ed3b3670e4ecee42	exact_duplicate		LEX-W17-015	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I024	24	vocabulary_and_situations	emotions_and_states	lexical_entry		嬲	nau1	angry		sha256:044272d8b48b210305490e410d849221b4cf4feb220ef15bd7dcd82988ce5161	exact_duplicate	GLOSSIKA-YUEHK-A1-W17-20260712-I011	LEX-W17-003	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R37.tsv|docs/research/PRQ2-005-HOI1-HABITUAL-ESTABLISHED-ACTIVITY-RESEARCH-R1.md|docs/research/PRQ2-007-HEI2SOENG5LAI4-INCHOATIVE-ASPECT-COLLISION-AUDIT-R1.tsv|docs/research/PRQ2-007-HEI2SOENG5LAI4-INCHOATIVE-ASPECT-RESEARCH-R1.md|docs/research/UC-RQ-001-GENERAL-ZOENG1-DISPOSAL-NATURAL-ATTESTATION-R1.tsv|grammar/research_pending/ExistentialClause.md|grammar/research_pending/ExistentialPresentationalClause.md|test-data/review-only-readiness.tsv|test-data/w17-corpus-semantic-disposition.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv	source_internal_duplicate	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I025	25	vocabulary_and_situations	emotions_and_states	lexical_entry		驚	geng1	scared / surprised		sha256:ab8444479dc14f4b586cd0a474065ce514634c8432578ee353b61609b043508d	exact_duplicate	GLOSSIKA-YUEHK-A1-W17-20260712-I012	LEX-W17-004	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/parser/detectors/np/core.js|src/runtime-resources/grammar/templates/construction-templates.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js|src/runtime-resources/lexicon/token-lexicon/verbs.js	docs/research/LANE-06-CLASSIFIER-NP-SOURCE-MAP-CP021B-R5.md|docs/research/PRQ2-007-HEI2SOENG5LAI4-INCHOATIVE-ASPECT-COLLISION-AUDIT-R1.tsv|docs/research/PRQ2-007-HEI2SOENG5LAI4-INCHOATIVE-ASPECT-RESEARCH-R1.md|docs/research/PRQ2-007-HEI2SOENG5LAI4-INCHOATIVE-ASPECT-SOURCE-VERIFICATION-R1.tsv|docs/research/PRQ2-008-ZI2JIU3-ZAU6-SUFFICIENT-CONDITION-RESEARCH-R1.md|test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv	source_internal_duplicate	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I026	26	vocabulary_and_situations	emotions_and_states	lexical_entry		攰	gui6	tired		sha256:7740eb53b4fda8c3c31740bf25dad9b8c8aaa9676c8bfe17d3026adc97a6ea29	exact_duplicate	GLOSSIKA-YUEHK-A1-W17-20260712-I010	LEX-W17-002	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	docs/research/EVALUATION-PACKET-BLUEPRINTS-CP021B-R37.json|docs/research/PARSER-CONSTRUCTION-CANONICAL-CONSOLIDATION-MATRIX-CP021B-R35.tsv|grammar/unsupported_generalization/SuggestionQuestion.md|test-data/cp021b-lx1-construction-freeze-baseline.json|test-data/native-speaker-naturalness-evidence-v1.json|test-data/native-speaker-naturalness-evidence-v1.tsv|test-data/review-only-readiness.tsv|test-data/w17-corpus-semantic-disposition.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv|tests/constructions/ClauseRelationEdge.json|tests/constructions/ClauseRelationGraph.json|tests/constructions/ClauseRelationMemberSpan.json|tests/constructions/ClauseSpan.json|tests/constructions/DegreeStativePredicate.json|tests/constructions/ProgressiveVP.json|tests/constructions/SuggestionQuestion.json|tests/fixtures/regression-snapshots.json	source_internal_duplicate	REQUIRES_EXPERT_CONTEXT_REVIEW
