id	item_type	duplicate_status	terminal_classification	evidence_use	discrepancy_status	accepted_duplicate_targets	legacy_reconciliation_status	inherited_project_authority	independent_evidence_ids	review_note
GLOSSIKA-YUEHK-A1-W17-20260712-I028	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I029	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I030	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I031	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I032	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference;inherited_project_assertion_unverified		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I033	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I034	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I035	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I036	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I037	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I038	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I039	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history	inherited_project_review_flag_unverified		normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I040	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I041	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I042	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I043	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I044	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I045	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I046	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I047	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I048	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I049	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I050	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I051	sentence	no_accepted_duplicate	naturalness_review_candidate	naturalness_review_candidate_with_inherited_project_flag	inherited_project_review_flag_unverified		normalized_duplicate	unverified_project_history		The earlier REVIEW note is preserved as an unverified project flag requiring independent speaker or corpus evidence.
GLOSSIKA-YUEHK-A1-W17-20260712-I052	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I053	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I054	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I055	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	naturalness_review_candidate_with_inherited_project_flag	inherited_project_review_flag_unverified		normalized_duplicate	unverified_project_history		The earlier REVIEW note is preserved as an unverified project flag requiring independent speaker or corpus evidence.
GLOSSIKA-YUEHK-A1-W17-20260712-I056	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	naturalness_review_candidate_with_inherited_project_flag	inherited_project_review_flag_unverified		normalized_duplicate	unverified_project_history		The earlier REVIEW note is preserved as an unverified project flag requiring independent speaker or corpus evidence.
GLOSSIKA-YUEHK-A1-W17-20260712-I057	dialog_turn	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I058	dialog_turn	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history	inherited_project_assertion_unverified		normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I059	dialog_turn	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I060	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I061	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference;inherited_project_assertion_unverified		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I062	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I063	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference;inherited_project_assertion_unverified		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I064	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference;inherited_project_assertion_unverified		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I065	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I066	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I067	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I068	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I069	sentence	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I070	phonics_pair	no_accepted_duplicate	new_corpus_attestation	unverified_pedagogical_pronunciation_attestation	inherited_project_assertion_unverified		normalized_duplicate	unverified_project_history		The source phonics pair is preserved as pedagogical pronunciation material without independent validation.
GLOSSIKA-YUEHK-A1-W17-20260712-I071	phonics_pair	no_accepted_duplicate	new_corpus_attestation	unverified_pedagogical_pronunciation_attestation	inherited_project_assertion_unverified		normalized_duplicate	unverified_project_history		The source phonics pair is preserved as pedagogical pronunciation material without independent validation.
GLOSSIKA-YUEHK-A1-W17-20260712-I072	phonics_pair	no_accepted_duplicate	new_corpus_attestation	unverified_pedagogical_pronunciation_attestation	inherited_project_assertion_unverified		normalized_duplicate	unverified_project_history		The source phonics pair is preserved as pedagogical pronunciation material without independent validation.
GLOSSIKA-YUEHK-A1-W17-20260712-I073	phonics_pair	no_accepted_duplicate	new_corpus_attestation	unverified_pedagogical_pronunciation_attestation	inherited_project_assertion_unverified		normalized_duplicate	unverified_project_history		The source phonics pair is preserved as pedagogical pronunciation material without independent validation.
GLOSSIKA-YUEHK-A1-W17-20260712-I074	phonics_pair	no_accepted_duplicate	pronunciation_discrepancy	pronunciation_attestation_with_independently_verified_correction	independently_verified_pronunciation_correction;superseded_by_independent_pronunciation_evidence		partial_match	unverified_project_history	W17-PRON-CUHK-FUT3;W17-PRON-CTEXT-FUT3	Source kut3 remains immutable; CUHK and Chinese Text Project independently support fut3 for 闊.
GLOSSIKA-YUEHK-A1-W17-20260712-I075	phonics_pair	no_accepted_duplicate	new_corpus_attestation	unverified_pedagogical_pronunciation_attestation	inherited_project_assertion_unverified		normalized_duplicate	unverified_project_history		The source phonics pair is preserved as pedagogical pronunciation material without independent validation.
