id	item_type	duplicate_status	terminal_classification	evidence_use	accepted_duplicate_targets	implementation_crosswalk_targets	discrepancy_status	research_route_ids	review_note
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I025	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I026	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I027	stage_direction	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_stage_context_attestation_only				D4-R01;D4-R02;D4-R03;D4-R14	Retained as a non-spoken stage-context attestation with event adjacency only; it is not a spoken syntax or productivity claim.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I028	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R10;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I029	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R10;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I030	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I031	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I032	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I033	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I034	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R07;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I035	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R11;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I036	stage_direction	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_stage_context_attestation_only				D4-R01;D4-R02;D4-R03;D4-R14	Retained as a non-spoken stage-context attestation with event adjacency only; it is not a spoken syntax or productivity claim.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I037	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R12;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I038	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R12;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I039	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R12;D4-R13;D4-R14;D4-R15	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I040	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R12;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I041	dialog_turn	no_accepted_duplicate	naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review				D4-R01;D4-R02;D4-R12;D4-R13;D4-R14	Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I042	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R12;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I043	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R12;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I044	dialog_turn	no_accepted_duplicate	new_corpus_attestation	authorized_pedagogical_dialog_attestation_only				D4-R01;D4-R02;D4-R12;D4-R14	Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I045	lexical_entry	accepted_normalized_duplicate	normalized_duplicate	duplicate_source_record_only	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/source.json			D4-R02	Accepted as a normalized source-record duplicate of the named pedagogical corpus record; raw source values remain unchanged.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I046	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I047	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I048	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I049	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I050	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I051	lexical_entry	accepted_exact_duplicate	exact_duplicate	duplicate_source_record_only	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/source.json			D4-R02	Accepted as a byte-level source-field duplicate of the named pedagogical corpus record; this is corpus identity only.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I052	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I053	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I054	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I055	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I056	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I057	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I058	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I059	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I060	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I061	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I062	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I063	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I064	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I065	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I066	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I067	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I068	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I069	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I070	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I071	lexical_entry	accepted_normalized_duplicate	normalized_duplicate	duplicate_source_record_only	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-018-20260405/source.json			D4-R02	Accepted as a normalized source-record duplicate of the named pedagogical corpus record; raw source values remain unchanged.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I072	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I073	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I074	lexical_entry	accepted_exact_duplicate	exact_duplicate	duplicate_source_record_only	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-003-20251214/source.json			D4-R02	Accepted as a byte-level source-field duplicate of the named pedagogical corpus record; this is corpus identity only.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I075	lexical_entry	accepted_exact_duplicate	exact_duplicate	duplicate_source_record_only	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/source.json			D4-R02	Accepted as a byte-level source-field duplicate of the named pedagogical corpus record; this is corpus identity only.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I076	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I077	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I078	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I079	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I080	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I081	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I082	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I083	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I084	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I085	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I086	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I087	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I088	lexical_entry	no_accepted_duplicate	lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				D4-R02	Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
