id	ordinal	item_type	event_ordinal	turn	speaker	stage_direction_ordinal	vocabulary_ordinal	source_cantonese	source_jyutping_or_romanization	source_english	source_hash	previous_event_id	next_event_id	previous_turn_id	next_turn_id	deduplication_relation	ingress_classification	runtime_lexical_owners	canonical_exact_owners	supporting_exact_owners	review_flags	review_state
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I011	11	dialog_turn	11	11	阿輝			真㗎?多謝晒!	/Aa3 Fai1: Zan1 gaa3? Do1 ze6 saai3!/		sha256:6bb0990de3b20bdb330346bde3ba71e6f7824c941d3eac3a56c42e990f24620d	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I010	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I012	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I010	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I012	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I012	12	dialog_turn	12	12	阿珊			唔使客氣,去啦!	/Aa3 Saan1: M4 sai2 haak3 hei3, heoi3 laa1!/		sha256:48c555f3a8bc4aae52ad490c9d89bc22cedc870407fd53ff6bfb3aad0e4be096	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I011	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I013	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I011	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I013	no_project_match	new_attestation				imperative_heoi3_laa1|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I013	13	dialog_turn	13	13	阿輝			咁我走先喇!	/Aa3 Fai1: Gam2 ngo5 zau2 sin1 laa3!/		sha256:95049a6f18a153a57774970951202ba78b7c75ab68193157e7f48f7de21b59f1	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I012	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I014	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I012	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I014	no_project_match	naturalness_review_candidate				naturalness_review_candidate|departure_order_zau2_sin1|change_particle_laa3|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I014	14	dialog_turn	14	14	阿珊			拜拜!小心啲!	/Aa3 Saan1: Baai1 baai3! Siu2 sam1 di1!/		sha256:1065497838b7fae7f459f898af6271253560af138807273608a930333f006764	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I013	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I015	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I013	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I016	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I015	15	stage_direction	15			1		阿輝站起身...	Aa3 Fai1 zaam6 hei2 san1...		sha256:f03f92c9776bb6a61f1a8dcce9a747330e3444821443c436df4164e60ae4b7a4	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I014	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I016			no_project_match	new_attestation				stage_direction_context|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I016	16	dialog_turn	16	15	老細			阿輝,去邊呀?	/Lou5 Sai3: Aa3 Fai1, heoi3 bin1 aa3?/		sha256:8dede8352f044973d38499733918661f3ca9062c8646db48e4cfa87293805ac6	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I015	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I017	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I014	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I017	no_project_match	new_attestation				motion_goal_wh_question|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I017	17	dialog_turn	17	16	阿輝			老細,唔好意思,我要走喇。	/Aa3 Fai1: Lou5 sai3, m4 hou2 ji3 si1, ngo5 jiu3 zau2 laa3./		sha256:9c04f9e5e69759900ca41c0259cba51b027b336fc336f4ea9da566c30393418c	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I016	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I018	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I016	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I018	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I018	18	dialog_turn	18	17	老細			而家走?點解?	/Lou5 Sai3: Ji4 gaa1 zau2? Dim2 gaai2?/		sha256:11b6c0baf310b990a6cedce201840ec69505d7b1f11a67391b2a708d8332ad30	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I017	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I019	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I017	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I019	no_project_match	naturalness_review_candidate				naturalness_review_candidate|temporal_motion_fragment|why_fragment|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I019	19	dialog_turn	19	18	阿輝			我要接仔女放學。	/Aa3 Fai1: Ngo5 jiu3 zip3 zai2 neoi5 fong3 hok6./		sha256:6da7a9f2e3f40c34bc30cfaf0411b7479537a088b03959e6ef850f89025e4d71	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I018	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I020	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I018	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I020	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I020	20	dialog_turn	20	19	老細			哦,咁你快啲走啦!	/Lou5 Sai3: O4, gam2 nei5 faai3 di1 zau2 laa1!/		sha256:c896b3977f07708fda3ec516c31cc2ca00267ef2ce5404576b1e787a5a15f970	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I019	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I021	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I019	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I021	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I021	21	dialog_turn	21	20	阿輝			真㗎?唔使留低?	/Aa3 Fai1: Zan1 gaa3? M4 sai2 lau4 dai1?/		sha256:1a1e2f68515a1371b1be05f69290374531d1c20dde974ae83b3c8bc89e78f782	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I020	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I022	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I020	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I022	no_project_match	naturalness_review_candidate				naturalness_review_candidate|negative_necessity_fragment|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I022	22	dialog_turn	22	21	老細			唔使,家人緊要啲。	/Lou5 Sai3: M4 sai2, gaa1 jan4 gan2 jiu3 di1./		sha256:d6fe54d3a314805c0aa3009b6009c98f7ce4a1b0d9296944c8c777f5a526f782	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I021	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I023	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I021	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I023	no_project_match	naturalness_review_candidate				naturalness_review_candidate|contextual_comparative_di1|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I023	23	dialog_turn	23	22	阿輝			多謝老細!	/Aa3 Fai1: Do1 ze6 lou5 sai3!/		sha256:f41e5edee72ba43ac23869f7b346618a1fdb619ee6ddc77461a2ffa753620582	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I022	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I024	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I022	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I024	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I024	24	dialog_turn	24	23	老細			快啲去,唔好遲到!	/Lou5 Sai3: Faai3 di1 heoi3, m4 hou2 ci4 dou3!/		sha256:dd2febdd818dfec625d4eb30e2955f188d66744f7ae321a7f5e59c9816f136f5	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I023	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I025	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I023	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I025	no_project_match	naturalness_review_candidate				naturalness_review_candidate|degree_adverb_imperative|negative_imperative|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I025	25	dialog_turn	25	24	阿輝			好!我走喇!	/Aa3 Fai1: Hou2! Ngo5 zau2 laa3!/		sha256:7ce5064c16a782994d7d64a1d1e6de6161bc2fdb477b930ebb1b14f90b857b0b	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I024	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I026	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I024	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I026	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I026	26	dialog_turn	26	25	老細			明天見!	/Lou5 Sai3: Ming4 tin1 gin3!/		sha256:84061e9cdf304bcdb9760d94df33e568cc068ac5f180a44b5b8bcaeb5d282b66	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I025	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I027	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I025	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I028	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I027	27	stage_direction	27			2		阿輝出咗去...	Aa3 Fai1 ceot1 zo2 heoi3...		sha256:ba71c1cb98adc07d5ffe3c2d23e26e522b3ba8c9d76b8b0383c2587bc59d347c	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I026	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I028			no_project_match	new_attestation				stage_direction_context|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I028	28	dialog_turn	28	26	阿珊			老細,唔好意思,我都要走。	/Aa3 Saan1: Lou5 sai3, m4 hou2 ji3 si1, ngo5 dou1 jiu3 zau2./		sha256:d0da8866ad903a2ee0129ec7a3977118e548c7fec4fe30fb628455462d33cc20	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I027	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I029	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I026	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I029	no_project_match	naturalness_review_candidate				naturalness_review_candidate|additive_dou1|departure_request|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I029	29	dialog_turn	29	27	老細			你都要走?點解呀?	/Lou5 Sai3: Nei5 dou1 jiu3 zau2? Dim2 gaai2 aa3?/		sha256:9f19532f68c25dad4035e791b99ec04376a087b8e2f2dc319c94b5ba35174b22	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I028	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I030	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I028	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I030	no_project_match	naturalness_review_candidate				naturalness_review_candidate|additive_dou1_question|why_question|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I030	30	dialog_turn	30	28	阿珊			我約咗醫生。	/Aa3 Saan1: Ngo5 joek3 zo2 ji1 sang1./		sha256:b183aa49e5ab089281415bbef718d4ca4b9715179be4d8244fab3c4cc98472c5	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I029	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I031	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I029	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I031	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I031	31	dialog_turn	31	29	老細			幾點呀?	/Lou5 Sai3: Gei2 dim2 aa3?/		sha256:b74899280d153df082eb260d6bddae45088eff35c65a60c81fa411b013d3101f	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I030	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I032	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I030	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I032	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I032	32	dialog_turn	32	30	阿珊			三點四十五。	/Aa3 Saan1: Saam1 dim2 sei3 sap6 ng5./		sha256:0d0e06ae210c058c36d6031f2f55d0984554414fcbc5ad21270e9afedbbd125b	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I031	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I033	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I031	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I033	no_project_match	new_attestation				clock_time_expression|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I033	33	dialog_turn	33	31	老細			咁快啲走啦!	/Lou5 Sai3: Gam2 faai3 di1 zau2 laa1!/		sha256:abf1a91322672ff3e6280dab92a44238abd8ebe54a19ef1aa59d999a3688ef7a	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I032	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I034	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I032	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I034	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I034	34	dialog_turn	34	32	阿珊			多謝!我走先!	/Aa3 Saan1: Do1 ze6! Ngo5 zau2 sin1!/		sha256:ae04fc47d51742fddfb1fde48b74edb7d2f7a9f94e2c6b942433c93d53995927	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I033	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I035	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I033	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I035	no_project_match	new_attestation				source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I035	35	dialog_turn	35	33	老細			大家今日辛苦晒!	/Lou5 Sai3: Daai6 gaa1 gam1 jat6 san1 fu2 saai3!/		sha256:084546a425db8021b2164ec944ce99536f5aa8c68656a6350709b026fcb0c004	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I034	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I036	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I034	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I037	no_project_match	naturalness_review_candidate				naturalness_review_candidate|collective_subject|saai3_with_evaluative_predicate|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I036	36	stage_direction	36			3		會議室剩返幾個人...	Wui5 ji5 sat1 zing6 faan1 gei2 go3 jan4...		sha256:82122bd925dfc793f0e6eb459b9c420b54816e4b98e70eb365d73a84163b4988	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I035	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I037			no_project_match	new_attestation				stage_direction_context|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I037	37	dialog_turn	37	34	阿強			老細,我哋可唔可以走呀?	/Aa3 Koeng4: Lou5 sai3, ngo5 dei6 ho2 m4 ho2 ji5 zau2 aa3?/		sha256:6e7b6122f9ecc8ecf540f10678af9312d5b67d19589d8ec444691cae1ad1d3e2	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I036	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I038	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I035	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I038	no_project_match	naturalness_review_candidate				naturalness_review_candidate|potential_a_not_a_question|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I038	38	dialog_turn	38	35	老細			點解?有嘢做?	/Lou5 Sai3: Dim2 gaai2? Jau5 je5 zou6?/		sha256:1a0279a2537fe23297658313b8eb148e151aef1fce188ec4620c41a6b7bcfbcf	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I037	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I039	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I037	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I039	no_project_match	naturalness_review_candidate				naturalness_review_candidate|why_fragment|existential_task_fragment|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I039	39	dialog_turn	39	36	阿強			冇呀,不過開咗三個鐘喇。	/Aa3 Koeng4: Mou5 aa3, bat1 gwo3 hoi1 zo2 saam1 go3 zung1 laa3./		sha256:308f2b7f8024d673b886b410af01c51156c7990bea0cdd94483db627394cd3d9	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I038	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I040	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I038	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I040	no_project_match	naturalness_review_candidate				naturalness_review_candidate|duration_after_perfective|meeting_event_duration|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I040	40	dialog_turn	40	37	老細			哦,係喎!咁我哋完啦!	/Lou5 Sai3: O4, hai6 wo3! Gam2 ngo5 dei6 jyun4 laa1!/		sha256:7076c39303ab9238cf098b4fa43b74f130d719d1b8d84cbcdb1e8f4dd2c68cc1	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I039	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I041	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I039	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I041	no_project_match	naturalness_review_candidate				naturalness_review_candidate|meeting_completion_predicate|change_particle_laa1|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-004-20251221-I041	41	dialog_turn	41	38	阿強			終於完!	/Aa3 Koeng4: Zung1 jyu1 jyun4!/		sha256:355ec0b4ce6ac9ab2b8dff5a2ab9d7f2f299bccd404b8163b5958e75c9e5922e	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I040	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I042	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I040	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I042	no_project_match	naturalness_review_candidate				naturalness_review_candidate|finally_completion_fragment|source_event_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
