id	item_type	source_traditional	source_jyutping	source_english_status	duplicate_status	accepted_duplicate_targets	terminal_classification	evidence_use	research_route_ids	discrepancy_status	implementation_crosswalk_targets	review_note
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I022	dialog_turn	可以包,都可以唔包。	/Siu2 Hung4: Ho2 ji5 baau1, dou1 ho2 ji5 m4 baau1./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R09;D3-R14;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I023	dialog_turn	包咩餡好呀?	/Aa3 Ming4: Baau1 me1 haam6 hou2 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I024	dialog_turn	花生、芝麻、豆沙都得。	/Siu2 Hung4: Faa1 sang1, zi1 maa4, dau6 saa1 dou1 dak1./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I025	dialog_turn	我鍾意芝麻!	/Aa3 Ming4: Ngo5 zung1 ji3 zi1 maa4!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I026	dialog_turn	好呀!咁我哋整芝麻嘅。	/Siu2 Hung4: Hou2 aa3! Gam2 ngo5 dei6 zing2 zi1 maa4 ge3./	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R08;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I027	dialog_turn	要煲幾耐呀?	/Aa3 Ming4: Jiu3 bou1 gei2 noi6 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I028	dialog_turn	唔使耐,五分鐘左右。	/Siu2 Hung4: M4 sai2 noi6, ng5 fan1 zung1 zo2 jau6./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R10;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I029	dialog_turn	點知熟咗未呀?	/Aa3 Ming4: Dim2 zi1 suk6 zo2 mei6 aa3?/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R10;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I030	dialog_turn	浮起就熟喇!	/Siu2 Hung4: Fau4 hei2 zau6 suk6 laa3!/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R11;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I031	dialog_turn	咁簡單!	/Aa3 Ming4: Gam3 gaan1 daan1!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I032	dialog_turn	係呀!放啲糖水就食得喇。	/Siu2 Hung4: Hai6 aa3! Fong3 di1 tong4 seoi2 zau6 sik6 dak1 laa3./	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R11;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I033	dialog_turn	冬至點解要食湯圓㗎?	/Aa3 Ming4: Dung1 zi3 dim2 gaai2 jiu3 sik6 tong1 jyun4 gaa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R09;D3-R13;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I034	dialog_turn	代表一家團圓。	/Siu2 Hung4: Doi6 biu2 jat1 gaa1 tyun4 jyun4./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R13;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I035	dialog_turn	哦,好有意思!	/Aa3 Ming4: O4, hou2 jau5 ji3 si1!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I036	dialog_turn	仲有,湯圓係圓嘅,好意頭。	/Siu2 Hung4: Zung6 jau5, tong1 jyun4 hai6 jyun4 ge3, hou2 ji3 tau4./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R09;D3-R13;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I037	dialog_turn	圓代表團圓,啱喇!	/Aa3 Ming4: Jyun4 doi6 biu2 tyun4 jyun4, ngaam1 laa3!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R13;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I038	dialog_turn	冬至係一年最長嘅夜晚。	/Siu2 Hung4: Dung1 zi3 hai6 jat1 nin4 zeoi3 coeng4 ge3 je6 maan5./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I039	dialog_turn	所以一家人聚埋?	/Aa3 Ming4: So2 ji5 jat1 gaa1 jan4 zeoi6 maai4?/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R12;D3-R14;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I040	dialog_turn	係呀!同屋企人食飯最緊要。	/Siu2 Hung4: Hai6 aa3! Tung4 uk1 kei2 jan4 sik6 faan6 zeoi3 gan2 jiu3./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I041	dialog_turn	我哋幾時一齊整呀?	/Aa3 Ming4: Ngo5 dei6 gei2 si4 jat1 cai4 zing2 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I042	dialog_turn	冬至前一日得唔得?	/Siu2 Hung4: Dung1 zi3 cin4 jat1 jat6 dak1 m4 dak1?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R10;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I043	dialog_turn	得呀!我嚟你屋企?	/Aa3 Ming4: Dak1 aa3! Ngo5 lai4 nei5 uk1 kei2?/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R12;D3-R14;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I044	dialog_turn	好呀!下晝三點得唔得?	/Siu2 Hung4: Hou2 aa3! Haa6 zau3 saam1 dim2 dak1 m4 dak1?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I045	dialog_turn	冇問題!我帶啲嘢嚟?	/Aa3 Ming4: Mou5 man6 tai4! Ngo5 daai3 di1 je5 lai4?/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R12;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I046	dialog_turn	唔使呀,我買晒喇。	/Siu2 Hung4: M4 sai2 aa3, ngo5 maai5 saai3 laa3./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R09;D3-R14;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I047	dialog_turn	咁我帶飲品啦!	/Aa3 Ming4: Gam2 ngo5 daai3 jam2 ban2 laa1!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I048	dialog_turn	好呀!多謝!	/Siu2 Hung4: Hou2 aa3! Do1 ze6!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I049	dialog_turn	一齊整湯圓,好期待!	/Aa3 Ming4: Jat1 cai4 zing2 tong1 jyun4, hou2 kei4 doi6!/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D3-R01;D3-R02;D3-R12;D3-R15;D3-R16			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I050	dialog_turn	我都係!到時見!	/Siu2 Hung4: Ngo5 dou1 hai6! Dou3 si4 gin3!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D3-R01;D3-R02;D3-R16			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I051	lexical_entry	冬至	dung1 zi3	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I052	lexical_entry	湯圓	tong1 jyun4	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I053	lexical_entry	屋企	uk1 kei2	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I054	lexical_entry	整	zing2	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I055	lexical_entry	買	maai5	supplied	accepted_exact_duplicate	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-002-20251207/source.json	exact_duplicate	duplicate_source_record_only	D3-R02			Accepted as a byte-level source-field duplicate of the named pedagogical corpus record; this is corpus identity only.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I056	lexical_entry	自己	zi6 gei2	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I057	lexical_entry	定	ding6	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I058	lexical_entry	好玩	hou2 waan2	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I059	lexical_entry	未試過	mei6 si3 gwo3	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I060	lexical_entry	唔難	m4 naan4	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I061	lexical_entry	糯米粉	no6 mai5 fan2	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I062	lexical_entry	糖	tong4	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I063	lexical_entry	溝	kau1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I064	lexical_entry	暖水	nyun5 seoi2	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I065	lexical_entry	搓	co1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I066	lexical_entry	耳仔	ji5 zai2	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I067	lexical_entry	軟	jyun5	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I068	lexical_entry	得意	dak1 ji3	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I069	lexical_entry	然後	jin4 hau6	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I070	lexical_entry	粒	nap1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I071	lexical_entry	波子	bo1 zi2	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I072	lexical_entry	包	baau1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only	D3-R02			Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
