id	ordinal	item_type	turn	speaker	vocabulary_ordinal	source_cantonese	source_jyutping	source_english	source_hash	previous_turn_id	next_turn_id	deduplication_relation	ingress_classification	runtime_lexical_owners	canonical_exact_owners	supporting_exact_owners	review_flags	review_state
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I011	11	dialog_turn	11	阿明		係咪用水溝?	/Aa3 Ming4: Hai6 mai6 jung6 seoi2 kau1?/		sha256:f196d92b33169fcb53b48046edab4ac60d2aad4ea5d047646eb220345218cb06	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I010	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I012	no_project_match	naturalness_review_candidate				naturalness_review_candidate|instrumental_jung6|mixing_verb_selection|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I012	12	dialog_turn	12	小紅		係呀,要暖水。	/Siu2 Hung4: Hai6 aa3, jiu3 nyun5 seoi2./		sha256:1f9737e31e175c6efa69140af17ff71c269f049c437181a8eebfae0032fed8da	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I011	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I013	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I013	13	dialog_turn	13	阿明		點解要暖水呀?	/Aa3 Ming4: Dim2 gaai2 jiu3 nyun5 seoi2 aa3?/		sha256:41fde64ebe27a0b07f128c0861a46b6626c097c0121bf2280a852a3e68252775	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I012	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I014	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I014	14	dialog_turn	14	小紅		暖水搓得好啲。	/Siu2 Hung4: Nyun5 seoi2 co1 dak1 hou2 di1./		sha256:bf609b68e0b3bdd69794abc576f9a53366656cb2ebe0e008b705a0e7d5049118	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I013	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I015	no_project_match	naturalness_review_candidate				naturalness_review_candidate|instrument_subject_or_topic|potential_comparative_dak1|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I015	15	dialog_turn	15	阿明		哦,明白喇!	/Aa3 Ming4: O4, ming4 baak6 laa3!/		sha256:7f3cafab6e0b5e58cfbe44a9f5188bc61512669a390fef9781957259144c3d42	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I014	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I016	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I016	16	dialog_turn	16	小紅		搓到好似耳仔咁軟就得喇。	/Siu2 Hung4: Co1 dou3 hou2 ci5 ji5 zai2 gam3 jyun5 zau6 dak1 laa3./		sha256:98267065465917ba8f432f3be5a50049b770d10c77506035e7e96766055d95a0	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I015	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I017	no_project_match	naturalness_review_candidate				naturalness_review_candidate|result_dou3|similative_hou2ci5_gam3|zau6_dak1_laa3|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I017	17	dialog_turn	17	阿明		耳仔咁軟?好得意!	/Aa3 Ming4: Ji5 zai2 gam3 jyun5? Hou2 dak1 ji3!/		sha256:5ba33c8659e418a4851d953ecf711e31dea8db69040cccb4fbb7c7931e697afc	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I016	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I018	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I018	18	dialog_turn	18	小紅		哈哈,係呀!然後搓成粒粒。	/Siu2 Hung4: Haa1 haa1, hai6 aa3! Jin4 hau6 co1 sing4 nap1 nap1./		sha256:cda73e6af74ea277dac44eb79eaeda9375217f8d2e34327b29f412b14318c553	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I017	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I019	no_project_match	naturalness_review_candidate				naturalness_review_candidate|classifier_reduplication|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I019	19	dialog_turn	19	阿明		要整幾大粒呀?	/Aa3 Ming4: Jiu3 zing2 gei2 daai6 nap1 aa3?/		sha256:8023886e3bf7f1cec2f942404b74632970af3a5c9e7aeac694f2a068c0a081df	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I018	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I020	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I020	20	dialog_turn	20	小紅		好似波子咁大就得。	/Siu2 Hung4: Hou2 ci5 bo1 zi2 gam3 daai6 zau6 dak1./		sha256:44310669651e1e545505a1ecd34ff4f576bb2bbb222de2d43203a875ea14ef20	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I019	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I021	no_project_match	naturalness_review_candidate				naturalness_review_candidate|similative_measure|zau6_dak1|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I021	21	dialog_turn	21	阿明		包唔包餡㗎?	/Aa3 Ming4: Baau1 m4 baau1 haam6 gaa3?/		sha256:63919bcd41c9147b507cd3e07142a970f985a4a59d684eb5df3a8e8e753974ae	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I020	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I022	no_project_match	naturalness_review_candidate				naturalness_review_candidate|a_not_a_question|sentence_final_gaa3|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I022	22	dialog_turn	22	小紅		可以包,都可以唔包。	/Siu2 Hung4: Ho2 ji5 baau1, dou1 ho2 ji5 m4 baau1./		sha256:c2866d7d4ac12cc6de50009c80b0b3988b029892c7acae926d47919783d2380b	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I021	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I023	no_project_match	new_attestation				modal_scope_dou1|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I023	23	dialog_turn	23	阿明		包咩餡好呀?	/Aa3 Ming4: Baau1 me1 haam6 hou2 aa3?/		sha256:8a14ad981118c52f66d1e634bfd09d9af59cd82cbd70fc0380093a1696e12192	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I022	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I024	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I024	24	dialog_turn	24	小紅		花生、芝麻、豆沙都得。	/Siu2 Hung4: Faa1 sang1, zi1 maa4, dau6 saa1 dou1 dak1./		sha256:2e80cb5f5abb5c4a293703f4d57544dd754bd6325d218e0736bbb9c82d58afda	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I023	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I025	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I025	25	dialog_turn	25	阿明		我鍾意芝麻!	/Aa3 Ming4: Ngo5 zung1 ji3 zi1 maa4!/		sha256:2354f1d98e2e9855ebd3692aaeb9f1de7104a5c1431a873a6b3cfa6240a59b6a	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I024	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I026	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I026	26	dialog_turn	26	小紅		好呀!咁我哋整芝麻嘅。	/Siu2 Hung4: Hou2 aa3! Gam2 ngo5 dei6 zing2 zi1 maa4 ge3./		sha256:d23024c0c6d9feae5f919aca02dc767618d0977183829513413a90b3f3e0610a	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I025	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I027	no_project_match	naturalness_review_candidate				naturalness_review_candidate|nominal_ellipsis_ge3|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I027	27	dialog_turn	27	阿明		要煲幾耐呀?	/Aa3 Ming4: Jiu3 bou1 gei2 noi6 aa3?/		sha256:2abf117915a6843f052d637ef2bbade9a6b46da33c71d43270e8b2fb08c91010	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I026	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I028	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I028	28	dialog_turn	28	小紅		唔使耐,五分鐘左右。	/Siu2 Hung4: M4 sai2 noi6, ng5 fan1 zung1 zo2 jau6./		sha256:1141848fb02deb728f020b81c9613d1753d80f13c29eb9c1282f3a636b2352d8	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I027	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I029	no_project_match	new_attestation				postposed_approximation_zo2jau6|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I029	29	dialog_turn	29	阿明		點知熟咗未呀?	/Aa3 Ming4: Dim2 zi1 suk6 zo2 mei6 aa3?/		sha256:b311c0350ff10d815c5f99686363a3efc6adc1392556d2c802abd0c9be4bf2f1	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I028	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I030	no_project_match	naturalness_review_candidate				naturalness_review_candidate|perfective_mei6_question|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I030	30	dialog_turn	30	小紅		浮起就熟喇!	/Siu2 Hung4: Fau4 hei2 zau6 suk6 laa3!/		sha256:53db91cfc6bf26b8e789ee76fa30dd4bc7e83d08d8f07a8cefaa29bf5ebc33cf	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I029	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I031	no_project_match	naturalness_review_candidate				naturalness_review_candidate|condition_result_zau6|change_particle_laa3|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I031	31	dialog_turn	31	阿明		咁簡單!	/Aa3 Ming4: Gam3 gaan1 daan1!/		sha256:a7260070e327aa02c4c4ae7c3354641237e1fccae44e192782a9e84ff4ff4e27	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I030	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I032	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I032	32	dialog_turn	32	小紅		係呀!放啲糖水就食得喇。	/Siu2 Hung4: Hai6 aa3! Fong3 di1 tong4 seoi2 zau6 sik6 dak1 laa3./		sha256:9bc4ae6c2796879212d4506c154a7491e6b4e9477a911499189dc9d50c7ee646	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I031	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I033	no_project_match	naturalness_review_candidate				naturalness_review_candidate|potential_result_sik6_dak1|condition_result_zau6|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I033	33	dialog_turn	33	阿明		冬至點解要食湯圓㗎?	/Aa3 Ming4: Dung1 zi3 dim2 gaai2 jiu3 sik6 tong1 jyun4 gaa3?/		sha256:d4aadb0422ac8b0504b99f8ac5c00d6a8f978b6e6da25fa0631f9ccb82bf3b80	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I032	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I034	no_project_match	new_attestation				cultural_explanation_question|sentence_final_gaa3|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I034	34	dialog_turn	34	小紅		代表一家團圓。	/Siu2 Hung4: Doi6 biu2 jat1 gaa1 tyun4 jyun4./		sha256:33d3cb61b6f49f4b61e94c0f006978c09183c48532646c2d01530a24be0938cc	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I033	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I035	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I035	35	dialog_turn	35	阿明		哦,好有意思!	/Aa3 Ming4: O4, hou2 jau5 ji3 si1!/		sha256:059f791321ffbdb6b3d1bed89ac922425202748a8aaa7831d955151383928dec	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I034	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I036	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I036	36	dialog_turn	36	小紅		仲有,湯圓係圓嘅,好意頭。	/Siu2 Hung4: Zung6 jau5, tong1 jyun4 hai6 jyun4 ge3, hou2 ji3 tau4./		sha256:a235da75c2c24ebb84cc522d58ab42771387f93ebf4bb360084c6996a20a1ec7	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I035	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I037	no_project_match	new_attestation				nominal_predication_ge3|cultural_semantics|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I037	37	dialog_turn	37	阿明		圓代表團圓,啱喇!	/Aa3 Ming4: Jyun4 doi6 biu2 tyun4 jyun4, ngaam1 laa3!/		sha256:a9bee7eddacd8de469cec6ea643817cf7c49e1ea85ba51923b82f9d34f4bc412	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I036	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I038	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I038	38	dialog_turn	38	小紅		冬至係一年最長嘅夜晚。	/Siu2 Hung4: Dung1 zi3 hai6 jat1 nin4 zeoi3 coeng4 ge3 je6 maan5./		sha256:635b78bc7a59d4f59766e2f23f48e7a7dece7d58a5925f3777674f0630e20f94	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I037	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I039	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I039	39	dialog_turn	39	阿明		所以一家人聚埋?	/Aa3 Ming4: So2 ji5 jat1 gaa1 jan4 zeoi6 maai4?/		sha256:5a283490830dcf6dea3cd06cbb2a0d50c398ffaa78f54cba607e10bfafbaf3d9	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I038	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I040	no_project_match	naturalness_review_candidate				naturalness_review_candidate|inferential_fragment_question|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I040	40	dialog_turn	40	小紅		係呀!同屋企人食飯最緊要。	/Siu2 Hung4: Hai6 aa3! Tung4 uk1 kei2 jan4 sik6 faan6 zeoi3 gan2 jiu3./		sha256:65f48fbeb82eeeb6d1688f872d9329825ea1a399a7950448ef82599a7b2f8f57	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I039	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I041	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I041	41	dialog_turn	41	阿明		我哋幾時一齊整呀?	/Aa3 Ming4: Ngo5 dei6 gei2 si4 jat1 cai4 zing2 aa3?/		sha256:f6eefaf0209f42e008f0d3811373e51974833d61f8e983e490f730ec0470149f	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I040	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I042	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I042	42	dialog_turn	42	小紅		冬至前一日得唔得?	/Siu2 Hung4: Dung1 zi3 cin4 jat1 jat6 dak1 m4 dak1?/		sha256:d12aacc9b2bbeace179654da2665b5ea79ddd60e569495d3cbef7eda8ed27c9c	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I041	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I043	no_project_match	new_attestation				relative_temporal_phrase|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I043	43	dialog_turn	43	阿明		得呀!我嚟你屋企?	/Aa3 Ming4: Dak1 aa3! Ngo5 lai4 nei5 uk1 kei2?/		sha256:2c8667b4ba3ae1acfe3bfabb8511fcb7e4564a17fcf32b8fbf97e74e0b99abb2	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I042	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I044	no_project_match	naturalness_review_candidate				naturalness_review_candidate|motion_goal_or_omitted_coverb|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I044	44	dialog_turn	44	小紅		好呀!下晝三點得唔得?	/Siu2 Hung4: Hou2 aa3! Haa6 zau3 saam1 dim2 dak1 m4 dak1?/		sha256:38668dfb957c8f5eddc94f9c3da7575b6d283d6b82a61529aae7fb9e0d84c177	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I043	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I045	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I045	45	dialog_turn	45	阿明		冇問題!我帶啲嘢嚟?	/Aa3 Ming4: Mou5 man6 tai4! Ngo5 daai3 di1 je5 lai4?/		sha256:4fa7d46f48b394022fed32d0577453d98deea99479298fb34a040d90341557dc	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I044	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I046	no_project_match	naturalness_review_candidate				naturalness_review_candidate|offer_question_without_overt_particle|deictic_motion_lai4|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I046	46	dialog_turn	46	小紅		唔使呀,我買晒喇。	/Siu2 Hung4: M4 sai2 aa3, ngo5 maai5 saai3 laa3./		sha256:207a8e7011342cf2e944ff35bb1b03fdc20b15e65409808f6cd4d875c9bd7c31	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I045	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I047	no_project_match	new_attestation				universal_saai3|change_particle_laa3|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I047	47	dialog_turn	47	阿明		咁我帶飲品啦!	/Aa3 Ming4: Gam2 ngo5 daai3 jam2 ban2 laa1!/		sha256:f23d795b4234a5b2d9b0707b04396a1f8b6a34c092ff788741d32af57cd810cb	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I046	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I048	no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I048	48	dialog_turn	48	小紅		好呀!多謝!	/Siu2 Hung4: Hou2 aa3! Do1 ze6!/		sha256:ab629518d05541ffe6b0523431d4ec1d5211af2e97716395e4599fd8dc57cf8a	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I047	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I049	normalized_duplicate_candidate	normalized_duplicate				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I049	49	dialog_turn	49	阿明		一齊整湯圓,好期待!	/Aa3 Ming4: Jat1 cai4 zing2 tong1 jyun4, hou2 kei4 doi6!/		sha256:f8448c8fa807a04cede87452b146b354fdc4973f5c1a2ecb3dbebbb4fc1b8ed9	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I048	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I050	no_project_match	naturalness_review_candidate				naturalness_review_candidate|activity_chain_fragment|evaluative_fragment|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-003-20251214-I050	50	dialog_turn	50	小紅		我都係!到時見!	/Siu2 Hung4: Ngo5 dou1 hai6! Dou3 si4 gin3!/		sha256:d6c7c88b702bab41bc608bac9038597c948524f94d1700fb72aeeb1b53020f46	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I049		no_project_match	new_attestation				source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
