id	ordinal	item_type	section	subsection	source_display	source_jyutping	source_english	later_research	top_owner_candidates
GLOSSIKA-YUEHK-A1-W15-20260628-I011	11	lexical_entry	vocabulary_and_situations	directions_and_places	附近	fu6 gan6	nearby	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/study-suite.js || executable_test_or_fixture:tests/tooling/runtime/aa82-matrix-parent-force.test.js || canonical_or_research_data:data/corpus-reviews/AA82-ATTESTED-BOUNDARY-PACKET-R1.json || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-011-20260215/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-011-20260215/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-011-20260215/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-011-20260215/source.json
GLOSSIKA-YUEHK-A1-W15-20260628-I012	12	lexical_entry	vocabulary_and_situations	directions_and_places	遠	jyun5	far	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/statives.js || runtime_source:src/parser/detectors/questions/wh-scalar.js || runtime_source:src/parser/features/token-features.js || runtime_source:src/plugin-entry.js || runtime_source:src/runtime-resources/grammar/templates/category-span-templates.js || runtime_source:src/runtime-resources/grammar/templates/slot-generation-rules.js || executable_test_or_fixture:tests/constructions/ScalarValueQuestion.json || canonical_or_research_data:data/construction-adjudication-batches/batch-06.json
GLOSSIKA-YUEHK-A1-W15-20260628-I013	13	lexical_entry	vocabulary_and_situations	directions_and_places	近	kan5	near	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js || runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/statives.js || runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/study-suite.js || runtime_source:src/parser/detectors/questions/wh-scalar.js || runtime_source:src/parser/features/token-features.js || runtime_source:src/runtime-resources/grammar/templates/slot-generation-rules.js || executable_test_or_fixture:tests/constructions/ClauseRelationGraph.json || executable_test_or_fixture:tests/constructions/ClauseSpan.json
GLOSSIKA-YUEHK-A1-W15-20260628-I014	14	lexical_entry	vocabulary_and_situations	directions_and_places	上面	soeng6 min6	above/upstairs	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon || followup_candidate | candidate_id=W15-F01 | cluster=spatial_categories | priority=high	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/things.js || executable_test_or_fixture:tests/constructions/LocativeExistentialClause.json || executable_test_or_fixture:tests/constructions/LocativeFrameClause.json || executable_test_or_fixture:tests/constructions/LocativePlacePhrase.json || executable_test_or_fixture:tests/constructions/ModifiedNP.json || executable_test_or_fixture:tests/constructions/PerfectiveVP.json || executable_test_or_fixture:tests/constructions/PostverbalZoPerfectiveVP.json || canonical_or_research_data:data/construction-adjudication-batches/batch-11.json
GLOSSIKA-YUEHK-A1-W15-20260628-I015	15	lexical_entry	vocabulary_and_situations	directions_and_places	下面	haa6 min6	below/downstairs	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner || followup_candidate | candidate_id=W15-F01 | cluster=spatial_categories | priority=high	review_packet:review-packets/native-speaker/active-v1/completed/RUL01-SPEAKER-B-PUBLIC-R1/RUL01-PUBLIC-PANEL-SNAPSHOT-R1.json || research_ledger:data/research-ledgers/glossika-week15-claim-source.json || research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I016	16	lexical_entry	vocabulary_and_situations	directions_and_places	入面	jap6 min6	inside	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon || followup_candidate | candidate_id=W15-F01 | cluster=spatial_categories | priority=high	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/verbs.js || runtime_source:src/parser/detectors/existential/clauses.js || canonical_or_research_data:data/construction-adjudication-batches/batch-11.json || canonical_or_research_data:data/construction-identities.json || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/review.json
GLOSSIKA-YUEHK-A1-W15-20260628-I017	17	lexical_entry	vocabulary_and_situations	directions_and_places	外面	ngoi6 min6	outside	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner || followup_candidate | candidate_id=W15-F01 | cluster=spatial_categories | priority=high	research_ledger:data/research-ledgers/glossika-week15-claim-source.json || research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I018	18	lexical_entry	vocabulary_and_situations	directions_and_places	地鐵站	dei6 tit3 zaam6	MTR station	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/study-suite.js || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-001-20251130/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-001-20251130/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-001-20251130/source.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-007-20260111/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-007-20260111/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-007-20260111/review.json
GLOSSIKA-YUEHK-A1-W15-20260628-I019	19	lexical_entry	vocabulary_and_situations	directions_and_places	巴士站	baa1 si2 zaam6	bus stop	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	external_evidence:external-evidence/aa62-hkcancor/hkcancor-aa62-v-gwo-candidate-inventory.json || external_evidence:external-evidence/aa62-hkcancor/hkcancor-aa62-v-gwo-candidate-inventory.tsv || research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I020	20	lexical_entry	vocabulary_and_situations	directions_and_places	醫院	ji1 jyun2	hospital	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/verbs.js || review_packet:review-packets/corpus-review/AA56/bounded-review-decisions-r1.tsv || review_packet:review-packets/corpus-review/AA56/bounded-review-packet-r1.tsv || review_packet:review-packets/corpus-review/NOMINAL-MODIFICATION/issue-315/AA07-compact-review.tsv || review_packet:review-packets/native-panel/active-v2/interim-exports/YUE-JUDGMENT-PILOT-01-2026-07-31/item-statistics.csv || external_evidence:external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.tsv || external_evidence:external-evidence/aa56-no-place-hkcancor/hkcancor-aa56-no-place-query-summary.json || external_evidence:external-evidence/aa76-hkcancor/hkcancor-aa76-bei-give-candidate-inventory.tsv
GLOSSIKA-YUEHK-A1-W15-20260628-I021	21	lexical_entry	vocabulary_and_situations	directions_and_places	公園	gung1 jyun2	park	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/places-and-times.js || runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js || runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/study-suite.js || runtime_source:src/runtime-resources/presentation/learner-glosses.js || runtime_source:src/runtime-resources/pronunciation/jyutping-review-expectations.js || executable_test_or_fixture:tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-012-20260222/crosswalk.json
GLOSSIKA-YUEHK-A1-W15-20260628-I022	22	lexical_entry	vocabulary_and_situations	directions_and_places	教堂	gaau3 tong4	church	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I023	23	lexical_entry	vocabulary_and_situations	directions_and_places	郵局	jau4 guk2	post office	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	review_packet:review-packets/corpus-review/AA56/bounded-review-decisions-r1.tsv || review_packet:review-packets/corpus-review/AA56/bounded-review-packet-r1.tsv || review_packet:review-packets/corpus-review/NOMINAL-MODIFICATION/issue-315/AA07-compact-review.tsv || external_evidence:external-evidence/aa76-hkcancor/hkcancor-aa76-bei-give-candidate-inventory.tsv || external_evidence:external-evidence/cp021b/hkcancor-cp021b-candidate-inventory.tsv || research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I024	24	lexical_entry	vocabulary_and_situations	directions_and_places	街	gaai1	street	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/places-and-times.js || runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js || runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/study-suite.js || runtime_source:src/runtime-resources/presentation/learner-glosses.js || runtime_source:src/runtime-resources/pronunciation/jyutping-review-expectations.js || current_grammar_note:grammar/research_pending/NamingClause.md || executable_test_or_fixture:tests/constructions/ClauseSpan.json || executable_test_or_fixture:tests/constructions/MotionGoalVP.json
GLOSSIKA-YUEHK-A1-W15-20260628-I025	25	lexical_entry	vocabulary_and_situations	directions_and_places	十字路口	sap6 zi6 lou6 hau2	intersection	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I026	26	lexical_entry	vocabulary_and_situations	directions_and_places	行人路	haang4 jan4 lou6	sidewalk	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I027	27	lexical_entry	vocabulary_and_situations	directions_and_places	噴泉	pan3 cyun4	fountain	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I028	28	lexical_entry	vocabulary_and_situations	directions_and_places	雕像	diu1 zoeng6	statue	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I029	29	lexical_entry	vocabulary_and_situations	directions_and_places	窄巷	zaak3 hong6	alley	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I030	30	lexical_entry	vocabulary_and_situations	directions_and_places	迴旋處	wui4 syun4 cyu3	roundabout	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I031	31	lexical_entry	vocabulary_and_situations	directions_and_places	天橋	tin1 kiu4	overpass	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I032	32	lexical_entry	vocabulary_and_situations	directions_and_places	隧道	seoi6 dou6	tunnel	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-020-20260419/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-020-20260419/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-020-20260419/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-020-20260419/source.json || research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I033	33	lexical_entry	vocabulary_and_situations	directions_and_places	橋	kiu4	bridge	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	review_packet:review-packets/corpus-review/AA56/bounded-review-decisions-r1.tsv || review_packet:review-packets/corpus-review/AA56/bounded-review-packet-r1.tsv || review_packet:review-packets/corpus-review/NOMINAL-MODIFICATION/AA91-full-review-r1.tsv || review_packet:review-packets/corpus-review/NOMINAL-MODIFICATION/issue-315/AA07-compact-review.tsv || review_packet:review-packets/corpus-review/NOMINAL-MODIFICATION/issue-315/AA91-compact-review.tsv || external_evidence:external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.tsv || external_evidence:external-evidence/aa56-no-place-hkcancor/hkcancor-aa56-no-place-query-summary.json || external_evidence:external-evidence/aa62-hkcancor/hkcancor-aa62-v-gwo-candidate-inventory.json
GLOSSIKA-YUEHK-A1-W15-20260628-I034	34	lexical_entry	vocabulary_and_situations	directions_and_places	廣場	gwong2 coeng4	square	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	external_evidence:external-evidence/aa84-bare-redup-hkcancor/hkcancor-aa84-bare-redup-candidate-inventory.tsv || research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md || research_report:docs/research/PRQ2-005-HOI1-HABITUAL-ESTABLISHED-ACTIVITY-COLLISION-AUDIT-R1.tsv || research_report:docs/research/PRQ2-005-HOI1-HABITUAL-ESTABLISHED-ACTIVITY-RESEARCH-R1.md
GLOSSIKA-YUEHK-A1-W15-20260628-I035	35	lexical_entry	vocabulary_and_situations	directions_and_places	噴水池	pan3 seoi2 ci4	fountain	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I036	36	lexical_entry	vocabulary_and_situations	directions_and_places	行人天橋	haang4 jan4 tin1 kiu4	overpass	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I037	37	lexical_entry	vocabulary_and_situations	directions_and_places	戲票	hei3 piu3	theater ticket	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I038	38	lexical_entry	vocabulary_and_situations	numbers	十萬	sap6 maan6	100 thousand	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=Nine forms are compositionally uncovered; 一百萬 is already represented. No opaque bulk ingress is warranted.	pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/expert-review-r1.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/mechanical-cross-reference-r1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/research-summary.md || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/source.json || review_packet:review-packets/corpus-review/NOMINAL-MODIFICATION/issue-315/AA07-compact-review.tsv || external_evidence:external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.tsv || external_evidence:external-evidence/aa56-no-place-hkcancor/hkcancor-aa56-no-place-query-summary.json
GLOSSIKA-YUEHK-A1-W15-20260628-I039	39	lexical_entry	vocabulary_and_situations	numbers	二十萬	ji6 sap6 maan6	200 thousand	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=Nine forms are compositionally uncovered; 一百萬 is already represented. No opaque bulk ingress is warranted.	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I040	40	lexical_entry	vocabulary_and_situations	numbers	三十萬	saam1 sap6 maan6	300 thousand	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=Nine forms are compositionally uncovered; 一百萬 is already represented. No opaque bulk ingress is warranted.	external_evidence:external-evidence/aa56-no-place-hkcancor/hkcancor-aa56-no-place-query-summary.json || external_evidence:external-evidence/aa77-hkcancor/hkcancor-aa77-jau-mou-query-summary.json || research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I041	41	lexical_entry	vocabulary_and_situations	numbers	四十萬	sei3 sap6 maan6	400 thousand	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=Nine forms are compositionally uncovered; 一百萬 is already represented. No opaque bulk ingress is warranted.	research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I042	42	lexical_entry	vocabulary_and_situations	numbers	五十萬	ng5 sap6 maan6	500 thousand	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=Nine forms are compositionally uncovered; 一百萬 is already represented. No opaque bulk ingress is warranted.	external_evidence:external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.tsv || research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I043	43	lexical_entry	vocabulary_and_situations	numbers	六十萬	luk6 sap6 maan6	600 thousand	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=Nine forms are compositionally uncovered; 一百萬 is already represented. No opaque bulk ingress is warranted.	review_packet:review-packets/corpus-review/NOMINAL-MODIFICATION/issue-315/AA07-compact-review.tsv || research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
