item_id,publication_status,reason
G02C04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02D01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02D02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02D03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02D04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03A01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03A02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03A03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03A04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03B01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03B02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03B03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03B04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03C01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03C02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03C03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03C04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03D01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03D02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03D03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G03D04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04A01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04A02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04A03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04A04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04B01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04B02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04B03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04B04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04C01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04C02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04C03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04C04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04D01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04D02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04D03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G04D04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05A01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05A02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05A03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05A04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05B01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05B02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05B03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05B04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05C01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05C02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05C03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05C04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05D01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05D02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05D03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G05D04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
F001,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
F002,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
F003,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
F004,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
F005,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
F006,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
F007,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
F008,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
F009,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
F010,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
C001,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
C002,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
