item_id,sentence,n,mean,sd,median,rating_1,rating_2,rating_3,rating_4,rating_5,natural_1_2_pct,uncertain_3_pct,unnatural_4_5_pct,correction_count
G03A03,呢筆錢用嚟買禮物。,8,1.5,1.4142,1.0,7,0,0,0,1,87.5,0.0,12.5,0
G03B03,呢筆錢用咗嚟買禮物。,8,1.25,0.7071,1.0,7,0,1,0,0,87.5,12.5,0.0,1
G03C03,呢筆錢用嚟買咗份禮物。,9,2.0,1.5,1,5,2,0,1,1,77.78,0.0,22.22,2
G03D03,我留咗呢筆錢嚟買禮物。,11,1.1818,0.4045,1,9,2,0,0,0,100.0,0.0,0.0,1
G03A04,下晝嗰個鐘用嚟休息。,11,2.3636,1.4334,3,5,0,4,1,1,45.45,36.36,18.18,2
G03B04,下晝嗰個鐘用咗嚟休息。,8,2.5,1.4142,2.5,3,1,1,3,0,50.0,12.5,37.5,2
G03C04,下晝嗰個鐘用嚟休息咗一陣。,8,2.875,1.3562,2.5,1,3,1,2,1,50.0,12.5,37.5,5
G03D04,我空咗下晝嗰個鐘嚟休息。,9,2.3333,1.5811,2,4,2,0,2,1,66.67,0.0,33.33,4
G04A01,呢個攪拌器用嚟打蛋。,9,1.1111,0.3333,1,8,1,0,0,0,100.0,0.0,0.0,1
G04B01,呢個攪拌器用嚟打蛋同拌勻麵糊。,11,1.3636,0.5045,1,7,4,0,0,0,100.0,0.0,0.0,3
G04C01,用嚟打蛋。,8,1.375,0.744,1.0,6,1,1,0,0,87.5,12.5,0.0,0
G04D01,呢個攪拌器用嚟做咩㗎？,8,1.5,0.7559,1.0,5,2,1,0,0,87.5,12.5,0.0,1
G04A02,呢間細房用嚟放文件。,8,1.0,0.0,1.0,8,0,0,0,0,100.0,0.0,0.0,0
G04B02,呢間細房用嚟放文件同包裹。,9,1.1111,0.3333,1,8,1,0,0,0,100.0,0.0,0.0,1
G04C02,用嚟放文件。,11,2.3636,1.2863,3,4,1,5,0,1,45.45,45.45,9.09,3
G04D02,呢間細房用嚟做咩㗎？,8,1.0,0.0,1.0,8,0,0,0,0,100.0,0.0,0.0,0
G04A03,呢個盤用嚟擺杯。,8,1.25,0.7071,1.0,7,0,1,0,0,87.5,12.5,0.0,0
G04B03,呢個盤用嚟擺杯同碟。,8,1.125,0.3536,1.0,7,1,0,0,0,100.0,0.0,0.0,0
G04C03,用嚟擺杯。,9,1.4444,0.8819,1,7,0,2,0,0,77.78,22.22,0.0,1
G04D03,呢個盤用嚟做咩㗎？,11,1.0,0.0,1,11,0,0,0,0,100.0,0.0,0.0,0
G04A04,呢個程式用嚟記低開支。,11,2.2727,1.4206,2,4,4,0,2,1,72.73,0.0,27.27,6
G04B04,呢個程式用嚟記低開支同整理收據。,8,1.375,0.744,1.0,6,1,1,0,0,87.5,12.5,0.0,1
G04C04,用嚟記低開支。,8,1.75,0.8864,1.5,4,2,2,0,0,75.0,25.0,0.0,1
G04D04,呢個程式用嚟做咩㗎？,9,1.2222,0.441,1,7,2,0,0,0,100.0,0.0,0.0,2
G05A01,我睇咗嗰本書。,9,1.0,0.0,1,9,0,0,0,0,100.0,0.0,0.0,0
G05B01,我睇完咗嗰本書。,11,1.5455,1.2136,1,8,2,0,0,1,90.91,0.0,9.09,3
G05C01,我拎咗嗰本書返房。,8,1.375,0.5175,1.0,5,3,0,0,0,100.0,0.0,0.0,1
G05D01,我睇咗喇。,8,1.25,0.7071,1.0,7,0,1,0,0,87.5,12.5,0.0,0
G05A02,佢食咗個三文治。,8,1.0,0.0,1.0,8,0,0,0,0,100.0,0.0,0.0,0
G05B02,佢食完咗個三文治。,9,3.7778,1.8559,5,2,1,0,0,6,33.33,0.0,66.67,7
G05C02,佢拎咗個三文治入房。,11,1.0909,0.3015,1,10,1,0,0,0,100.0,0.0,0.0,0
G05D02,佢食咗喇。,8,1.0,0.0,1.0,8,0,0,0,0,100.0,0.0,0.0,0
G05A03,阿欣寫咗份報告。,8,1.0,0.0,1.0,8,0,0,0,0,100.0,0.0,0.0,0
G05B03,阿欣寫完咗份報告。,8,2.0,1.6036,1.0,5,1,0,1,1,75.0,0.0,25.0,2
G05C03,阿欣擺咗份報告喺枱面。,9,1.0,0.0,1,9,0,0,0,0,100.0,0.0,0.0,0
G05D03,阿欣寫咗喇。,11,1.5455,0.8202,1,7,2,2,0,0,81.82,18.18,0.0,2
G05A04,我哋搬咗三個箱。,11,1.0,0.0,1,11,0,0,0,0,100.0,0.0,0.0,0
G05B04,我哋搬完咗三個箱。,8,3.0,1.6903,3.0,2,2,0,2,2,50.0,0.0,50.0,4
G05C04,我哋放咗三個箱入倉。,8,1.0,0.0,1.0,8,0,0,0,0,100.0,0.0,0.0,0
G05D04,我哋搬咗喇。,9,1.0,0.0,1,9,0,0,0,0,100.0,0.0,0.0,0
F001,佢每日朝早都搭巴士返工。,36,1.1944,0.4014,1.0,29,7,0,0,0,100.0,0.0,0.0,7
F002,張相擺喺書架上面。,36,1.25,0.77,1.0,32,1,1,2,0,91.67,2.78,5.56,3
F003,落雨嗰陣記得帶遮呀。,36,1.5833,1.1307,1.0,26,5,0,4,1,86.11,0.0,13.89,7
F004,我哋聽日下晝先去買餸。,36,1.0556,0.2323,1.0,34,2,0,0,0,100.0,0.0,0.0,0
F005,我尋日一本書買。,36,4.8056,0.8218,5.0,1,1,0,0,34,5.56,0.0,94.44,29
F006,佢喺廚房飯煮緊。,36,4.4722,1.2758,5.0,4,0,0,3,29,11.11,0.0,88.89,28
F007,我見到三張學生。,36,4.6389,0.8993,5.0,1,0,4,1,30,2.78,11.11,86.11,28
F008,聽日我哋去先醫院。,36,3.7222,1.632,4.5,8,1,2,7,18,25.0,5.56,69.44,24
F009,得喇。,36,1.6667,1.331,1.0,26,5,0,1,4,86.11,0.0,13.89,8
F010,嗰個先啦。,36,2.2222,1.3546,2.0,16,5,10,1,4,58.33,27.78,13.89,6
C001,小朋友喺公園度玩緊。,36,1.3333,0.8619,1.0,30,3,0,3,0,91.67,0.0,8.33,3
C002,我今日超市去買餸。,36,4.2222,1.3117,5.0,3,3,0,7,23,16.67,0.0,83.33,28
