runtime_label	lane	claim_layer	current_status	origin_status	legacy_source_link_status	legacy_pattern_edge_count	claim_source_row_count	mapped_external_source_count	mapped_external_source_ids	mapping_batch	cumulative_mapping	mapping_status	mapping_disposition	research_priority	next_action
CausativeResultPredicate	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	6	2	SRC-KEDZIOR-2023;SRC-LAI-PANG-2023	CP021B-R28	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R28.tsv	COMPLETE_WITH_SPLIT_GAP_MERGE_AND_REALIGNMENT_BOUNDARIES	SOURCE_LINKED_TWO_VERBAL_CAUSE_EFFECT_CORE_WITH_EXACT_LEXICAL_TEMPLATE_AND_ARGUMENT_REALIGNMENT_REQUIRED	R28_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Treat cause/effect as a construction-level relation; review child-node necessity and do not derive roles mechanically from individual verbs.
ChangeIntoPredicate	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	6	2	SRC-LAI-PANG-2023;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R28	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R28.tsv	COMPLETE_WITH_SPLIT_GAP_MERGE_AND_REALIGNMENT_BOUNDARIES	LEXICAL_CHANGE_PREDICATE_SOURCE_LINKED_RESULT_COMPLEMENT_TYPE_SPLIT_REQUIRED	R28_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Retain lexical 變成 while splitting overt complement types and keeping productivity/selection lexically bounded.
ClassifierObjectNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	5	4	SRC-BOND-SIO-2024-CLASSIFIERS,SRC-CHENG-SYBESMA-1999-NP,SRC-SIMPSON-SOH-NOMOTO-2011-BARE-CL,SRC-XIA-2025-CLASSIFIERS	CP021B-R5	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	COMPLETE_REPRESENTATION_REALIGNMENT	SOURCE_LINKED_REPRESENTATION_REALIGNMENT_REQUIRED	R5_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Realign to a role-neutral classifier+noun representation; assign object/topic/subject roles at the containing frame.
ClauseLinkingSequence	LANE-02	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0		CP021B-R34	PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv	COMPLETE_INTERNAL_DISPOSITION	KEEP_INTERNAL_DISCOURSE_WRAPPER_WITH_TYPED_RELATION_CHILD_AND_WRAPPER_COVERAGE	INTERNAL_DISPOSITION_COMPLETE_LANGUAGE_PRECONDITION_RECORDED	Keep as an internal wrapper; do not assign conditional, causal, temporal, sequential, concessive, or topic-chain meaning from the wrapper name alone.
ClauseRelation	LANE-02	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0		CP021B-R34	PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv	COMPLETE_INTERNAL_DISPOSITION	KEEP_INTERNAL_TYPED_RELATION_NODE_REQUIRE_SOURCE_LINKED_SUBTYPE	INTERNAL_DISPOSITION_COMPLETE_LANGUAGE_PRECONDITION_RECORDED	Keep the container, but require every relation subtype and linker interpretation to inherit an independently mapped language claim and negative boundary.
ClauseRelationMember	LANE-02	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0		CP021B-R34	PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv	COMPLETE_INTERNAL_DISPOSITION	KEEP_INTERNAL_RELATION_MEMBER_CONTAINER_NO_INDEPENDENT_LANGUAGE_STATUS	INTERNAL_DISPOSITION_COMPLETE_LANGUAGE_PRECONDITION_RECORDED	Keep internal and non-learner-facing; inherit all semantic status from the parent relation or context diagnostic.
CognitionContentFrame	LANE-08	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	8	3	SRC-ALDERETE-ETAL-2017-SYNOPSIS,SRC-LUI-2025-REPORTED-THOUGHT,SRC-YAP-WONG-CHOR-2014-STANCE	CP021B-R15	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R15.tsv	COMPLETE_WITH_LEXICAL_SELECTION_AND_COMPLEMENT_BOUNDARIES	SOURCE_LINKED_LEXICAL_SELECTION_AND_COMPLEMENT_TYPE_NARROWING_REQUIRED	R15_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Retain only overt, lexeme-licensed complement profiles; do not use parser slot compatibility as a grammar cross-product; separate lexical ignorance from stance uses.
CognitionDelimitedObjectVP	LANE-08	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	6	3	SRC-ALDERETE-ETAL-2017-SYNOPSIS,SRC-SIO-BOND-2025,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R31	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R31.tsv	COMPLEMENT_TYPES_LINKED_EXACT_NP_TEMPLATE_GAP	SOURCE_LINKED_COGNITION_DELIMITATIVE_COMPLEMENT_TYPE_SPLIT_AND_EXACT_OBJECT_TEMPLATE_GAP	R31_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Split nominal, propositional, polar-clausal, and omitted content; keep 音樂嘅嘢 exact template quarantined pending direct evidence.
CognitionDelimitedVP	LANE-08	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	6	2	SRC-SIO-BOND-2025,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R31	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R31.tsv	COMPONENT_FORM_LINKED_SPECIAL_WRAPPER_REALIGNMENT	SOURCE_LINKED_COGNITION_DELIMITATIVE_FORM_WITH_LEXEME_SELECTION_AND_ORDINARY_DELIMITATIVE_MERGE_REQUIRED	R31_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Merge cognition+吓 into ordinary delimitative composition with lexeme restrictions; retain exact source and complement structure.
CognitionStatementClause	LANE-08	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	6	2	SRC-LUI-2025-REPORTED-THOUGHT,SRC-YAP-WONG-CHOR-2014-STANCE	CP021B-R15	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R15.tsv	PARTIAL_GENERAL_BARE_PROFILE_LINKED_EXACT_POSITIVE_FORM_GAP	GENERAL_BARE_COGNITION_LINKED_EXACT_POSITIVE_PROFILE_GAP	R15_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Keep exact positive 我知 profile quarantined pending direct authority; treat all omitted content as context-dependent and do not fabricate a proposition.
Comment	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0		CP021B-R34	PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv	COMPLETE_INTERNAL_DISPOSITION	MERGE_COMMENT_NODE_INTO_TOPICCOMMENT_PREDICATE_ROLE	INTERNAL_DISPOSITION_COMPLETE_LANGUAGE_PRECONDITION_RECORDED	Remove as an active construction during remediation; preserve comment as a slot/role on the underlying predicate.
ComparativeStative	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	6	2	SRC-LAM-2014-SURPASS-COMPARATIVE;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R29	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R29.tsv	SOURCE_LINKED_DI1_SCALAR_COMPARATIVE_WITH_POSITIONAL_SPLIT_AND_DORMANT_DUPLICATE_MERGE_OR_RETIRE	SOURCE_LINKED_DI1_SCALAR_COMPARATIVE_WITH_POSITIONAL_SPLIT_AND_DORMANT_DUPLICATE_MERGE_OR_RETIRE	R29_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
ComplementEllipsisFragment	LANE-04	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	15	6	SRC-ALDERETE-ETAL-2017-SYNOPSIS;SRC-CHENG-2022-HAI6-RESPONSE;SRC-LEE-PAN-2024-VP-ELLIPSIS;SRC-LUKE-NANCARROW-1998-AUXILIARIES;SRC-YIP-MATTHEWS-2000-SYNTACTIC-TRANSFER;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R26	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R26.tsv	COMPLETE_WITH_SPLIT_AND_REALIGNMENT_BOUNDARIES	SOURCE_LINKED_DOMAIN_OMISSION_AND_RESPONSE_PARTICLE_SPLIT_WITH_EMBEDDED_EXACT_FORM_GAPS	R26_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Split existential-domain omission, response particles/propositional anaphora, independently evidenced copular omission, null arguments, and selectively licensed VP ellipsis; preserve overt tokens and unresolved antecedent status.
CompletionQuestion	LANE-05	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	4	1	SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R6	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R6.tsv	COMPLETE_WITH_OVERT_LICENSING_NARROWING	SOURCE_LINKED_NARROWING_REQUIRED	R6_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Require an overt completion/result/aspect licensing subtype for the language claim; keep perfective, experiential, and result/completion readings distinct; quarantine bare reviewed VO + 未 pending evidence.
CompletionThenClause	LANE-02	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	10	3	SRC-FAN-CHAN-2022,SRC-LIANG-MAI-2025-GRAMMAR-CODING,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R25	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R25.tsv	COMPLETE_WITH_SPLIT_AND_REALIGNMENT_BOUNDARIES	SOURCE_LINKED_COMPLETION_SEQUENCE_WITH_ZAU6_AND_CLAUSE_BOUNDARY_REALIGNMENT_REQUIRED	R25_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Realign to ordinary completion structure plus a 就-marked sequence relation; preserve local subjects and clause boundaries, and do not infer conditionality.
CompletionVP	LANE-05	language	research_pending	legacy_source_linked_posthoc	scoped_edges_recorded	4	8	4	SRC-FAN-CHAN-2022,SRC-SIO-BOND-2025,SRC-SYBESMA-2013,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R6	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R6.tsv	COMPLETE_WITH_PARTICLE_CLASS_SPLIT_BOUNDARY	SOURCE_LINKED_SPLIT_REQUIRED	R6_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Keep the sourced V完 and V完咗O family narrow; split 完 phase/endpoint, 晒 totality, result-state, and outer-perfective layers. Research 晒 separately before disposition.
CompoundDirectionalMotionVP	LANE-09	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	4	3	SRC-CHOR-2018-DIRECTIONALS,SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-YIU-2016-DIRECTIONAL-ASPECT	CP021B-R3	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	REPRESENTATION_REALIGNMENT_REQUIRED	SOURCE_LINKED_REPRESENTATION_REALIGNMENT_REQUIRED	P0_REALIGN_NODE_BOUNDARIES	Reconcile the inconsistent runtime spans for 返上嚟 and 行返過嚟; preserve ordering and object-placement restrictions.
ConditionResult	LANE-02	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	10	3	SRC-CHENG-2023-TP-SFP-CONDITIONAL,SRC-LIANG-MAI-2025-GRAMMAR-CODING,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R25	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R25.tsv	COMPLETE_WITH_SPLIT_AND_REALIGNMENT_BOUNDARIES	SOURCE_LINKED_CONSEQUENT_ZAU6_WITH_CONDITIONAL_TEMPORAL_SEQUENCE_SPLIT_AND_WRAPPER_REALIGNMENT_REQUIRED	R25_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Replace the action+就+stative wrapper with a relation between independently parsed clauses; distinguish conditional consequent 就 from temporal/sequential and other uses.
ConditionalClause	LANE-02	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	10	4	SRC-CHENG-2023-TP-SFP-CONDITIONAL,SRC-IIDA-2009-CONDITIONAL-GE3,SRC-LIANG-MAI-2025-GRAMMAR-CODING,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R25	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R25.tsv	COMPLETE_WITH_SPLIT_AND_REALIGNMENT_BOUNDARIES	SOURCE_LINKED_CONDITIONAL_MARKER_SUBTYPE_SPLIT_AND_ANTECEDENT_RESULT_ATTACHMENT_REALIGNMENT_REQUIRED	R25_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Split 如果, 嘅話, bare conditional 嘅, markerless/contextual condition relations, and isolated antecedent fragments; preserve marker tone and result attachment without inserting hidden content.
CoordinatedNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	6	2	SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R32	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R32.tsv	NOMINAL_COORDINATION_LINKED_MARKER_AND_ROLE_SPLIT	SOURCE_LINKED_NOMINAL_COORDINATION_MARKER_SPLIT_WITH_COMITATIVE_AMBIGUITY_AND_ROLE_NEUTRALITY_REQUIRED	R32_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Split overt 同, 同埋, and juxtaposition profiles; distinguish coordination from comitative/coverb 同 and assign clause role outside the NP.
CoordinatedSubjectModalPredicateClause	LANE-07	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0		CP021B-R34	PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv	COMPLETE_INTERNAL_DISPOSITION	MERGE_COORDINATED_NP_PLUS_MODAL_CLAUSE_RETIRE_COMBINED_WRAPPER	INTERNAL_DISPOSITION_COMPLETE_LANGUAGE_PRECONDITION_RECORDED	Decompose into a sourced coordinated NP plus ordinary modal/clause structure; retire the combined label.
CopularANotAQuestion	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	7	3	SRC-LAW-2001-ANOTA,SRC-LI-2017-ANOTA,SRC-YIP-1988-NEGATION	CP021B-R7	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R7.tsv	COMPLETE_WITH_CONTESTED_ANALYSIS_BOUNDARY	SOURCE_LINKED_ANALYSIS_CONTESTED_REPRESENTATION_NARROWING	R7_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Preserve overt 係唔係 while distinguishing nominal and clausal complements; record the syntactic analysis as contested and keep tokenization decisions internal.
CopularIdentificationFrame	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0		CP021B-R34	PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv	COMPLETE_INTERNAL_DISPOSITION	MERGE_TO_CANONICAL_COPULAR_CLAUSE_WITH_IDENTIFICATION_SUBTYPE	INTERNAL_DISPOSITION_COMPLETE_LANGUAGE_PRECONDITION_RECORDED	Consolidate with a canonical copular-clause design; if the identification subtype survives, move its licensing claim to the language layer and source it explicitly.
CopularRelationFrame	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0		CP021B-R34	PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv	COMPLETE_INTERNAL_DISPOSITION	MERGE_TO_CANONICAL_COPULAR_CLAUSE_COMPLEMENT_TYPE_AS_METADATA	INTERNAL_DISPOSITION_COMPLETE_LANGUAGE_PRECONDITION_RECORDED	Merge into canonical copular composition; preserve complement type and stance embedding as metadata rather than a parallel frame ontology.
CoverbFrame	LANE-01	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	10	5	SRC-FRANCIS-MATTHEWS-2006-COVERBS,SRC-KWAN-2010-LOCATIVE,SRC-LEUNG-2014-COVERBS,SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R23	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R23.tsv	COMPLETE_WITH_MARKER_ORDER_SCOPE_AND_WRAPPER_BOUNDARIES	SOURCE_LINKED_MARKER_AND_RELATION_SUBTYPE_SPLIT_WITH_CATEGORY_ATTACHMENT_BOUNDARY_REQUIRED	R23_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
DefinitionComplement	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0		CP021B-R34	PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv	COMPLETE_INTERNAL_DISPOSITION	KEEP_INTERNAL_BOUNDED_DEFINITION_COMPLEMENT_SPAN_ONLY	INTERNAL_DISPOSITION_COMPLETE_LANGUAGE_PRECONDITION_RECORDED	Keep only as an internal child span; it may not independently license a definition reading or convert arbitrary text into an NP.
DefinitionExplanatoryFrame	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0		CP021B-R34	PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv	COMPLETE_INTERNAL_DISPOSITION	NARROW_EXACT_HAI6_COMPLEMENT_LAI4_GAA3_DEFINITION_PROFILE_OR_RECLASSIFY_LANGUAGE	INTERNAL_DISPOSITION_COMPLETE_LANGUAGE_PRECONDITION_RECORDED	Keep quarantined. In consolidation, either merge it into sourced copular/identity/question components or reclassify the retained exact construction to the language layer before implementation.
DegreeMannerAdverbial	LANE-10	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	10	3	SRC-CHOW-2007-CANTONESE-EVERYONE,SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R23	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R23.tsv	COMPLETE_WITH_MARKER_ORDER_SCOPE_AND_WRAPPER_BOUNDARIES	SOURCE_LINKED_SCALAR_PROPERTY_AND_ACTION_MANNER_SPLIT_WITH_HEAD_SELECTION_NARROWING_REQUIRED	R23_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
DegreeMannerModifiedVP	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	10	2	SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R23	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R23.tsv	COMPLETE_WITH_MARKER_ORDER_SCOPE_AND_WRAPPER_BOUNDARIES	COMPONENTS_SOURCE_LINKED_PREPOSED_MODIFIER_WRAPPER_REALIGNMENT_REQUIRED	R23_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
