canonical_family_id	canonical_family	family_type	member_label_count	member_labels	source_claim_row_count	external_source_count	internal_source_count	runtime_code_reference_count	accepted_tree_occurrence_count	development_seed_surface_count	external_evidence_score_0_4	exact_runtime_scope_score_0_4	negative_boundary_maturity_score_0_4	evaluation_seed_score_0_4	cleanup_reversibility_score_0_4	architecture_risk_score_0_4	competing_analysis_risk_score_0_4	native_review_need_score_0_4	learner_harm_priority_score_0_4	implementation_readiness_points_0_20	remediation_priority_points_0_20	readiness_status	primary_cp022_package	prerequisite_family_ids	dependent_family_ids	exact_gap_member_count	umbrella_member_count	early_cleanup_member_count	implementation_authorized	held_out_state	scoring_limit
L25	TypedWhAndStanceQuestions	language_family	7	IdentityWhQuestion;LocativeWhQuestion;OpinionQuestion;ProgressivePlaceQuestion;ProgressiveWhObjectQuestion;ScalarValueQuestion;SchedulingQuestion	44	7	4	88	7	7	2	2	4	2	1	2	4	4	4	5	16	PARTIAL_CLEANUP_BLOCKED_SUBTYPES	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	I03;L31		1	0	2	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
I05	DiscourseRoleStructure	internal_architecture	4	Comment;Topic;TopicComment;TopicCommentClause	0	0	0	85	1	1	4	2	1	1	1	2	4	4	4	3	16	PARTIAL_CLEANUP_BLOCKED_SUBTYPES	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	I01		1	0	2	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L15	ResultativeAndChangePredication	language_family	11	CausativeResultFrame;CausativeResultPredicate;ChangeIntoPredicate;DisposalChangeIntoResultFrame;ModalChangeIntoResultFrame;PerfectiveObjectResultPredicate;PerfectiveResultPredicate;ResultStateClause;SeemingPerfectiveResultClause;TransformationResultFrame;TransformationResultPredicate	66	6	1	111	0	0	2	2	4	0	1	3	4	2	4	2	16	PARTIAL_CLEANUP_BLOCKED_SUBTYPES	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	L06;L45		2	0	5	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
I03	ParticleScope	internal_architecture	3	DiscourseParticleFrame;FocusParticleFrame;PolarQuestionFrame	0	0	0	69	33	18	4	4	1	3	4	2	3	4	4	11	15	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	I01	L25;L28	0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L07	ExperientialAspect	language_family	5	ExperientialClause;ExperientialQuestion;ExperientialVP;ExperientialYesNoQuestion;NegativeExperiential	35	8	2	55	6	3	4	3	4	2	2	2	3	3	4	10	15	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	L26		0	0	1	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L16	ClassifierAndQuantityNP	language_family	8	ApproximateQuantity;BareClassifierNP;ClassifierObjectNP;DemonstrativeQuantifiedClassifierNP;QuantifiedClassifierNP;QuantifiedPersonNP;QuantifiedTimeNP;QuantityNP	49	10	4	129	47	21	4	2	4	4	1	3	3	2	3	9	15	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	I04	L17;L22	0	1	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L26	Negation	language_family	6	NegatedDirectionalMotionVP;NegatedExistentialClause;NegatedLexicalizedStative;NegatedStativePredicate;NegatedVP;NegativeHaveClause	33	10	4	77	13	9	4	3	4	2	2	3	3	3	4	9	15	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	L39;L42;L33	L07	0	0	2	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L12	ResultAndPotentialComplements	language_family	7	NegativePotentialComplement;NegativePotentialDirectionalVP;PotentialDirectionalVP;PotentialResultVP;ResultComplement;ResultComplementVP;VerbComplementVP	34	5	1	95	25	22	3	2	4	3	1	2	4	2	4	7	15	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	L45	L11	0	1	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L31	CognitionAndStance	language_family	5	CognitionContentFrame;CognitionDelimitedObjectVP;CognitionDelimitedVP;CognitionStatementClause;OpinionStanceFrame	35	6	2	65	27	13	2	2	4	3	1	2	4	4	4	6	15	RESEARCH_GAP_BEFORE_FULL_IMPLEMENTATION	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	I07	L25	2	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
I04	NominalAndMeasureSpan	internal_architecture	4	DefinitionComplement;HeadNP;MeasureExpression;ModifierPhrase	0	0	0	61	43	12	4	4	1	4	4	1	0	0	2	16	14	READY_SAFE_CLEANUP	CP022-I1A_INTERNAL_WRAPPER_CLEANUP		L16;L19;L20;L44	0	0	1	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L32	SpeechReportingAndCommunicationEffect	language_family	3	DitransitiveSpeechVP;ReportedSpeech;SpeechTransferClause	22	7	2	36	7	6	3	3	4	2	2	2	3	3	3	9	14	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	I07;L01		0	0	1	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L23	ANotAQuestions	language_family	4	ANotAQuestion;AcceptabilityANotA;CopularANotAQuestion;ModalANotAQuestion	29	5	1	69	12	8	2	2	4	2	1	2	3	4	4	6	14	RESEARCH_GAP_BEFORE_FULL_IMPLEMENTATION	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	I06;L29		1	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L06	PerfectiveAspect	language_family	1	PerfectiveVP	9	4	1	34	43	6	3	3	4	4	2	1	1	2	3	14	13	READY_AFTER_PACKET	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING		L13;L15	0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L17	DemonstrativeNP	language_family	2	DemonstrativeClassifierNP;DemonstrativeHeadNP	10	4	1	33	32	6	3	3	4	3	2	1	1	2	2	13	13	READY_AFTER_PACKET	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	L16		0	0	1	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L08	ProgressiveAspect	language_family	2	ProgressiveTransitivePredicate;ProgressiveVP	11	5	1	23	6	6	3	3	4	2	2	1	1	2	3	12	13	READY_AFTER_PACKET	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING		L13	0	0	1	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L11	Completion	language_family	2	CompletionQuestion;CompletionVP	12	4	1	49	15	11	3	3	4	2	2	2	3	2	4	9	13	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	L12		0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L36	LocativeAndPosturalPredication	language_family	2	LocativePlacePhrase;LocativePostureVP	18	5	3	35	15	6	3	3	4	2	2	2	4	3	4	8	13	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	L40	L40	0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L29	Modality	language_family	1	ModalVP	12	2	1	35	15	6	2	2	4	2	1	4	4	2	4	3	13	ARCHITECTURE_PROGRAM	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE		L23;L30	0	1	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
I06	CopularComposition	hybrid_internal_language_sensitive	3	CopularIdentificationFrame;CopularRelationFrame;DefinitionExplanatoryFrame	0	0	0	46	3	3	0	2	1	1	1	2	3	2	3	0	13	PARTIAL_CLEANUP_BLOCKED_SUBTYPES	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	I01	L23	1	0	2	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
I02	ClauseRelationGraph	internal_architecture	3	ClauseLinkingSequence;ClauseRelation;ClauseRelationMember	0	0	0	66	131	8	4	4	1	4	4	1	0	0	2	16	12	READY_SAFE_CLEANUP	CP022-I1A_INTERNAL_WRAPPER_CLEANUP		I01;L02;L03;L35	0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L30	DesirePreferenceAndIntention	language_family	3	DesiderativeVP;IntentionFrame;PreferenceVP	24	4	2	40	12	6	3	3	4	2	2	2	3	3	3	9	12	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	L29		0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L01	CoverbAndParticipantRelations	language_family	5	PassivePermissiveRelation;CoverbFrame;IntendedFunctionRelation;PostThemeParticipantRelation;LexicalGiveRelation	47	15	3	81	9	9	4	2	4	2	1	2	3	2	3	8	12	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS		L32	0	1	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L43	ScalarComparisonAndEvaluation	language_family	4	ComparativeStative;EvaluationWithDouSyun;ScalarEvaluation;ScalarRangeFragment	24	2	2	49	0	0	2	3	4	0	2	2	3	3	3	6	12	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES		L42	0	0	2	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L04	FormulaicDiscourse	lexicalized_family	1	FormulaDiscourseUnit	16	4	1	33	32	6	3	4	4	3	3	1	1	4	2	15	11	READY_AFTER_PACKET	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING			0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L03	TemporalAndSequentialRelations	language_family	4	CompletionThenClause;PriorityMarkerClause;TemporalAdverbialClause;TemporalClause	29	8	3	51	6	6	4	2	4	2	1	2	3	3	3	8	11	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	I02		0	1	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L20	PossessiveNominals	language_family	3	PossessiveClassifierNP;PossessiveNP;PossessiveTransferClause	16	6	2	27	0	0	3	3	4	0	2	2	3	3	3	7	11	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	I04		0	0	2	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L37	MannerAndReduplication	language_family	4	DegreeMannerAdverbial;DegreeMannerModifiedVP;MannerAdverbialVP;ReduplicatedVP	39	5	2	47	6	6	3	2	4	2	1	2	3	3	3	7	11	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	L42		0	1	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L24	ExistentialQuestions	language_family	3	ExistentialQuestion;ExistentialWhQuestion;PostposedExistentialQuestion	14	3	1	51	10	10	2	2	4	2	1	2	3	4	3	6	11	RESEARCH_GAP_BEFORE_FULL_IMPLEMENTATION	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	L39		1	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L40	LocativeClauseFrames	language_family	1	LocativeFrameClause	10	3	1	16	4	4	2	3	4	1	2	2	4	3	4	6	11	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	L36	L36	0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L44	TemporalAndMeasurePredication	language_family	3	NominalPredicateClause;TimeNP;TimeToActionFrame	25	6	3	38	13	7	2	2	4	2	1	2	4	3	3	5	11	RESEARCH_GAP_BEFORE_FULL_IMPLEMENTATION	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	I04;L42		1	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L41	EnvironmentalClauses	language_family	1	ImpersonalEnvironmentalClause	10	3	1	26	15	6	2	3	4	2	2	2	3	3	3	8	10	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS			0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L28	DirectivesRequestsAndSuggestions	language_family	3	PoliteImperativeClause;ProhibitiveImperative;SuggestionQuestion	24	3	1	38	1	1	2	3	4	1	2	2	3	4	3	7	10	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	I03		0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
I07	ComplementGrouping	hybrid_internal_language_sensitive	1	VPComplementFrame	0	0	0	27	0	0	0	1	1	0	0	4	4	1	4	0	10	RESEARCH_GAP_BEFORE_FULL_IMPLEMENTATION	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	L45	L31;L32	1	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L13	AspectDirectionalComposition	compositional_family	2	PerfectiveDirectionalVP;ProgressiveDirectionalVP	15	5	2	16	3	3	3	4	4	1	4	0	0	1	2	16	9	READY_SAFE_CLEANUP	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	L06;L08;L33		0	0	2	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L02	ConditionalRelations	language_family	2	ConditionResult;ConditionalClause	20	4	1	25	4	4	3	3	4	1	2	2	3	3	3	8	9	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	I02		0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L09	DurativeContinuativeAspect	language_family	1	DurativeVP	6	4	1	11	1	1	3	3	4	1	2	2	3	3	3	8	9	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS			0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L14	Faan1ComplementProfiles	lexicalized_family	2	RepetitiveComplementVP;RestorativeComplementVP	18	3	1	21	4	4	2	4	4	1	3	1	2	3	2	11	8	READY_AFTER_PACKET	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING			0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L21	OrdinalNominals	language_family	2	DiMarkedNP;OrdinalClassifierNP	11	3	2	39	5	5	2	3	4	1	2	1	2	3	2	9	8	READY_AFTER_PACKET	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES			0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L27	AcceptabilityAndFreeChoice	language_family	1	AcceptabilityClause	7	2	2	17	0	0	2	3	4	0	2	2	3	4	3	6	8	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING			0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L10	DelimitativeAspect	language_family	1	DelimitedVP	9	3	1	10	7	6	2	3	4	2	2	1	2	2	2	10	7	READY_AFTER_PACKET	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING		L35	0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L38	NamingAndAddress	lexicalized_family	2	NamingClause;VocativeAddressTerm	14	3	1	28	0	0	2	3	4	0	2	1	2	4	2	8	7	READY_AFTER_PACKET	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING			0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L18	AssociativeAndCoordinatedNP	language_family	2	AssociativeNP;CoordinatedNP	11	4	2	25	0	0	3	3	4	0	2	2	3	3	2	7	6	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES			0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L22	WhNominals	language_family	1	WhClassifierQuestion	9	3	1	10	3	3	2	3	4	1	2	2	3	3	2	7	6	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	L16		0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
