wave_id	runtime_label	canonical_family_id	canonical_family	target_action	target_node_or_family	accepted_tree_occurrence_count	runtime_code_reference_count	intended_semantic_change	allowed_diagnostic_change	compatibility_alias_required	required_packet_id	stop_condition
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	ComparativeStative	L43	ScalarComparisonAndEvaluation	MERGE_TRANSPARENT_COMPOSITION	ScalarComparisonAndEvaluation	0	7	NONE	migration alias and internal-node provenance only	YES	EP-R36-L43	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	DisposalChangeIntoResultFrame	L15	ResultativeAndChangePredication	MERGE_TRANSPARENT_COMPOSITION	ordinary disposal/modal/change composition	0	10	NONE	migration alias and internal-node provenance only	YES	EP-R36-L15	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	EvaluationWithDouSyun	L43	ScalarComparisonAndEvaluation	MERGE_TRANSPARENT_COMPOSITION	ScalarEvaluation lexical subtype	0	8	NONE	migration alias and internal-node provenance only	YES	EP-R36-L43	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	ModalChangeIntoResultFrame	L15	ResultativeAndChangePredication	MERGE_TRANSPARENT_COMPOSITION	ordinary modal/change composition	0	10	NONE	migration alias and internal-node provenance only	YES	EP-R36-L15	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	ModalResponseFragment	L05	FragmentsAndEllipsis	MERGE_TRANSPARENT_COMPOSITION	FragmentsAndEllipsis	0	7	NONE	migration alias and internal-node provenance only	YES	EP-R36-L05	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	NegativeHaveClause	L26	Negation	MERGE_TRANSPARENT_COMPOSITION	negated possession/existence/event subtype	0	6	NONE	migration alias and internal-node provenance only	YES	EP-R36-L26	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	NominalModifierNP	L19	NominalModificationAndRelatives	MERGE_TRANSPARENT_COMPOSITION	NominalModificationAndRelatives	0	6	NONE	migration alias and internal-node provenance only	YES	EP-R36-L19	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	PerfectiveResultPredicate	L15	ResultativeAndChangePredication	MERGE_TRANSPARENT_COMPOSITION	lexical predicate + PerfectiveVP	0	9	NONE	migration alias and internal-node provenance only	YES	EP-R36-L15	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	PossessiveNP	L20	PossessiveNominals	MERGE_TRANSPARENT_COMPOSITION	PossessiveNominals	0	6	NONE	migration alias and internal-node provenance only	YES	EP-R36-L20	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	PossessiveNominalFragment	L05	FragmentsAndEllipsis	MERGE_TRANSPARENT_COMPOSITION	PossessiveNominals + FragmentsAndEllipsis	0	7	NONE	migration alias and internal-node provenance only	YES	EP-R36-L05	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	PossessiveTransferClause	L20	PossessiveNominals	MERGE_TRANSPARENT_COMPOSITION	Possessive NP + modal/transfer clause composition	0	11	NONE	migration alias and internal-node provenance only	YES	EP-R36-L20	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	ProgressivePlaceQuestion	L25	TypedWhAndStanceQuestions	MERGE_TRANSPARENT_COMPOSITION	ProgressiveVP + LocativeWhQuestion	0	9	NONE	migration alias and internal-node provenance only	YES	EP-R36-L25	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	ProgressivePurposeClause	L35	PurposeSerialRelations	MERGE_TRANSPARENT_COMPOSITION	ProgressiveVP + PurposeSerialRelation	0	12	NONE	migration alias and internal-node provenance only	YES	EP-R36-L35	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	ProgressiveTransitivePredicate	L08	ProgressiveAspect	MERGE_TRANSPARENT_COMPOSITION	ProgressiveVP	0	11	NONE	migration alias and internal-node provenance only	YES	EP-R36-L08	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	ProhibitiveFragment	L05	FragmentsAndEllipsis	MERGE_TRANSPARENT_COMPOSITION	ProhibitiveImperative / formulaic response	0	7	NONE	migration alias and internal-node provenance only	YES	EP-R36-L05	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	PurposePredicate	L35	PurposeSerialRelations	MERGE_TRANSPARENT_COMPOSITION	PurposeSerialRelation child role	0	11	NONE	migration alias and internal-node provenance only	YES	EP-R36-L35	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	SpeechTransferClause	L32	SpeechReportingAndCommunicationEffect	MERGE_TRANSPARENT_COMPOSITION	DitransitiveSpeechVP / communication-effect relation	0	8	NONE	migration alias and internal-node provenance only	YES	EP-R36-L32	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
I1B-W2_DORMANT_TRANSPARENT_WRAPPERS	TransformationResultFrame	L15	ResultativeAndChangePredication	MERGE_TRANSPARENT_COMPOSITION	TransformationResultPredicate or ordinary clause composition	0	10	NONE	migration alias and internal-node provenance only	YES	EP-R36-L15	Stop if token roles, root coverage, learner-facing meaning, construction selection, or accepted surface behavior changes.
