packet_id	canonical_family_id	canonical_family	packet_mode	packet_status	development_seed_surface_count	exact_positive_min	positive_variant_min	negative_near_miss_min	ambiguity_pair_min	context_pair_min	native_review_item_min	render_review_case_min	prospective_held_out_min	research_question_min	requires_external_exact_examples	requires_native_review	requires_render_review	requires_prospective_held_out	held_out_selection_state	implementation_authorized	primary_cp022_package	blocking_condition
EP-R36-L03	L03	TemporalAndSequentialRelations	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	Populate and freeze packet before code change.
EP-R36-L04	L04	FormulaicDiscourse	FOCUSED_NARROWING_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	6	4	6	2	1	4	6	6	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change.
EP-R36-L05	L05	FragmentsAndEllipsis	SPLIT_PACKET_CLEANUP_PLUS_RESEARCH_GAP	SCHEMA_FROZEN_BLUEPRINT_ONLY	20	8	4	8	4	2	6	8	8	2	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
EP-R36-L06	L06	PerfectiveAspect	FOCUSED_NARROWING_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	6	4	6	2	1	4	6	6	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change.
EP-R36-L07	L07	ExperientialAspect	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	3	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	Populate and freeze packet before code change.
EP-R36-L08	L08	ProgressiveAspect	FOCUSED_NARROWING_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	6	4	6	2	1	4	6	6	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change.
EP-R36-L09	L09	DurativeContinuativeAspect	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	1	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	Populate and freeze packet before code change.
EP-R36-L10	L10	DelimitativeAspect	FOCUSED_NARROWING_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	6	4	6	2	1	4	6	6	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change.
EP-R36-L11	L11	Completion	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	11	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	Populate and freeze packet before code change.
EP-R36-L12	L12	ResultAndPotentialComplements	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	22	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	Populate and freeze packet before code change.
EP-R36-L13	L13	AspectDirectionalComposition	STRUCTURAL_EQUIVALENCE_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	3	4	0	4	0	0	0	8	4	0	YES	NO	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	Populate and freeze packet before code change.
EP-R36-L14	L14	Faan1ComplementProfiles	FOCUSED_NARROWING_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	4	6	4	6	2	1	4	6	6	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change.
EP-R36-L15	L15	ResultativeAndChangePredication	SPLIT_PACKET_CLEANUP_PLUS_RESEARCH_GAP	SCHEMA_FROZEN_BLUEPRINT_ONLY	0	8	4	8	4	2	6	8	8	2	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I4_ASPECT_RESULT_AND_CLAUSE_RELATIONS	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
EP-R36-L16	L16	ClassifierAndQuantityNP	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	21	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	Populate and freeze packet before code change.
EP-R36-L17	L17	DemonstrativeNP	FOCUSED_NARROWING_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	6	4	6	2	1	4	6	6	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	Populate and freeze packet before code change.
EP-R36-L18	L18	AssociativeAndCoordinatedNP	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	0	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	Populate and freeze packet before code change.
EP-R36-L19	L19	NominalModificationAndRelatives	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	12	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	Populate and freeze packet before code change.
EP-R36-L20	L20	PossessiveNominals	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	0	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	Populate and freeze packet before code change.
EP-R36-L21	L21	OrdinalNominals	FOCUSED_NARROWING_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	5	6	4	6	2	1	4	6	6	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	Populate and freeze packet before code change.
EP-R36-L22	L22	WhNominals	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	3	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	Populate and freeze packet before code change.
EP-R36-L23	L23	ANotAQuestions	RESEARCH_GAP_PACKET_NO_IMPLEMENTATION	SCHEMA_FROZEN_BLUEPRINT_ONLY	8	0	0	0	0	0	0	0	0	3	NO	NO	NO	NO	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
EP-R36-L24	L24	ExistentialQuestions	RESEARCH_GAP_PACKET_NO_IMPLEMENTATION	SCHEMA_FROZEN_BLUEPRINT_ONLY	10	0	0	0	0	0	0	0	0	3	NO	NO	NO	NO	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
EP-R36-L25	L25	TypedWhAndStanceQuestions	SPLIT_PACKET_CLEANUP_PLUS_RESEARCH_GAP	SCHEMA_FROZEN_BLUEPRINT_ONLY	7	8	4	8	4	2	6	8	8	2	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
EP-R36-L26	L26	Negation	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	9	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change.
EP-R36-L27	L27	AcceptabilityAndFreeChoice	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	0	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change.
EP-R36-L28	L28	DirectivesRequestsAndSuggestions	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	1	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change.
EP-R36-L29	L29	Modality	ARCHITECTURE_PROGRAM_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	12	8	12	6	4	8	12	12	2	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
EP-R36-L30	L30	DesirePreferenceAndIntention	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	Populate and freeze packet before code change.
EP-R36-L31	L31	CognitionAndStance	RESEARCH_GAP_PACKET_NO_IMPLEMENTATION	SCHEMA_FROZEN_BLUEPRINT_ONLY	13	0	0	0	0	0	0	0	0	3	NO	NO	NO	NO	NOT_SELECTED_NOT_OPENED	NO	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
EP-R36-L32	L32	SpeechReportingAndCommunicationEffect	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	Populate and freeze packet before code change.
EP-R36-L33	L33	DirectionalMotion	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	12	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	Populate and freeze packet before code change.
EP-R36-L34	L34	GoalSourceAndPath	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	13	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	Populate and freeze packet before code change.
EP-R36-L35	L35	PurposeSerialRelations	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	Populate and freeze packet before code change.
EP-R36-L36	L36	LocativeAndPosturalPredication	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	Populate and freeze packet before code change.
EP-R36-L37	L37	MannerAndReduplication	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	Populate and freeze packet before code change.
EP-R36-L38	L38	NamingAndAddress	FOCUSED_NARROWING_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	0	6	4	6	2	1	4	6	6	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	Populate and freeze packet before code change.
EP-R36-L39	L39	ExistentialAndPresentationalClauses	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	14	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	Populate and freeze packet before code change.
EP-R36-L40	L40	LocativeClauseFrames	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	4	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	Populate and freeze packet before code change.
EP-R36-L41	L41	EnvironmentalClauses	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	6	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	Populate and freeze packet before code change.
EP-R36-L42	L42	StativePredication	ARCHITECTURE_PROGRAM_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	15	12	8	12	6	4	8	12	12	2	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
EP-R36-L43	L43	ScalarComparisonAndEvaluation	STRUCTURAL_REALIGNMENT_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	0	8	6	8	4	2	6	8	8	0	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	Populate and freeze packet before code change.
EP-R36-L44	L44	TemporalAndMeasurePredication	RESEARCH_GAP_PACKET_NO_IMPLEMENTATION	SCHEMA_FROZEN_BLUEPRINT_ONLY	7	0	0	0	0	0	0	0	0	3	NO	NO	NO	NO	NOT_SELECTED_NOT_OPENED	NO	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
EP-R36-L45	L45	ValencyAndArgumentStructure	ARCHITECTURE_PROGRAM_PACKET	SCHEMA_FROZEN_BLUEPRINT_ONLY	14	12	8	12	6	4	8	12	12	2	YES	YES	YES	YES	NOT_SELECTED_NOT_OPENED	NO	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	Populate and freeze packet before code change; research-gap packets additionally require new direct evidence.
