runtime_label	lane	claim_layer	current_status	origin_status	source_link_status	edge_count	external_source_ids	r1_mapping	research_priority	next_action	r2_mapping	r3_mapping
ChangeIntoPredicate	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ClassifierObjectNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ClauseLinkingSequence	LANE-02	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
ClauseRelation	LANE-02	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
ClauseRelationMember	LANE-02	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
CognitionContentFrame	LANE-08	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CognitionContentFrame?		
CognitionDelimitedObjectVP	LANE-08	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
CognitionDelimitedVP	LANE-08	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
CognitionStatementClause	LANE-08	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
Comment	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
ComparativeStative	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ComplementEllipsisFragment	LANE-04	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ComplementEllipsisFragment?		
CompletionQuestion	LANE-05	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CompletionQuestion?		
CompletionThenClause	LANE-02	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
CompletionVP	LANE-05	language	research_pending	legacy_source_linked_posthoc	scoped_edges_recorded	4	SRC-CHEUNG-1970;SRC-FAN-CHAN-2022;SRC-SIO-BOND-2025;SRC-SYBESMA-2013		P1_RECONSTRUCT_LEGACY_CLAIM_FROM_EXISTING_SOURCES	Extract source propositions first, then rewrite or narrow the parser claim.		
CompoundDirectionalMotionVP	LANE-09	language	unsupported_generalization	legacy_origin_not_proven	claim_level_edges_recorded_realignment_required	3	SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-CHOR-2018-DIRECTIONAL,SRC-YIU-2016-DIRECTIONAL-ASPECT		R3_CLAIM_LEVEL_MAPPING_COMPLETE_REALIGNMENT_REQUIRED	Realign future node boundaries around overt manner versus directional components; do not promote the current single-template boundary.		PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R3.tsv
ConditionResult	LANE-02	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ConditionalClause	LANE-02	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
CoordinatedNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
CoordinatedSubjectModalPredicateClause	LANE-07	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
CopularANotAQuestion	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
CopularIdentificationFrame	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
CopularRelationFrame	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
CoverbFrame	LANE-01	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CoverbFrame?		
DefinitionComplement	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
DefinitionExplanatoryFrame	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
DegreeMannerAdverbial	LANE-10	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DegreeMannerAdverbial?		
DegreeMannerModifiedVP	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
DegreeModifiedLexicalStative	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
DegreeStativePredicate	LANE-10	language	provisional	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P2_RESEARCH_BEFORE_PROMOTION	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DegreeStativePredicate?		
DelimitedVP	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
DemonstrativeClassifierNP	LANE-06	language	provisional	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P2_RESEARCH_BEFORE_PROMOTION	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DemonstrativeClassifierNP?		
DemonstrativeHeadNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
DemonstrativeQuantifiedClassifierNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
DesiderativeVP	LANE-08	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DesiderativeVP?		
DiMarkedNP	LANE-06	language	provisional	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P2_RESEARCH_BEFORE_PROMOTION	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DiMarkedNP?		
DirectedMannerMotionVP	LANE-09	language	research_pending	legacy_origin_not_proven	claim_level_edges_recorded_narrowing_and_split_required	3	SRC-YIU-2016-DIRECTIONAL-ASPECT,SRC-SHAN-JIN-2025-MOTION-TYPOLOGY,SRC-LEUNG-2014-COVERBS		R3_CLAIM_LEVEL_MAPPING_COMPLETE_NARROWING_SPLIT_REQUIRED	Retain postverbal manner-directional profiles narrowly; split preverbal 向 coverb composition and caused motion.		PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R3.tsv
DirectionalCausedMotionVP	LANE-09	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
DirectionalMotionVP	LANE-09	language	provisional	legacy_origin_not_proven	claim_level_edges_recorded_split_required	3	SRC-SHAN-JIN-2025-MOTION-TYPOLOGY,SRC-YIU-2016-DIRECTIONAL-ASPECT		R3_CLAIM_LEVEL_MAPPING_COMPLETE_SPLIT_REQUIRED	Split independent path predicates, complex directionals, manner-directional predicates, and postverbal caused-motion subspans; keep runtime frozen.		PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R3.tsv
DiscourseParticleFrame	LANE-03	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
DisposalChangeIntoResultFrame	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
DitransitiveSpeechVP	LANE-08	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
DurativeVP	LANE-05	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DurativeVP?		
EvaluationWithDouSyun	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ExistentialClause	LANE-10	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExistentialClause?		
ExistentialPresentationalClause	LANE-10	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExistentialPresentationalClause?		
ExistentialQuestion	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ExistentialWhQuestion	LANE-07	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExistentialWhQuestion?		
ExperientialClause	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ExperientialMotionGoalVP	LANE-09	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ExperientialQuestion	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ExperientialVP	LANE-05	language	provisional	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P2_RESEARCH_BEFORE_PROMOTION	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExperientialVP?		
ExperientialYesNoQuestion	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
FocusParticleFrame	LANE-03	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
FormulaDiscourseUnit	LANE-03	language	lexicalized_only	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P2_RESEARCH_BEFORE_PROMOTION	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by FormulaDiscourseUnit?		
FragmentAnswer	LANE-03	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by FragmentAnswer?		
FragmentQuestion	LANE-03	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by FragmentQuestion?		
GoalAttainmentMotionVP	LANE-09	language	research_pending	legacy_origin_not_proven	claim_level_edges_recorded_narrowing_required	2	SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-SHAN-JIN-2025-MOTION-TYPOLOGY		R3_CLAIM_LEVEL_MAPPING_COMPLETE_NARROWING_REQUIRED	Keep 返/行 + 到 + overt spatial goal as a narrow research-backed family; distinguish main 到 and nonspatial/result uses.		PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R3.tsv
HeadNP	LANE-06	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
IdentificationFragment	LANE-03	language	lexicalized_only	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P2_RESEARCH_BEFORE_PROMOTION	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by IdentificationFragment?		
IdentityWhQuestion	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ImpersonalEnvironmentalClause	LANE-10	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ImpersonalEnvironmentalClause?		
IntendedFunctionRelation	LANE-01	language	provisional	legacy_source_linked_posthoc	scoped_edges_recorded	4	SRC-CHOR-2018-DIRECTIONAL-PARTICLES;SRC-HKCANCOR-PYCANTONESE-CP015;SRC-WONG-2023-LSA;SRC-WORDSHK-USE-LAI		P1_RECONSTRUCT_LEGACY_CLAIM_FROM_EXISTING_SOURCES	Extract source propositions first, then rewrite or narrow the parser claim.		
IntentionFrame	LANE-08	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
IntransitiveVP	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
LocativeExistentialClause	LANE-10	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by LocativeExistentialClause?		
LocativeFragment	LANE-03	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
LocativeFrameClause	LANE-10	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by LocativeFrameClause?		
LocativeModalPredicateClause	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
LocativePlacePhrase	LANE-09	language	unsupported_generalization	legacy_origin_not_proven	claim_level_edges_recorded_split_required	4	SRC-CHOR-2018-DIRECTIONAL;SRC-KWAN-2010-LOCATIVE-PP;SRC-LEUNG-2014-COVERBS;SRC-WONG-2023-LANGUAGE-SAMPLE		R2_CLAIM_LEVEL_MAPPING_COMPLETE_SPLIT_REQUIRED	Split event-location, locative predicate, result-location, localizer, and presentational ownership before promotion.	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R2.tsv	
LocativePostureVP	LANE-09	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
LocativeWhQuestion	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
MalformedCandidate	LANE-10	heuristic	parser_heuristic	internal_heuristic_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
MannerAdverbialVP	LANE-09	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
MeasureExpression	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
ModalANotAQuestion	LANE-07	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ModalANotAQuestion?		
ModalChangeIntoResultFrame	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ModalResponseFragment	LANE-03	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ModalVP	LANE-07	language	provisional	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P2_RESEARCH_BEFORE_PROMOTION	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ModalVP?		
ModifiedNP	LANE-06	language	provisional	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P2_RESEARCH_BEFORE_PROMOTION	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ModifiedNP?		
ModifierNP	LANE-06	language	provisional	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P2_RESEARCH_BEFORE_PROMOTION	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ModifierNP?		
ModifierPhrase	LANE-06	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
MotionDelimitedVP	LANE-09	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
MotionGoalVP	LANE-09	language	unsupported_generalization	legacy_origin_not_proven	claim_level_edges_recorded_with_narrowing	4	SRC-CHOR-2018-DIRECTIONAL;SRC-LAU-2024-WRITTEN-CANTONESE;SRC-LEUNG-2026-MOTION;SRC-WONG-2023-LANGUAGE-SAMPLE		R2_CLAIM_LEVEL_MAPPING_COMPLETE_NARROWING_REQUIRED	Use the R2 matrix; retain explicit motion-goal evidence, keep 返學 conventional and analysis-neutral, and do not broaden runtime behavior.	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R2.tsv	
MotionPurposeChain	LANE-09	language	unsupported_generalization	legacy_origin_not_proven	claim_level_edges_recorded_with_narrowing	2	SRC-CHOR-2018-DIRECTIONAL;SRC-LEUNG-2026-MOTION		R2_CLAIM_LEVEL_MAPPING_COMPLETE_NARROWING_REQUIRED	Use the R2 matrix; require immediate motion-plus-purpose structure and distinguish purposive particles.	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R2.tsv	
NamingClause	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
NeedsContext	LANE-10	heuristic	parser_heuristic	internal_heuristic_only	external_language_source_not_applicable_to_internal_claim	0			INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.		
NegatedDirectionalMotionVP	LANE-09	language	provisional	legacy_origin_not_proven	language_claim_retired_internal_composition_only	3	SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-YIU-2016-DIRECTIONAL-ASPECT,SRC-LIANG-MAI-2025-GRAMMAR-CODING		R3_LANGUAGE_CLAIM_RETIRE_KEEP_INTERNAL_COMPOSITION	Use general VP negation composition and preserve negator identity; keep postverbal potential directionals separate.		PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R3.tsv
NegatedExistentialClause	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
NegatedExistentialFragment	LANE-03	language	provisional	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P2_RESEARCH_BEFORE_PROMOTION	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by NegatedExistentialFragment?		
NegatedLexicalizedStative	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
NegatedStativePredicate	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
NegatedVP	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
NegativeCognitionFragment	LANE-03	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by NegativeCognitionFragment?		
NegativeExperiential	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
