construction	construction_claim_id	claim_layer	parser_claim	source_id	source_relationship	exact_locator	source_proposition	implementation_effect	forbidden_inference	verification_state	current_disposition
QuantifiedTimeNP	QTN-C08	language	Time-measure classifier omission and presence are lexically conditioned rather than free optionality.	SRC-TANG-2024-CANTONESE-GRAMMAR-GUIDE	corroborates_head_specificity	pp. 37-39	The listed duration and calendar expressions alternate between classifier-bearing and classifierless forms according to the head expression.	Require exact lexical/head compatibility for classifier realization.	Do not treat classifier presence as a stylistic option across the entire temporal lexicon.	VERIFIED_AUTHOR_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_MEASURE_REQUIRED
QuantifiedTimeNP	QTN-C09	analysis	A quantified temporal nominal does not receive adjunct, object, duration, or frequency function from its internal shape alone.	SRC-WONG-2002-CANTONESE-ADVERBS	supports_role_separation	PDF pp. 25-26 (printed pp. 18-19)	Time words are nominal elements that may participate in several syntactic functions.	Keep nominal structure separate from clause-level temporal relation and duration interpretation.	Do not assign a when-role or duration role solely because a quantity and time head co-occur.	VERIFIED_OFFICIAL_REPOSITORY_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_HEAD_SPECIFIC_MEASURE_REQUIRED
TemporalClause	TC-C01	language	A simple time expression can frame a clause adverbially without forming a subordinate temporal clause.	SRC-YIP-MATTHEWS-2000-BASIC	supports_simple_temporal_framing	Unit 11, PDF pp. 65-66 (printed pp. 52-53)	Temporal expressions are placed before a predicate or before the subject in ordinary clauses.	Represent these cases as a clause with a temporal adjunct/frame, not automatically as a temporal subordinate clause.	Do not infer a hidden when-operator or subordinator from linear position alone.	VERIFIED_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_REPRESENTATION_REALIGNMENT_REQUIRED
TemporalClause	TC-C02	language	Genuine Cantonese temporal adverbial clauses contain an embedded clause and overt temporal-clause structure such as 喺…嗰陣(時) or 當….	SRC-YIP-2024-TEMPORAL-ADVERBIAL-CLAUSES	supports_and_distinguishes	pp. 687-690; examples (3)-(4)	Yip identifies two temporal adverbial clause types with overt introducers and different time-head requirements.	Reserve temporal-clause analysis for evidence-bearing clausal structures.	Do not extend the analysis to any sequence beginning with a TimeNP.	VERIFIED_OFFICIAL_PUBLISHER_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_REPRESENTATION_REALIGNMENT_REQUIRED
TemporalClause	TC-C03	representation	Runtime TemporalClause conflates simple time + predicate framing with subordinate temporal adverbial clauses.	PROJECT-CP021B-R12-TEMPORALS	internal_boundary	runtime extraction in source map	Active templates wrap time + optional subject + predicate and time + locative + predicate, while the documented TACs have different overt structures.	Split temporal frame/adjunct relations from temporal subordinate clauses before implementation.	Do not treat the existing umbrella label as one Cantonese construction.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_SPLIT_AND_REPRESENTATION_REALIGNMENT_REQUIRED
TemporalClause	TC-C04	representation	The generic runtime fallback that wraps any core whose first token has role when is not a constructional diagnostic.	PROJECT-CP021B-R12-TEMPORALS	internal_boundary	runtime generic first-token when-role fallback	The fallback is driven by an assigned semantic role rather than independently documented form.	Retire or constrain the fallback in a future authorized implementation after subtype tests exist.	Do not use parser-assigned role labels as linguistic evidence for the construction that assigned them.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_SPLIT_AND_REPRESENTATION_REALIGNMENT_REQUIRED
TemporalClause	TC-C05	evidence_gap	The exact runtime time + locative phrase + predicate serial-purpose profile lacks a matching temporal-clause source in this batch.	PROJECT-CP021B-R12-TEMPORALS	gap_record	runtime controlled serial-purpose template; source screen	The inspected sources cover time-expression position and overt TACs, not this composite template as one temporal construction.	Keep the profile unmapped at the construction level and analyze its components separately.	Do not infer that temporal, locative, and purpose relations form one productive clause template.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_SPLIT_AND_REPRESENTATION_REALIGNMENT_REQUIRED
TemporalClause	TC-C06	analysis	A time-framed environmental or subjectless clause can be represented with an adjunct relation without creating a special temporal subordinate clause.	SRC-WONG-2002-CANTONESE-ADVERBS	supports_function_category_separation	PDF pp. 25-26 (printed pp. 18-19)	Time words may function adverbially while retaining nominal status.	Keep clause type and temporal adjunct role independent when no overt subordinate structure is present.	Do not infer a subject, hidden copula, or temporal subordinator from the time expression.	VERIFIED_OFFICIAL_REPOSITORY_FULL_TEXT	SOURCE_LINKED_SPLIT_AND_REPRESENTATION_REALIGNMENT_REQUIRED
TemporalAdverbialClause	TAC-C01	language	A 喺-headed Cantonese temporal adverbial clause requires a head time NP such as 嗰陣(時) or 時候.	SRC-YIP-2024-TEMPORAL-ADVERBIAL-CLAUSES	supports_and_restricts	pp. 688-689; examples (3a-b) and discussion	Yip states that hai-TACs must occur with a head time noun phrase gozan(si) or sihau.	Define a bounded overt 喺-TAC subtype with its required time head.	Do not license bare 喺 + arbitrary clause as this subtype.	VERIFIED_OFFICIAL_PUBLISHER_FULL_TEXT	SOURCE_LINKED_DORMANT_REDEFINE_AND_SPLIT_REQUIRED
TemporalAdverbialClause	TAC-C02	language	A 當-headed Cantonese temporal adverbial clause permits the head time NP to be absent.	SRC-YIP-2024-TEMPORAL-ADVERBIAL-CLAUSES	supports_and_contrasts	pp. 688-689; examples (4a-b) and discussion	Yip contrasts dong-TACs, where the time head can be omitted, with hai-TACs.	Define a separate overt 當-TAC subtype rather than one optional-marker template.	Do not transfer the optional-head property to 喺-TACs or ordinary time frames.	VERIFIED_OFFICIAL_PUBLISHER_FULL_TEXT	SOURCE_LINKED_DORMANT_REDEFINE_AND_SPLIT_REQUIRED
TemporalAdverbialClause	TAC-C03	analysis	The two temporal-adverbial-clause types have distinct internal and external behavior, but the paper’s operator and attachment analysis need not be adopted as parser ontology.	SRC-YIP-2024-TEMPORAL-ADVERBIAL-CLAUSES	supports_surface_split_analysis_not_adopted	pp. 687-694	The paper derives the two types from different temporal-operator positions and attachment heights.	Preserve overt subtype and observed distribution while keeping deeper syntactic analysis review-bearing.	Do not encode null operators, movement, or attachment height as settled learner-facing facts.	VERIFIED_OFFICIAL_PUBLISHER_FULL_TEXT	SOURCE_LINKED_DORMANT_REDEFINE_AND_SPLIT_REQUIRED
TemporalAdverbialClause	TAC-C04	representation	The dormant runtime label should be redefined for explicit clausal temporal adjuncts rather than used as a synonym for TimeNP or time-framed main clause.	PROJECT-CP021B-R12-TEMPORALS	internal_boundary	inventory status and source comparison in source map	The label is unmapped/dormant while active TemporalClause paths cover broader simple framing.	Redefine and split it around overt 喺- and 當-TAC evidence before activation.	Do not activate the dormant label using the current broad TemporalClause templates.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_DORMANT_REDEFINE_AND_SPLIT_REQUIRED
TemporalAdverbialClause	TAC-C05	representation	No source supports an unrestricted rule that any time-initial clause or optional temporal marker forms a TemporalAdverbialClause.	PROJECT-CP021B-R12-TEMPORALS	gap_and_boundary_record	source screen against runtime abstractions	The documented subtypes have overt structural requirements and contrasts.	Require subtype-specific overt evidence and preserve unresolved cases as ordinary temporal framing or review-bearing.	Do not infer free marker omission, a hidden temporal head, or universal TAC status.	VERIFIED_INTERNAL_RECORD	SOURCE_LINKED_DORMANT_REDEFINE_AND_SPLIT_REQUIRED
