rank	surface	disposition	evidence	reason
1608	幾靚	retire_invalid_atomic	#798 accepted expert specification	compositional degree + property phrase
1613	畫一個	retire_invalid_atomic	#798 accepted expert specification	transparent verb + numeral/classifier phrase
1620	會會	retire_invalid_atomic	#798 accepted expert specification	unsupported/reduplicated modal or noun sequence; no whole lexical identity
1634	講多次	retire_invalid_atomic	#798 accepted expert specification	transparent verb + frequency phrase
1638	一套	retire_invalid_atomic	#798 accepted expert specification	transparent numeral + classifier phrase
1639	一部	retire_invalid_atomic	#798 accepted expert specification	transparent numeral + classifier phrase
1640	十二點	retire_invalid_atomic	#798 accepted expert specification	transparent numeral + time expression
1648	去過	retire_invalid_atomic	#798 accepted expert specification	productive verb + experiential 過 sequence
1652	多過	retire_invalid_atomic	#798 accepted expert specification	productive comparative quantifier/property + 過 construction
1654	好悶	retire_invalid_atomic	#798 accepted expert specification	compositional degree + property phrase
1667	兩日	retire_invalid_atomic	#798 accepted expert specification	transparent numeral + temporal noun/measure phrase
1668	兩樣	retire_invalid_atomic	#798 accepted expert specification	transparent numeral + classifier/kind phrase
1670	呢種	retire_invalid_atomic	#798 accepted expert specification	productive demonstrative + classifier phrase
1681	個頭	retire_invalid_atomic	#798 accepted expert specification	classifier/determiner + noun phrase
1683	唔多	retire_invalid_atomic	#798 accepted expert specification	productive negation + quantity/property expression; adverbial use does not require a whole atom
1690	高過	retire_invalid_atomic	#798 accepted expert specification	productive comparative property + 過 construction
1694	問吓	retire_invalid_atomic	#798 accepted expert specification	productive verb + delimitative 吓 sequence
1696	最右	retire_invalid_atomic	#798 accepted expert specification	productive superlative/degree + spatial expression
1697	最底	retire_invalid_atomic	#798 accepted expert specification	productive superlative/degree + localizer expression
1703	睇住	retire_invalid_atomic	#798 accepted expert specification	productive verb + 住 continuation sequence
1706	貼住	retire_invalid_atomic	#798 accepted expert specification	productive verb + 住 continuation/result sequence
1707	開燈	retire_invalid_atomic	#798 accepted expert specification	transparent verb-object phrase
1728	邊有	retire_invalid_atomic	#798 accepted expert specification	interrogative + existential/verb construction; no whole lexical atom
1731	聽過	retire_invalid_atomic	#798 accepted expert specification	productive verb + experiential 過 sequence
1733	一句	retire_invalid_atomic	#798 accepted expert specification	transparent numeral + classifier phrase
1736	人話	retire_invalid_atomic	#798 accepted expert specification	transparent noun + speech noun/verb phrase; no whole atomic POS selected
1740	五個	retire_invalid_atomic	#798 accepted expert specification	transparent numeral + classifier phrase
1749	半年	retire_invalid_atomic	#841/#842 structural cleanup	transparent quantified-time sequence 半 + 年; already structurally licensed
1754	正上方	retire_invalid_atomic	#799 accepted expert specification	transparent degree/direction + spatial phrase
1758	再行	retire_invalid_atomic	#799 accepted expert specification	productive adverb + motion/verb sequence
1760	好多人	retire_invalid_atomic	#799 accepted expert specification	compositional degree/quantity + noun phrase
1761	好快	retire_invalid_atomic	#799 accepted expert specification	compositional degree + property/adverb phrase
1762	好近	retire_invalid_atomic	#799 accepted expert specification	compositional degree + stative/locative phrase
1763	好遠	retire_invalid_atomic	#799 accepted expert specification	compositional degree + stative/locative phrase
1771	我問	retire_invalid_atomic	#799 accepted expert specification	transparent pronoun + verb clause fragment
1775	兩點	retire_invalid_atomic	#799 accepted expert specification	transparent numeral + time/point expression
1806	第二個韻	retire_invalid_atomic	#799 accepted expert specification	transparent ordinal + classifier + noun phrase
1816	就講	retire_invalid_atomic	#799 accepted expert specification	productive discourse/adverb + verb sequence
1817	幾日	retire_invalid_atomic	#799 accepted expert specification	compositional quantifier + temporal noun phrase
1826	當你	retire_invalid_atomic	#799 accepted expert specification	transparent verb/function + pronoun phrase
1827	當我	retire_invalid_atomic	#799 accepted expert specification	transparent verb/function + pronoun phrase
1842	幫到	retire_invalid_atomic	#799 accepted expert specification	productive verb + 到 result/potential sequence
1848	講開	retire_invalid_atomic	#799 accepted expert specification	productive verb + aspectual/discourse 開 sequence
1853	轉右	retire_invalid_atomic	#799 accepted expert specification	productive motion verb + direction phrase
1858	邊間	retire_invalid_atomic	#799 accepted expert specification	interrogative + classifier phrase
1861	聽到	retire_invalid_atomic	#799 accepted expert specification	productive verb + 到 result/potential sequence
1866	九十度	retire_invalid_atomic	#799 accepted expert specification	transparent numeric degree/measure expression
1868	十一點	retire_invalid_atomic	#799 accepted expert specification	transparent numeral + time expression
1870	下畫	retire_invalid_atomic	#799 accepted expert specification	unsupported direction/function + verb fragment
1871	山個	retire_invalid_atomic	#799 accepted expert specification	unsupported noun + classifier fragment
1887	加返	retire_invalid_atomic	#799 accepted expert specification	productive verb + restitutive 返 sequence
1893	由個	retire_invalid_atomic	#799 accepted expert specification	function/coverb + classifier fragment
1903	好靚	retire_invalid_atomic	#799 accepted expert specification	compositional degree + property phrase
1911	有位	retire_invalid_atomic	#799 accepted expert specification	productive existential/possessive + classifier phrase
1913	考到	retire_invalid_atomic	#799 accepted expert specification	productive verb + 到 result/potential sequence
1914	行返	retire_invalid_atomic	#799 accepted expert specification	productive motion verb + restitutive 返 sequence
1916	你明	retire_invalid_atomic	#799 accepted expert specification	transparent pronoun + cognition/property predicate
1917	你識	retire_invalid_atomic	#799 accepted expert specification	transparent pronoun + cognition/ability verb
1921	我明	retire_invalid_atomic	#799 accepted expert specification	transparent pronoun + cognition/property predicate
1925	兩位	retire_invalid_atomic	#799 accepted expert specification	transparent numeral + classifier phrase
1932	返番	retire_invalid_atomic	#799 accepted expert specification	orthographic duplication/segmentation around return/restitutive 返; no atomic lexical identity
1944	要畫	retire_invalid_atomic	#799 accepted expert specification	transparent modal/verb + lexical verb phrase
1948	哩件	retire_invalid_atomic	#799 accepted expert specification	productive demonstrative + classifier phrase
1958	兜個	retire_invalid_atomic	#799 accepted expert specification	transparent verb/noun + classifier fragment; no whole lexical identity
1984	會有	retire_invalid_atomic	#799 accepted expert specification	productive modal/verb + existential verb sequence
