claim_id	runtime_label	lane	claim_layer	primary_claim_type	current_status	current_action	origin_status	source_link_status	external_source_ids	claim_source_edge_ids	edge_count	required_disposition	grammar_promotion_eligible	promotion_blocker	next_research_form
GCLAIM::CopularANotAQuestion::language	CopularANotAQuestion	LANE-07	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CopularANotAQuestion?
GCLAIM::CopularIdentificationFrame::representation	CopularIdentificationFrame	LANE-10	representation	parser_representation_decision	parser_heuristic	retain_as_representation_only	internal_representation_only	external_language_source_not_applicable_to_internal_claim			0	retain_only_as_internal_engineering_claim_with_internal_provenance	false	internal engineering claim cannot by itself establish Cantonese grammar	record implementation provenance and keep separate from Cantonese-language evidence
GCLAIM::CopularRelationFrame::representation	CopularRelationFrame	LANE-10	representation	parser_representation_decision	parser_heuristic	retain_as_representation_only	internal_representation_only	external_language_source_not_applicable_to_internal_claim			0	retain_only_as_internal_engineering_claim_with_internal_provenance	false	internal engineering claim cannot by itself establish Cantonese grammar	record implementation provenance and keep separate from Cantonese-language evidence
GCLAIM::CoverbFrame::language	CoverbFrame	LANE-01	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CoverbFrame?
GCLAIM::DefinitionComplement::representation	DefinitionComplement	LANE-10	representation	parser_representation_decision	parser_heuristic	retain_as_representation_only	internal_representation_only	external_language_source_not_applicable_to_internal_claim			0	retain_only_as_internal_engineering_claim_with_internal_provenance	false	internal engineering claim cannot by itself establish Cantonese grammar	record implementation provenance and keep separate from Cantonese-language evidence
GCLAIM::DefinitionExplanatoryFrame::representation	DefinitionExplanatoryFrame	LANE-10	representation	parser_representation_decision	parser_heuristic	retain_as_representation_only	internal_representation_only	external_language_source_not_applicable_to_internal_claim			0	retain_only_as_internal_engineering_claim_with_internal_provenance	false	internal engineering claim cannot by itself establish Cantonese grammar	record implementation provenance and keep separate from Cantonese-language evidence
GCLAIM::DegreeMannerAdverbial::language	DegreeMannerAdverbial	LANE-10	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DegreeMannerAdverbial?
GCLAIM::DegreeMannerModifiedVP::language	DegreeMannerModifiedVP	LANE-10	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DegreeMannerModifiedVP?
GCLAIM::DegreeModifiedLexicalStative::language	DegreeModifiedLexicalStative	LANE-10	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DegreeModifiedLexicalStative?
GCLAIM::DegreeStativePredicate::language	DegreeStativePredicate	LANE-10	language	cantonese_language_claim	provisional	retain_provisional_pending_pattern_specific_attestation_and_heldout_review	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DegreeStativePredicate?
GCLAIM::DelimitedVP::language	DelimitedVP	LANE-05	language	cantonese_language_claim	unsupported_generalization	quarantine_and_research_before_retention	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DelimitedVP?
GCLAIM::DemonstrativeClassifierNP::language	DemonstrativeClassifierNP	LANE-06	language	cantonese_language_claim	provisional	retain_provisional_pending_pattern_specific_attestation_and_heldout_review	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DemonstrativeClassifierNP?
GCLAIM::DemonstrativeHeadNP::language	DemonstrativeHeadNP	LANE-06	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DemonstrativeHeadNP?
GCLAIM::DemonstrativeQuantifiedClassifierNP::language	DemonstrativeQuantifiedClassifierNP	LANE-06	language	cantonese_language_claim	unsupported_generalization	quarantine_dormant_label_and_consider_retirement	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DemonstrativeQuantifiedClassifierNP?
GCLAIM::DesiderativeVP::language	DesiderativeVP	LANE-08	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DesiderativeVP?
GCLAIM::DiMarkedNP::language	DiMarkedNP	LANE-06	language	cantonese_language_claim	provisional	retain_provisional_pending_pattern_specific_attestation_and_heldout_review	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DiMarkedNP?
GCLAIM::DirectedMannerMotionVP::language	DirectedMannerMotionVP	LANE-09	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DirectedMannerMotionVP?
GCLAIM::DirectionalCausedMotionVP::language	DirectionalCausedMotionVP	LANE-09	language	cantonese_language_claim	unsupported_generalization	quarantine_dormant_label_and_consider_retirement	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DirectionalCausedMotionVP?
GCLAIM::DirectionalMotionVP::language	DirectionalMotionVP	LANE-09	language	cantonese_language_claim	provisional	retain_provisional_pending_pattern_specific_attestation_and_heldout_review	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DirectionalMotionVP?
GCLAIM::DiscourseParticleFrame::representation	DiscourseParticleFrame	LANE-03	representation	parser_representation_decision	parser_heuristic	retain_as_representation_only	internal_representation_only	external_language_source_not_applicable_to_internal_claim			0	retain_only_as_internal_engineering_claim_with_internal_provenance	false	internal engineering claim cannot by itself establish Cantonese grammar	record implementation provenance and keep separate from Cantonese-language evidence
GCLAIM::DisposalChangeIntoResultFrame::language	DisposalChangeIntoResultFrame	LANE-05	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DisposalChangeIntoResultFrame?
GCLAIM::DitransitiveSpeechVP::language	DitransitiveSpeechVP	LANE-08	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DitransitiveSpeechVP?
GCLAIM::DurativeVP::language	DurativeVP	LANE-05	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DurativeVP?
GCLAIM::EvaluationWithDouSyun::language	EvaluationWithDouSyun	LANE-10	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by EvaluationWithDouSyun?
GCLAIM::ExistentialClause::language	ExistentialClause	LANE-10	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExistentialClause?
GCLAIM::ExistentialPresentationalClause::language	ExistentialPresentationalClause	LANE-10	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExistentialPresentationalClause?
GCLAIM::ExistentialQuestion::language	ExistentialQuestion	LANE-07	language	cantonese_language_claim	unsupported_generalization	quarantine_and_research_before_retention	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExistentialQuestion?
GCLAIM::ExistentialWhQuestion::language	ExistentialWhQuestion	LANE-07	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExistentialWhQuestion?
GCLAIM::ExperientialClause::language	ExperientialClause	LANE-05	language	cantonese_language_claim	unsupported_generalization	quarantine_and_research_before_retention	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExperientialClause?
GCLAIM::ExperientialMotionGoalVP::language	ExperientialMotionGoalVP	LANE-09	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExperientialMotionGoalVP?
GCLAIM::ExperientialQuestion::language	ExperientialQuestion	LANE-05	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExperientialQuestion?
GCLAIM::ExperientialVP::language	ExperientialVP	LANE-05	language	cantonese_language_claim	provisional	retain_provisional_pending_pattern_specific_attestation_and_heldout_review	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExperientialVP?
GCLAIM::ExperientialYesNoQuestion::language	ExperientialYesNoQuestion	LANE-05	language	cantonese_language_claim	unsupported_generalization	quarantine_and_research_before_retention	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ExperientialYesNoQuestion?
GCLAIM::FocusParticleFrame::representation	FocusParticleFrame	LANE-03	representation	parser_representation_decision	parser_heuristic	retain_as_representation_only	internal_representation_only	external_language_source_not_applicable_to_internal_claim			0	retain_only_as_internal_engineering_claim_with_internal_provenance	false	internal engineering claim cannot by itself establish Cantonese grammar	record implementation provenance and keep separate from Cantonese-language evidence
GCLAIM::FormulaDiscourseUnit::language	FormulaDiscourseUnit	LANE-03	language	lexicalized_language_claim	lexicalized_only	retain_lexicalized_and_block_productive_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by FormulaDiscourseUnit?
GCLAIM::FragmentAnswer::language	FragmentAnswer	LANE-03	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by FragmentAnswer?
GCLAIM::FragmentQuestion::language	FragmentQuestion	LANE-03	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by FragmentQuestion?
GCLAIM::GoalAttainmentMotionVP::language	GoalAttainmentMotionVP	LANE-09	language	cantonese_language_claim	research_pending	retain_but_quarantine_from_new_grammar_acceptance	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by GoalAttainmentMotionVP?
GCLAIM::HeadNP::representation	HeadNP	LANE-06	representation	parser_representation_decision	parser_heuristic	retain_as_representation_only	internal_representation_only	external_language_source_not_applicable_to_internal_claim			0	retain_only_as_internal_engineering_claim_with_internal_provenance	false	internal engineering claim cannot by itself establish Cantonese grammar	record implementation provenance and keep separate from Cantonese-language evidence
GCLAIM::IdentificationFragment::language	IdentificationFragment	LANE-03	language	lexicalized_language_claim	lexicalized_only	retain_lexicalized_and_block_productive_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by IdentificationFragment?
GCLAIM::IdentityWhQuestion::language	IdentityWhQuestion	LANE-07	language	cantonese_language_claim	unsupported_generalization	quarantine_unexercised_runtime_path	legacy_origin_not_proven	no_pattern_specific_external_edge			0	downgrade_or_quarantine_pending_authority_origin_research	false	no explicit external claim-source edge	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by IdentityWhQuestion?
