pattern	prior_status	current_status	source_reverification	manual_example_review	first_speaker_record	second_speaker_record	code_document_alignment	negative_boundary_record	implementation_test_record	promotion_eligible	blocking_requirements	next_action
NegatedDirectionalMotionVP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
NegatedExistentialFragment	provisional	provisional	PENDING_RETROACTIVE_REVIEW	NO_CANDIDATE_HITS_RECORDED	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
PassivePermissiveRelation	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	NOT_RECORDED	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	CP020_FROZEN_DESIGN_AND_HELDOUT_BOUNDARIES	CP020_FROZEN_60_ROW_HEADLESS_REVIEW_PENDING_RENDERED_ACCEPTANCE	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
PerfectiveVP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	two_project_aspect_order_boundary_probes_recorded_not_independent_ungrammaticality_evidence	CANDIDATE_HEADLESS_4_OF_4_INDEPENDENT_COMPLETION_PERFECTIVE_POSITIVES_PASS_RENDERED_PENDING	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
PostThemeParticipantRelation	provisional	provisional	PENDING_RETROACTIVE_REVIEW	NO_CANDIDATE_HITS_RECORDED	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	CP021B_FROZEN_24_ROW_DESIGN_BOUNDARIES	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
PostverbalZoPerfectiveVP	supported_productive	provisional_reaudit	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	source_linked_profile_split_plus_CP022_P1_locked_objectless_result_motion_experiential_progressive_selectional_and_placement_boundaries	PROSPECTIVE_7_OF_7_PASS_CONSUMED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
QuantifiedClassifierNP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
QuantityNP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
ReportedSpeech	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
TemporalClause	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
TransitiveVP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
VerbComplementVP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
ResourceUseLaiFunctionRelation	supported_productive	provisional_reaudit	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	NOT_RECORDED	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	source_linked_profile_split_plus_v0.5.182_locked_separate_user_modal_copular_actual_use_instrumental_general_purpose_negation_A_not_A_reduplication_and_omission_boundaries	PROSPECTIVE_8_OF_8_PASS_CONSUMED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
