packet_row_zero_based	candidate_id	selection_reasons	repetition_mode	base_surface	matched_surface_span	matched_hkcancor_pos	matched_ud_pos	matched_jyutping	second_token_form	second_token_hkcancor_pos	second_token_jyutping	has_local_predicate_candidate	predicate_distance_lexical_tokens	local_predicate_form	local_predicate_hkcancor_pos	local_predicate_ud_pos	local_predicate_jyutping	source_file	turn_index_zero_based	participant	text	previous_text	next_text	expert_classification	expert_subtype	confidence	reviewer_note	parser_implication
11	aa84br-d936b5c655da5a5811c7	fixed_mode_pos_host_control;sound_lexical	internally_repeated_token	拜	拜拜	l1	X	baai1baai3				True	1	講	v	VERB	gong2	FC-009b_v.cha	46	XXA	拜拜!講𡁵乜嘢啊跟住?	反彈得好犀利.	講𡁵你睇跌打.					
12	aa84br-7c764953a9f14061f617	temporal_frequency	internally_repeated_token	年	年年	q	NOUN	nin4nin4				True	3	好似	v	VERB	hou2ci5	FC-009b_v.cha	64	XXB	但係嗰時呢,因為我嗰陣時呢又係成日我會-我會年年呢都好似有機會會扭親噉樣𡃉.	噉跟住,誒,佢係噉問我有冇好啲喎.	哦.					
13	aa84br-63c7c233054e9b4ece1e	quantity	internally_repeated_token	少	少少	m	NUM	siu2siu2				True	1	腫	a	ADJ	zung2	FC-009b_v.cha	66	XXB	嗰個人呢同我講呢,佢話如果即係譬如,誒,你摸嗰個位呢譬如你見到有少少腫呢,即係有時你唔知係好返未吖,定係點𠺢嗎.	哦.	喀.					
14	aa84br-7a5c08f9dcf1879e39c3	distributive	internally_repeated_token	樣	樣樣	q	NOUN	joeng6joeng6				True	3	叻	a	ADJ	lek1	FC-009b_v.cha	106	XXA	我識得嗰個人,佢跑樣樣都好叻嘅,但係佢好瘦𡃉喎.	我諗係體質嘅問題.	會唔會呢?					
15	aa84br-a7056a44c26306806832	fixed_mode_pos_host_control;quantity	internally_repeated_token	少	少少	m	NUM	siu2siu2				False						FC-011_v.cha	52	XXA	少少喇.	彌補你嘅創傷.	係喇.					
16	aa84br-738f0656815f475c6f09	all_manner_property_anchors;capped_internal_adv_by_base_host	internally_repeated_token	初	初初	f	ADV	co1co1				True	1	做	v	VERB	zou6	FC-011_v.cha	56	XXB	誒,我哩份-睇下先,我其實呢,就初初做呢,我就喺間雜誌社做嘅.	你份工點啊?	噉但係做-啱啱-啱啱probation過咗呢,即係三個月,噉𠻺啱啱哩度又請我.					
17	aa84br-8b51b418c0ff1146fe0c	capped_internal_adv_by_base_host;temporal_frequency	internally_repeated_token	啱	啱啱	d	ADV	aam1aam1				True	3	過	v	VERB	gwo3	FC-011_v.cha	57	XXB	噉但係做-啱啱-啱啱probation過咗呢,即係三個月,噉𠻺啱啱哩度又請我.	誒,我哩份-睇下先,我其實呢,就初初做呢,我就喺間雜誌社做嘅.	即係而家轉做東亞銀行嚹.					
18	aa84br-bb189b38ed270e965b5c	temporal_frequency	internally_repeated_token	晚	晚晚	q	NOUN	maan5maan5				True	2	要	vu	AUX	jiu3	FC-011_v.cha	98	XXB	趕嗰輪呢,即係就來到-到日子要推出嘞,噉嗰輪就晚晚都要開O.T.啊,噉樣囖.	即係成日都會-即係尤其是趕嗰輪.	即係成team人做.					
19	aa84br-fbd3934dc4c047731ecc	fixed_mode_pos_host_control;kin_name	internally_repeated_token	美	美美	nr	PROPN	mei5mei5				False						FC-012_v.cha	0	XXA	有冇養寵物𡃉王美美?		有.					
20	aa84br-ed603e1b7d9f99adc3bc	event	adjacent_identical_tokens	食	食食	v	VERB	sik6	食	v	sik6	True	3	發覺	v	VERB	faat3gok3	FC-012_v.cha	67	XXA	噉但係會唔會食食下飯發覺有啲狗毛嗰啲?	慣咗嗱?	會𡃉.					
21	aa84br-d3dac6e7be68b9efcbf3	capped_internal_adv_by_base_host	internally_repeated_token	明	明明	d	ADV	ming4ming4				True	1	唔同	a	ADJ	m4tung4	FC-012_v.cha	117	XXA	噉但係明明唔同種族𡃉喎兩隻狗.	好似-好似-好似好奇怪.	想搞啲乜嘢?					
22	aa84br-ba04699a8df0f5b6bd01	capped_internal_adv_by_base_host	internally_repeated_token	通	通通	d	ADV	tung1tung1				True	1	瓜	v	VERB	gwaa1	FC-012_v.cha	231	XXC	跟住通通瓜晒.	跟住養幾廿條咁大.	我試過呢養嗰啲錦鯉呢,兩日唔記得俾-餵糧啊.					
23	aa84br-a2188a06055529393878	distributive	internally_repeated_token	條	條條	q	NOUN	tiu2tiu4				False						FC-012_v.cha	275	XXC	總之一條條木𡃉.	唔知啊.	跟住呢,佢喺地下行,唔識飛嗰啲呢.					
24	aa84br-2a79037bd37265cc2afb	distributive	internally_repeated_token	節	節節	q	NOUN	zit6zit6				False						FC-012_v.cha	302	XXA	黃色一節節噉𠺢嗎.	係啊,係啊,係啊,係啊,係啊.	係啊.					
25	aa84br-3373ec2ba2d7c416a41a	temporal_frequency	internally_repeated_token	下	下下	q	NOUN	haa5haa5				True	2	要	vu	AUX	jiu3	FC-012_v.cha	585	XXC	下下都要揾Kelly.	噉咪係囖.	冇啊.					
26	aa84br-26fd048a7c04b636fc7a	sound_lexical	internally_repeated_token	B	BB	xn	NOUN					False						FC-013_v.cha	32	XXB	有個BB啊隻腳俾蚊咬咗好大粒啊.	哎吔.	你見唔見到啊?					
27	aa84br-d34e0c97e4075bd3fe4d	all_manner_property_anchors	internally_repeated_token	唥	唥唥	o	X	laang1laang1				True	2	以為	v	VERB	ji5wai4	FC-018_v.cha	217	XXM	拖阿謝賢返來,原來唔係,佢跌咗條鎖匙喺地下度,俾佢一腳踢咗落去,就唥唥聲,以為佢嗰啲鎖鏈-啲牛鬼蛇神拖佢返來.	返到屋企,佢咪開門,噉咪間屋黑擝擝,噉佢條鎖匙跌咗落地下,噉佢屋企人呢以為真係啲牛鬼蛇神拖佢返來嘍喎.	嚇到佢屋企人呢就喺個被竇度打晒冷震.					
28	aa84br-f873c8615f6999169103	event	adjacent_identical_tokens	削	削削	v	VERB	soek3	削	v	soek3	True	1	削	v	VERB	soek3	FC-019_v.cha	35	XXC	"削削削""""度削."	喀.	削呢,就削到我啲頭髮好傷.					
29	aa84br-fe528d626ad0963aee3c	event	adjacent_identical_tokens	削	削削	v	VERB	soek3	削	v	soek3	True	2	削	v	VERB	soek3	FC-019_v.cha	35	XXC	"削削削""""度削."	喀.	削呢,就削到我啲頭髮好傷.					
30	aa84br-cc81bacb924834a80ad7	event	adjacent_identical_tokens	剪	剪剪	v	VERB	zin2	剪	v	zin2	True	1	剪	v	VERB	zin2	FC-019_v.cha	38	XXJ	如果佢唔削噉剪剪剪呢.	同埋好容易開叉啊.	喀喀喀.					
31	aa84br-5059a5b639451edeff37	fixed_mode_pos_host_control	adjacent_identical_tokens	噉	噉噉	c	CCONJ	gam2	噉	c	gam2	True	4	話	v	VERB	waa6	FC-020_v.cha	9	XXA	"噉噉最初嗰陣時都話請咗我𡃉嚹,但係我又,""但係我又""一心即係諗住教書吖嗎,噉所以就即係推咗佢噉樣囖."	因為最初嗰陣時呢我都見咗份,誒,誒,translator噉樣嘅.	同埋我又覺得佢好似好辛苦𠺢嗎,因為佢之前佢譯報紙嗰啲嘢呢,噉譬如話十一點鐘之前呢就譯好多嘢,因為佢要趕住俾個客噉樣喇,噉所以呢我就覺得好辛苦囖.					
32	aa84br-8bba4d83e71013862755	all_manner_property_anchors;capped_internal_adj_by_base_host	internally_repeated_token	慢	慢慢	a	ADJ	maan6maan2				True	1	揾	v	VERB	wan2	FC-020_v.cha	274	XXB	係喇,即係都繼續要慢慢揾喇而家都.	唉!真係慘啊其實.	係喇都.					
33	aa84br-b67a6dd483ab1c93755b	fixed_mode_pos_host_control	adjacent_identical_tokens	唉	唉唉	e	INTJ	aai5	唉	e	aai5	True	3	不如	v	VERB	bat1jyu4	FC-020_v.cha	556	XXA	係,噉不如-唉唉,唉噉不如噉喇,我遲啲再揾你喇,如果一有乜嘢消息你就話俾我知喇.	係啊.	好啊,好啊,好啊.					
34	aa84br-f165c1997b9f7fc42f77	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	a	hou2	True	2	幫	v	VERB	bong1	FC-022b_v.cha	99	XXB	噉佢呢就好好喇,幫我帶埋落來𠻹.	係上去幫我買嘅.	喀.					
35	aa84br-1b7a90c7873e48435516	temporal_frequency	internally_repeated_token	日	日日	q	NOUN	jat6jat6				True	2	飛	v	VERB	fei1	FC-025_v.cha	253	XXX	日日係噉飛落秘書台.	飛落秘書台咪得囖.	只要有秘書台.					
36	aa84br-b3aa861ec7264e1400a2	kin_name	internally_repeated_token	叔	叔叔	n	NOUN	suk1suk1				False						FC-025_v.cha	307	XXY	Gordon叔叔,我同埋另外嗰個GT囖.	今年嗰三個.	GT?					
37	aa84br-1f04f7d0a0e01b76af51	capped_internal_adv_by_base_host;fixed_mode_pos_host_control;temporal_frequency	internally_repeated_token	啱	啱啱	d	ADV	ngaam1ngaam1				False						FC-025_v.cha	725	XXY	我話舊年去完嚹啱啱.	佢九月頭去攞假去旅行,去泰國,問我去唔去.	噉但係我發覺舊年去好貴啊.					
38	aa84br-1ed3d48be31d856a8b48	temporal_frequency	internally_repeated_token	次	次次	q	NOUN	ci3ci3				True	2	請	v	VERB	ceng2	FC-025_v.cha	746	XXY	我次次都請飲茶.	唔好嚹啩.	今日唔係你請飲茶?					
39	aa84br-36574c822f5ed1d4efd1	fixed_mode_pos_host_control;sound_lexical	adjacent_identical_tokens	B	BB	nx	NOUN		B	nx		True	4	可以	vu	AUX	ho2ji5	FC-027_v2.cha	239	XXA	BBCC已經可以𡃉嚹.	有啲B都夠𡃉嚹喎.	係啊.					
40	aa84br-aedb2d3dea57585f1006	distributive	internally_repeated_token	本	本本	q	NOUN	bun2bun2				True	3	會	vu	AUX	wui5	FC-027_v2.cha	425	XXA	嘿而家本本便利都會見到好多人𡃉喇.	嗰日喺一本便利見到Jacky喎.	就係囖.					
41	aa84br-235aee4a0208b384c2aa	distributive	internally_repeated_token	個	個個	q	NOUN	go3go3				False						FC-027_v2.cha	537	XXB	我覺得佢哋個個個樣都差唔多.	係喇.	高度又差唔多噉樣.					
42	aa84br-f4ef665705e1cb1b69f6	fixed_mode_pos_host_control	internally_repeated_token	個	個個	r	PRON	go3go3				True	1	去	v	VERB	heoi3	FC-027_v2.cha	711	XXA	個個去完外國返來都返工.	係.	你哋但係你哋唔係好friend嘅咩?					
43	aa84br-e4d0b1d318a00a4c4715	capped_internal_verb_by_base_host;event;fixed_mode_pos_host_control	internally_repeated_token	等	等等	v	VERB	dang2dang2				False						FC-028_v2.cha	514	XXA	一係我哋等等佢先喇.	老爺好遲囖.	等等佢,你錄完未唧?					
44	aa84br-755e6f8c2892c8aeb7d5	capped_internal_verb_by_base_host;event;fixed_mode_pos_host_control	internally_repeated_token	等	等等	v	VERB	dang2dang2				True	3	錄	v	VERB	luk6	FC-028_v2.cha	515	XXB	等等佢,你錄完未唧?	一係我哋等等佢先喇.	唔好錄喇一係,等埋佢先.					
45	aa84br-854686b7224869653095	sound_lexical	internally_repeated_token	c.	c.c.	xq	NOUN					False						FC-029_v.cha	57	XXA	千三c.c..	唔想-唔想同哩啲人做交易啊.	千三c.c.?					
46	aa84br-23dca8f8ca1a1c709d93	sound_lexical	internally_repeated_token	c.	c.c.	xq	NOUN					True	1	冇	v1	VERB	mou5	FC-029_v.cha	63	XXA	千三c.c.冇力𡃉喎完全.	"""好""鮓啊."	真係𠸏?					
47	aa84br-30874e55aa20af6ffa78	sound_lexical	internally_repeated_token	c.	c.c.	xq	NOUN					True	2	大	a	ADJ	daai6	FC-029_v.cha	267	XXA	噉𠻺係,你啱啱新牌又揸架c.c.咁大嘅.	唔知啊,唔想買架千六囖,佢話.	係喇.					
48	aa84br-20bf521eada3e7ec7762	all_manner_property_anchors;capped_internal_adj_by_base_host;fixed_mode_pos_host_control	internally_repeated_token	細	細細	a	ADJ	sai3sai3				False						FC-033_v2.cha	57	XXB	嗰陣時啲魚多數都係細細條𡃉啫.	噉𠻺噉𠻺攞啲水裝住你哩條魚囖.	冇咁大條.					
49	aa84br-71a1534eb5df8ea65488	capped_internal_adv_by_base_host;temporal_frequency	internally_repeated_token	朝	朝朝	t	ADV	ziu1ziu1				True	1	換	v	VERB	wun6	FC-033_v2.cha	79	XXA	朝朝換水好辛苦.	好辛苦𡃉喎噉養.	噉你鍾意就得𡃉喇.					
50	aa84br-28352a7d2283be8841a6	event	adjacent_identical_tokens	睇	睇睇	v	VERB	tai2	睇	v	tai2	True	4	覺得	v	VERB	gok3dak1	FC-033_v2.cha	139	XXA	但係而家睇睇下呢,都覺得都幾靚𠸏.	有啲人啊貪佢夠大條呢.	睇真啲又幾靚.					
51	aa84br-e0e4b03a9d84e2f2b149	distributive	internally_repeated_token	度	度度	r	PRON	dou6dou6				True	2	有	v1	VERB	jau5	FC-033_v2.cha	189	XXB	台灣啊,度度都有.	嗰啲喺歐洲運來嘅都有啊.	養水草.					
52	aa84br-afa63be9ee9f5b8fdc5c	fixed_mode_pos_host_control;sound_lexical	internally_repeated_token	拜	拜拜	l1	X	baai1baai3				False						FC-033_v2.cha	256	XXB	拜拜.	好啊,好啊.						
53	aa84br-3f5d6d3cf8c439a0df39	capped_internal_verb_by_base_host;event	internally_repeated_token	講	講講	v	VERB	gong2gong2				False						FC-035_v2.cha	17	XXX	即係可能因為唔見過錢或者俾人扼過錢喇,不如講講哩個經過喇.	誒,如果講話邊度最好玩,或者,或者講邊度最剋我憎先喇,就係意大利喇.	就係有一日呢,我個friend呢就去,即係點啊?					
54	aa84br-9241f50cb0b15ad8d9ae	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	a	hou2	True	2	掂	a	ADJ	dim6	FC-035_v2.cha	122	XXX	啲氣氛真係好好,好掂.	巡遊日頭嗰個就冇乜點夜晚嗰個就真係幾正啊.	誒,煙花,又放煙花喇,但係影出來就唔掂囖,但係喺當場睇都幾開心𡃉.					
55	aa84br-a5158a887fb7e19e0a00	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	a	hou2	True	2	播	v	VERB	bo3	FC-035_v2.cha	124	XXX	啲人又拍晒手噉樣,即係啲氣氛呢好好囖,播下音樂噉樣.	誒,煙花,又放煙花喇,但係影出來就唔掂囖,但係喺當場睇都幾開心𡃉.	噉,都係咁上下喇,都好充實𡃉嚹.					
56	aa84br-6f81a34e32ff93fe2668	distributive	internally_repeated_token	度	度度	r	PRON	dou6dou6				True	3	好	a	ADJ	hou2	FC-035_v2.cha	126	XXX	跟住其他國家,其實度度都好好囖,我覺得.	噉,都係咁上下喇,都好充實𡃉嚹.	又係,啲人好有文化囖,嗯,同埋真係好光鮮,可能比較有錢嘅國家.					
57	aa84br-15f03d6daa8a11e6be59	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	a	hou2	True	3	覺得	v	VERB	gok3dak1	FC-035_v2.cha	126	XXX	跟住其他國家,其實度度都好好囖,我覺得.	噉,都係咁上下喇,都好充實𡃉嚹.	又係,啲人好有文化囖,嗯,同埋真係好光鮮,可能比較有錢嘅國家.					
58	aa84br-a45975136398715caca1	kin_name	internally_repeated_token	爸	爸爸	n	NOUN	baa4baa1				True	2	發覺	v	VERB	faat3gok3	FC-038b_v2.cha	28	XXX	噉𠻺可能未同佢溫書喇,即係個爸爸,就發覺佢唔係好掂喇.	嗯.	係.					
59	aa84br-a570d2966bc9e35973f8	kin_name	internally_repeated_token	爸	爸爸	n	NOUN	baa4baa1				True	1	有	v1	VERB	jau5	FC-038b_v2.cha	103	XXX	噉我阿哥呢,噚日傾開哩個問題嘅時候,噉我又唔知我阿哥定爸爸有另外一個講法就話.	始終都係要自己努力喇,係唔係先?	噉應該呢就係,叫佢努力啲去讀書先,臨到最尾,先俾啲題目佢,俾啲答案佢望一望,即係話呢,即係佢本身已經有一個好好嘅基礎,你明唔明啊?					
60	aa84br-ad5f78a1a489a7a38c9a	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	a	hou2	True	4	明	v	VERB	ming4	FC-038b_v2.cha	104	XXX	噉應該呢就係,叫佢努力啲去讀書先,臨到最尾,先俾啲題目佢,俾啲答案佢望一望,即係話呢,即係佢本身已經有一個好好嘅基礎,你明唔明啊?	噉我阿哥呢,噚日傾開哩個問題嘅時候,噉我又唔知我阿哥定爸爸有另外一個講法就話.	明白,明白.					
61	aa84br-117d21d578fcd42f30ff	kin_name	internally_repeated_token	姐	姐姐	n	NOUN	ze4ze1				True	2	陪	v	VERB	pui4	FC-038b_v2.cha	154	XXY	佢姐姐都陪住佢一齊去玩噉樣.	放榜完之後即刻去哩個漫畫城嗰度就買幾本漫畫睇噉樣.	喀.					
62	aa84br-667424542cf4f48bbc7a	temporal_frequency	internally_repeated_token	下	下下	q	NOUN	haa5haa5				True	2	要	vu	AUX	jiu3	FC-038b_v2.cha	160	XXY	噉哩個社會唔係下下都要讀成書先得𠺢嗎.	喀.	嗯.					
63	aa84br-1469e88a192f79e2cc60	all_adjacent_adjective_runtime_collisions;all_manner_property_anchors;fixed_mode_pos_host_control	adjacent_identical_tokens	好	好好	a	ADJ	hou2	好	a	hou2	True	1	好	a	ADJ	hou2	FC-038b_v2.cha	286	XXX	好好,好.	食飯嚹,好唔好啊?						
64	aa84br-e5cd363cf000fd3f6262	fixed_mode_pos_host_control	internally_repeated_token	等	等等	u	PART	dang2dang2				False						FC-042_v.cha	43	XXH	走上去驗啊,劏開佢來割啊,解剖啊,攞標本啊等等.	我成日會覺得會有啲飛碟呢來地球拐帶啲人.	我都覺得有噉嘅可能囖.					
65	aa84br-5223508c8b1a773f0da2	fixed_mode_pos_host_control	adjacent_identical_tokens	Zip1	Zip1Zip1	o	X	zip1	Zip1	o	zip1	True	3	上堂	v	VERB	soeng5tong4	FC-044_v2.cha	39	XXM	Zip1Zip1聲啊,上堂唔明,Zip1Zip1聲啊.	可能係噉樣都唔定.	嗰啲呢.					
66	aa84br-592a1942da97de6ecd3c	all_adjacent_adjective_runtime_collisions;all_manner_property_anchors	adjacent_identical_tokens	平	平平	a	ADJ	peng4	平	a	peng4	True	4	夾	v	VERB	gaap3	FC-044_v2.cha	105	XXM	即係即係平平哋每人夾百-百零蚊就算𡃉喇嗎.	BigEcho賣廣告十蚊一餐咋喎.	有冇見到豬仔食到嘔嗰次啊?					
67	aa84br-5f74bf0580fc1f9959cb	capped_internal_adv_by_base_host	internally_repeated_token	少	少少	d	ADV	siu2siu2				True	2	多	a	ADJ	do1	FC-044_v2.cha	143	XXE	嗱,第一次搬𠻺搬咗之後就-就遠咗少少咁多.	你應該一次過搬去屯門吖嗎應該.	跟住而家搬咗荃灣都唔係真係遠得幾多咋喎,話時話.					
68	aa84br-c3c9957b7c847b653281	all_manner_property_anchors	internally_repeated_token	流	流流	n	NOUN	lau4lau4				True	2	講	v	VERB	gong2	FC-044_v2.cha	169	XXE	生日流流真係講埋啲噉嘅嘢.	係喇.	阿老爺,借問聲你買咗啲衰人禮物未啊?					
69	aa84br-b794ce91e16a89279f38	capped_internal_verb_by_base_host;event	internally_repeated_token	試	試試	v	VERB	si3si3				False						FC-044_v2.cha	225	XXE	噉不妨試試喇.	係啊.	等陣先!有啲斷-斷尾.					
70	aa84br-d0b0b268432e8035158f	event	adjacent_identical_tokens	食	食食	v	VERB	sik6	食	v	sik6	True	5	行	v	VERB	haang4	FC-044_v2.cha	298	XXE	如果我哋食食下飯突然間,或者行行下街突然間會有一班人衝出來.	但係我諗噉樣會幾壯觀𡃉囖到時.	有班人出來劈友啊.					
71	aa84br-9ea53fccb7d36f1cdc32	event	adjacent_identical_tokens	行	行行	v	VERB	haang4	行	v	haang4	True	4	會	vu	AUX	wui5	FC-044_v2.cha	298	XXE	如果我哋食食下飯突然間,或者行行下街突然間會有一班人衝出來.	但係我諗噉樣會幾壯觀𡃉囖到時.	有班人出來劈友啊.					
72	aa84br-a10d45a175b12a555a4b	sound_lexical	internally_repeated_token	B	BB	xn	NOUN					True	2	得意	a	ADJ	dak1ji3	FC-045_v2.cha	264	XXM	我真係覺得哩個BB好得意.	原本係校出邊𡃉.	"半個吖嗎""""."					
73	aa84br-b12759680d3f475abfb9	distributive	internally_repeated_token	間	間間	q	NOUN	gaan1gaan1				True	1	會	vu	AUX	wui5	FC-046_v2.cha	81	XXB	即係唔係間間會噉做,不過,不過,因為你相機可能傳統上好多人都唔識用喇,因為啲傻瓜機好難用𡃉好多都.	我覺得佢好professional喎.	唔係.					
74	aa84br-ab9096cc956e39b097fa	distributive	internally_repeated_token	部	部部	q	NOUN	bou6bou6				True	2	有	v1	VERB	jau5	FC-046_v2.cha	112	XXB	有啲特登要pit3咗佢噉嗰啲呢就部部機有啲唔同嘅.	係啊,有啲要遮住個鏡頭拍一下先𠺢嗎?	噉所以呢,就都要講下嘅.					
75	aa84br-17a75a7cd5238fe8081a	kin_name	internally_repeated_token	哥	哥哥	n	NOUN	go4go1				True	2	係	v	VERB	hai6	FC-046_v2.cha	117	XXC	"唔係喎,但係上次我買嗰陣時呢,最初呢介紹俾我嗰位哥哥呢係唔識𡃉喎,""唔識啊,唔識啊."	所以呢應該係五六分鐘喇,可以教晒.	"""噉樣."					
76	aa84br-74367244b673232be824	distributive	internally_repeated_token	人	人人	n	NOUN	jan4jan4				True	2	叫	v	VERB	giu3	FC-046_v2.cha	208	XXE	唔知人人都叫佢做阿牛,可能懶喇.	哦.	哎吔,死嘞,錄𡁵音.					
77	aa84br-861929261b645f6867f1	fixed_mode_pos_host_control;sound_lexical	internally_repeated_token	哈	哈哈	e	INTJ	haa1haa1				False						FC-048_v2.cha	8	XXB	哈哈.	飲完杯奶茶,噉煲支煙.	歎杯奶茶,睇下報紙哩樣,梗𡃉如果有時間的話.					
78	aa84br-2b0e3b95be58f9a98c96	capped_internal_adv_by_base_host;temporal_frequency	internally_repeated_token	朝	朝朝	t	ADV	ziu1ziu1				False						FC-048_v2.cha	64	XXA	我朝朝檸茶囖.	黐線.	我唔飲會頭痛𡃉係.					
79	aa84br-e32e16d98fa64695136d	capped_internal_adv_by_base_host;temporal_frequency	internally_repeated_token	朝	朝朝	t	ADV	ziu1ziu1				True	1	飲	v	VERB	jam2	FC-048_v2.cha	69	XXA	我朝朝飲檸茶.	係啊.	飲檸茶我覺得重削胃,檸檬.					
80	aa84br-65949ba1d2e6ae5b08cf	all_manner_property_anchors;capped_internal_adj_by_base_host	internally_repeated_token	慢	慢慢	a	ADJ	maan6maan2				True	1	歎	v	VERB	taan3	FC-048_v2.cha	112	XXA	你咪可以慢慢歎囖.	熱天就都係飲凍嘅.	唔係啊.					
