id	item_type	source_traditional	source_jyutping	source_english	duplicate_status	terminal_classification	evidence_use	discrepancy_status	accepted_duplicate_targets	review_note
GLOSSIKA-YUEHK-A1-W14-20260621-I019	lexical_entry	加班	gaa1 baan1	to work overtime	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I020	lexical_entry	辭職	ci4 zik1	to resign	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I021	lexical_entry	見工	gin3 gung1	job interview	no_accepted_duplicate	translation_discrepancy	source_discrepancy_preserved_unresolved	perspective_alert_no_replacement_accepted		The source wording is preserved unchanged. No replacement gloss or orthography is asserted in this ingress review.
GLOSSIKA-YUEHK-A1-W14-20260621-I022	lexical_entry	履歷	lei5 lik6	resume/CV	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I023	lexical_entry	職位	zik1 wai2	position/job title	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I024	lexical_entry	合約	hap6 joek3	contract	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I025	lexical_entry	遲到	ci4 dou3	to be late	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I026	lexical_entry	準時	zeon2 si4	on time	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A canonical runtime owner or independent exact pedagogical source already preserves the form; this source remains provenance only.
GLOSSIKA-YUEHK-A1-W14-20260621-I027	lexical_entry	電腦	din6 nou5	computer	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I028	lexical_entry	電郵	din6 jau4	email	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I029	lexical_entry	傳真	cyun4 zan1	fax	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I030	lexical_entry	影印	jing2 jan3	to photocopy	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I031	lexical_entry	文件	man4 gin2	document	accepted_exact_duplicate	exact_duplicate	duplicate_pedagogical_attestation_no_new_runtime_owner		src/runtime-resources/lexicon/token-lexicon	A canonical runtime owner or independent exact pedagogical source already preserves the form; this source remains provenance only.
GLOSSIKA-YUEHK-A1-W14-20260621-I032	lexical_entry	客戶	haak3 wu6	client	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I033	lexical_entry	實習生	sat6 zaap6 saang1	intern	no_accepted_duplicate	lexical_only_attestation	lexical_ingress_candidate_not_implemented			Retained as lexical attestation and later ingress candidate; no runtime insertion or grammar inference occurs here.
GLOSSIKA-YUEHK-A1-W14-20260621-I034	lexical_entry	一萬	jat1 maan6	10,000	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_lexicon_entry			Retained as compositional numeral evidence; no opaque whole-form lexicon entry is justified.
GLOSSIKA-YUEHK-A1-W14-20260621-I035	lexical_entry	二萬	ji6 maan6	20,000	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_lexicon_entry			Retained as compositional numeral evidence; no opaque whole-form lexicon entry is justified.
GLOSSIKA-YUEHK-A1-W14-20260621-I036	lexical_entry	三萬	saam1 maan6	30,000	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_lexicon_entry			Retained as compositional numeral evidence; no opaque whole-form lexicon entry is justified.
GLOSSIKA-YUEHK-A1-W14-20260621-I037	lexical_entry	四萬	sei3 maan6	40,000	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_lexicon_entry			Retained as compositional numeral evidence; no opaque whole-form lexicon entry is justified.
GLOSSIKA-YUEHK-A1-W14-20260621-I038	lexical_entry	五萬	ng5 maan6	50,000	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_lexicon_entry			Retained as compositional numeral evidence; no opaque whole-form lexicon entry is justified.
GLOSSIKA-YUEHK-A1-W14-20260621-I039	lexical_entry	六萬	luk6 maan6	60,000	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_lexicon_entry			Retained as compositional numeral evidence; no opaque whole-form lexicon entry is justified.
GLOSSIKA-YUEHK-A1-W14-20260621-I040	lexical_entry	七萬	cat1 maan6	70,000	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_lexicon_entry			Retained as compositional numeral evidence; no opaque whole-form lexicon entry is justified.
GLOSSIKA-YUEHK-A1-W14-20260621-I041	lexical_entry	八萬	baat3 maan6	80,000	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_lexicon_entry			Retained as compositional numeral evidence; no opaque whole-form lexicon entry is justified.
GLOSSIKA-YUEHK-A1-W14-20260621-I042	lexical_entry	九萬	gau2 maan6	90,000	no_accepted_duplicate	lexical_only_attestation	compositional_numeral_attestation_no_opaque_lexicon_entry			Retained as compositional numeral evidence; no opaque whole-form lexicon entry is justified.
GLOSSIKA-YUEHK-A1-W14-20260621-I043	lexical_entry	十萬	sap6 maan6	100,000	accepted_exact_duplicate	exact_duplicate	duplicate_compositional_numeral_attestation		data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W15-20260628/source.json	A canonical runtime owner or independent exact pedagogical source already preserves the form; this source remains provenance only.
GLOSSIKA-YUEHK-A1-W14-20260621-I044	sentence	你做咩工？	nei5 zou6 me1 gung1?	What do you do for work?	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I045	sentence	我喺銀行返工。	ngo5 hai2 ngan4 hong4 faan1 gung1.	I work at a bank.	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I046	sentence	幾點放工？	gei2 dim2 fong3 gung1?	What time do you finish work?	no_accepted_duplicate	new_corpus_attestation	pedagogical_corpus_attestation_only			Retained as source attestation only; no independent grammar or naturalness conclusion is drawn.
GLOSSIKA-YUEHK-A1-W14-20260621-I047	sentence	今日要加班。	gam1 jat6 jiu3 gaa1 baan1.	I have to work overtime today.	no_accepted_duplicate	new_corpus_attestation	pedagogical_corpus_attestation_only			Retained as source attestation only; no independent grammar or naturalness conclusion is drawn.
GLOSSIKA-YUEHK-A1-W14-20260621-I048	dialog_turn	你做咩工㗎？	nei5 zou6 me1 gung1 gaa3?	What do you do?	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I049	dialog_turn	我做會計嘅。你呢？	ngo5 zou6 wui6 gai3 ge3. nei5 ne1?	I'm an accountant. And you?	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I050	dialog_turn	我喺酒店返工。幾辛苦㗎。	ngo5 hai2 zau2 dim3 faan1 gung1. gei2 san1 fu2 gaa3.	I work at a hotel. It's quite tiring.	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I051	dialog_turn	係呀，不過人工OK嘅。	hai6 aa3, bat1 gwo3 jan4 gung1 OK ge3.	Yeah, but the pay is OK.	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_plus_bounded_followup_research			Retained as a source attestation and linked to bounded later research; it does not establish productivity, identity, or parser behavior.
GLOSSIKA-YUEHK-A1-W14-20260621-I052	sentence	我食飯。	ngo5 sik6 faan6	I eat rice.	no_accepted_duplicate	new_corpus_attestation	pedagogical_corpus_attestation_only			Retained as source attestation only; no independent grammar or naturalness conclusion is drawn.
GLOSSIKA-YUEHK-A1-W14-20260621-I053	sentence	佢睇書。	keoi5 tai2 syu1	He/She reads a book.	no_accepted_duplicate	new_corpus_attestation	pedagogical_corpus_attestation_only			Retained as source attestation only; no independent grammar or naturalness conclusion is drawn.
GLOSSIKA-YUEHK-A1-W14-20260621-I054	phonics_pair				no_accepted_duplicate	new_corpus_attestation	pronunciation_candidate_not_adopted			Retained as pedagogical pronunciation attestation only; direct lexical-source verification remains required before learner-facing adoption.
GLOSSIKA-YUEHK-A1-W14-20260621-I055	phonics_pair				no_accepted_duplicate	new_corpus_attestation	pronunciation_candidate_not_adopted			Retained as pedagogical pronunciation attestation only; direct lexical-source verification remains required before learner-facing adoption.
GLOSSIKA-YUEHK-A1-W14-20260621-I056	phonics_pair				no_accepted_duplicate	new_corpus_attestation	pronunciation_candidate_not_adopted			Retained as pedagogical pronunciation attestation only; direct lexical-source verification remains required before learner-facing adoption.
GLOSSIKA-YUEHK-A1-W14-20260621-I057	phonics_pair				no_accepted_duplicate	pronunciation_discrepancy	source_discrepancy_preserved_unresolved	internal_source_mismatch_no_replacement_accepted		The source value is preserved unchanged. No corrected reading is asserted in this ingress review.
GLOSSIKA-YUEHK-A1-W14-20260621-I058	phonics_pair				no_accepted_duplicate	new_corpus_attestation	pronunciation_candidate_not_adopted			Retained as pedagogical pronunciation attestation only; direct lexical-source verification remains required before learner-facing adoption.
GLOSSIKA-YUEHK-A1-W14-20260621-I059	phonics_pair				no_accepted_duplicate	new_corpus_attestation	pronunciation_candidate_not_adopted			Retained as pedagogical pronunciation attestation only; direct lexical-source verification remains required before learner-facing adoption.
GLOSSIKA-YUEHK-A1-W14-20260621-I060	phonics_pair				no_accepted_duplicate	translation_discrepancy	source_discrepancy_preserved_unresolved	lexical_gloss_alert_no_replacement_accepted		The source wording is preserved unchanged. No replacement gloss or orthography is asserted in this ingress review.
GLOSSIKA-YUEHK-A1-W14-20260621-I061	phonics_pair				no_accepted_duplicate	new_corpus_attestation	pronunciation_candidate_not_adopted			Retained as pedagogical pronunciation attestation only; direct lexical-source verification remains required before learner-facing adoption.
