id	ordinal	item_type	section	subsection	source_traditional	source_jyutping	source_english	later_research	top_owner_candidates
GLOSSIKA-YUEHK-A1-W14-20260621-I011	11	lexical_entry	vocabulary_and_situations	work_and_office	公司	gung1 si1	company	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/people-and-address.js || executable_test_or_fixture:tests/constructions/ClauseRelationGraph.json || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || canonical_or_research_data:data/research/REPOSITORY-FUTURE-PARSER-WORK-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/items.tsv
GLOSSIKA-YUEHK-A1-W14-20260621-I012	12	lexical_entry	vocabulary_and_situations	work_and_office	辦公室	baan6 gung1 sat1	office	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	current_grammar_note:grammar/research_pending/DirectionalMotionVP.md || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || canonical_or_research_data:data/research/GLOSSIKA-CONTEXT-LINKED-RESPONSE-DECISIONS-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/README.md || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/items.tsv
GLOSSIKA-YUEHK-A1-W14-20260621-I013	13	lexical_entry	vocabulary_and_situations	work_and_office	老闆	lou5 baan2	boss	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/people-and-address.js || runtime_source:src/parser/detectors/transfer/lexical-give.js || current_grammar_note:grammar/research_pending/PossessiveClassifierNP.md
GLOSSIKA-YUEHK-A1-W14-20260621-I014	14	lexical_entry	vocabulary_and_situations	work_and_office	開會	hoi1 wui2	to have a meeting	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	current_grammar_note:grammar/research_pending/PriorityMarkerClause.md || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/source.json
GLOSSIKA-YUEHK-A1-W14-20260621-I015	15	lexical_entry	vocabulary_and_situations	work_and_office	出糧	ceot1 loeng4	to get paid	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner || followup_candidate | candidate_id=W14-F08 | cluster=lexical_gloss_review | priority=high | reason=The source glosses may be perspective-bound or narrower than the Cantonese forms; no correction is asserted here.	
GLOSSIKA-YUEHK-A1-W14-20260621-I016	16	lexical_entry	vocabulary_and_situations	work_and_office	放假	fong3 gaa3	to have a holiday	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W16-20260705/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W16-20260705/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W16-20260705/source.json
GLOSSIKA-YUEHK-A1-W14-20260621-I017	17	lexical_entry	vocabulary_and_situations	work_and_office	打工	daa2 gung1	to work (part-time)	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner || followup_candidate | candidate_id=W14-F08 | cluster=lexical_gloss_review | priority=high | reason=The source glosses may be perspective-bound or narrower than the Cantonese forms; no correction is asserted here.	
GLOSSIKA-YUEHK-A1-W14-20260621-I018	18	lexical_entry	vocabulary_and_situations	work_and_office	人工	jan4 gung1	salary	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	runtime_source:src/parser/context/descriptors.js || executable_test_or_fixture:tests/constructions/ClauseRelationGraph.json || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || canonical_or_research_data:data/natural-corpus/wechat-father-daughter-001.txt || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/items.tsv
GLOSSIKA-YUEHK-A1-W14-20260621-I019	19	lexical_entry	vocabulary_and_situations	work_and_office	加班	gaa1 baan1	to work overtime	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W17-20260712/crosswalk.json
GLOSSIKA-YUEHK-A1-W14-20260621-I020	20	lexical_entry	vocabulary_and_situations	work_and_office	辭職	ci4 zik1	to resign	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I021	21	lexical_entry	vocabulary_and_situations	work_and_office	見工	gin3 gung1	job interview	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner || followup_candidate | candidate_id=W14-F08 | cluster=lexical_gloss_review | priority=high | reason=The source glosses may be perspective-bound or narrower than the Cantonese forms; no correction is asserted here.	
GLOSSIKA-YUEHK-A1-W14-20260621-I022	22	lexical_entry	vocabulary_and_situations	work_and_office	履歷	lei5 lik6	resume/CV	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I023	23	lexical_entry	vocabulary_and_situations	work_and_office	職位	zik1 wai2	position/job title	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I024	24	lexical_entry	vocabulary_and_situations	work_and_office	合約	hap6 joek3	contract	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I025	25	lexical_entry	vocabulary_and_situations	work_and_office	遲到	ci4 dou3	to be late	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-004-20251221/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-004-20251221/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-004-20251221/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-004-20251221/source.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-016-20260322/crosswalk.json
GLOSSIKA-YUEHK-A1-W14-20260621-I026	26	lexical_entry	vocabulary_and_situations	work_and_office	準時	zeon2 si4	on time	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/verbs.js || runtime_source:src/runtime-resources/presentation/learner-glosses.js
GLOSSIKA-YUEHK-A1-W14-20260621-I027	27	lexical_entry	vocabulary_and_situations	work_and_office	電腦	din6 nou5	computer	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	runtime_source:src/parser/orchestration/wrap-core.js
GLOSSIKA-YUEHK-A1-W14-20260621-I028	28	lexical_entry	vocabulary_and_situations	work_and_office	電郵	din6 jau4	email	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I029	29	lexical_entry	vocabulary_and_situations	work_and_office	傳真	cyun4 zan1	fax	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I030	30	lexical_entry	vocabulary_and_situations	work_and_office	影印	jing2 jan3	to photocopy	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	executable_test_or_fixture:tests/tooling/runtime/aa82-matrix-parent-force.test.js || canonical_or_research_data:data/corpus-reviews/AA82-ATTESTED-BOUNDARY-PACKET-R1.json || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/review.json
GLOSSIKA-YUEHK-A1-W14-20260621-I031	31	lexical_entry	vocabulary_and_situations	work_and_office	文件	man4 gin2	document	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/study-suite.js || current_grammar_note:grammar/research_pending/PriorityMarkerClause.md || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/review.json
GLOSSIKA-YUEHK-A1-W14-20260621-I032	32	lexical_entry	vocabulary_and_situations	work_and_office	客戶	haak3 wu6	client	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I033	33	lexical_entry	vocabulary_and_situations	work_and_office	實習生	sat6 zaap6 saang1	intern	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
GLOSSIKA-YUEHK-A1-W14-20260621-I034	34	lexical_entry	vocabulary_and_situations	numbers	一萬	jat1 maan6	10,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	canonical_or_research_data:data/corpus-reviews/AA82-ATTESTED-BOUNDARY-PACKET-R1.json
GLOSSIKA-YUEHK-A1-W14-20260621-I035	35	lexical_entry	vocabulary_and_situations	numbers	二萬	ji6 maan6	20,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	
GLOSSIKA-YUEHK-A1-W14-20260621-I036	36	lexical_entry	vocabulary_and_situations	numbers	三萬	saam1 maan6	30,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/source.json
GLOSSIKA-YUEHK-A1-W14-20260621-I037	37	lexical_entry	vocabulary_and_situations	numbers	四萬	sei3 maan6	40,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	
GLOSSIKA-YUEHK-A1-W14-20260621-I038	38	lexical_entry	vocabulary_and_situations	numbers	五萬	ng5 maan6	50,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || canonical_or_research_data:data/natural-corpus/wechat-father-daughter-001.txt || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-005-20251228/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-005-20251228/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-005-20251228/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-005-20251228/source.json
GLOSSIKA-YUEHK-A1-W14-20260621-I039	39	lexical_entry	vocabulary_and_situations	numbers	六萬	luk6 maan6	60,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	
GLOSSIKA-YUEHK-A1-W14-20260621-I040	40	lexical_entry	vocabulary_and_situations	numbers	七萬	cat1 maan6	70,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	
GLOSSIKA-YUEHK-A1-W14-20260621-I041	41	lexical_entry	vocabulary_and_situations	numbers	八萬	baat3 maan6	80,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	
GLOSSIKA-YUEHK-A1-W14-20260621-I042	42	lexical_entry	vocabulary_and_situations	numbers	九萬	gau2 maan6	90,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	
GLOSSIKA-YUEHK-A1-W14-20260621-I043	43	lexical_entry	vocabulary_and_situations	numbers	十萬	sap6 maan6	100,000	lexical_ingress | disposition=compositional_numeral_no_opaque_entry | recommendation=retain_compositional_analysis_do_not_add_opaque_whole_form || followup_non_candidate | disposition=retain_compositional_numeral_analysis | cluster=large_numerals | reason=No opaque whole-form lexical ingress or new construction is warranted.	pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W15-20260628/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W15-20260628/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W15-20260628/source.json
GLOSSIKA-YUEHK-A1-W14-20260621-I044	44	sentence	vocabulary_and_situations	situation_patterns	你做咩工？	nei5 zou6 me1 gung1?	What do you do for work?	followup_candidate | candidate_id=W14-F05 | cluster=occupational_predication | priority=medium | reason=The lesson supplies attestation but no independent construction analysis or negative boundaries.	
GLOSSIKA-YUEHK-A1-W14-20260621-I045	45	sentence	vocabulary_and_situations	situation_patterns	我喺銀行返工。	ngo5 hai2 ngan4 hong4 faan1 gung1.	I work at a bank.	followup_candidate | candidate_id=W14-F06 | cluster=workplace_locative | priority=low | reason=The conservative analysis is already compositional; a new construction is not justified by these items.	
GLOSSIKA-YUEHK-A1-W14-20260621-I046	46	sentence	vocabulary_and_situations	situation_patterns	幾點放工？	gei2 dim2 fong3 gung1?	What time do you finish work?		
GLOSSIKA-YUEHK-A1-W14-20260621-I047	47	sentence	vocabulary_and_situations	situation_patterns	今日要加班。	gam1 jat6 jiu3 gaa1 baan1.	I have to work overtime today.		
GLOSSIKA-YUEHK-A1-W14-20260621-I048	48	dialog_turn	vocabulary_and_situations	mini_dialog	你做咩工㗎？	nei5 zou6 me1 gung1 gaa3?	What do you do?	followup_candidate | candidate_id=W14-F03 | cluster=sentence_final_particles | priority=medium | reason=Direct grammar supports gaa3 across clause types but not one generic meaning for all three lesson contexts. || followup_candidate | candidate_id=W14-F05 | cluster=occupational_predication | priority=medium | reason=The lesson supplies attestation but no independent construction analysis or negative boundaries.	
GLOSSIKA-YUEHK-A1-W14-20260621-I049	49	dialog_turn	vocabulary_and_situations	mini_dialog	我做會計嘅。你呢？	ngo5 zou6 wui6 gai3 ge3. nei5 ne1?	I'm an accountant. And you?	followup_candidate | candidate_id=W14-F04 | cluster=sentence_final_ge3 | priority=high | reason=The source gloss ATTR is too coarse and risks conflating attributive and sentence-final uses. || followup_candidate | candidate_id=W14-F05 | cluster=occupational_predication | priority=medium | reason=The lesson supplies attestation but no independent construction analysis or negative boundaries.	
GLOSSIKA-YUEHK-A1-W14-20260621-I050	50	dialog_turn	vocabulary_and_situations	mini_dialog	我喺酒店返工。幾辛苦㗎。	ngo5 hai2 zau2 dim3 faan1 gung1. gei2 san1 fu2 gaa3.	I work at a hotel. It's quite tiring.	followup_candidate | candidate_id=W14-F03 | cluster=sentence_final_particles | priority=medium | reason=Direct grammar supports gaa3 across clause types but not one generic meaning for all three lesson contexts. || followup_candidate | candidate_id=W14-F06 | cluster=workplace_locative | priority=low | reason=The conservative analysis is already compositional; a new construction is not justified by these items. || followup_candidate | candidate_id=W14-F07 | cluster=degree_gei2 | priority=medium | reason=The narrow degree use is externally supported; implementation adequacy is a separate question.	
GLOSSIKA-YUEHK-A1-W14-20260621-I051	51	dialog_turn	vocabulary_and_situations	mini_dialog	係呀，不過人工OK嘅。	hai6 aa3, bat1 gwo3 jan4 gung1 OK ge3.	Yeah, but the pay is OK.	followup_candidate | candidate_id=W14-F03 | cluster=sentence_final_particles | priority=medium | reason=Direct grammar supports gaa3 across clause types but not one generic meaning for all three lesson contexts. || followup_candidate | candidate_id=W14-F04 | cluster=sentence_final_ge3 | priority=high | reason=The source gloss ATTR is too coarse and risks conflating attributive and sentence-final uses.	
GLOSSIKA-YUEHK-A1-W14-20260621-I052	52	sentence	grammar_patterns	basic_word_order	我食飯。	ngo5 sik6 faan6	I eat rice.		executable_test_or_fixture:tests/constructions/ClauseRelationEdge.json || executable_test_or_fixture:tests/constructions/ClauseRelationGraph.json || executable_test_or_fixture:tests/constructions/ClauseRelationMemberSpan.json || executable_test_or_fixture:tests/constructions/ClauseSpan.json || executable_test_or_fixture:tests/constructions/CognitionStatementClause.json || executable_test_or_fixture:tests/constructions/ComplementEllipsisFragment.json
GLOSSIKA-YUEHK-A1-W14-20260621-I053	53	sentence	grammar_patterns	basic_word_order	佢睇書。	keoi5 tai2 syu1	He/She reads a book.		
GLOSSIKA-YUEHK-A1-W14-20260621-I054	54	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
GLOSSIKA-YUEHK-A1-W14-20260621-I055	55	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
GLOSSIKA-YUEHK-A1-W14-20260621-I056	56	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
GLOSSIKA-YUEHK-A1-W14-20260621-I057	57	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
GLOSSIKA-YUEHK-A1-W14-20260621-I058	58	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
GLOSSIKA-YUEHK-A1-W14-20260621-I059	59	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
GLOSSIKA-YUEHK-A1-W14-20260621-I060	60	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
GLOSSIKA-YUEHK-A1-W14-20260621-I061	61	phonics_pair	phonics_drill	long_aa_vs_short_a				followup_candidate | candidate_id=W14-F09 | cluster=vowel_length | priority=medium | reason=The general contrast is supported, but duration and quality contributions differ across vowel pairs.	
