id	ordinal	item_type	section	subsection	source_traditional	source_jyutping	source_english	later_research	top_owner_candidates
GLOSSIKA-YUEHK-A1-W14-20260621-I011	11	lexical_entry	vocabulary_and_situations	work_and_office	公司	gung1 si1	company	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/people-and-address.js || executable_test_or_fixture:tests/constructions/ClauseRelationGraph.json || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || canonical_or_research_data:data/research/REPOSITORY-FUTURE-PARSER-WORK-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/items.tsv
GLOSSIKA-YUEHK-A1-W14-20260621-I012	12	lexical_entry	vocabulary_and_situations	work_and_office	辦公室	baan6 gung1 sat1	office	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	current_grammar_note:grammar/research_pending/DirectionalMotionVP.md || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || canonical_or_research_data:data/research/GLOSSIKA-CONTEXT-LINKED-RESPONSE-DECISIONS-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/README.md || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/items.tsv
GLOSSIKA-YUEHK-A1-W14-20260621-I013	13	lexical_entry	vocabulary_and_situations	work_and_office	老闆	lou5 baan2	boss	lexical_ingress | disposition=already_covered_exact | recommendation=no_duplicate_ingress | runtime=src/runtime-resources/lexicon/token-lexicon	runtime_lexicon:src/runtime-resources/lexicon/token-lexicon/people-and-address.js || runtime_source:src/parser/detectors/transfer/lexical-give.js || current_grammar_note:grammar/research_pending/PossessiveClassifierNP.md
GLOSSIKA-YUEHK-A1-W14-20260621-I014	14	lexical_entry	vocabulary_and_situations	work_and_office	開會	hoi1 wui2	to have a meeting	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	current_grammar_note:grammar/research_pending/PriorityMarkerClause.md || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-009-20260201/source.json
GLOSSIKA-YUEHK-A1-W14-20260621-I015	15	lexical_entry	vocabulary_and_situations	work_and_office	出糧	ceot1 loeng4	to get paid	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner || followup_candidate | candidate_id=W14-F08 | cluster=lexical_gloss_review | priority=high | reason=The source glosses may be perspective-bound or narrower than the Cantonese forms; no correction is asserted here.	
GLOSSIKA-YUEHK-A1-W14-20260621-I016	16	lexical_entry	vocabulary_and_situations	work_and_office	放假	fong3 gaa3	to have a holiday	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W16-20260705/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W16-20260705/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W16-20260705/source.json
GLOSSIKA-YUEHK-A1-W14-20260621-I017	17	lexical_entry	vocabulary_and_situations	work_and_office	打工	daa2 gung1	to work (part-time)	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner || followup_candidate | candidate_id=W14-F08 | cluster=lexical_gloss_review | priority=high | reason=The source glosses may be perspective-bound or narrower than the Cantonese forms; no correction is asserted here.	
GLOSSIKA-YUEHK-A1-W14-20260621-I018	18	lexical_entry	vocabulary_and_situations	work_and_office	人工	jan4 gung1	salary	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	runtime_source:src/parser/context/descriptors.js || executable_test_or_fixture:tests/constructions/ClauseRelationGraph.json || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || canonical_or_research_data:data/natural-corpus/wechat-father-daughter-001.txt || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/items.tsv
GLOSSIKA-YUEHK-A1-W14-20260621-I019	19	lexical_entry	vocabulary_and_situations	work_and_office	加班	gaa1 baan1	to work overtime	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W17-20260712/crosswalk.json
GLOSSIKA-YUEHK-A1-W14-20260621-I020	20	lexical_entry	vocabulary_and_situations	work_and_office	辭職	ci4 zik1	to resign	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
