candidate_id	expert_class	semantic_subtype	composition_status	polarity_or_clause_profile	decision_confidence	decision_reason
jmd-28a5ca79a52d856136d4	compositional_opportunity	market_availability	productive_preverbal_unit_plus_predicate	affirmative_surface_question	high	Full-context review: overt 有得 precedes predicate 賣 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-62afd3e69b1615d768a5	lexicalized_or_idiomatic	discourse_no_argument	semi_lexicalized_mou_dak_gong	negative_declarative	high	噉你噉講冇得講喇 is a conventional response meaning the argument is closed by the premise.
jmd-0d1f9e5f277b0cee37ce	compositional_opportunity	access_to_viewing	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 睇 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-20a02f1b213a7346c3ee	compositional_opportunity	transaction_possibility	split_tokenization_genuine_candidate	affirmative_declarative	medium	The split corpus tokens 有 + 得 precede 交易 and express that a deal is possible at the stated price; the tokenization differs but the surface relation is transparent.
jmd-b0d3e0f0402e1ae7d2e9	compositional_opportunity	market_availability	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 賣 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-ab6fa06da402fc164f5f	compositional_opportunity	job_enabled_recurring_travel	preverbal_unit_plus_adverbial_predicate	affirmative_declarative	high	有得 scopes over the complex predicate 成日返大陸; the intervening adverb does not remove the opportunity interpretation.
jmd-7ce58a02d186d2ad0312	compositional_opportunity	food_access	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 食 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-52ccdf0568ab3134d6f2	elliptical_opportunity	activity_availability	predicate_ellipsis_recoverable_from_topic	affirmative_fragment	high	BBQ呢又有得 ends after 有得; the BBQ topic and next turn recover an available barbecue activity without an overt following predicate.
jmd-7b5688d3050210fba2da	compositional_opportunity	food_access	productive_preverbal_unit_plus_predicate	affirmative_surface_question	high	Full-context review: overt 有得 precedes predicate 食 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-7228ab15c0309c98998c	compositional_opportunity	access_to_viewing	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 睇 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-91e6d470247adc707540	compositional_opportunity	access_to_viewing	productive_preverbal_unit_plus_predicate	negative_surface_question	high	Full-context review: overt 冇得 precedes predicate 睇 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-4d2f4a71c3fcb5a4c12d	compositional_opportunity	access_to_viewing	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 睇 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-0b421d8f9966aca99024	polar_opportunity_question	general_circumstantial_opportunity	polarity_over_availability_unit	embedded_polar_question	high	Full-context review: overt 有 + 冇得 scopes over following material 好似 and asks whether the relevant opportunity or availability exists.
jmd-585125070afc40c4d5a1	compositional_opportunity	role_opportunity	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 拍戲 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-fe39bce00dda5e96e624	repair_or_unusable	abandoned_negative_start	speech_repair	negative_repair	high	冇得 is interrupted and followed by 唔讀 in a self-repair; the row cannot establish 冇得唔讀 or another completed profile.
jmd-6348d35ec8361ca9aa46	compositional_opportunity	social_opportunity	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 聚 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-d9520c3fb204ec4e4e17	compositional_opportunity	practical_impossibility	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 停 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-d3c438dab92ec08f56bd	compositional_opportunity	practical_impossibility	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 停 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-38f903bf2642c2227e7e	compositional_opportunity	recreation_opportunity	preverbal_unit_plus_motion_predicate	affirmative_declarative	high	有得 precedes 去玩下; the corpus ADP tag on 去 is an annotation issue, while the overt motion-purpose predicate is clear.
jmd-cf22ca531ce770abc2f3	compositional_opportunity	recreation_opportunity	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 玩 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-3607ba714e38461c5a4e	compositional_opportunity	access_or_participation	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 去 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-9beb68e2b06ec868d53c	compositional_opportunity	market_availability	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 賣 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-9a6f394701674de198d6	compositional_opportunity	work_or_role_opportunity	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 做 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-5c20cfaf42cb06138915	lexicalized_or_idiomatic	discourse_inevitability_or_no_remedy	semi_lexicalized_mou_dak_gong	negative_declarative	high	The statement about universal brand worship uses 冇得講 as an evaluative no-remedy formula, not a literal inability to speak.
jmd-03a9162e422372e5cda2	compositional_opportunity	practical_control_possibility	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 控制 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-5451cf4f5ee55d5bd4d8	lexicalized_or_idiomatic	evaluative_beyond_dispute	semi_lexicalized_mou_dak_gong	negative_declarative	high	The thumbs-up context makes 冇得講 an emphatic positive evaluation, distinct from productive opportunity negation.
jmd-dee50989645bc7ff1b9c	lexicalized_or_idiomatic	evaluative_beyond_dispute	semi_lexicalized_mou_dak_gong	negative_fragment	high	The standalone response 冇得講 continues the preceding thumbs-up evaluation and is formulaic.
jmd-23d75ff14dd681fdcc80	lexicalized_or_idiomatic	evaluative_excellence	lexicalized_single_token_mou_dak_ding	lexicalized_negative_form	high	冇得頂 is one corpus token and an evaluative idiom meaning unsurpassable; it is a negative boundary for productive 冇得 + VP.
jmd-5cc50147c4eedd28c543	lexicalized_or_idiomatic	evaluative_excellence	lexicalized_single_token_mou_dak_ding	lexicalized_negative_form	high	冇得頂 is one corpus token and an evaluative idiom meaning unsurpassable; it is not compositional opportunity negation.
jmd-aa3955187193337207f1	compositional_opportunity	practical_possibility	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 搞 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-7e443549f6e29748dfcf	polar_opportunity_question	bargainability_or_price_condition	polarity_over_availability_unit	matrix_polar_question	high	Full-context review: overt 有 + 冇得 scopes over following material 平 and asks whether the relevant opportunity or availability exists.
jmd-1b7b25d68c7b4a4c9d54	compositional_opportunity	treatability	productive_preverbal_unit_plus_predicate	affirmative_declarative	high	Full-context review: overt 有得 precedes predicate 醫 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-a17aaf547bf76cde4a60	lexicalized_or_idiomatic	evaluative_excellence	lexicalized_single_token_mou_dak_ding	lexicalized_negative_form	high	The fused token 冇得頂 is an evaluative idiom, regardless of the unclear referent 大單.
jmd-6d06e899e87e9f2a73d6	ambiguous_boundary	rhetorical_possibility_denial	code_switched_nominal_or_predicate	rhetorical_affirmative_question	medium	邊有得 surprise is a rhetorical denial of possibility, but English surprise may be nominal or predicative and the exact 有得 complement structure is unresolved.
jmd-31643095d702be0777e3	lexicalized_or_idiomatic	incomparability_or_uncalculability	semi_lexicalized_mou_dak_gai	negative_declarative	medium	真係冇得計 is compatible with a conventional 'cannot be reckoned/compared' evaluation; the local context does not support a narrow literal calculation event.
jmd-56ffad37bd471f2083d6	lexicalized_or_idiomatic	discourse_no_argument	semi_lexicalized_mou_dak_gong	negative_declarative	high	根本冇得講 is formulaic discourse evaluation rather than literal speaking opportunity.
jmd-0fca42095493105f46d4	lexicalized_or_idiomatic	worth_considering	semi_lexicalized_yau_dak_nam	affirmative_declarative	medium	有得諗 conventionally means that an option is worth considering; it remains related to opportunity but is not a neutral freely substitutable VP example.
jmd-759a88c315a290e7cc2a	repair_or_unusable	abandoned_negative_start	speech_repair	negative_repair	high	冇得 is abandoned after a hyphen and replaced by 冇乜點停; no target predicate completes the first span.
jmd-073168411eb7f659ec5e	compositional_opportunity	choice_availability	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 選擇 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-ac700a9984d7700c18b6	compositional_opportunity	progress_constraint	preverbal_unit_plus_complex_predicate	negative_declarative	high	冇得 precedes the predicate phrase 原地踏步; the corpus X tag does not erase the overt practical-impossibility relation.
jmd-427728e6702c1992d3d9	compositional_opportunity	permission_or_option	productive_preverbal_unit_plus_predicate	negative_declarative	high	Full-context review: overt 冇得 precedes predicate 話 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-ca926364d76ea781e87c	compositional_opportunity	creative_opportunity_denial	preverbal_unit_plus_predicate_after_repair	negative_declarative	medium	After a separate aborted 冇, the complete span 冇得俾你創作 transparently denies an opportunity to create.
jmd-d25ed0de349187480d68	compositional_opportunity	work_or_role_opportunity	productive_preverbal_unit_plus_predicate	affirmative_surface_question	high	Full-context review: overt 有得 precedes predicate 做 and transparently expresses circumstantial availability, opportunity, access, permission, qualification, or practical possibility in context.
jmd-6e9197c8a15312c643f6	polar_opportunity_question	market_or_planning_opportunity	polarity_over_availability_with_discourse_marker	matrix_polar_question	medium	內地有冇得即係諗下 is disfluent but retains a polarity question about whether the mainland market offers room to consider the proposal.
jmd-57b9b2e3d8ae1826fb40	lexicalized_or_idiomatic	discourse_no_argument	semi_lexicalized_mou_dak_gong	negative_fragment	medium	The isolated 冇得講 follows a factual correction and is best retained as a conventional discourse response rather than literal speech unavailability.
jmd-2c0d7963a1df74385176	lexicalized_or_idiomatic	unworkability	semi_lexicalized_mou_dak_gaau	negative_fragment	medium	Standalone 冇得搞 means the matter is unworkable; it is semantically related to practical possibility but conventionalized beyond a specific overt event.
jmd-78b3d8509838a8095692	lexicalized_or_idiomatic	discourse_inevitability_or_no_argument	semi_lexicalized_mou_dak_gong	negative_declarative	medium	Final 冇得講 functions as a discourse conclusion after a suggestion, not as literal deprivation of speaking opportunity.
