runtime_label	claim_layer	current_linguistic_status	runtime_embedded_status	status_alignment	linguistic_confidence_state	implementation_lifecycle	runtime_code_reference_count	accepted_fixture_count	accepted_fixture_origin_count	visible_or_focused_test_status	render_review_status	held_out_status	regression_status	code_document_alignment_status	productive_acceptance_eligible	note
ClauseRelationEdge	internal	parser_heuristic	parser_heuristic	ALIGNED	not_applicable_internal	runtime_referenced_with_accepted_fixtures	12	27	12	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	not_applicable_or_internal	false	Linguistic status and embedded runtime metadata currently agree.
ClauseRelationGraph	internal	parser_heuristic	parser_heuristic	ALIGNED	not_applicable_internal	runtime_referenced_with_accepted_fixtures	17	47	23	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	not_applicable_or_internal	false	Linguistic status and embedded runtime metadata currently agree.
ClauseRelationMemberSpan	internal	parser_heuristic	parser_heuristic	ALIGNED	not_applicable_internal	runtime_referenced_with_accepted_fixtures	3	30	12	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	not_applicable_or_internal	false	Linguistic status and embedded runtime metadata currently agree.
ClauseSpan	internal	parser_heuristic	parser_heuristic	ALIGNED	not_applicable_internal	runtime_referenced_with_accepted_fixtures	75	118	29	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_YET_OPENED	not_assessed_in_current_definition_of_done_review	not_applicable_or_internal	false	Linguistic status and embedded runtime metadata currently agree.
CognitionContentFrame	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	5	4	3	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
CognitionDelimitedObjectVP	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	4	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
CognitionDelimitedVP	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	3	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
CognitionStatementClause	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_with_accepted_fixtures	6	8	3	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
Comment	internal	parser_heuristic	parser_heuristic	ALIGNED	not_applicable_internal	runtime_referenced_without_accepted_fixtures	1	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	not_applicable_or_internal	false	Linguistic status and embedded runtime metadata currently agree.
ComparativeStative	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	1	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
ComplementEllipsisFragment	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	7	5	1	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
CompletionQuestion	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	11	8	12	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
CompletionThenClause	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	3	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
CompletionVP	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	19	7	5	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	CANDIDATE_HEADLESS_4_OF_4_INDEPENDENT_POSITIVES_PASS_RENDERED_PENDING	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
CompoundDirectionalMotionVP	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	4	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
ConditionResult	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	4	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
ConditionalClause	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_with_accepted_fixtures	5	4	10	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
CoordinatedNP	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	9	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
CopularANotAQuestion	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	5	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
CopularIdentificationFrame	internal	parser_heuristic	parser_heuristic	ALIGNED	not_applicable_internal	runtime_referenced_with_accepted_fixtures	7	2	1	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	not_applicable_or_internal	false	Linguistic status and embedded runtime metadata currently agree.
CopularRelationFrame	internal	parser_heuristic	parser_heuristic	ALIGNED	not_applicable_internal	runtime_referenced_with_accepted_fixtures	12	1	1	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	not_applicable_or_internal	false	Linguistic status and embedded runtime metadata currently agree.
CoverbFrame	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	11	5	12	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
DefinitionComplement	internal	parser_heuristic	parser_heuristic	ALIGNED	not_applicable_internal	runtime_referenced_without_accepted_fixtures	2	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	not_applicable_or_internal	false	Linguistic status and embedded runtime metadata currently agree.
DefinitionExplanatoryFrame	internal	parser_heuristic	parser_heuristic	ALIGNED	not_applicable_internal	runtime_referenced_without_accepted_fixtures	7	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	not_applicable_or_internal	false	Linguistic status and embedded runtime metadata currently agree.
DegreeMannerAdverbial	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	4	3	1	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
DegreeMannerModifiedVP	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	2	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
DegreeModifiedLexicalStative	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	5	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
DegreeStativePredicate	language	research_pending	provisional	LEGACY_RUNTIME_METADATA_STALE	not_assigned_pending_reaudit	runtime_referenced_with_accepted_fixtures	10	21	12	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Current governance status is authoritative; runtime metadata will be corrected in a future candidate without treating the change as parser evidence.
DelimitedVP	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_with_accepted_fixtures	4	7	4	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
DemonstrativeClassifierNP	internal	parser_heuristic	parser_heuristic	ALIGNED	not_applicable_internal	runtime_referenced_with_accepted_fixtures	14	30	9	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_APPLICABLE_COMPATIBILITY_ALIAS	not_assessed_in_current_definition_of_done_review	not_applicable_or_internal	false	Linguistic status and embedded runtime metadata currently agree.
DemonstrativeHeadNP	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	2	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
DesiderativeVP	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	9	12	5	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
DiMarkedNP	language	research_pending	provisional	LEGACY_RUNTIME_METADATA_STALE	not_assigned_pending_reaudit	runtime_referenced_with_accepted_fixtures	9	5	5	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Current governance status is authoritative; runtime metadata will be corrected in a future candidate without treating the change as parser evidence.
DirectedMannerMotionVP	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	13	6	1	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
DirectionalMotionVP	language	research_pending	provisional	LEGACY_RUNTIME_METADATA_STALE	not_assigned_pending_reaudit	runtime_referenced_with_accepted_fixtures	29	72	29	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Current governance status is authoritative; runtime metadata will be corrected in a future candidate without treating the change as parser evidence.
DiscourseParticleFrame	internal	parser_heuristic	parser_heuristic	ALIGNED	not_applicable_internal	runtime_referenced_with_accepted_fixtures	15	20	5	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	not_applicable_or_internal	false	Linguistic status and embedded runtime metadata currently agree.
DisposalChangeIntoResultFrame	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	4	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
DitransitiveSpeechVP	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	3	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
DurativeVP	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	4	1	1	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
EvaluationWithDouSyun	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	2	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
ExistentialClause	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	7	4	3	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
ExistentialPresentationalClause	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	4	4	1	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
ExistentialQuestion	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_with_accepted_fixtures	19	5	5	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
ExistentialWhQuestion	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	4	5	6	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
ExperientialClause	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_with_accepted_fixtures	2	1	1	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
ExperientialMotionGoalVP	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	3	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
ExperientialQuestion	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	3	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
ExperientialVP	language	research_pending	provisional	LEGACY_RUNTIME_METADATA_STALE	not_assigned_pending_reaudit	runtime_referenced_with_accepted_fixtures	6	3	9	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Current governance status is authoritative; runtime metadata will be corrected in a future candidate without treating the change as parser evidence.
ExperientialYesNoQuestion	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_with_accepted_fixtures	5	2	8	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
FocusParticleFrame	internal	parser_heuristic	parser_heuristic	ALIGNED	not_applicable_internal	runtime_referenced_with_accepted_fixtures	4	8	3	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	not_applicable_or_internal	false	Linguistic status and embedded runtime metadata currently agree.
FormulaDiscourseUnit	language	lexicalized_only	lexicalized_only	ALIGNED	bounded_nonproductive_status	runtime_referenced_with_accepted_fixtures	23	31	14	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
FragmentAnswer	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	10	8	1	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
FragmentQuestion	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	10	2	11	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
GoalAttainmentMotionVP	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	4	2	1	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
HeadlessDemonstrativeClassifierNP	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	14	30	9	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
IdentificationFragment	language	lexicalized_only	lexicalized_only	ALIGNED	bounded_nonproductive_status	runtime_referenced_without_accepted_fixtures	3	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
IdentityWhQuestion	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	6	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
ImpersonalEnvironmentalClause	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	20	15	3	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
IntendedFunctionRelation	language	research_pending	provisional	LEGACY_RUNTIME_METADATA_STALE	not_assigned_pending_reaudit	runtime_referenced_without_accepted_fixtures	8	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	CP019_R2_FROZEN_64_ROW_HEADLESS_REVIEW_PENDING_RENDERED_ACCEPTANCE	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Current governance status is authoritative; runtime metadata will be corrected in a future candidate without treating the change as parser evidence.
IntentionFrame	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_without_accepted_fixtures	3	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
IntransitiveVP	language	unsupported_generalization	unsupported_generalization	ALIGNED	unsupported_current_claim	runtime_referenced_with_accepted_fixtures	3	4	1	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
LexicalGiveRelation	language	research_pending	provisional	LEGACY_RUNTIME_METADATA_STALE	not_assigned_pending_reaudit	runtime_referenced_without_accepted_fixtures	6	0	0	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Current governance status is authoritative; runtime metadata will be corrected in a future candidate without treating the change as parser evidence.
LocativeExistentialClause	language	research_pending	research_pending	ALIGNED	not_assigned_research_pending	runtime_referenced_with_accepted_fixtures	8	6	2	not_assessed_in_current_definition_of_done_review	not_assessed_in_current_definition_of_done_review	NOT_ESTABLISHED	not_assessed_in_current_definition_of_done_review	pending_current_definition_of_done_line_by_line_review	false	Linguistic status and embedded runtime metadata currently agree.
