id	item_type	source_traditional	source_jyutping	duplicate_status	terminal_classification	evidence_use	role_specific_coverage_state	implementation_crosswalk_targets	pronunciation_owner_paths	homographic_owner_paths	parser_hint_count	controlled_specification_candidate_ids	research_claim_ids	research_route_ids	research_non_candidate_route_ids	discrepancy_status	reviewed_jyutping	review_note	accepted_duplicate_targets
GLOSSIKA-YUEHK-A1-W19-20260726-I011	lexical_entry	件	gin6	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	exact_classifier_rule_observed	src/runtime-resources/grammar/classifier-head-rules.js		src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	2		W19-C01	W19-F01		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
GLOSSIKA-YUEHK-A1-W19-20260726-I012	lexical_entry	部	bou6	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	exact_classifier_rule_observed	src/runtime-resources/grammar/classifier-head-rules.js		src/runtime-resources/lexicon/token-lexicon/verbs.js	2		W19-C01;W19-C03	W19-F01;W19-F02		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
GLOSSIKA-YUEHK-A1-W19-20260726-I013	lexical_entry	把	baa2	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	classifier_rule_gap		src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js	src/runtime-resources/lexicon/token-lexicon/study-suite.js	2	UWNM-R1-036;UWNM-R1-037	W19-C01	W19-F01		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
GLOSSIKA-YUEHK-A1-W19-20260726-I014	lexical_entry	條	tiu4	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	classifier_rule_gap			src/runtime-resources/lexicon/token-lexicon/verbs.js	2	UWNM-R1-038;UWNM-R1-039;UWNM-R1-040	W19-C01	W19-F01		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
GLOSSIKA-YUEHK-A1-W19-20260726-I015	grammar_entry	嘅	ge3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	partial_function_profile_implementation_observed	src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js			10		W19-C06	W19-F05		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I016	grammar_entry	喺	hai2	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	partial_function_profile_implementation_observed	src/runtime-resources/grammar/templates/slot-generation-rules.js;src/runtime-resources/lexicon/token-lexicon/function-words-and-particles.js			10		W19-C06	W19-F05		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I017	grammar_entry	咗	zo2	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	partial_function_profile_implementation_observed	src/runtime-resources/grammar/templates/category-span-templates.js;src/runtime-resources/grammar/templates/slot-generation-rules.js;src/runtime-resources/lexicon/token-lexicon/function-words-and-particles.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	src/runtime-resources/pronunciation/jyutping-review-expectations.js		10		W19-C06	W19-F05		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I018	grammar_entry	緊	gan2	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	partial_function_profile_implementation_observed	src/runtime-resources/grammar/templates/slot-generation-rules.js;src/runtime-resources/lexicon/token-lexicon/function-words-and-particles.js;src/runtime-resources/normalization/simplified-to-traditional.js			10		W19-C06	W19-F05		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I019	grammar_entry	過	gwo3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	partial_function_profile_implementation_observed	src/runtime-resources/grammar/templates/slot-generation-rules.js;src/runtime-resources/lexicon/token-lexicon/function-words-and-particles.js;src/runtime-resources/normalization/simplified-to-traditional.js			10		W19-C06	W19-F05		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I020	grammar_entry	到	dou3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	partial_function_profile_implementation_observed	src/runtime-resources/grammar/templates/slot-generation-rules.js;src/runtime-resources/lexicon/token-lexicon/function-words-and-particles.js			10		W19-C06	W19-F05		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I021	grammar_entry	啦	laa1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	partial_particle_profile_implementation_observed	src/runtime-resources/grammar/ordered-particle-clusters.js;src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	src/runtime-resources/pronunciation/jyutping-review-expectations.js		11		W19-C09	W19-F07		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I022	grammar_entry	㗎	gaa3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	partial_particle_profile_implementation_observed	src/runtime-resources/grammar/ordered-particle-clusters.js;src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js			11		W19-C09	W19-F07		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I023	grammar_entry	呀	aa3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	partial_particle_profile_implementation_observed	src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	src/runtime-resources/pronunciation/jyutping-review-expectations.js		11		W19-C09	W19-F07		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I024	grammar_entry	嘞	laak3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	partial_particle_profile_implementation_observed	src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	src/runtime-resources/pronunciation/jyutping-review-expectations.js		11		W19-C09	W19-F07		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I025	grammar_entry	囉	lo1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	partial_particle_profile_implementation_observed	src/runtime-resources/lexicon/token-lexicon/degree-and-formulas.js			11		W19-C09	W19-F07		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I026	lexical_entry	周圍	zau1 wai4	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I027	lexical_entry	向	hoeng3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	bounded_spatial_lexical_owner_observed	src/runtime-resources/lexicon/token-lexicon/places-and-times.js			8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I028	lexical_entry	遠	jyun5	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	bounded_spatial_lexical_owner_observed	src/runtime-resources/grammar/templates/slot-generation-rules.js;src/runtime-resources/lexicon/token-lexicon/statives.js			8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I029	lexical_entry	穿過	cyun1 gwo3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I030	lexical_entry	中間	zung1 gaan1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				10		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I031	lexical_entry	出面	ceot1 min6	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	bounded_spatial_lexical_owner_observed	src/runtime-resources/lexicon/token-lexicon/places-and-times.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	src/runtime-resources/pronunciation/jyutping-review-expectations.js		8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I032	lexical_entry	東邊	dung1 bin1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I033	lexical_entry	西邊	sai1 bin1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I034	lexical_entry	南邊	naam4 bin1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I035	lexical_entry	北邊	bak1 bin1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I036	lexical_entry	盡頭	zeon6 tau4	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I037	lexical_entry	轉角	zyun3 gok3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I038	lexical_entry	入口	jap6 hau2	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	bounded_spatial_lexical_owner_observed	src/runtime-resources/lexicon/token-lexicon/study-suite.js			8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I039	lexical_entry	出口	ceot1 hau2	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	bounded_spatial_lexical_owner_observed	src/runtime-resources/lexicon/token-lexicon/study-suite.js			8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I040	lexical_entry	路口	lou6 hau2	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	bounded_spatial_lexical_owner_observed	src/runtime-resources/lexicon/token-lexicon/study-suite.js			8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I041	lexical_entry	角落	gok3 lok6	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I042	lexical_entry	頂部	deng2 bou6	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I043	lexical_entry	底部	dai2 bou6	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I044	lexical_entry	遠處	jyun5 cyu3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I045	lexical_entry	近處	gan6 cyu3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I046	lexical_entry	四周	sei3 zau1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I047	lexical_entry	到處	dou3 cyu3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I048	lexical_entry	正中	zing3 zung1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	spatial_lexical_owner_gap				8		W19-C13	W19-F10		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I049	lexical_entry	的士站	dik1 si2 zaam6	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	transport_lexical_owner_gap				0		W19-C14	W19-F11		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I050	lexical_entry	渡輪	dou6 leon4	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	transport_lexical_owner_gap				0		W19-C14	W19-F11		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I051	lexical_entry	纜車	laam6 ce1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	transport_lexical_owner_gap				0		W19-C14	W19-F11		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I052	lexical_entry	港鐵	gong2 tit3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	transport_lexical_owner_gap				0		W19-C14	W19-F11		route_to_issue_129		The source form is retained as an attestation. Role-specific resource observations, homographic owners, parser hints, and later research routes are recorded separately and authorize no change.	
GLOSSIKA-YUEHK-A1-W19-20260726-I053	lexical_entry	十億	sap6 jik1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	compositional_numeral_no_opaque_owner_required				0		W19-C15		W19-N01	no_opaque_ingress		The numeral form is retained as a lexical-form attestation under compositional numeral analysis; no opaque whole-form entry or status change is authorized.	
GLOSSIKA-YUEHK-A1-W19-20260726-I054	lexical_entry	二十億	ji6 sap6 jik1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	compositional_numeral_no_opaque_owner_required				0		W19-C15		W19-N01	no_opaque_ingress		The numeral form is retained as a lexical-form attestation under compositional numeral analysis; no opaque whole-form entry or status change is authorized.	
GLOSSIKA-YUEHK-A1-W19-20260726-I055	lexical_entry	三十億	saam1 sap6 jik1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	compositional_numeral_no_opaque_owner_required				0		W19-C15		W19-N01	no_opaque_ingress		The numeral form is retained as a lexical-form attestation under compositional numeral analysis; no opaque whole-form entry or status change is authorized.	
GLOSSIKA-YUEHK-A1-W19-20260726-I056	lexical_entry	四十億	sei3 sap6 jik1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	compositional_numeral_no_opaque_owner_required				0		W19-C15		W19-N01	no_opaque_ingress		The numeral form is retained as a lexical-form attestation under compositional numeral analysis; no opaque whole-form entry or status change is authorized.	
GLOSSIKA-YUEHK-A1-W19-20260726-I057	lexical_entry	五十億	ng5 sap6 jik1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	compositional_numeral_no_opaque_owner_required				0		W19-C15		W19-N01	no_opaque_ingress		The numeral form is retained as a lexical-form attestation under compositional numeral analysis; no opaque whole-form entry or status change is authorized.	
GLOSSIKA-YUEHK-A1-W19-20260726-I058	lexical_entry	六十億	luk6 sap6 jik1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	compositional_numeral_no_opaque_owner_required				0		W19-C15		W19-N01	no_opaque_ingress		The numeral form is retained as a lexical-form attestation under compositional numeral analysis; no opaque whole-form entry or status change is authorized.	
GLOSSIKA-YUEHK-A1-W19-20260726-I059	lexical_entry	七十億	cat1 sap6 jik1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	compositional_numeral_no_opaque_owner_required				0		W19-C15		W19-N01	no_opaque_ingress		The numeral form is retained as a lexical-form attestation under compositional numeral analysis; no opaque whole-form entry or status change is authorized.	
