id	item_type	source_traditional	source_jyutping	source_english_status	duplicate_status	accepted_duplicate_targets	terminal_classification	evidence_use	research_route_ids	discrepancy_status	implementation_crosswalk_targets	review_note
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I011	dialog_turn	咁呢個值啦!你哋仲有冇其他款式呀?	/Aa3 Saan1: Gam2 ni1 go3 zik6 laa1! Nei5 dei6 zung6 jau5 mou5 kei4 taa1 fun2 sik1 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I012	dialog_turn	有呀,你想睇咩蛋糕呀?	/Dim3 Jyun4: Jau5 aa3, nei5 soeng2 tai2 me1 daan6 gou1 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I013	dialog_turn	有冇芒果蛋糕呀?	/Aa3 Saan1: Jau5 mou5 mong1 gwo2 daan6 gou1 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I014	dialog_turn	有呀,嗰個係芒果蛋糕。	/Dim3 Jyun4: Jau5 aa3, go2 go3 hai6 mong1 gwo2 daan6 gou1./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I015	dialog_turn	嗰個幾錢呀?	/Aa3 Saan1: Go2 go3 gei2 cin2 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I016	dialog_turn	嗰個平啲,一百二十蚊。	/Dim3 Jyun4: Go2 go3 peng4 di1, jat1 baak3 ji6 sap6 man1./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I017	dialog_turn	點解平咗呀?	/Aa3 Saan1: Dim2 gaai2 peng4 zo2 aa3?/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D2-R01;D2-R02;D2-R05;D2-R12;D2-R13			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I018	dialog_turn	因為佢細個啲,用嘅材料都少啲。	/Dim3 Jyun4: Jan1 wai6 keoi5 sai3 go3 di1, jung6 ge3 coi4 liu2 dou1 siu2 di1./	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D2-R01;D2-R02;D2-R05;D2-R12;D2-R13			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I019	dialog_turn	明白喇。呢兩個邊個好食啲呀?	/Aa3 Saan1: Ming4 baak6 laa3. Ni1 loeng5 go3 bin1 go3 hou2 sik6 di1 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I020	dialog_turn	兩個都好好食,不過士多啤梨個更加受歡迎。	/Dim3 Jyun4: Loeng5 go3 dou1 hou2 hou2 sik6, bat1 gwo3 si6 do1 be1 lei2 go3 gang3 gaa1 sau6 fun1 jing4./	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D2-R01;D2-R02;D2-R06;D2-R12;D2-R13			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I021	dialog_turn	點解咁受歡迎呀?	/Aa3 Saan1: Dim2 gaai2 gam3 sau6 fun1 jing4 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I022	dialog_turn	因為啲忌廉唔會太甜,好啱味。	/Dim3 Jyun4: Jan1 wai6 di1 gei6 lim4 m4 wui5 taai3 tim4, hou2 ngaam1 mei6./	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D2-R01;D2-R02;D2-R03;D2-R12;D2-R13			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I023	dialog_turn	咁我買士多啤梨個啦!	/Aa3 Saan1: Gam2 ngo5 maai5 si6 do1 be1 lei2 go3 laa1!/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D2-R01;D2-R02;D2-R06;D2-R12;D2-R13			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I024	dialog_turn	好呀!你要唔要寫嘢呀?	/Dim3 Jyun4: Hou2 aa3! Nei5 jiu3 m4 jiu3 se2 je5 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I025	dialog_turn	寫嘢?咩意思呀?	/Aa3 Saan1: Se2 je5? Me1 ji3 si1 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I026	dialog_turn	即係喺蛋糕上面寫生日快樂之類。	/Dim3 Jyun4: Zik1 hai6 hai2 daan6 gou1 soeng6 min6 se2 saang1 jat6 faai3 lok6 zi1 leoi6./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I027	dialog_turn	哦!要呀!寫「生日快樂」,得唔得呀?	"/Aa3 Saan1: O4! Jiu3 aa3! Se2 ""saang1 jat6 faai3 lok6"", dak1 m4 dak1 aa3?/"	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R10;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I028	dialog_turn	得呀,冇問題。要幾多支蠟燭呀?	/Dim3 Jyun4: Dak1 aa3, mou5 man6 tai4. Jiu3 gei2 do1 zi1 laap6 zuk1 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R07;D2-R10;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I029	dialog_turn	要五支,得唔得呀?	/Aa3 Saan1: Jiu3 ng5 zi1, dak1 m4 dak1 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R07;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I030	dialog_turn	得呀!我哋送埋蠟燭畀你。	/Dim3 Jyun4: Dak1 aa3! Ngo5 dei6 sung3 maai4 laap6 zuk1 bei2 nei5./	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R08;D2-R10;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I031	dialog_turn	多謝!你哋服務真係好好!	/Aa3 Saan1: Do1 ze6! Nei5 dei6 fuk6 mou6 zan1 hai6 hou2 hou2!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I032	dialog_turn	唔使客氣!幾時要呀?	/Dim3 Jyun4: M4 sai2 haak3 hei3! Gei2 si4 jiu3 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I033	dialog_turn	聽日下晝三點鐘得唔得呀?	/Aa3 Saan1: Ting1 jat6 haa6 zau3 saam1 dim2 zung1 dak1 m4 dak1 aa3?/	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D2-R01;D2-R02;D2-R09;D2-R12;D2-R13			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I034	dialog_turn	得呀,你嚟攞就得喇。	/Dim3 Jyun4: Dak1 aa3, nei5 lai4 lo2 zau6 dak1 laa3./	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D2-R01;D2-R02;D2-R10;D2-R11;D2-R12;D2-R13			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I035	dialog_turn	好呀!要唔要畀訂金呀?	/Aa3 Saan1: Hou2 aa3! Jiu3 m4 jiu3 bei2 ding6 gam1 aa3?/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R09;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I036	dialog_turn	唔使訂金,你嚟到畀錢就得喇。	/Dim3 Jyun4: M4 sai2 ding6 gam1, nei5 lai4 dou3 bei2 cin2 zau6 dak1 laa3./	not_supplied	no_accepted_duplicate		naturalness_review_candidate	authorized_pedagogical_context_attestation_pending_independent_review	D2-R01;D2-R02;D2-R11;D2-R12;D2-R13			Retained with source adjacency as a contextual attestation; naturalness and construction boundaries remain routed to named independent evidence requirements.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I037	dialog_turn	好呀,多謝晒!聽日見!	/Aa3 Saan1: Hou2 aa3, do1 ze6 saai3! Ting1 jat6 gin3!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I038	dialog_turn	聽日見!拜拜!	/Dim3 Jyun4: Ting1 jat6 gin3! Baai1 baai3!/	not_supplied	no_accepted_duplicate		new_corpus_attestation	authorized_pedagogical_dialog_attestation_only	D2-R01;D2-R02;D2-R13			Retained as a source-preserving dialog attestation. Adjacency supplies context but does not establish productivity, parser correctness, or status.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I039	lexical_entry	蛋糕	daan6 gou1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I040	lexical_entry	靚	leng3	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I041	lexical_entry	新款	san1 fun2	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I042	lexical_entry	好似	hou2 ci5	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I043	lexical_entry	幾錢	gei2 cin2	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I044	lexical_entry	蚊	man1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I045	lexical_entry	有啲	jau5 di1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I046	lexical_entry	值	zik6	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I047	lexical_entry	士多啤梨	si6 do1 be1 lei2	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I048	lexical_entry	忌廉	gei6 lim4	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I049	lexical_entry	朱古力	zyu1 gu2 lik1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I050	lexical_entry	今朝	gam1 ziu1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I051	lexical_entry	先	sin1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I052	lexical_entry	芒果	mong1 gwo2	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I053	lexical_entry	嗰個	go2 go3	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I054	lexical_entry	平	peng4	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I055	lexical_entry	細個	sai3 go3	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I056	lexical_entry	少啲	siu2 di1	supplied	accepted_exact_duplicate	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-005-20251228/source.json	exact_duplicate	duplicate_source_record_only				Accepted as a byte-level source-field duplicate of the named pedagogical corpus record; this is corpus identity only.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I057	lexical_entry	邊個	bin1 go3	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I058	lexical_entry	更加	gang3 gaa1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I059	lexical_entry	受歡迎	sau6 fun1 jing4	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I060	lexical_entry	甜	tim4	supplied	accepted_normalized_duplicate	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-018-20260405/source.json	normalized_duplicate	normalized_duplicate_source_record_only				Accepted as a normalized source duplicate of the named pedagogical corpus record; punctuation, slash, brackets, capitalization, or gloss formatting differs.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I061	lexical_entry	買	maai5	supplied	accepted_exact_duplicate	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-003-20251214/source.json	exact_duplicate	duplicate_source_record_only				Accepted as a byte-level source-field duplicate of the named pedagogical corpus record; this is corpus identity only.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I062	lexical_entry	寫	se2	supplied	accepted_exact_duplicate	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W18-20260719/source.json	exact_duplicate	duplicate_source_record_only				Accepted as a byte-level source-field duplicate of the named pedagogical corpus record; this is corpus identity only.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I063	lexical_entry	生日快樂	saang1 jat6 faai3 lok6	supplied	accepted_normalized_duplicate	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W15-20260628/source.json	normalized_duplicate	normalized_duplicate_source_record_only				Accepted as a normalized source duplicate of the named pedagogical corpus record; punctuation, slash, brackets, capitalization, or gloss formatting differs.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I064	lexical_entry	之類	zi1 leoi6	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I065	lexical_entry	蠟燭	laap6 zuk1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I066	lexical_entry	支	zi1	supplied	accepted_normalized_duplicate	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/source.json	normalized_duplicate	normalized_duplicate_source_record_only				Accepted as a normalized source duplicate of the named pedagogical corpus record; punctuation, slash, brackets, capitalization, or gloss formatting differs.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I067	lexical_entry	送	sung3	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I068	lexical_entry	服務	fuk6 mou6	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I069	lexical_entry	鐘	zung1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I070	lexical_entry	攞	lo2	supplied	accepted_normalized_duplicate	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W18-20260719/source.json	normalized_duplicate	normalized_duplicate_source_record_only				Accepted as a normalized source duplicate of the named pedagogical corpus record; punctuation, slash, brackets, capitalization, or gloss formatting differs.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I071	lexical_entry	訂金	ding6 gam1	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
GLOSSIKA-YUEHK-A1-DLG-002-20251207-I072	lexical_entry	嚟到	lai4 dou3	supplied	no_accepted_duplicate		lexical_only_attestation	authorized_pedagogical_lexical_attestation_only				Retained as a lexical attestation. Repository text or runtime occurrence is not a record-level corpus duplicate or linguistic authority.
