review_index	item_id	source_id	source_title	source_hash	ordinal	speaker	traditional	jyutping	previous_turn_id	previous_speaker	previous_traditional	next_turn_id	next_speaker	next_traditional	runtime_labels	review_class	review_subtype	terminal_disposition	linked_slots	routed_issue	confidence	rationale	nonfabrication_rule
11	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I022	GLOSSIKA-YUEHK-A1-DLG-003-20251214	同朋友整湯圓慶祝冬至	sha256:c2866d7d4ac12cc6de50009c80b0b3988b029892c7acae926d47919783d2380b	22	小紅	可以包,都可以唔包。		GLOSSIKA-YUEHK-A1-DLG-003-20251214-I021	阿明	包唔包餡㗎?	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I023	阿明	包咩餡好呀?	ClauseRelationGraph|ModalVP|NeedsContext	recoverable_answer	alternative_answer_with_omitted_object_domain	context_licensed	object_domain|polar_alternatives		high	包 and 唔包 answer the immediately preceding 包唔包餡 question. The object domain 餡 is linked to the question rather than regenerated as a child.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
12	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I039	GLOSSIKA-YUEHK-A1-DLG-003-20251214	同朋友整湯圓慶祝冬至	sha256:5a283490830dcf6dea3cd06cbb2a0d50c398ffaa78f54cba607e10bfafbaf3d9	39	阿明	所以一家人聚埋?		GLOSSIKA-YUEHK-A1-DLG-003-20251214-I038	小紅	冬至係一年最長嘅夜晚。	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I040	小紅	係呀!同屋企人食飯最緊要。	ClauseRelationMemberSpan|NeedsContext|QuantifiedPersonNP|QuantityNP	genuinely_ambiguous	diffuse_causal_continuation	retain_needs_context	left_relation_member		medium	所以一家人聚埋 does not have a uniquely licensed causal antecedent in the immediately preceding turn: being the longest night does not itself establish the proposed family-gathering consequence. Broader dialog themes make a reading plausible but not unique.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
13	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I043	GLOSSIKA-YUEHK-A1-DLG-003-20251214	同朋友整湯圓慶祝冬至	sha256:2c8667b4ba3ae1acfe3bfabb8511fcb7e4564a17fcf32b8fbf97e74e0b99abb2	43	阿明	得呀!我嚟你屋企?		GLOSSIKA-YUEHK-A1-DLG-003-20251214-I042	小紅	冬至前一日得唔得?	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I044	小紅	好呀!下晝三點得唔得?	DirectionalMotionVP|NeedsContext	multi_clause_member_local	acceptance_plus_location_confirmation	context_licensed	day_proposal_domain|visit_plan_domain		high	得呀 accepts the proposed day; 我嚟你屋企 is an overt confirmation/proposal whose event is anchored by the planning exchange.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
14	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I046	GLOSSIKA-YUEHK-A1-DLG-003-20251214	同朋友整湯圓慶祝冬至	sha256:207a8e7011342cf2e944ff35bb1b03fdc20b15e65409808f6cd4d875c9bd7c31	46	小紅	唔使呀,我買晒喇。		GLOSSIKA-YUEHK-A1-DLG-003-20251214-I045	阿明	冇問題!我帶啲嘢嚟?	GLOSSIKA-YUEHK-A1-DLG-003-20251214-I047	阿明	咁我帶飲品啦!	ClauseRelationGraph|ClauseSpan|CompletionVP|NeedsContext	multi_clause_member_local	negative_need_answer_plus_explanation	context_licensed	need_or_obligation_domain		high	唔使呀 answers whether the speaker should bring something; 我買晒喇 supplies an overt explanation.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
15	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I009	GLOSSIKA-YUEHK-A1-DLG-004-20251221	想走但唔想失禮	sha256:6762ed6662a8376fb9971834dd6d3bbfa127e2093611036200277552e5b39804	9	阿輝	但係會議仲未完...		GLOSSIKA-YUEHK-A1-DLG-004-20251221-I008	阿珊	咁你要快啲走!	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I010	阿珊	冇事㗎,我同老細講。	ClauseRelationMemberSpan|CompletionQuestion|NeedsContext	formula_or_discourse_response	prior_turn_concessive_continuation	context_licensed	discourse_contrast_antecedent		high	但係 links the overt clause 會議仲未完 to the preceding directive to leave quickly. This is discourse linkage, not a missing syntactic clause member.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
16	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I022	GLOSSIKA-YUEHK-A1-DLG-004-20251221	想走但唔想失禮	sha256:d6fe54d3a314805c0aa3009b6009c98f7ce4a1b0d9296944c8c777f5a526f782	22	老細	唔使,家人緊要啲。		GLOSSIKA-YUEHK-A1-DLG-004-20251221-I021	阿輝	真㗎?唔使留低?	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I023	阿輝	多謝老細!	ClauseRelationGraph|ModalVP|NeedsContext	multi_clause_member_local	negative_need_answer_plus_reason	context_licensed	need_or_obligation_domain		high	唔使 confirms that staying is unnecessary; 家人緊要啲 is an overt reason.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
17	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I039	GLOSSIKA-YUEHK-A1-DLG-004-20251221	想走但唔想失禮	sha256:308f2b7f8024d673b886b410af01c51156c7990bea0cdd94483db627394cd3d9	39	阿強	冇呀,不過開咗三個鐘喇。		GLOSSIKA-YUEHK-A1-DLG-004-20251221-I038	老細	點解?有嘢做?	GLOSSIKA-YUEHK-A1-DLG-004-20251221-I040	老細	哦,係喎!咁我哋完啦!	ClauseRelationEdge|ClauseRelationGraph|ClauseRelationMemberSpan|NeedsContext|NegatedExistentialFragment|PerfectiveVP|QuantifiedTimeNP	multi_clause_member_local	negative_existential_answer_plus_contrast	context_licensed	existential_question_domain|discourse_contrast_antecedent|meeting_subject_domain		high	冇呀 answers 有嘢做; 不過 introduces an overt contrasting reason based on the meeting already under discussion.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
18	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I019	GLOSSIKA-YUEHK-A1-DLG-005-20251228	新年大計同朋友傾	sha256:50caa59272d38b7617070fef64b86361ce8f61b6c2a703cf528cba4660bed4b6	19	阿文	每個禮拜兩次。		GLOSSIKA-YUEHK-A1-DLG-005-20251228-I018	阿芬	幾時上堂呀?	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I020	阿芬	好呀!你一定得㗎!	NeedsContext|QuantifiedTimeNP	recoverable_answer	quantified_frequency_answer	context_licensed	activity_domain|frequency_slot		high	每個禮拜兩次 answers 幾時上堂 by supplying frequency for the overtly established class-going event.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
19	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I020	GLOSSIKA-YUEHK-A1-DLG-005-20251228	新年大計同朋友傾	sha256:4cdb333fd079b4acfeb3f7627506187fd16a2e29473c9e90efcce482d257e82e	20	阿芬	好呀!你一定得㗎!		GLOSSIKA-YUEHK-A1-DLG-005-20251228-I019	阿文	每個禮拜兩次。	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I021	阿文	多謝!你都一定得!	FormulaDiscourseUnit|NeedsContext	formula_or_discourse_response	encouragement_formula_no_hidden_predicate	no_context_needed			high	好呀 and 你一定得㗎 function as encouragement/evaluation. The source does not require one uniquely recoverable omitted predicate, so no syntactic reconstruction should be asserted.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
20	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I026	GLOSSIKA-YUEHK-A1-DLG-005-20251228	新年大計同朋友傾	sha256:f775483dc165a00553b6f00b396fd7f062b87e2a9d4480239d3476e31b0d6489	26	阿芬	我知,所以要改。		GLOSSIKA-YUEHK-A1-DLG-005-20251228-I025	阿文	咁夜?對身體唔好喎!	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I027	阿文	你想幾點瞓呀?	ClauseRelationEdge|ClauseRelationGraph|ClauseRelationMemberSpan|CognitionStatementClause|NeedsContext	multi_clause_member_local	cognition_response_plus_causal_plan	context_licensed	cognition_proposition|change_domain|speaker_continuity		high	我知 links its proposition to the immediately preceding health warning; 所以要改 states a consequent intention within the established sleep-habit topic.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
21	GLOSSIKA-YUEHK-A1-DLG-005-20251228-I056	GLOSSIKA-YUEHK-A1-DLG-005-20251228	新年大計同朋友傾	sha256:b3f56a55d2f7863a0dbf2e8b41f79966bdad511f52d3c70568ffc4d00faa2faa	56	阿芬	加油!我哋一定得!		GLOSSIKA-YUEHK-A1-DLG-005-20251228-I055	阿文	好呀!新一年,新開始!				NeedsContext	formula_or_discourse_response	collective_encouragement_formula	no_context_needed			high	加油 and 我哋一定得 are conventional encouragement/success expressions. Treating 得 as requiring a unique hidden predicate overstates the source.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
22	GLOSSIKA-YUEHK-A1-DLG-006-20260104-I015	GLOSSIKA-YUEHK-A1-DLG-006-20260104	將來想做乜？	sha256:1fcf780257b9e10ae4de687e5be6f8029fa45c19539be91a974a5f02767481f8	15	家豪	但係你真係鍾意商科咩？		GLOSSIKA-YUEHK-A1-DLG-006-20260104-I014	詠思	我屋企人話商科搵食容易啲。	GLOSSIKA-YUEHK-A1-DLG-006-20260104-I016	詠思	唔係好鍾意，覺得好悶。	ClauseRelationMemberSpan|NeedsContext|PreferenceVP	formula_or_discourse_response	prior_turn_concessive_question	context_licensed	discourse_contrast_antecedent		high	但係 marks contrast between the family's practical advice and the overt question about genuine preference. No missing syntactic clause is fabricated.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
23	GLOSSIKA-YUEHK-A1-DLG-007-20260111-I033	GLOSSIKA-YUEHK-A1-DLG-007-20260111	週末計劃	sha256:543f34a7d6ae0d8eabde125c5faf16928c84e4a44f6f29896dab011a4036fcd3	33	李明	識呀，我成日去。		GLOSSIKA-YUEHK-A1-DLG-007-20260111-I032	張莉	A出口，你識唔識？	GLOSSIKA-YUEHK-A1-DLG-007-20260111-I034	張莉	咁好，星期日見！	ClauseRelationGraph|ClauseSpan|DirectionalMotionVP|NeedsContext	multi_clause_member_local	recognition_answer_plus_habit_statement	context_licensed	recognition_domain|place_domain		high	識呀 answers whether the speaker knows exit A; 我成日去 continues with the established place domain.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
24	GLOSSIKA-YUEHK-A1-DLG-007-20260111-I035	GLOSSIKA-YUEHK-A1-DLG-007-20260111	週末計劃	sha256:6a523b3bf1136c6a3574f9181c901e05ab16e90a8eb7fdeb15336dee84ee723a	35	李明	如果落雨點算？		GLOSSIKA-YUEHK-A1-DLG-007-20260111-I034	張莉	咁好，星期日見！	GLOSSIKA-YUEHK-A1-DLG-007-20260111-I036	張莉	落雨都去，帶遮就得。	ClauseRelationMemberSpan|ImpersonalEnvironmentalClause|NeedsContext	ordinary_parser_gap	complete_conditional_contingency_question	route_independent_parser_gap		423	high	如果落雨點算 is internally complete: 點算 is the overt contingency question, not an absent right relation member.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
25	GLOSSIKA-YUEHK-A1-DLG-007-20260111-I036	GLOSSIKA-YUEHK-A1-DLG-007-20260111	週末計劃	sha256:67445e4d4460f2164c643356ba8ad887b55e23a9321378338a40f03e8b55658a	36	張莉	落雨都去，帶遮就得。		GLOSSIKA-YUEHK-A1-DLG-007-20260111-I035	李明	如果落雨點算？	GLOSSIKA-YUEHK-A1-DLG-007-20260111-I037	李明	好，我哋去睇戲都得。	ClauseRelationEdge|ClauseRelationGraph|ClauseRelationMemberSpan|DirectionalMotionVP|ImpersonalEnvironmentalClause|NeedsContext|TransitiveVP	ordinary_parser_gap	overt_predicate_sufficiency_clause	route_independent_parser_gap		424	high	帶遮就得 contains an overt predicate and sufficiency marker. The nested standalone-得 diagnostic should not make the whole relation context-dependent.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
26	GLOSSIKA-YUEHK-A1-DLG-007-20260111-I038	GLOSSIKA-YUEHK-A1-DLG-007-20260111	週末計劃	sha256:fe933fa0312c84fba14b3492b4e579d591613cf3c155a0b1d119856ea96f71fc	38	張莉	都得呀，到時再決定。		GLOSSIKA-YUEHK-A1-DLG-007-20260111-I037	李明	好，我哋去睇戲都得。	GLOSSIKA-YUEHK-A1-DLG-007-20260111-I039	李明	OK，咁就咁話！	ClauseRelationEdge|ClauseRelationGraph|ClauseRelationMemberSpan|NeedsContext	multi_clause_member_local	alternative_acceptance_plus_future_decision	context_licensed	alternative_set		high	都得呀 evaluates the immediately preceding alternatives; 到時再決定 is overt.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
27	GLOSSIKA-YUEHK-A1-DLG-008-20260125-I002	GLOSSIKA-YUEHK-A1-DLG-008-20260125	借嘢	sha256:a9f134a3d1457c4bfacd965c7c1116f0fa08553f5ffb0ad6bdb32216ad6dd9de	2	美華	喺呀，入嚟啦。		GLOSSIKA-YUEHK-A1-DLG-008-20260125-I001	志明	美華，喺唔喺度呀？	GLOSSIKA-YUEHK-A1-DLG-008-20260125-I003	志明	唔好意思，想借啲嘢用。	ClauseRelationGraph|DirectionalMotionVP|NeedsContext|VerbComplementVP	multi_clause_member_local	locative_answer_plus_imperative	context_licensed	locative_polar_domain		high	喺呀 answers 喺唔喺度; 入嚟啦 is an overt imperative.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
28	GLOSSIKA-YUEHK-A1-DLG-008-20260125-I006	GLOSSIKA-YUEHK-A1-DLG-008-20260125	借嘢	sha256:ae27e2080a3ca7543329169857bf51390d25b9e450c17a15e43dd9d63776ac6a	6	美華	得呀，要邊支？		GLOSSIKA-YUEHK-A1-DLG-008-20260125-I005	志明	借支筆得唔得呀？	GLOSSIKA-YUEHK-A1-DLG-008-20260125-I007	志明	藍色嘅就得喇。	ClauseRelationGraph|ModalVP|NeedsContext|WhClassifierQuestion	multi_clause_member_local	acceptance_plus_classifier_question	context_licensed	request_domain|nominal_domain		high	得呀 accepts the borrowing request; 要邊支 is an overt follow-up question within the pen domain.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
29	GLOSSIKA-YUEHK-A1-DLG-008-20260125-I018	GLOSSIKA-YUEHK-A1-DLG-008-20260125	借嘢	sha256:bc4bb4fcce5097d44b7988131d0aff250744f18ecbdcfaee53fe28bfa071769f	18	美華	得呀，唔使急。		GLOSSIKA-YUEHK-A1-DLG-008-20260125-I017	志明	聽日還你得唔得？	GLOSSIKA-YUEHK-A1-DLG-008-20260125-I019	志明	再借個杯用下得唔得？	ClauseRelationGraph|ModalVP|NeedsContext	multi_clause_member_local	time_acceptance_plus_reassurance	context_licensed	time_proposal_domain		high	得呀 accepts the proposed return time; 唔使急 is an overt reassurance.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
30	GLOSSIKA-YUEHK-A1-DLG-008-20260125-I019	GLOSSIKA-YUEHK-A1-DLG-008-20260125	借嘢	sha256:e2a8ff3a66f08de1ada2a115ab30f375eadda1c59b9239b78da0d1efe6a0c295	19	志明	再借個杯用下得唔得？		GLOSSIKA-YUEHK-A1-DLG-008-20260125-I018	美華	得呀，唔使急。	GLOSSIKA-YUEHK-A1-DLG-008-20260125-I020	美華	要飲水呀？	AcceptabilityANotA|ClauseRelationMemberSpan|NeedsContext	ordinary_parser_gap	complete_event_acceptability_question	route_independent_parser_gap		424	high	再借個杯用下得唔得 is a complete event-level acceptability question with an overt predicate and object; it is not a bare 得 response.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
31	GLOSSIKA-YUEHK-A1-DLG-009-20260201-I005	GLOSSIKA-YUEHK-A1-DLG-009-20260201	辦公室指示	sha256:e349fc971a26118ee020dac249c49e92f0710fea557b60156ad912a432834a7e	5	陳先生	唔使驚，慢慢學就得。		GLOSSIKA-YUEHK-A1-DLG-009-20260201-I004	黃小姐	都幾好呀，不過仲有啲緊張。	GLOSSIKA-YUEHK-A1-DLG-009-20260201-I006	黃小姐	多謝你，我會努力嘅。	ClauseRelationEdge|ClauseRelationGraph|ClauseRelationMemberSpan|ModalVP|ModifiedNP|NeedsContext	ordinary_parser_gap	directive_plus_overt_sufficiency_clause	route_independent_parser_gap		424	high	慢慢學就得 contains an overt predicate and sufficiency relation. No antecedent is needed to complete its syntax.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
32	GLOSSIKA-YUEHK-A1-DLG-009-20260201-I039	GLOSSIKA-YUEHK-A1-DLG-009-20260201	辦公室指示	sha256:3d6d1b8f379747431c4e8da7a32a2e925dcfe13f4ceb6a9931feaff8b54e67ae	39	陳先生	唔使急，慢慢做就得。		GLOSSIKA-YUEHK-A1-DLG-009-20260201-I038	黃小姐	好，我今日會做晒。	GLOSSIKA-YUEHK-A1-DLG-009-20260201-I040	黃小姐	多謝陳先生，我開始做嘢喇！	ClauseRelationEdge|ClauseRelationGraph|ClauseRelationMemberSpan|MannerAdverbialVP|ModalVP|NeedsContext	ordinary_parser_gap	directive_plus_overt_sufficiency_clause	route_independent_parser_gap		424	high	慢慢做就得 contains an overt predicate and sufficiency relation. No antecedent is needed to complete its syntax.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
33	GLOSSIKA-YUEHK-A1-DLG-010-20260208-I013	GLOSSIKA-YUEHK-A1-DLG-010-20260208	你覺得呢間餐廳點樣	sha256:b72e13660043be1e79bb0f0e36d1729f278676d7347573195821ec388e55dff1	13	黃志強	但係佢哋啲食物好好食㗎。		GLOSSIKA-YUEHK-A1-DLG-010-20260208-I012	張美玲	咁都幾貴喎，我諗住食平啲。	GLOSSIKA-YUEHK-A1-DLG-010-20260208-I014	張美玲	你點知呀？你都未去過。	ClauseRelationMemberSpan|ClauseSpan|DegreeModifiedLexicalStative|DiMarkedNP|NeedsContext|TopicComment	formula_or_discourse_response	prior_turn_concessive_continuation	context_licensed	discourse_contrast_antecedent		high	但係 links the food-quality clause to the preceding price concern. The relation is discourse-spanning but the overt clause is complete.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
34	GLOSSIKA-YUEHK-A1-DLG-011-20260215-I009	GLOSSIKA-YUEHK-A1-DLG-011-20260215	知唔知去邊度買嘢	sha256:18e6f672965438eadd4f1242e3a42b6e4df10fad604779377629448b451ffc6d	9	陳明	識呀，我成日去嗰度買嘢。		GLOSSIKA-YUEHK-A1-DLG-011-20260215-I008	李芳	就係嗰間大嘅囉，你識唔識？	GLOSSIKA-YUEHK-A1-DLG-011-20260215-I010	李芳	咁就啱喇，行過去咋。	ClauseRelationGraph|DirectionalMotionVP|MotionGoalVP|NeedsContext|ProductiveVO	multi_clause_member_local	recognition_answer_plus_explicit_place_statement	context_licensed	recognition_domain		high	識呀 answers whether the store is known; the following clause overtly names 嗰度 and 買嘢.	Link discourse metadata to overt source turns only; do not insert reconstructed words or synthetic syntax.
