packet_id	candidate_id	mechanical_stratum	matched_form	expert_profile	aa77_relevance	decision_confidence	decision_reason	source_comparison_notes
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-815459e181bd47c20dd4	a_not_a_or_opportunity	有	opportunity_polar_yau_mou_dak	sibling_profile	high	Embedded 唔知有冇得好似佢噉 asks about future possibility; no overt place + introduced nominal structure occurs.	Supports a separate lexeme-specific polarity/opportunity profile, not AA77.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-47aeff24e263f9c88e5b	a_not_a_or_opportunity	有	opportunity_polar_yau_mou_dak	sibling_profile	high	Quoted 有冇得平 asks whether a lower price is possible; it does not introduce an existential nominal.	Matches the possibility function of 有-得／冇-得 described by Lam et al. 2024.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-ff7ee5664fbe2d174bfe	attributive_embedding	有	explicit_subject_possession_with_modified_np	sibling_profile	high	Overt subject 佢 is followed by 有 and NP 啲噉嘅團; 嘅 is internal to the possessed NP.	Explicit-subject possession is separately identified by Lam et al. 2024 and is excluded by AA77.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-cdab446307d61281c97f	attributive_embedding	冇	no_place_negative_existential_relative_clause	sibling_profile	medium	冇人需求 occurs inside a clause modifying 時候 and lacks an overt place expression; 人 is the negative existential nominal or quantified subject candidate.	Existential 有／冇 without overt place is a sibling profile, not direct AA77.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-ca3598275b5af055b83d	attributive_embedding	有	abstract_possession_or_property	sibling_profile	high	有 selects the abstract NP 保值嘅作用 after a discourse subject; no overt spatial domain introduces it.	The modified NP does not convert explicit or discourse-recoverable possession into place-first existence.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-b461ab527cf9397254da	attributive_embedding	有	lexical_compound_daai_yau	false_positive	high	The matched character is part of lexical 帶有 'contain/bear', followed by its complement; it is not an independent existential or possessive 有 token for AA77 purposes.	Segmentation and shared orthography cannot donate existential evidence to a lexical compound.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-1496fd46bab6082b4837	prepredicate_right	有	coordinated_place_ellipsis	sibling_profile	medium	The selected second 有抵嘢食 shares the overt wh-place 邊度 from the preceding coordinated clause, but the AA77 node itself lacks an overt local place expression.	Discourse and coordination license a location interpretation; AA77's overt-span requirement prevents silent place copying.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-06f18a5f7f575c167009	prepredicate_right	冇	prepredicate_event_negation	sibling_profile	high	Overt subject 你 precedes 冇 + 去行, negating an event; no introduced nominal or place-first existential occurs.	Consistent with Law 2014 that clausal 冇 has verbal/syntactic behavior distinct from a token-only existential rule.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-b682551c6467ca1ec8f9	prepredicate_right	冇	negative_property_predicate	sibling_profile	high	The subject referent is followed by 冇生蟲 'not worm-infested'; 生蟲 is a predicate rather than an introduced nominal.	Pre-predicate negation is outside AA77 even when 冇 is tagged as a verb.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-6efe966f084d69ac1238	prepredicate_right	冇	lexical_property_mou_jung	false_positive	high	冇用 is a lexical or compositional property meaning useless/not useful, with 用 functioning as predicate material rather than an introduced NP.	A token-level 有／冇 rule would overgenerate here; no existential nominal is licensed.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-ba4902f3f29a10129645	aspect_adjacent	有	no_place_existential_complement	sibling_profile	high	有啲乜嘢問題 is the complement of 諗過 and introduces a possible problem without an overt place expression.	Lam et al. 2024 distinguishes existential introduction without overt subject; AA77 is the narrower overt-place subtype.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-b140c8bf0d08cdf69f96	aspect_adjacent	冇	negative_possession_or_property_with_exhaustive	 sibling_profile	high	乜嘢冇晒價值 predicates loss or absence of value of a discourse referent; 晒 is overt exhaustive/change material, not an existentially introduced nominal.	Aspect adjacency must remain visible and cannot be collapsed into AA77 negative existence.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-081b07080d851375e2f8	aspect_adjacent	冇	change_of_state_loss_mou_zo	sibling_profile	high	冇咗件事 expresses disappearance or loss with overt 咗; it is not simple negative existential 冇 + introduced NP.	The aspect marker creates a separate change-of-state profile; Law 2014 cautions that aspectual restrictions are structurally informative.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-568d2309b90d765cd202	aspect_adjacent	冇	change_of_state_loss_mou_zo	sibling_profile	high	冇咗個形 expresses loss of shape with overt 咗 and an affected nominal.	Must remain separate from AA77's unmarked negative existential profile.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-5a21964715868a3220b7	wh_or_focus_adjacent	有	coordinated_place_ellipsis	sibling_profile	medium	The selected second 有啲乜嘢嘢玩 shares 裏面 from the first conjunct, but the overt place is not inside the selected local sequence.	Context establishes location without authorizing hidden duplication in the AA77 span.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-9b11d7337401671980b7	wh_or_focus_adjacent	冇	weak_frequency_event_negation	sibling_profile	high	冇乜點去 negates or minimizes frequency/degree of going; 乜點 and 去 are visible predicate material, not an introduced nominal.	Clausal negative/event use is outside the place-existential profile.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-2219380c11e1bbcffb73	wh_or_focus_adjacent	冇	negative_property_with_weak_quantity	sibling_profile	high	都冇乜特色 predicates lack of distinguishing features; no overt place expression occurs.	Weak-quantity 乜 does not by itself create an AA77 existential nominal.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-f99cd783c92142b08676	wh_or_focus_adjacent	有	explicit_subject_possession_with_locative_coda	sibling_profile	high	Overt subject 我 has 啲炒嘅, followed by locative coda 喺度; the location is not initial and the profile is explicitly excluded from AA77.	Matches AA77's stated boundary against possession and presentational clauses with following locative material.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-b5acada359fcd92ca721	repair_or_ellipsis	有	no_place_presentational_with_repair	sibling_profile	medium	After a false start, 有隻船出海 presents an NP and following predicate under overt subject/modal 佢會; no overt place expression occurs.	Lam et al. 2024 supports existential introduction without overt subject, but this repaired modal frame is not direct AA77.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-f0ba2e60b206e3333426	repair_or_ellipsis	冇	discourse_ellipsis	sibling_profile	high	今次冇 answers or continues the prior question about issuing a souvenir sheet; the omitted event/object is discourse-recoverable but not overt.	Ellipsis is evidence-bearing for clausal 冇 under Law 2014, not for AA77 place-first structure.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-9ab4addef04f386fb26f	repair_or_ellipsis	冇	ambiguous_event_ellipsis	ambiguous	low	哩排又冇話 is incomplete in the available context and may involve omitted reporting/event material; it has no overt AA77 place or nominal.	Retained as ambiguity rather than repaired into a full clause.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-4458fc349b06e22d278c	repair_or_ellipsis	冇	repair_false_start	unusable	high	The matched 冇 is abandoned before the speaker restarts with 我包咗; no stable constructional dependency can be assigned to the anchor.	Repair material must remain in the packet but cannot support or refute AA77 membership.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-6ddc58ccc92f8ab9e0b9	other_nominal_right	有	no_place_existential_presentational	sibling_profile	high	有人叫... presents an indefinite human participant without an overt place expression.	Directly parallels subjectless existential introduction in Lam et al. 2024 but falls outside AA77's overt-place subtype.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-b97d36558671edf34450	other_nominal_right	冇	no_place_negative_existential_with_predicate	sibling_profile	high	從來冇人講過 introduces a negative human quantificational/existential subject followed by predicate 講過; no overt place occurs.	Negative existential or quantificational clause is a sibling boundary, not AA77.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-55c6543be6bc061aa6b6	other_nominal_right	冇	temporal_negative_availability_or_possession	sibling_profile	medium	而家又冇哩一樣 expresses current absence or unavailability of a discourse item, with a temporal rather than spatial frame.	Temporal availability does not satisfy AA77's overt spatial-domain requirement.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-141920dcaf726d5cc405	other_nominal_right	有	explicit_subject_possession_or_property	sibling_profile	high	Overt subject 我 is followed by modal 應該 and 有問題; this is possession/property predication, not place-first existence.	Explicit subject separates the item from AA77 under Lam et al. 2024.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-241ac2637130afc3b50e	other_control	有	discourse_ellipsis	sibling_profile	medium	七月一號嗰套咪有囖 asserts contextual availability/existence with the complement recoverable from discourse, but no overt introduced nominal follows 有.	AA77 requires an overt introduced nominal and cannot reconstruct the omitted material.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-afb924104fa272ab8cc2	other_control	冇	degree_comparative_negation	false_positive	high	The selected 冇咁 is part of a degree comparison 冇咁搶得咁犀利, not existential or possessive syntax.	Token identity alone cannot promote degree negation into AA77.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-0d18516846a9b3badfd2	other_control	冇	discourse_ellipsis	sibling_profile	medium	而家冇嚹 is a context-dependent absence statement followed by a new clause; both place and nominal are omitted.	Retained as ellipsis and excluded from AA77's overt-span profile.
AA77-HKCANCOR-NONINITIAL-JAU-MOU-R1-BOUNDED-REVIEW	aa77-3b319decc1bf289912c9	other_control	冇	comparative_event_frequency_negation	false_positive	high	冇以前參加咁多 compares participation frequency with the past; 以前 and 參加咁多 form visible comparative/event material.	Not existential, possessive, or an introduced nominal profile.
