construction	candidate_id	source_file	turn_index_zero_based	participant	matched_surface_span	matched_pos	text	previous_text	next_text
AA07	aa07-1f0e69ffdaeebdf25fbd	FC-005a_v2.cha	117	XXA	嘅郵	u+Ng	連嗰啲嘢係點嘅樣,冚唪唥乜嘢你都唔知,好似有陣時,嗰啲首日封噉,佢有嗰,誒,特別嘅郵chop啲印呢,你訂嗰陣時,佢冇話俾你聽有個特別郵chop𡃉,噉你咪訂訂訂,訂晒嗰啲普通郵chop噉𡃉囖.	係喇,我唔鍾意噉樣.	到到嗰個時候佢真係,賣嘅時候呢,出嘅時候呢,佢就話俾你聽有個特別郵chop嘞.
AA07	aa07-3f3c3b930bb0bd506d93	FC-005a_v2.cha	118	XXA	嘅時候	u+n	到到嗰個時候佢真係,賣嘅時候呢,出嘅時候呢,佢就話俾你聽有個特別郵chop嘞.	連嗰啲嘢係點嘅樣,冚唪唥乜嘢你都唔知,好似有陣時,嗰啲首日封噉,佢有嗰,誒,特別嘅郵chop啲印呢,你訂嗰陣時,佢冇話俾你聽有個特別郵chop𡃉,噉你咪訂訂訂,訂晒嗰啲普通郵chop噉𡃉囖.	噉你如果你要個特別郵chop呢,你又要去再訂過嘞.
AA07	aa07-28418d812253d16965e5	FC-005a_v2.cha	118	XXA	嘅時候	u+n	到到嗰個時候佢真係,賣嘅時候呢,出嘅時候呢,佢就話俾你聽有個特別郵chop嘞.	連嗰啲嘢係點嘅樣,冚唪唥乜嘢你都唔知,好似有陣時,嗰啲首日封噉,佢有嗰,誒,特別嘅郵chop啲印呢,你訂嗰陣時,佢冇話俾你聽有個特別郵chop𡃉,噉你咪訂訂訂,訂晒嗰啲普通郵chop噉𡃉囖.	噉你如果你要個特別郵chop呢,你又要去再訂過嘞.
AA07	aa07-3eaef0d2927b8b2d53a2	FC-005a_v2.cha	126	XXB	嘅郵票	u+n	我有啲朋友,佢又話,誒,炒郵票嗰啲呢,佢𠻺識得嗎,有某一種嘅郵票,即係譬如某一個面額嘅呢,就儲,儲,儲得好多,因為呢,嗰個面額呢,就特別容易炒賣到𡃉喎.	大致都係咁上下𡃉嚹.	嗰陣時,我唔知佢講過個八定係個三啊?
AA07	aa07-4ce5a622fce8d7d8f6ae	FC-005b_v2.cha	1	XXA	嘅郵票	u+n	好短時間𡃉咋,喺我寄晒,即係由佢開始加郵票,至到我寄晒啲個八嘅郵票,再至到個八開始升值嘅時候呢,只係個零兩個月間嘅事來𡃉咋.	搭啲,兩三毫子先至搭夠再寄啲新嘅,噉嗰陣時就,快快脆脆猛咁將啲個八黏黏晒,嘩,諗下,ei3留喺度冇用𡃉嗎,寄寄寄.	嗰啲個八郵票呢,嘩,升到真係癲.
AA07	aa07-46011562fc30b233a4fb	FC-005b_v2.cha	1	XXA	嘅時候	u+n	好短時間𡃉咋,喺我寄晒,即係由佢開始加郵票,至到我寄晒啲個八嘅郵票,再至到個八開始升值嘅時候呢,只係個零兩個月間嘅事來𡃉咋.	搭啲,兩三毫子先至搭夠再寄啲新嘅,噉嗰陣時就,快快脆脆猛咁將啲個八黏黏晒,嘩,諗下,ei3留喺度冇用𡃉嗎,寄寄寄.	嗰啲個八郵票呢,嘩,升到真係癲.
AA07	aa07-a9bb70dbc7d22185abe3	FC-005b_v2.cha	1	XXA	嘅事	u+n	好短時間𡃉咋,喺我寄晒,即係由佢開始加郵票,至到我寄晒啲個八嘅郵票,再至到個八開始升值嘅時候呢,只係個零兩個月間嘅事來𡃉咋.	搭啲,兩三毫子先至搭夠再寄啲新嘅,噉嗰陣時就,快快脆脆猛咁將啲個八黏黏晒,嘩,諗下,ei3留喺度冇用𡃉嗎,寄寄寄.	嗰啲個八郵票呢,嘩,升到真係癲.
AA07	aa07-3bf2dd03f75b0c7b0c57	FC-005b_v2.cha	44	XXA	嘅時間	u+n	其實我儲郵票嘅時間好短𡃉咋.	其實你幾時開始儲郵票𡃉?	到我由,真係識得儲郵票只係喺哩,三,四年間先開始去儲郵票.
AA07	aa07-d28cbec28df82a64a8b7	FC-005b_v2.cha	79	XXA	嘅作用	u+n	而且佢哋話呢,儲成版就有保值嘅作用囖,喀,不過你唔好整花,整摺,有任何損毀嚹,如果唔係就冚唪唥冇,即係價-,冇,點啊?	唔係啊,我諗我下次都係買啲,試下買一版先得.	冇嗰個賣返出去嘅價值囖,變咗你真係永遠就自己揸住來睇𡃉咋.
AA07	aa07-f9521f792b2b00296e0d	FC-005b_v2.cha	80	XXA	嘅價值	u+n	冇嗰個賣返出去嘅價值囖,變咗你真係永遠就自己揸住來睇𡃉咋.	而且佢哋話呢,儲成版就有保值嘅作用囖,喀,不過你唔好整花,整摺,有任何損毀嚹,如果唔係就冚唪唥冇,即係價-,冇,點啊?	喀,啊如果你真係冇花冇損毀呢就有一日冇飯食嘅時候啊,你真係窮到,唉,死嚹.
AA07	aa07-2b244ed880d0ef580f97	FC-005b_v2.cha	81	XXA	嘅時候	u+n	喀,啊如果你真係冇花冇損毀呢就有一日冇飯食嘅時候啊,你真係窮到,唉,死嚹.	冇嗰個賣返出去嘅價值囖,變咗你真係永遠就自己揸住來睇𡃉咋.	攞出來賣.
AA07	aa07-cc829997901d2b94d849	FC-005b_v2.cha	115	XXB	嘅嘢	u+n	睇呢,睇啲年份噉樣嘅嘢.	我以前收到啲毫子呢𠻺最鍾意睇佢年份嘅,即係揾-揾啲年份,即係唔知點解𡃉,係對數字比較有興趣噉樣.	其實我-其實我不嬲都冇留意年份.
AA07	aa07-f5844eb70638eea52832	FC-005b_v2.cha	134	XXB	嘅嘢	u+n	有啲噉嘅嘢咩?	係咩?	有啊,喺,乜嘢,旺角嗰度,日日,嗰啲唔知係唔係大陸人來嘅,走落來,黏張紙喺度,有年份嗰啲𠻺特別價錢囖,冇年份嗰啲求其,好似話女皇頭兩毫子嘅,佢就四毫子一個幫你收噉.
AA07	aa07-a8c6dea189791640b3f4	FC-005b_v2.cha	137	XXA	嘅時候	u+n	喀,如果佢好彩嘅揾到啲,譬如你唔知有乜嘢年份嘅話,你咪成拃賣俾佢嘅時候,可能或者睇漏咗一兩個啊,噉,嘩,可能佢發咗啊佢𠻺,佢可能嗰個特別嗰個年份嗰個呢,唔止係四毫,可能賣四蚊啊,或者四十蚊啊,噉都有𡃉.	你就俾一拃佢,佢咪照數俾你囖,你俾十個佢,佢俾四蚊你噉樣囖,喀,噉就佢就唔理你乜嘢年代嘞,佢收咗返去,佢自己點搞就唔理佢𡃉嚹,總言之佢就收晒你啲女皇頭嘅返去.	唔係吖,有啲冇女皇嘅,嗰啲乜嘢啊?
AA07	aa07-6185fd3f815c8cddd44e	FC-009b_v.cha	85	XXB	嘅時候	u+n	噉有冇-有冇人教,即係教你,誒,跑嘅時候應該點樣呼吸啊,應該點樣跑啊噉樣𡃉?	即係有參加,但係,誒,都有攞獎,但係就冇以前參加咁多囖.	你唔會注重哩啲𡃉喎,我覺得.
AA07	aa07-454852cc7410e5c310f0	FC-009b_v.cha	89	XXA	嘅時候	u+n	即係,我諗啲朋友譬如上體育堂完嘅時候,自己跑得嗰啲人呢就會自己玩𡃉囖.	冇-冇教練嗰啲𡃉.	即係自己喺度,誒,鬥下噉樣囖.
AA07	aa07-cf013aff75dee4acbdee	FC-009b_v.cha	105	XXA	嘅問題	u+n	我諗係體質嘅問題.	我想跑步啊,但係呢我驚呢越跑越粗啊對腳,會唔會𡃉?	我識得嗰個人,佢跑樣樣都好叻嘅,但係佢好瘦𡃉喎.
AA07	aa07-b5c214637c647a9b7afb	FC-009b_v.cha	110	XXA	嘅問題	u+n	我覺得唔係,我覺得係體質嘅問題喎.	但係佢話如果你每日,誒,譬如跑十五分鐘嘅,或者跑廿分鐘嘅,佢話應該就會冇事啝.	
AA07	aa07-379f5e589b92f7dfdbc9	FC-011_v.cha	0	XXA	嘅嘢	u+n	不如繼續頭先講嘅嘢喇.		好吖好吖好吖.
AA07	aa07-c972a893fac63e106856	FC-011_v.cha	51	XXB	嘅創傷	u+n	彌補你嘅創傷.	都彌補到睇咁多噉喇.	少少喇.
AA07	aa07-e52512c188a8d257317c	FC-011_v.cha	68	XXB	嘅公關	u+n	噉即係其實等如人哋嘅公關部啊噉樣.	噉就,誒,佢-而家我哋個部門呢就叫企業傳播部.	嗯.
AA07	aa07-987d614fe080fe0904d6	FC-011_v.cha	72	XXB	嘅嘢	u+n	即係總之同銀行呢個promotion啊,或者image有關嘅嘢呢,都會-誒,都會做囖.	噉就,誒,我哋好多嘢搞𡃉.	我忽然間諗起啲嘢呢,我係唔係唔應該講咁多嘢呢?
AA07	aa07-eb26b1e66a48241e315d	FC-011_v.cha	83	XXB	嘅產	u+Ng	噉然之後就,誒,有時呢就會搞一啲即係新嘅產-即係唔係產品嘅,即係新嘅服務俾啲-誒,俾啲出邊睇呢,即係promote返我哋銀行嗰個形象囖.	即係去幫所有department聯絡啊,噉樣喇.	即係例如最近搞一啲internet喇,上網喇.
AA07	aa07-42636fa070f2bb19a272	FC-011_v.cha	83	XXB	嘅服務	u+vn	噉然之後就,誒,有時呢就會搞一啲即係新嘅產-即係唔係產品嘅,即係新嘅服務俾啲-誒,俾啲出邊睇呢,即係promote返我哋銀行嗰個形象囖.	即係去幫所有department聯絡啊,噉樣喇.	即係例如最近搞一啲internet喇,上網喇.
AA07	aa07-d9432d0aec6d7e49aa08	FC-011_v.cha	127	XXB	嘅產品	u+n	即係因為我哋,誒,出街嗰啲嘢係個department嘅服務啊,嘅產品都會出𠺢嗎.	即係呢-即係成日要催人哋俾料囖.	ei3,有電話啊,我哋暫停下先.
AA07	aa07-f2c53907205343217b5b	FC-012_v.cha	45	XXC	嘅味道	u+n	成-成間屋都係狗嘅味道啊噉樣.	好鬼核突啊.	係啊.
AA07	aa07-b3d2ab36b258276aeddc	FC-012_v.cha	56	XXC	嘅味	u+n	帶有狗嘅味同埋毛啊喺件褸上邊啊.	人着褸啊.	點解入埋衣櫃度𠸏?
AA07	aa07-4dbd908cab466d5f03f5	FC-012_v.cha	138	XXC	嘅狗	u+n	跟住養隻兔仔呢,跟住買咗隻細嘅狗返來呢.	我好憎哩啲嘢,因為成陣味,又好污糟,又臭.	兔仔好易死𡃉.
AA07	aa07-cc7b1e6ef23183572540	FC-012_v.cha	162	XXA	嘅嘢	u+n	噉你咪俾-噉你咪俾正常嘅嘢佢磨牙囖.	佢係哩啲天性來𡃉喎,喺度磨尖啲牙.	係囖.
AA07	aa07-1f31a50cdd328576156a	FC-012_v.cha	210	XXC	嘅魚	u+n	各種類型嘅魚都有.	好細個就養過囖.	好-好嘥時間囖.
AA07	aa07-925b02a163a35d01d863	FC-012_v.cha	253	XXA	嘅嘢	u+n	嘩,興啲-興啲噉嘅嘢𠸏.	好彩我食完飯𡃉.	冇啊.
AA07	aa07-e8c807ffb4d1f63f10a4	FC-012_v.cha	257	XXA	嘅寵物	u+n	有冇諗過養啲好奇怪嘅-嘅寵物呢?	魚死咗都好啲啊.	有啊.
AA07	aa07-cfac25ada77b85d38e2c	FC-012_v.cha	342	XXB	嘅寵物	u+n	而家最新嘅寵物呀?	"""幾扺死""."	哩隻唔係.
AA07	aa07-4ffaae9a44c2a824d393	FC-012_v.cha	358	XXC	嘅text	u+xn	嗰啲所謂formula來嘅textmode來𡃉喎.	浪費時間喎,又浪費金錢.	即係人哋QCcheck.
AA07	aa07-6c7c3255fecdd1d38bd4	FC-012_v.cha	365	XXC	嘅嘢	u+n	百幾蚊搞啲噉嘅嘢.	真係好無聊.	冇.
AA07	aa07-faa3cc29d0bc1d4c61fd	FC-012_v.cha	434	XXA	嘅腰力	u+n	"噉嗱你""咪由-""摀低身噉樣寫字呢,嗱你又用咗你嘅腰力嘍喎."	踎喺度差唔多.	腰力-噉你又要減卡路里,然之後先可以收𠺢嗎.
AA07	aa07-aeae1c4b70d974c11945	FC-012_v.cha	474	XXA	嘅模型	u+n	喀,譬如我有-ei2,我有套哩個黃金聖鬥士嘅模型呢就係法國版來.	Bandai係日-日本base,但係佢好多分公司啊.	嗯.
AA07	aa07-63668bb86bd2be033e46	FC-012_v.cha	531	XXC	嘅嘢	u+n	公司應該做多啲哩啲噉嘅嘢吖真係.	絕對要做.	吓?
AA07	aa07-e695ee6f6af88b930d70	FC-013_v.cha	183	XXB	嘅人工	u+n	噉doubling同acting嘅人工嘅分別喺邊?	即係多啲𡃉嗎.	譬如我同時都係AIO.
AA07	aa07-588b686ae4aee7c4db86	FC-013_v.cha	183	XXB	嘅分別	u+n	噉doubling同acting嘅人工嘅分別喺邊?	即係多啲𡃉嗎.	譬如我同時都係AIO.
AA07	aa07-778ca2f624340e8f89fd	FC-013_v.cha	187	XXB	嘅人工	u+n	定actingIO嘅人工加多啲呢?	噉邊個-應該doublingAIO啲人工多啲?	有rules,但係我唔識解啊.
AA07	aa07-02276c842e56631b586e	FC-018_v.cha	0	XXC	嘅經歷	u+vn	你,誒,哩個旅行嘅經歷吖.		今次你返桂林呢,有乜嘢得意嘅事發生啊?
AA07	aa07-d630de7bbf2a22b00568	FC-018_v.cha	1	XXC	嘅事	u+n	今次你返桂林呢,有乜嘢得意嘅事發生啊?	你,誒,哩個旅行嘅經歷吖.	噉樣講法呀?
AA07	aa07-0247cb006d782ff63937	FC-018_v.cha	33	XXM	嘅旅遊客	u+n	噉啲風景都好靚,有好多嗰啲國內嘅旅遊客啊,有啲香港遊客啊,有外國遊客啊噉樣囖.	哦.	嗯.
AA07	aa07-e36dd4367ee5b0fba3f1	FC-018_v.cha	45	XXM	嘅餸菜	u+n	食啲蔬菜啊,食啲魚啊,誒,食啲點心啊,誒,多數都係食啲,誒,地道嘅餸菜喇.	食啲乜嘢啊?	哦,噉你啲團友呢,幾多歲度啊?
AA07	aa07-0476ad31859550d6e5e8	FC-018_v.cha	70	XXM	嘅心態	u+n	即係唔會話分你咁老啊,我咁後-誒,誒,傾唔埋噉嘅心態囖.	哦.	嗯.
AA07	aa07-74e07c70b7fbc9919a08	FC-018_v.cha	103	XXM	嘅嘢	u+n	嗯,有哩啲噉嘅嘢買囖.	哎吔,噉都有呀?	我哋-我哋冇買到.
AA07	aa07-9046b3b319ed8c74abd9	FC-018_v.cha	129	XXM	嘅客人	u+n	噉𠻺比較識得去揾啲旅遊嘅客人嘅錢囖.	哦.	哦.
AA07	aa07-58c2019d94ee37f061d8	FC-018_v.cha	129	XXM	嘅錢	u+n	噉𠻺比較識得去揾啲旅遊嘅客人嘅錢囖.	哦.	哦.
AA07	aa07-2379fa573fa5bd7be252	FC-018_v.cha	147	XXM	嘅嘢	u+n	"橫額就冇,淨係有少少,誒,即係嗰啲國旗啊,誒,特區個徽章啊,誒,""熱烈慶祝回歸""噉樣喇,係噉寫哩啲噉嘅嘢囖."	哦,即係周圍冇嗰啲橫額喺度呀?	哦.
AA07	aa07-a4a9f90ad623d883ec14	FC-018_v.cha	202	XXC	嘅劇情	u+n	"咦,媽咪呀,不如你講下今晚哩個""難兄難弟""嘅劇情做到點啊?"	係啊.	"哦,今日嘅""難兄難弟""嘅劇情呢,就做到謝賢去馬來-去哩個,誒,南洋揾阿-阿珍嘞,點知呢去到揾到阿珍呢就嫁咗人嘍喎."
AA07	aa07-2e5f8725c7b9153ab309	FC-018_v.cha	203	XXM	嘅劇情	u+n	"哦,今日嘅""難兄難弟""嘅劇情呢,就做到謝賢去馬來-去哩個,誒,南洋揾阿-阿珍嘞,點知呢去到揾到阿珍呢就嫁咗人嘍喎."	"咦,媽咪呀,不如你講下今晚哩個""難兄難弟""嘅劇情做到點啊?"	佢當時呢就好難忘啊.
AA07	aa07-70ecc4f577e29a9088a7	FC-018_v.cha	209	XXM	嘅電影	u+n	噉𠻺香港人嘅電影新聞呢就傳佢-即係浸死咗,噉佢屋企啲人就好傷心喇個老豆老母.	噉又唔知道佢呢就冇搭哩隻船,以為佢搭咗哩隻船.	噉𠻺幫佢設個,誒,夜晚招魂𡃉喇,係唔係啊?
AA07	aa07-e388228f7b22eb1a8cca	FC-019_v.cha	33	XXJ	嘅方式	u+n	但係我唔鐘意佢剪頭髮嘅方式啊.	即係,唔係,即係長,長,但係剪碎啲呢.	喀.
AA07	aa07-37734650fb005b4f0bf0	FC-019_v.cha	40	XXJ	嘅形式	u+n	剪嘅形式去-我就會覺得好啲囖.	喀喀喀.	唔係啊.
AA07	aa07-0bcabbb32ec1e8dfe843	FC-019_v.cha	47	XXJ	嘅時候	u+n	所以呢,佢噉削呢,佢就覺得-佢會-即係呢佢削嘅時候同你剪係唔同𠺢嗎.	唔係,因為我試過啊.	嗯.
AA07	aa07-5f199bd5b3d253875981	FC-019_v.cha	49	XXJ	嘅時候	u+n	你一削嘅時候會拉條頭髮呢,噉就會變咗呢,就會好容易開叉.	嗯.	因為開親叉都係嗰啲開𡃉喎.
AA07	aa07-16a4b35f6933328d0aa0	FC-019_v.cha	74	XXJ	嘅時候	u+n	但係我去到嘅時候我唔知剪短,噉佢會問你想點樣剪短喇.	"即係我""""其實,我心目中又冇一個,即係,特定嘅,即係style噉樣喇."	跟住你又剪齊,但係我又-其實我又唔想剪齊.
AA07	aa07-12e5239bd898c887ef32	FC-020_v.cha	20	XXA	嘅時候	u+n	"噉第二次呢,噉我初時呢,我""""以為佢係請我做即係全-即係,誒,全年嗰啲噉樣喇,噉但係點知呢佢就話,無端端第二-第二次interview嘅時候就話""啊!我,誒,誒,而家係offer一個一年嘅職位俾你,噉樣你會唔會考慮啊?"	因為初時有一份呢就,誒,in喇,都in得幾好𠸏,噉in到兩次嚹喎.	"""噉樣喇."
AA07	aa07-e242d279f49d0fb31730	FC-020_v.cha	20	XXA	嘅職位	u+n	"噉第二次呢,噉我初時呢,我""""以為佢係請我做即係全-即係,誒,全年嗰啲噉樣喇,噉但係點知呢佢就話,無端端第二-第二次interview嘅時候就話""啊!我,誒,誒,而家係offer一個一年嘅職位俾你,噉樣你會唔會考慮啊?"	因為初時有一份呢就,誒,in喇,都in得幾好𠸏,噉in到兩次嚹喎.	"""噉樣喇."
AA07	aa07-302cf7ab72c023395263	FC-020_v.cha	41	XXA	嘅意見	u+n	"噉但係我返到屋企之後呢,問下啲同學嘅意見啊,噉又問下阿哥同埋啲-同埋我嗲哋媽咪噉樣喇,噉佢哋話""點解你唔應承佢啊?"	嗯.	做住一年先都好喇.
AA07	aa07-c426a8496903a07e5195	FC-020_v.cha	49	XXA	嘅時候	u+n	"噉跟住我打返俾佢嘅時候佢就話""誒,啊!校長而家見𡁵人喎,或者佢留底個電話,阿校長話一陣間親自覆你."	跟住就下個-跟住嗰個星期一就打電話俾佢喇.	"""噉樣喇."
AA07	aa07-e5e86595c81eeb2200b6	FC-020_v.cha	56	XXA	嘅資料	u+n	"跟住我話""誒,啊!但係你嘅資料就會即係留低喇,噉睇下第日會唔會有機會揾你讀-揾你幫手噉樣."	喀,喀,喀.	嗯.
AA07	aa07-d95f61cbca5f7f5fd416	FC-020_v.cha	82	XXA	嘅心目中	u+n	因為譬如你喺一般人嘅心目中,譬如話喺香港噉去到大埔噉樣好遠喇.	喀,喀.	好遠𡃉.
AA07	aa07-4e4179ccc2cd0a5e326c	FC-020_v.cha	134	XXB	嘅nature	u+xn	噉呢佢就-即係佢又講下佢個-份工嘅nature俾我聽噉樣囖.	係.	哦.
AA07	aa07-13c3c239b603beb2e18a	FC-020_v.cha	208	XXB	嘅impression	u+xn	噉但係,但係呢,噉其-噉係囖,如果-但係其實我諗我都俾咗噉嘅impression佢,噉我諗我都唔-即係我諗佢都覺得我唔適合𡃉嚹.	"""""唔通你話你唔得啊噉樣."	即係可能佢會想揾啲定啲嗰啲人.
AA07	aa07-395de00daef1568a5a8d	FC-020_v.cha	242	XXA	嘅嘢	u+n	係喇,後尾我覺得都幾好笑囖,睇嗰啲貼喺度嘅嘢.	"跟住又有另外一個人呢就係寫咗就話""spellingmistakes""噉樣喎."	係啊.
AA07	aa07-6df05af0aedb2aec3434	FC-020_v.cha	258	XXB	嘅心目中	u+n	即係揾工-雖然你有時話anydiscipline,但係其實佢嘅心目中都有啲dis-有啲discipline佢係鍾意啲𠺢嗎.	噉佢哋嗰啲科目呢係比較好啲.	係喇,係喇,係喇.
AA07	aa07-5310310d94f7f24d4f12	FC-020_v.cha	267	XXB	嘅同學	u+n	係啊,所以佢覺得你-即係譬如我哋哩啲讀arts嘅同學揾唔到工呢,即係佢覺得係我哋自己冇能力囖.	係呀?	係呀?
AA07	aa07-771e0746a676bb0fd8e7	FC-020_v.cha	292	XXA	嘅post	u+xn	即係我覺得你如果想做哩份嘢,啊,因為我唔知佢晉升機會點啊其實,做完哩一個噉樣嘅post噉樣.	誒,我都唔知啊其實.	喀.
