runtime_label	lane	claim_layer	current_status	runtime_code_reference_count	accepted_tree_occurrence_count	sample_surfaces	canonical_family_id	canonical_family	family_type	consolidation_class	target_action	target_node_or_family	survives_as_public_construction	readiness_bucket	source_linked_disposition	target_boundary
CausativeResultPredicate	LANE-05	language	unsupported_generalization	10	0		L15	ResultativeAndChangePredication	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ResultativeAndChangePredication	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_TWO_VERBAL_CAUSE_EFFECT_CORE_WITH_EXACT_LEXICAL_TEMPLATE_AND_ARGUMENT_REALIGNMENT_REQUIRED	Treat cause/effect as a construction-level relation; review child-node necessity and do not derive roles mechanically from individual verbs.
ChangeIntoPredicate	LANE-05	language	unsupported_generalization	10	0		L15	ResultativeAndChangePredication	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ResultativeAndChangePredication	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	LEXICAL_CHANGE_PREDICATE_SOURCE_LINKED_RESULT_COMPLEMENT_TYPE_SPLIT_REQUIRED	Retain lexical 變成 while splitting overt complement types and keeping productivity/selection lexically bounded.
ClassifierObjectNP	LANE-06	language	unsupported_generalization	15	2	做得完份功課。 | 飲返杯咖啡。	L16	ClassifierAndQuantityNP	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ClassifierAndQuantityNP	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_REPRESENTATION_REALIGNMENT_REQUIRED	Realign to a role-neutral classifier+noun representation; assign object/topic/subject roles at the containing frame.
ClauseLinkingSequence	LANE-02	representation	parser_heuristic	36	47	一見到佢，我笑。 | 一見到佢，我就笑。 | 人，人，人。 | 因為打風，所以我冇去。 | 因為落雨，我冇去。 | 因為落雨，所以我冇去。	I02	ClauseRelationGraph	internal_architecture	internal_architecture	RETAIN_INTERNAL	ClauseRelationGraph	NO	A_SAFE_STRUCTURAL_CLEANUP	KEEP_INTERNAL_DISCOURSE_WRAPPER_WITH_TYPED_RELATION_CHILD_AND_WRAPPER_COVERAGE	Keep as an internal wrapper; do not assign conditional, causal, temporal, sequential, concessive, or topic-chain meaning from the wrapper name alone.
ClauseRelation	LANE-02	representation	parser_heuristic	21	27	一見到佢，我笑。 | 一見到佢，我就笑。 | 因為打風，所以我冇去。 | 因為落雨，我冇去。 | 因為落雨，所以我冇去。 | 如果你去，我去。	I02	ClauseRelationGraph	internal_architecture	internal_architecture	RETAIN_INTERNAL	ClauseRelationGraph	NO	A_SAFE_STRUCTURAL_CLEANUP	KEEP_INTERNAL_TYPED_RELATION_NODE_REQUIRE_SOURCE_LINKED_SUBTYPE	Keep the container, but require every relation subtype and linker interpretation to inherit an independently mapped language claim and negative boundary.
ClauseRelationMember	LANE-02	representation	parser_heuristic	9	57	一見到佢，我笑。 | 一見到佢，我就笑。 | 再做功課。 | 因為打風，所以我冇去。 | 因為落雨，我冇去。 | 因為落雨，所以我冇去。	I02	ClauseRelationGraph	internal_architecture	internal_architecture	RETAIN_INTERNAL	ClauseRelationGraph	NO	A_SAFE_STRUCTURAL_CLEANUP	KEEP_INTERNAL_RELATION_MEMBER_CONTAINER_NO_INDEPENDENT_LANGUAGE_STATUS	Keep internal and non-learner-facing; inherit all semantic status from the parent relation or context diagnostic.
CognitionContentFrame	LANE-08	language	research_pending	12	4	我知如果佢去，我就去。 | 我知你知。 | 我知佢唔嚟。 | 我唔知佢嚟唔嚟。	L31	CognitionAndStance	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CognitionAndStance	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_LEXICAL_SELECTION_AND_COMPLEMENT_TYPE_NARROWING_REQUIRED	Retain only overt, lexeme-licensed complement profiles; do not use parser slot compatibility as a grammar cross-product; separate lexical ignorance from stance uses.
CognitionDelimitedObjectVP	LANE-08	language	unsupported_generalization	10	0		L31	CognitionAndStance	language_family	quarantined_exact_gap	QUARANTINE_EXACT_GAP	CognitionAndStance	CONDITIONAL_AFTER_REMEDIATION	E_NOT_IMPLEMENTATION_READY	SOURCE_LINKED_COGNITION_DELIMITATIVE_COMPLEMENT_TYPE_SPLIT_AND_EXACT_OBJECT_TEMPLATE_GAP	Split nominal, propositional, polar-clausal, and omitted content; keep 音樂嘅嘢 exact template quarantined pending direct evidence.
CognitionDelimitedVP	LANE-08	language	unsupported_generalization	9	0		L31	CognitionAndStance	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CognitionAndStance	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_COGNITION_DELIMITATIVE_FORM_WITH_LEXEME_SELECTION_AND_ORDINARY_DELIMITATIVE_MERGE_REQUIRED	Merge cognition+吓 into ordinary delimitative composition with lexeme restrictions; retain exact source and complement structure.
CognitionStatementClause	LANE-08	language	unsupported_generalization	13	8	我知。 | 我知你知。 | 我唔知。 | 係啊，我知。	L31	CognitionAndStance	language_family	quarantined_exact_gap	QUARANTINE_EXACT_GAP	CognitionAndStance	CONDITIONAL_AFTER_REMEDIATION	E_NOT_IMPLEMENTATION_READY	GENERAL_BARE_COGNITION_LINKED_EXACT_POSITIVE_PROFILE_GAP	Keep exact positive 我知 profile quarantined pending direct authority; treat all omitted content as context-dependent and do not fabricate a proposition.
Comment	LANE-10	representation	parser_heuristic	7	0		I05	DiscourseRoleStructure	internal_architecture	transparent_wrapper	MERGE_INTERNAL_WRAPPER	TopicComment	NO	A_SAFE_STRUCTURAL_CLEANUP	MERGE_COMMENT_NODE_INTO_TOPICCOMMENT_PREDICATE_ROLE	Remove as an active construction during remediation; preserve comment as a slot/role on the underlying predicate.
ComparativeStative	LANE-10	language	unsupported_generalization	7	0		L43	ScalarComparisonAndEvaluation	language_family	transparent_wrapper	MERGE_TRANSPARENT_COMPOSITION	ScalarComparisonAndEvaluation	NO	A_SAFE_STRUCTURAL_CLEANUP	SOURCE_LINKED_DI1_SCALAR_COMPARATIVE_WITH_POSITIONAL_SPLIT_AND_DORMANT_DUPLICATE_MERGE_OR_RETIRE	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
ComplementEllipsisFragment	LANE-04	language	research_pending	15	5	我都覺得有。 | 我都覺得佢係。 | 我都覺得係。 | 我都覺得係啊。 | 我覺得唔係。	L05	FragmentsAndEllipsis	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	FragmentsAndEllipsis	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_DOMAIN_OMISSION_AND_RESPONSE_PARTICLE_SPLIT_WITH_EMBEDDED_EXACT_FORM_GAPS	Split existential-domain omission, response particles/propositional anaphora, independently evidenced copular omission, null arguments, and selectively licensed VP ellipsis; preserve overt tokens and unresolved antecedent status.
CompletionQuestion	LANE-05	language	research_pending	20	8	你食完飯未？ | 你食咗未？ | 你食咗未呀？ | 你食咗香港未？ | 你食咗飯未？ | 你食飯未？	L11	Completion	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	Completion	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_NARROWING_REQUIRED	Require an overt completion/result/aspect licensing subtype for the language claim; keep perfective, experiential, and result/completion readings distinct; quarantine bare reviewed VO + 未 pending evidence.
CompletionThenClause	LANE-02	language	unsupported_generalization	12	0		L03	TemporalAndSequentialRelations	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	TemporalAndSequentialRelations	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_COMPLETION_SEQUENCE_WITH_ZAU6_AND_CLAUSE_BOUNDARY_REALIGNMENT_REQUIRED	Realign to ordinary completion structure plus a 就-marked sequence relation; preserve local subjects and clause boundaries, and do not infer conditionality.
CompletionVP	LANE-05	language	research_pending	29	7	有冇人做晒啊？ | 你食完飯未？ | 我食完飯，返屋企。 | 我食完飯，然後返屋企。 | 食完咗飯。 | 食完飯。	L11	Completion	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	Completion	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_SPLIT_REQUIRED	Keep the sourced V完 and V完咗O family narrow; split 完 phase/endpoint, 晒 totality, result-state, and outer-perfective layers. Research 晒 separately before disposition.
CompoundDirectionalMotionVP	LANE-09	language	unsupported_generalization	15	0		L33	DirectionalMotion	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DirectionalMotion	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_REPRESENTATION_REALIGNMENT_REQUIRED	Reconcile the inconsistent runtime spans for 返上嚟 and 行返過嚟; preserve ordering and object-placement restrictions.
ConditionResult	LANE-02	language	unsupported_generalization	11	0		L02	ConditionalRelations	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ConditionalRelations	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_CONSEQUENT_ZAU6_WITH_CONDITIONAL_TEMPORAL_SEQUENCE_SPLIT_AND_WRAPPER_REALIGNMENT_REQUIRED	Replace the action+就+stative wrapper with a relation between independently parsed clauses; distinguish conditional consequent 就 from temporal/sequential and other uses.
ConditionalClause	LANE-02	language	unsupported_generalization	14	4	冇嘅話。 | 有嘅話，我哋再同大家講講。 | 有嘅話。 | 得嘅話。	L02	ConditionalRelations	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ConditionalRelations	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_CONDITIONAL_MARKER_SUBTYPE_SPLIT_AND_ANTECEDENT_RESULT_ATTACHMENT_REALIGNMENT_REQUIRED	Split 如果, 嘅話, bare conditional 嘅, markerless/contextual condition relations, and isolated antecedent fragments; preserve marker tone and result attachment without inserting hidden content.
CoordinatedNP	LANE-06	language	unsupported_generalization	15	0		L18	AssociativeAndCoordinatedNP	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	AssociativeAndCoordinatedNP	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_NOMINAL_COORDINATION_MARKER_SPLIT_WITH_COMITATIVE_AMBIGUITY_AND_ROLE_NEUTRALITY_REQUIRED	Split overt 同, 同埋, and juxtaposition profiles; distinguish coordination from comitative/coverb 同 and assign clause role outside the NP.
CoordinatedSubjectModalPredicateClause	LANE-07	representation	parser_heuristic	11	0		I01	ClauseSpan	internal_architecture	transparent_wrapper	MERGE_INTERNAL_WRAPPER	SubjectPredicateClause	NO	A_SAFE_STRUCTURAL_CLEANUP	MERGE_COORDINATED_NP_PLUS_MODAL_CLAUSE_RETIRE_COMBINED_WRAPPER	Decompose into a sourced coordinated NP plus ordinary modal/clause structure; retire the combined label.
CopularANotAQuestion	LANE-07	language	unsupported_generalization	12	0		L23	ANotAQuestions	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ANotAQuestions	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_ANALYSIS_CONTESTED_REPRESENTATION_NARROWING	Preserve overt 係唔係 while distinguishing nominal and clausal complements; record the syntactic analysis as contested and keep tokenization decisions internal.
CopularIdentificationFrame	LANE-10	representation	parser_heuristic	13	2	佢係老師。 | 呢個係問題。	I06	CopularComposition	hybrid_internal_language_sensitive	transparent_wrapper	MERGE_INTERNAL_WRAPPER	CopularComposition	NO	A_SAFE_STRUCTURAL_CLEANUP	MERGE_TO_CANONICAL_COPULAR_CLAUSE_WITH_IDENTIFICATION_SUBTYPE	Consolidate with a canonical copular-clause design; if the identification subtype survives, move its licensing claim to the language layer and source it explicitly.
CopularRelationFrame	LANE-10	representation	parser_heuristic	19	1	我覺得係真嘅。	I06	CopularComposition	hybrid_internal_language_sensitive	transparent_wrapper	MERGE_INTERNAL_WRAPPER	CopularComposition	NO	A_SAFE_STRUCTURAL_CLEANUP	MERGE_TO_CANONICAL_COPULAR_CLAUSE_COMPLEMENT_TYPE_AS_METADATA	Merge into canonical copular composition; preserve complement type and stance embedding as metadata rather than a parallel frame ontology.
CoverbFrame	LANE-01	language	research_pending	25	5	有嘅話，我哋再同大家講講。 | 佢喺屋企食飯。 | 我哋再同大家講講。 | 我喺屋企食飯。 | 我琴日喺屋企食飯。	L01	CoverbAndParticipantRelations	language_family	implementation_umbrella	DECOMPOSE_IMPLEMENTATION_UMBRELLA	CoverbAndParticipantRelations	NO	D_ARCHITECTURE_RECONSTRUCTION	SOURCE_LINKED_MARKER_AND_RELATION_SUBTYPE_SPLIT_WITH_CATEGORY_ATTACHMENT_BOUNDARY_REQUIRED	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
DefinitionComplement	LANE-10	representation	parser_heuristic	8	0		I04	NominalAndMeasureSpan	internal_architecture	internal_architecture	RETAIN_INTERNAL	NominalAndMeasureSpan	NO	A_SAFE_STRUCTURAL_CLEANUP	KEEP_INTERNAL_BOUNDED_DEFINITION_COMPLEMENT_SPAN_ONLY	Keep only as an internal child span; it may not independently license a definition reading or convert arbitrary text into an NP.
DefinitionExplanatoryFrame	LANE-10	representation	parser_heuristic	14	0		I06	CopularComposition	hybrid_internal_language_sensitive	quarantined_exact_gap	QUARANTINE_INTERNAL_MATCHER	CopularComposition	NO	E_NOT_IMPLEMENTATION_READY	NARROW_EXACT_HAI6_COMPLEMENT_LAI4_GAA3_DEFINITION_PROFILE_OR_RECLASSIFY_LANGUAGE	Keep quarantined. In consolidation, either merge it into sourced copular/identity/question components or reclassify the retained exact construction to the language layer before implementation.
DegreeMannerAdverbial	LANE-10	language	research_pending	16	3	行快啲。 | 講大聲啲。 | 講慢啲。	L37	MannerAndReduplication	language_family	implementation_umbrella	DECOMPOSE_IMPLEMENTATION_UMBRELLA	MannerAndReduplication	NO	D_ARCHITECTURE_RECONSTRUCTION	SOURCE_LINKED_SCALAR_PROPERTY_AND_ACTION_MANNER_SPLIT_WITH_HEAD_SELECTION_NARROWING_REQUIRED	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
DegreeMannerModifiedVP	LANE-10	language	unsupported_generalization	8	0		L37	MannerAndReduplication	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	MannerAndReduplication	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	COMPONENTS_SOURCE_LINKED_PREPOSED_MODIFIER_WRAPPER_REALIGNMENT_REQUIRED	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
DegreeModifiedLexicalStative	LANE-10	language	unsupported_generalization	11	0		L42	StativePredication	language_family	lexicalized_profile	RETAIN_LEXICALIZED_PROFILE	StativePredication	LEXICAL_OR_SUBTYPE_ONLY	B_EVIDENCE_BACKED_NARROWING	LEXICAL_UNIT_SUPPORTED_EXACT_COMBINATION_GAP	Keep quarantined or lexically enumerated until exact corpus examples establish degree + lexicalized property combinations such as 好好食 and their context conditions.
DegreeStativePredicate	LANE-10	language	provisional	17	21	今日好凍。 | 出面好熱。 | 仲有幾耐先到？ | 好凍。 | 好熱。 | 佢好攰，但係仲做緊。	L42	StativePredication	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	StativePredication	CONDITIONAL_AFTER_REMEDIATION	D_ARCHITECTURE_RECONSTRUCTION	SOURCE_LINKED_NARROWING_REQUIRED	Retain overt degree tokens; research 太, 有啲, degree stacking, and discourse-sensitive bare predicates separately before productive licensing.
DelimitedVP	LANE-05	language	unsupported_generalization	10	7	呢個問題，我想講吓。 | 對呢個故事，我想食吓。 | 對呢個問題，我想講吓。 | 對於呢個問題，我想講吓。 | 關於呢個故事，我想食吓。 | 關於呢個故事，我想講吓。	L10	DelimitativeAspect	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DelimitativeAspect	CONDITIONAL_AFTER_REMEDIATION	B_EVIDENCE_BACKED_NARROWING	SOURCE_LINKED_DELIMITATIVE_FORM_WITH_ACTIVITY_SELECTION_AND_ANALYSIS_REALIGNMENT_REQUIRED	Preserve frozen behavior; use the R21 source map to split overt form, event class, 返 polysemy, prior-state licensing, and argument composition before any implementation.
DemonstrativeClassifierNP	LANE-06	language	provisional	25	32	呢本。 | 呢本書。 | 呢個故事，我返咗屋企，佢都返咗屋企。 | 呢個故事，我食咗，佢都食咗。 | 呢個故事，我睇咗，佢都睇咗。 | 呢個故事，我睇咗故事，佢都睇咗故事。	L17	DemonstrativeNP	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DemonstrativeNP	CONDITIONAL_AFTER_REMEDIATION	B_EVIDENCE_BACKED_NARROWING	SOURCE_LINKED_SPLIT_REQUIRED	Keep overt-head D-(X)-C-N and headless D-C-Ø distinct; record variation over overt one and prohibit hidden numeral insertion.
DemonstrativeHeadNP	LANE-06	language	unsupported_generalization	8	0		L17	DemonstrativeNP	language_family	merge_or_retire	RETIRE	DemonstrativeNP	NO	A_SAFE_STRUCTURAL_CLEANUP	LANGUAGE_CLAIM_RETIRE_TEMPLATE_MISANALYSIS	Retire the current template/example mismatch; route 呢個蘋果-type forms through demonstrative+classifier+noun analysis.
DemonstrativeQuantifiedClassifierNP	LANE-06	language	unsupported_generalization	6	0		L16	ClassifierAndQuantityNP	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ClassifierAndQuantityNP	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_DORMANT_NARROW_OR_MERGE	Keep dormant and narrow to overt D+Num+CL+N only if a separate node remains useful after design review.
DesiderativeVP	LANE-08	language	research_pending	17	12	我想去。 | 呢個問題，我想講吓。 | 對呢個故事，我想食吓。 | 對呢個問題，我想去。 | 對呢個問題，我想講吓。 | 對呢個問題，我想講呢個故事。	L30	DesirePreferenceAndIntention	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DesirePreferenceAndIntention	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_SPLIT_AND_LEXICAL_SEMANTIC_NARROWING_REQUIRED	Separate 想 and 要 readings, NP versus VP complementation, and desire versus necessity polarity; quarantine the generic degree/cooccurrence fallback.
DiMarkedNP	LANE-06	language	provisional	20	5	但係，其實人哋咪又係貪你啲錢。 | 返咗啲書。 | 攞走啲書。 | 攞啲糖去食。 | 攞啲糖嚟食。	L21	OrdinalNominals	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	OrdinalNominals	CONDITIONAL_AFTER_REMEDIATION	B_EVIDENCE_BACKED_NARROWING	SOURCE_LINKED_NARROWING_AND_RELABEL_REQUIRED	Relabel theory-neutrally as an overt di1-marked nominal expression; preserve plural interpretation while keeping gloss and clause role context-dependent.
DirectedMannerMotionVP	LANE-09	language	research_pending	20	6	佢行入去。 | 佢行出嚟。 | 我向前行。 | 我行去學校。 | 我行落去。 | 我琴日由屋企行去學校。	L33	DirectionalMotion	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DirectionalMotion	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_NARROWING_REQUIRED	Keep postverbal manner-direction profiles separate from preverbal 向 phrases and caused-motion participant mappings.
DirectionalCausedMotionVP	LANE-09	language	unsupported_generalization	6	0		L33	DirectionalMotion	language_family	merge_or_retire	RETIRE	DirectionalMotion caused-motion subtype	NO	A_SAFE_STRUCTURAL_CLEANUP	SOURCE_LINKED_CAUSED_MOTION_DIRECTIONAL_COMPOUND_FAMILY_BUT_DORMANT_LABEL_HAS_NO_RUNTIME_TEMPLATE_MERGE_OR_RETIRE	Merge or retire the dormant label; represent sourced causative directional compounds only through independently typed caused-motion/result and directional relations, preserving the causative-versus-directional boundary.
DirectionalMotionVP	LANE-09	language	provisional	43	78	去七杯度。 | 去咗香港。 | 去咗邊度呀？ | 去咩？ | 去香港 | 因為打風，所以我冇去。	L33	DirectionalMotion	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DirectionalMotion	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_SPLIT_REQUIRED	Use the R4 matrix to split independent path predicates, manner-directional sequences, postverbal directionals, and caused-motion subspans before any implementation design.
DiscourseParticleFrame	LANE-03	representation	parser_heuristic	33	19	你去啩？ | 你走啦。 | 你食飯啩。 | 你食飯喎。 | 佢走喇。 | 佢返咗屋企啩。	I03	ParticleScope	internal_architecture	internal_architecture	RENAME_INTERNAL	ParticleScope	NO	C_STRUCTURAL_REALIGNMENT	RENAME_INTERNAL_PARTICLE_SCOPE_WRAPPER_SUBTYPE_SEMANTICS_INHERIT_SOURCE_MAP	Retain only as an internal particle-scope wrapper; rename away from a standalone construction claim and require each particle/cluster subtype to inherit mapped evidence.
DisposalChangeIntoResultFrame	LANE-05	language	unsupported_generalization	10	0		L15	ResultativeAndChangePredication	language_family	transparent_wrapper	MERGE_TRANSPARENT_COMPOSITION	ordinary disposal/modal/change composition	NO	A_SAFE_STRUCTURAL_CLEANUP	COMPONENTS_SOURCE_LINKED_TRANSPARENT_MODAL_DISPOSAL_CHANGE_COMPOSITION_WRAPPER_MERGE_OR_RETIRE	Merge/retire as modal/disposal/object/change composition; directly source the combined template before preserving a dedicated frame.
DitransitiveSpeechVP	LANE-08	language	unsupported_generalization	10	0		L32	SpeechReportingAndCommunicationEffect	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	SpeechReportingAndCommunicationEffect	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_COMMUNICATION_EFFECT_SERIAL_SEQUENCE_WITH_LEXICAL_PAIRING_AND_DITRANSITIVE_REALIGNMENT_REQUIRED	Retain exact 話+recipient+知 evidence, preserve both verbs, and prohibit category-wide cross-product generation.
