proposition_id	screen_id	candidate_source	year	exact_locator	source_proposition	surface_example_or_data_basis	variety_register_period	support_direction	directness	independence_scope	limitations	verification_state	extractor_and_date
PROP-CP021B-0011	SCREEN-CP021B-002	Tang	1998	chapter pp. 35-52	The inverted order is reported to depend on a Goal-like indirect object and on lexical/thematic properties of the dative verb.	Order and Goal-role contrasts summarized in the chapter	1990s Cantonese; author/informant judgments	restricts_scope	direct argument	one theoretical account	Exact example page remains an access boundary; speaker variation is acknowledged.	VERIFIED_PDF_SCOPE_ACCESS_BOUNDARY	Codex 2026-07-17
PROP-CP021B-0012	SCREEN-CP021B-002	Tang	1998	chapter pp. 35-52	Prosodic weight, discourse completeness, and speaker variation are presented as relevant to the acceptability of the overt-marker and inverted forms.	Heavy-object and completeness judgments	1990s Cantonese; author/informant judgments	restricts_scope	direct discussion	one theoretical account	Not a quantified production result; exact page-level extraction remains open.	VERIFIED_PDF_SCOPE_ACCESS_BOUNDARY	Codex 2026-07-17
PROP-CP021B-0013	SCREEN-CP021B-002	Tang	1998	chapter pp. 35-52	The chapter advances a null/overt preposition analysis for the relation between inverted and marker-bearing orders.	V-DO-(P)-IO analysis	1990s Cantonese; formal analysis	competing_analysis	direct theory	one theoretical account	Theory is disputed by later constructional accounts.	VERIFIED_PDF_SCOPE_ACCESS_BOUNDARY	Codex 2026-07-17
PROP-CP021B-0014	SCREEN-CP021B-003	Xu and Peyraube	1997	pp. 105-107	The authors describe V-direct-object-indirect-object as predominant and V-indirect-object-direct-object as an alternative under emphasis or lexical idiosyncrasy.	Order contrast including sung3 examples	1990s Cantonese; judgments and historical argument	supports_observed_pattern	direct prose and examples	independent team citing Tang	Predominance is not backed by a contemporary corpus sample in this paper.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0015	SCREEN-CP021B-003	Xu and Peyraube	1997	pp. 105-107	A V-theme-bei2-recipient oblique form is attested, while preposing bei2-recipient before the main verb is rejected in the cited example.	V DO bei IO versus bei IO V DO	1990s Cantonese; author judgments	restricts_scope	direct examples	independent team citing Tang	Single-paper judgments; not a population rate.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0016	SCREEN-CP021B-003	Xu and Peyraube	1997	pp. 109-110	Verb classes differ: some allow only V-recipient-theme, some only V-theme-recipient, and some both.	Lexically conditioned order inventory	1990s Cantonese; author judgments	restricts_scope	direct classification	independent team citing Tang	Inventory is not shown to be exhaustive.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0017	SCREEN-CP021B-003	Xu and Peyraube	1997	pp. 109-110	A Source-role indirect object blocks V-theme-recipient in the authors' analysis.	Ambiguous ze3 borrow/lend: V-recipient-theme permits source/goal; V-theme-recipient only Goal/lend-to	1990s Cantonese; author judgments	restricts_scope	direct contrast	independent team citing Tang	Role labels and judgments remain source-attributed.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0018	SCREEN-CP021B-003	Xu and Peyraube	1997	p. 110	A light indirect object can follow the direct object, but a heavy indirect object is difficult there without an overt preposition.	Object-weight contrast	1990s Cantonese; author judgments	restricts_scope	direct judgment	independent team citing Tang	No production frequencies; weight is not a binary parser rule.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0019	SCREEN-CP021B-003	Xu and Peyraube	1997	pp. 110-111	The authors say overt bei2 marks a Goal rather than a Source and that marker deletion becomes difficult when either object is long.	V DO bei IO and length contrasts	1990s Cantonese; author judgments	restricts_scope	direct prose	independent team citing Tang	The claimed category and deletion process are contested.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0020	SCREEN-CP021B-003	Xu and Peyraube	1997	pp. 110-113	The paper favors treating bei2 as a preposition in this construction rather than a full verb.	Object omission, topicalization, and reduplication diagnostics	1990s Cantonese; formal analysis	competing_analysis	direct argument	independent team citing Tang	Authors note that further study is needed.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0021	SCREEN-CP021B-003	Xu and Peyraube	1997	pp. 118-122	Diachronic evidence is used to argue that V-theme-recipient patterns with V-theme-preposition-recipient rather than deriving from V-recipient-theme.	Ancient-stage order comparisons and oracle-bone counts	Historical Chinese boundary evidence	historical_or_variety_boundary	direct historical analysis	independent team citing Tang	Historical evidence does not establish present-day conversational distribution.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0022	SCREEN-CP021B-004	Cheung	2007	slide 4	The presentation calls V-theme-recipient the canonical double-object order and says the licensing verb set is very limited.	Canonical template on slide	Modern Cantonese; presentation judgments	supports_observed_pattern	direct slide prose	independent experiment	Presentation wording is not a lexical census.	VERIFIED_SLIDES	Codex 2026-07-17
PROP-CP021B-0023	SCREEN-CP021B-004	Cheung	2007	slide 11	Heavy themes are shown with multiple alternatives: canonical order, V-theme-bei2-recipient, zoeng construction, right dislocation, topicalization, and extraposition.	Six listed heavy-theme strategies	Modern Cantonese; elicited/processing context	restricts_scope	direct slide inventory	independent experiment	Inventory is task-oriented, not natural-conversation prevalence.	VERIFIED_SLIDES	Codex 2026-07-17
PROP-CP021B-0024	SCREEN-CP021B-004	Cheung	2007	slide 12	Prior elicited production counts favor the canonical order but show increased alternatives with more complex themes.	Canonical 238/206/169; V T bei R 13/34/51; zoeng 0/1/15; other 1/11/17 across three theme conditions	Elicited modern Cantonese	supports_observed_pattern	direct numeric slide	independent experiment	Slide labels the values as frequency percent although they behave as counts; preserve as reported counts with this warning.	VERIFIED_SLIDES	Codex 2026-07-17
PROP-CP021B-0025	SCREEN-CP021B-004	Cheung	2007	slide 18	The processing experiment used 18 L1 Cantonese participants, 12 item sets, and six construction-by-theme conditions.	DOC versus BA by three theme complexities	Experimental modern Cantonese	restricts_scope	direct methods slide	independent experiment	Small elicited experiment.	VERIFIED_SLIDES	Codex 2026-07-17
PROP-CP021B-0026	SCREEN-CP021B-004	Cheung	2007	slides 33-36	Accuracy declined with theme complexity, especially for the double-object condition; both construction and complexity effects were reported significant.	DOC accuracy 80.56/72.22/54.17%; BA 95.83/94.44/86.11%	Experimental modern Cantonese	supports_observed_pattern	direct numeric slides	independent experiment	Processing performance is not grammatical acceptability or conversational frequency.	VERIFIED_SLIDES	Codex 2026-07-17
PROP-CP021B-0027	SCREEN-CP021B-004	Cheung	2007	slide 34	Imitation errors included construction switches, double-bei2 forms, topicalization, repair/restart, and missing arguments.	Error-category list	Experimental modern Cantonese	attests_only	direct slide inventory	independent experiment	Error tokens do not independently license a productive construction.	VERIFIED_SLIDES	Codex 2026-07-17
PROP-CP021B-0028	SCREEN-CP021B-004	Cheung	2007	slides 37-38	The author interprets alternatives as potential processing aids for heavy themes and notes that the category of zoeng remains unresolved.	Discussion slides	Experimental modern Cantonese	competing_analysis	direct interpretation	independent experiment	Interpretive discussion, not direct distribution evidence.	VERIFIED_SLIDES	Codex 2026-07-17
PROP-CP021B-0029	SCREEN-CP021B-005	Zhang Min	2010	official one-page seminar abstract	The abstract proposes a historical/dialectal origin for the inverted Cantonese double-object pattern.	Abstract-level claim	Historical/dialectal boundary	competing_analysis	abstract only	independent author	No full evidence, methods, or examples were recovered; cannot carry a distribution claim.	VERIFIED_OFFICIAL_ABSTRACT	Codex 2026-07-17
PROP-CP021B-0030	SCREEN-CP021B-007	Wong	2023/2024	pp. 95-97	The study classifies 807 bei/俾 occurrences from two 1990s Hong Kong spoken corpora.	HKCanCor about 230k words plus HKCAC about 100k words; orthographic variants combined	1990s Hong Kong spoken corpora	supports_observed_pattern	direct methods and total	one analyst; overlaps SCREEN-CP021B-008	Counts depend on the author's coding; corpora are not contemporary.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0031	SCREEN-CP021B-007	Wong	2023/2024	pp. 98-99; Table 4	Four transfer/dative patterns account for 110, 2, 21, and 61 tokens respectively.	V NP2 bei NP3 110; V-bei NP3 NP2 2; bei NP3 NP2 21; bei NP2 NP3 61	1990s Hong Kong spoken corpora	supports_observed_pattern	direct corpus counts	one analyst; overlaps SCREEN-CP021B-008	Percentages are shares of all 807 bei tokens, not conditional rates among dative tokens.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0032	SCREEN-CP021B-007	Wong	2023/2024	pp. 98-99	In these corpora, bei-theme-recipient is more frequent than bei-recipient-theme.	61 versus 21 tokens	1990s Hong Kong spoken corpora	supports_observed_pattern	direct corpus comparison	one analyst; overlaps SCREEN-CP021B-008	Coding-specific and corpus-period-specific; not a universal preference.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0033	SCREEN-CP021B-007	Wong	2023/2024	pp. 98-99	The heavy-direct-object subset is too small for a robust ordering conclusion.	Eight long-object tokens: 3 recipient-theme versus 5 theme-recipient	1990s Hong Kong spoken corpora	restricts_scope	direct corpus count	one analyst; overlaps SCREEN-CP021B-008	Explicitly sparse and inconclusive.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0034	SCREEN-CP021B-007	Wong	2023/2024	pp. 100-101; Table 6	The corpus taxonomy includes omitted-recipient, omitted-theme, both-objects-omitted, fronted-theme, and zoeng variants.	Counts 58, 89, 26, 19, and 6 respectively	1990s Hong Kong spoken corpora	attests_only	direct corpus counts	one analyst; overlaps SCREEN-CP021B-008	Functional recoverability and coding criteria are source-specific.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0035	SCREEN-CP021B-007	Wong	2023/2024	p. 101	Eight tokens classified as conditional bei(+zoek) NP are a non-transfer homograph/function boundary.	Pattern 10, 8 tokens	1990s Hong Kong spoken corpora	nonresponsive	direct corpus classification	one analyst; overlaps SCREEN-CP021B-008	Must be excluded from recipient-role induction.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0036	SCREEN-CP021B-007	Wong	2023/2024	pp. 101-102	The most frequent class in this all-bei taxonomy is a serial/benefactive-like NP1 V NP2 bei NP3 V pattern.	Pattern 11, 203 of 807 tokens	1990s Hong Kong spoken corpora	supports_observed_pattern	direct corpus count	one analyst; overlaps SCREEN-CP021B-008	Broad all-function denominator; final verb may be indispensable because the first verb is not dative.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0037	SCREEN-CP021B-007	Wong	2023/2024	pp. 102-103	Causative and passive classes share the surface frame bei NP VP and are distinguished contextually.	Causative 69 tokens; passive 130 tokens	1990s Hong Kong spoken corpora	restricts_scope	direct corpus counts	one analyst; overlaps SCREEN-CP021B-008	Same spelling and frame do not imply a recipient relation.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0038	SCREEN-CP021B-007	Wong	2023/2024	pp. 103-104	The later paper retracts the earlier no-agent passive bei VP pattern because an Excel encoding blank had hidden an intervening noun.	Reinspection of HKCAC record	1990s corpus correction	restricts_scope	direct correction	same evidence family as SCREEN-CP021B-008	This correction overrides the earlier taxonomy for that pattern.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0039	SCREEN-CP021B-007	Wong	2023/2024	pp. 104-105	The paper reports 13 classes and flags multiple sparse classes as requiring further evidence.	All 13 reported counts sum to 807	1990s Hong Kong spoken corpora	restricts_scope	direct conclusion plus arithmetic check	one analyst; overlaps SCREEN-CP021B-008	Taxonomy is an analyst classification, not a parser-ready ontology.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0040	SCREEN-CP021B-008	Wong	2009	article pp. 60-80	The earlier article supplies a corpus-driven structural taxonomy of Cantonese bei constructions in contrast with Mandarin gei.	Three-corpus contrastive analysis	1990s corpus family	supports_observed_pattern	direct article scope	same author/evidence family as SCREEN-CP021B-007	Do not double-count as independent evidence; later classifications control where inconsistent.	VERIFIED_FULL_TEXT_WITH_LATER_CORRECTION	Codex 2026-07-17
PROP-CP021B-0041	SCREEN-CP021B-008	Wong	2009	earlier no-agent passive class; corrected by Wong 2023/2024 pp. 103-104	The earlier claimed bei VP no-agent passive pattern is not supported after correction of an encoding artifact.	Hidden noun recovered in the source cell	1990s corpus correction	restricts_scope	direct later correction	same evidence family as SCREEN-CP021B-007	Retained only as a provenance/correction record, not as positive evidence.	RETRACTED_BY_LATER_SOURCE	Codex 2026-07-17
PROP-CP021B-0042	SCREEN-CP021B-009	Ngai	2023	pp. 11-15	The production study retained 30 participants aged 21-26 and used picture description with bei, zoeng, and sung written primes.	31 recruited; one excluded; 16 target drawings and 48 prime versions	Recent Hong Kong Cantonese; elicited online production	restricts_scope	direct methods	independent small study	Three participants were fully proficient rather than self-described native; online task is not conversation.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0043	SCREEN-CP021B-009	Ngai	2023	p. 15; Table 2	Among 219 selected canonical or double-bei responses, canonical counts were 72/73/8/2/1/0 and double-bei counts 12/34/3/5/3/1 across distance bins 2-7.	Table 2 token counts	Recent Hong Kong Cantonese; elicited production	attests_only	direct numeric table	independent small study	Other constructions were excluded; long-distance cells are very sparse.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0044	SCREEN-CP021B-009	Ngai	2023	p. 16	Theme-recipient distance did not significantly predict double-bei production in the reported model.	beta .2623; SE .3051; z .598; p .389929	Recent Hong Kong Cantonese; elicited production	restricts_scope	direct model result	independent small study	Null result does not prove no effect.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0045	SCREEN-CP021B-009	Ngai	2023	pp. 16-18	A descriptive increase in double-bei with distance was not statistically established, and evidence above four syllables came from only 23 tokens from nine participants.	Sparse long-distance subset	Recent Hong Kong Cantonese; elicited production	restricts_scope	direct discussion	independent small study	Authors characterize the evidence as initial/inconclusive.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0046	SCREEN-CP021B-009	Ngai	2023	pp. 16-18	The unrestricted response task elicited many constructions that were excluded from the canonical-versus-double-bei analysis.	Postselection of 219 responses	Recent Hong Kong Cantonese; elicited production	restricts_scope	direct methods/discussion	independent small study	Selected-response denominator cannot estimate overall construction prevalence.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0047	SCREEN-CP021B-010	Lam	2008	pp. 136-137	The dissertation contrasts unmarked double-object V NP NP with V-theme-bei-recipient and claims verbs are lexically associated with one rather than freely alternating.	DOC and SVC templates plus verb inventories	Modern Cantonese; dissertation judgments	restricts_scope	direct prose and examples	same family as SCREEN-CP021B-011; partial author overlap SCREEN-CP021B-012	Lexical lists and nonalternation are author analysis, not corpus closure.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0048	SCREEN-CP021B-010	Lam	2008	pp. 138-139	For lexical bei2 GIVE the stated order is theme-recipient, while verbs such as teach and owe are described with recipient-theme.	Verb-specific order contrasts	Modern Cantonese; dissertation judgments	supports_observed_pattern	direct examples	same family as SCREEN-CP021B-011	Not an independent population sample.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0049	SCREEN-CP021B-010	Lam	2008	pp. 140-143	The dissertation reports that nominal status and animacy do not generally reverse lexical order; theme pronominalization with bei2 is difficult because of a competing human interpretation, and two pronouns are rejected.	Pronoun/animacy judgments	Modern Cantonese; dissertation judgments	restricts_scope	direct examples	same family as SCREEN-CP021B-011	Judgment-based and theory-linked.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0050	SCREEN-CP021B-010	Lam	2008	pp. 147-149	With a heavy theme, bei2 allows canonical theme-recipient, shifted recipient-theme, or a double-bei form in the author's judgments.	Three heavy-theme alternatives	Modern Cantonese; dissertation judgments	supports_observed_pattern	direct examples	same family as SCREEN-CP021B-011	Speaker choice is acknowledged; no rate is supplied.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0051	SCREEN-CP021B-010	Lam	2008	pp. 147-149	The double-bei form is judged unavailable with a short theme.	Short-versus-heavy contrast	Modern Cantonese; dissertation judgments	restricts_scope	direct judgment	same family as SCREEN-CP021B-011	Conflicts with graded or marked judgments elsewhere; do not make categorical without reconciliation.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0052	SCREEN-CP021B-010	Lam	2008	pp. 150-154	A heavy recipient remains phrase-final for bei2, optionally with a second bei2, while heavy-theme order is more flexible.	Heavy recipient/theme contrasts	Modern Cantonese; dissertation judgments	restricts_scope	direct examples	same family as SCREEN-CP021B-011	Judgment inventory, not production frequency.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0053	SCREEN-CP021B-010	Lam	2008	pp. 152-154	When both objects are heavy, the author reports theme-recipient, recipient-theme, and double-bei options for lexical bei2, while other double-object verbs remain recipient-theme.	Both-heavy examples	Modern Cantonese; dissertation judgments	restricts_scope	direct examples	same family as SCREEN-CP021B-011	Potential speaker variation and formal-theory context.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0054	SCREEN-CP021B-011	Lam	2014	publisher abstract and metadata; dissertation family locators SCREEN-CP021B-010	The peer-reviewed article covers the anomalous syntax of GIVE within the same research program as the dissertation.	Publication endpoint and abstract	Modern Cantonese; formal analysis	competing_analysis	abstract/metadata only	same evidence family as SCREEN-CP021B-010	No independent proposition is counted beyond the accessible dissertation evidence.	VERIFIED_METADATA_SAME_FAMILY	Codex 2026-07-17
PROP-CP021B-0055	SCREEN-CP021B-012	Bodomo, Lam, and Yu	2003	pp. 59-60	The paper distinguishes a single-predicate double-object construction with contiguous objects from a two-predicate serial-verb construction.	DOC versus SVC examples	Modern Cantonese; author judgments/formal analysis	supports_observed_pattern	direct examples	team with Lam overlap	Structural diagnosis is theory-bound.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0056	SCREEN-CP021B-012	Bodomo, Lam, and Yu	2003	pp. 59-60	Some speakers judge both constructions to express transfer/benefactive meanings, with the serial form potentially suggesting effort, insistence, or a non-ultimate source.	Speaker judgments reported in prose	Modern Cantonese; author judgments	restricts_scope	direct reported judgments	team with Lam overlap	Nuance is explicitly speaker-variable and unquantified.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0057	SCREEN-CP021B-012	Bodomo, Lam, and Yu	2003	pp. 61-63	The bei2 double-object example is theme-before-beneficiary; recipient-theme order is shown for other lexical verbs such as lend and teach.	bei2 DOC versus ze3/gaau3 examples	Modern Cantonese; author judgments	supports_observed_pattern	direct examples	team with Lam overlap	Small lexical inventory.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0058	SCREEN-CP021B-012	Bodomo, Lam, and Yu	2003	pp. 61-63	The authors claim the theme in the bei2 double-object form resists pronominalization while the beneficiary may be pronominal, and both non-agent arguments cannot both be pronouns.	Pronoun contrasts	Modern Cantonese; author judgments	restricts_scope	direct examples	team with Lam overlap	Judgments are analysis-specific and should not become hard constraints without replication.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0059	SCREEN-CP021B-012	Bodomo, Lam, and Yu	2003	pp. 63-67	The typical serial pattern is V-theme-bei2-recipient, and the paper analyzes the verbs as a complex predicate using subject, polarity, and connector diagnostics.	lo2/buy + theme + bei2 + recipient; negation diagnostics	Modern Cantonese; formal LFG analysis	competing_analysis	direct examples and argument	team with Lam overlap	Formal analysis competes with prepositional accounts.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0060	SCREEN-CP021B-012	Bodomo, Lam, and Yu	2003	pp. 68-69	With ambiguous ze3 borrow/lend, the serial V-theme-bei2-recipient form is reported to force a lend-to reading.	DOC ambiguity versus SVC disambiguation	Modern Cantonese; author judgments	restricts_scope	direct examples	team with Lam overlap	Single analysis/judgment family.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0061	SCREEN-CP021B-013	Chin	2011	p. 3	The transfer/double-object use is illustrated as NP1 bei2 NP2 NP3 with theme before recipient.	Lexical bei2 GIVE example	Modern Hong Kong Cantonese; grammaticalization study	supports_observed_pattern	direct example	independent account	Example is not a frequency statement.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0062	SCREEN-CP021B-013	Chin	2011	p. 4 note 5	Recipient-before-theme is reported for some Hong Kong speakers when the theme is exceptionally long, with increasing use attributed in cited earlier work to Mandarin contact.	Heavy-theme order note	Modern Hong Kong Cantonese; reported judgment/sociolinguistic citation	restricts_scope	secondary-within-primary note	independent account but cites Chin 2009	Contact explanation is not independently extracted here.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0063	SCREEN-CP021B-013	Chin	2011	pp. 5-8	The paper distinguishes transfer V[+GIVE]-theme-bei2-recipient from beneficiary V[-GIVE]-theme-bei2-beneficiary using verb valency and optionality.	Transfer hand-book-to; beneficiary knit-sweater-for-you examples	Modern Hong Kong Cantonese; grammaticalization study	restricts_scope	direct examples and analysis	independent account	Valency/category labels are analytical; surface order alone is insufficient.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0064	SCREEN-CP021B-013	Chin	2011	pp. 5-7	The recipient phrase is presented as required for a complete transfer example, yet marker omission is also reported especially when the main verb is bei2 and the theme is short.	Completeness and omission discussion	Modern Hong Kong Cantonese; judgments	restricts_scope	direct prose and examples	independent account	Internal tension means no categorical obligatoriness rule is warranted.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0065	SCREEN-CP021B-013	Chin	2011	pp. 9-14	Causative/permissive and passive uses share NP1 bei2 NP2 VP; context can make a sentence causative, passive, or ambiguous.	Let/allow; be-scolded; dog-eat-rice examples	Modern Hong Kong Cantonese; grammaticalization study	restricts_scope	direct examples	independent account	These are non-recipient boundaries despite the shared spelling/frame.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0066	SCREEN-CP021B-013	Chin	2011	pp. 9-10	The permissive/causative bei2 can take aspect in the cited example, supporting the author's verbal analysis.	bei2-zo2 'let-PFV' example	Modern Hong Kong Cantonese; author judgment	competing_analysis	direct diagnostic	independent account	Category inference is theory-specific.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0067	SCREEN-CP021B-013	Chin	2011	pp. 11-14	In the passive analysis, NP2 is agent and NP1 patient; adverse meaning is not obligatory.	Passive examples including a nonadverse 'praised by boss' judgment	Modern Hong Kong Cantonese; author judgment	restricts_scope	direct examples	independent account	Non-target boundary only.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0068	SCREEN-CP021B-013	Chin	2011	pp. 14-16	An instrument use with inanimate post-bei2 NP is reported from one older Hong Kong speaker, described as nonproductive among young speakers except a fixed expression.	bag-wrap-chicken; water-wash-chicken; bei2 sam gei fixed expression	Modern/historical Hong Kong and Taishan boundary	historical_or_variety_boundary	direct examples and report	independent account	Single-speaker evidence and variety/age boundary; not a productive modern-HK rule.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0069	SCREEN-CP021B-013	Chin	2011	pp. 18-19	The author proposes grammaticalization paths from GIVE to beneficiary/IO marker and from GIVE through causative to instrument/passive.	Two proposed paths	Diachronic/theoretical	competing_analysis	direct theory	independent account	Historical theory is not parser ontology.	VERIFIED_FULL_TEXT	Codex 2026-07-17
PROP-CP021B-0070	SCREEN-CP021B-014	Wing Shan Angel Chan	2010	official SAGE abstract	The study is corpus-based and examines the input to Cantonese-English bilingual children for the [bei2-theme-recipient] target.	Official abstract	Child-directed bilingual Cantonese input	attests_only	official abstract	child/input evidence family	No full adult coding table was available; not unrestricted adult conversation.	VERIFIED_OFFICIAL_ABSTRACT	Codex 2026-07-17
