construction	status	claim_layer	runtime_code_references	accepted_fixtures	source_count	verified_source_count	baseline_standard_test_coverage	structured_material_observation	probe_case_id	current_disposition	retirement_eligible	next_action
DefinitionComplement	parser_heuristic	internal	2	0	0	0	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
DefinitionExplanatoryFrame	parser_heuristic	internal	7	0	0	0	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
DegreeMannerModifiedVP	unsupported_generalization	language	2	0	2	2	no_direct_cases	observed	REACH-003	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
DegreeModifiedLexicalStative	unsupported_generalization	language	5	0	1	1	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
DemonstrativeClassifierNP	parser_heuristic	internal	14	30	0	0	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
DemonstrativeHeadNP	unsupported_generalization	language	2	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
DisposalChangeIntoResultFrame	unsupported_generalization	language	4	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
DitransitiveSpeechVP	unsupported_generalization	language	3	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
EvaluationWithDouSyun	unsupported_generalization	language	2	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
ExperientialMotionGoalVP	unsupported_generalization	language	3	0	1	1	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
ExperientialQuestion	unsupported_generalization	language	3	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
IdentificationFragment	lexicalized_only	language	3	0	3	3	no_direct_cases	observed	REACH-004	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
IdentityWhQuestion	unsupported_generalization	language	6	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
IntendedFunctionRelation	research_pending	language	8	0	2	2	no_direct_cases	observed	REACH-005	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
IntentionFrame	unsupported_generalization	language	3	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
LocativeFragment	unsupported_generalization	language	2	0	3	3	no_direct_cases	observed	REACH-006	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
LocativePostureVP	unsupported_generalization	language	4	0	3	3	no_direct_cases	observed	REACH-007	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
MannerAdverbialVP	unsupported_generalization	language	4	0	2	2	no_direct_cases	observed	REACH-008	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
ModalChangeIntoResultFrame	unsupported_generalization	language	4	0	1	1	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
MotionDelimitedVP	unsupported_generalization	language	3	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
NamingClause	unsupported_generalization	language	5	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
NegatedLexicalizedStative	unsupported_generalization	language	10	0	3	3	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
NegatedStativePredicate	unsupported_generalization	language	8	0	2	2	no_direct_cases	observed	REACH-009	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
NegativeExperiential	unsupported_generalization	language	2	0	4	4	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
OpinionQuestion	unsupported_generalization	language	2	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
OrdinalClassifierNP	unsupported_generalization	language	12	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
PassivePermissiveRelation	research_pending	language	4	0	6	6	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
PerfectiveObjectResultPredicate	unsupported_generalization	language	4	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
PerfectiveResultPredicate	unsupported_generalization	language	3	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
PoliteImperativeClause	unsupported_generalization	language	5	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
PossessiveClassifierNP	unsupported_generalization	language	4	0	3	3	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
PossessiveTransferClause	unsupported_generalization	language	5	0	3	3	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
PostThemeParticipantRelation	research_pending	language	5	0	5	5	no_direct_cases	observed	REACH-010	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
PostposedExistentialQuestion	unsupported_generalization	language	4	0	1	1	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
PreferenceVP	unsupported_generalization	language	4	0	2	2	no_direct_cases	observed	REACH-011	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
PriorityMarkerClause	unsupported_generalization	language	6	0	3	3	no_direct_cases	observed	REACH-012	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
ProgressivePlaceQuestion	unsupported_generalization	language	3	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
ProgressivePurposeClause	unsupported_generalization	language	5	0	3	3	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
ProgressiveTransitivePredicate	unsupported_generalization	language	5	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
PurposePredicate	unsupported_generalization	language	5	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
ResultStateClause	unsupported_generalization	language	3	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
ScalarEvaluation	unsupported_generalization	language	9	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
ScalarRangeFragment	unsupported_generalization	language	6	0	0	0	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
ScalarValueQuestion	unsupported_generalization	language	11	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
SchedulingQuestion	unsupported_generalization	language	4	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
SeemingPerfectiveResultClause	unsupported_generalization	language	4	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
SpeechTransferClause	unsupported_generalization	language	2	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
SuggestionQuestion	unsupported_generalization	language	3	0	1	1	no_direct_cases	observed	REACH-013	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
TemporalAdverbialClause	unsupported_generalization	language	1	0	1	1	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
TimeToActionFrame	unsupported_generalization	language	5	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
Topic	parser_heuristic	internal	21	0	0	0	no_direct_cases	observed	REACH-014	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
TransformationResultFrame	unsupported_generalization	language	4	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
TransformationResultPredicate	unsupported_generalization	language	4	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
VPComplementFrame	parser_heuristic	internal	13	0	0	0	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
VocativeAddressTerm	lexicalized_only	language	7	0	3	3	no_direct_cases	observed	REACH-015	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
