surface	runtime_observation	collision_or_gap	evidence_boundary	disposition
佢一句話引到成屋人都笑起嚟。	Root PASS through ReportedSpeech; only internal marker analysis is DirectionalMotionVP 嚟.	Generic wrapper masks missing short-form inchoative and causal relation.	CantoDict directly attests 笑起嚟 as starting to laugh.	ROOT_PASS_SHORT_INCHOATIVE_MISSING
佢喊起嚟喇。	Partial; only DirectionalMotionVP 嚟; 喊 and 起 unwrapped.	Short inchoative form is falsely reduced to deictic motion.	Yiu 2008 and 2016 support 起嚟 as inchoative family; exact probe is generated.	SHORT_INCHOATIVE_MISSING
佢打起上嚟網球。	Partial; only DirectionalMotionVP 上嚟; object outside.	Runtime has no object-order guard or inchoative analysis.	Does not match source-stated V起O上嚟 pattern; no categorical native judgment claimed.	SOURCE_INCOMPATIBLE_OBJECT_AFTER_MARKER_CONTROL
佢打網球起上嚟。	Partial; only DirectionalMotionVP 上嚟; whole VO precedes marker.	Runtime cannot distinguish supported split order from unresolved unsplit order.	Does not match primary/reference split pattern; acceptability remains panel-dependent.	UNSPLIT_POSTOBJECT_CONTROL
佢發脾氣起上嚟。	Partial; ProductiveVO 發脾氣 plus DirectionalMotionVP 上嚟; 起 unwrapped.	Contiguous VO analysis competes with source-supported split 發起脾氣上嚟.	Reference and dictionary sources support split VO order; exact control lacks controlled judgment.	CONTIGUOUS_VO_ORDER_CONTROL
佢企起上嚟。	Partial; only DirectionalMotionVP 上嚟; physical host and 起 disconnected.	Potential literal rise profile is underrepresented and could collide with onset.	Literal upward/deictic motion is independently documented; exact reading depends on context.	LITERAL_OR_AMBIGUOUS_RISE_RETAIN
佢拎起本書上嚟。	Partial; ModifiedNP 本書 plus DirectionalMotionVP 上嚟; caused-motion structure absent.	Surface split resembles aspectual object pattern but object is moved theme.	Yiu directly documents caused-motion V起O嚟 profiles.	CAUSED_UPWARD_MOTION_RETAIN_AND_REPAIR
佢行上嚟。	Root PASS with SubjectPredicateClause and DirectedMannerMotionVP 行上嚟.	Current genuine literal motion success could be damaged by a broad onset rule.	Motion verb plus upward/toward-speaker path supports literal direction.	PROTECT_LITERAL_DIRECTED_MOTION
佢將支竹戙起上嚟。	Partial; only DirectionalMotionVP 上嚟; disposal/caused-motion relation absent.	Literal lifting/erecting is incomplete and surface-near to inchoative.	Lexical resource explains 起上嚟 as upward in such caused-motion profiles.	LITERAL_CAUSED_MOTION_RETAIN_AND_REPAIR
佢坐起身。	No top construction.	Related 起身 form has no current representation but is not licensed by this unit as an inchoative synonym.	起身 has strong lexical get-up/rise meanings and requires separate evidence.	RELATED_FORM_QUARANTINE
呢件事睇起嚟好困難。	Partial; DemonstrativeClassifierNP 呢件事, DirectionalMotionVP 嚟, and DegreeStativePredicate 好困難 remain separate.	Appearance/evaluative dependency is absent; final 嚟 is falsely directional.	Lexical resources distinguish “looks/seems” use from ordinary onset.	EVALUATIVE_HEILAI_QUARANTINE
件事講起嚟真係一匹布咁長。	Partial; ModifiedNP 件事 plus DirectionalMotionVP 嚟; evaluation unwrapped.	“When discussed” profile is not ordinary physical direction or simple episodic onset.	CantoDict attests 講起嚟 with a when-start-talking reading.	DISCOURSE_EVALUATIVE_BOUNDARY
講起嚟，我都識何先生。	Root PASS through ClauseLinkingSequence; child DirectionalMotionVP 嚟 remains false.	Discourse-topic trigger is masked by generic clause linking.	CantoDict directly attests this speaking-of profile.	ROOT_PASS_DISCOURSE_SUBTYPE_MISSING
佢開始打網球。	No top construction.	Lexical beginning control is separately missing and must not be conflated with directional-origin inchoative.	Lexical 開始 and V起O上嚟 have different surface syntax and unresolved semantic differences.	LEXICAL_BEGIN_CONTROL
DirectionalMotionVP / DirectedMannerMotionVP	Current motion-family analyses.	DirectionalMotionVP overreaches inside onset/evaluative/discourse uses, while DirectedMannerMotionVP correctly covers 行上嚟.	Primary sources distinguish literal direction from aspectual onset.	RETAIN_FOR_MOTION_WITH_NONMOTION_GUARDS
ProductiveVO	Recognizes contiguous 發脾氣 but not split 發起脾氣上嚟.	A contiguous-only lexical span cannot host the documented discontinuous marker.	Reference grammar directly documents split VO compounds.	PRESERVE_LEXICAL_RELATION_ACROSS_DISCONTINUITY
ReportedSpeech / ClauseLinkingSequence	Higher wrappers produce root PASS in some probes.	Root coverage does not prove the internal 起嚟 subtype is represented.	Higher clause and discourse relations may be valid parents but not substitutes.	PRESERVE_AS_PARENT_ONLY
Change-state / result families	Current neighboring ontology for transitions and results.	Onset is related to change but not identical to a lexical result state or completion.	Sources classify 起(上)嚟 as inchoative aspect while preserving directional source uses.	DO_NOT_MERGE_WITHOUT_EXACT_EVIDENCE
