canonical_family_id	canonical_family	family_type	member_label_count	runtime_code_reference_count	accepted_tree_occurrence_count	member_labels	action_profile	default_readiness_bucket	canonical_scope	acceptance_boundary
L08	ProgressiveAspect	language_family	2	23	6	ProgressiveTransitivePredicate;ProgressiveVP	"{""MERGE_TRANSPARENT_COMPOSITION"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1}"	B_EVIDENCE_BACKED_NARROWING	Progressive activity marking with lexical selection and transparent object composition.	Target family only; no member is promoted to supported_productive by R35.
L09	DurativeContinuativeAspect	language_family	1	11	1	DurativeVP	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1}"	C_STRUCTURAL_REALIGNMENT	Durative/continuative 住 profiles separated from posture, residence, and lexicalized meanings.	Target family only; no member is promoted to supported_productive by R35.
L10	DelimitativeAspect	language_family	1	10	7	DelimitedVP	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1}"	B_EVIDENCE_BACKED_NARROWING	Delimited-event marking and reduplicative/delimitative boundaries.	Target family only; no member is promoted to supported_productive by R35.
L11	Completion	language_family	2	49	15	CompletionQuestion;CompletionVP	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 2}"	C_STRUCTURAL_REALIGNMENT	Completion complements and completion-question profiles.	Target family only; no member is promoted to supported_productive by R35.
L12	ResultAndPotentialComplements	language_family	7	95	25	NegativePotentialComplement;NegativePotentialDirectionalVP;PotentialDirectionalVP;PotentialResultVP;ResultComplement;ResultComplementVP;VerbComplementVP	"{""DECOMPOSE_IMPLEMENTATION_UMBRELLA"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 6}"	C_STRUCTURAL_REALIGNMENT	Result heads, positive/negative potential, and directional potential with explicit complement selection.	Target family only; no member is promoted to supported_productive by R35.
L13	AspectDirectionalComposition	compositional_family	2	16	3	PerfectiveDirectionalVP;ProgressiveDirectionalVP	"{""MERGE_TRANSPARENT_COMPOSITION"": 2}"	A_SAFE_STRUCTURAL_CLEANUP	Transparent composition of directional/deictic material with independently licensed aspect.	Target family only; no member is promoted to supported_productive by R35.
L14	Faan1ComplementProfiles	lexicalized_family	2	21	4	RepetitiveComplementVP;RestorativeComplementVP	"{""RETAIN_LEXICALIZED_PROFILE"": 2}"	B_EVIDENCE_BACKED_NARROWING	Lexically restricted restorative, resumptive, and repetitive 返 profiles.	Target family only; no member is promoted to supported_productive by R35.
L15	ResultativeAndChangePredication	language_family	11	111	0	CausativeResultFrame;CausativeResultPredicate;ChangeIntoPredicate;DisposalChangeIntoResultFrame;ModalChangeIntoResultFrame;PerfectiveObjectResultPredicate;PerfectiveResultPredicate;ResultStateClause;SeemingPerfectiveResultClause;TransformationResultFrame;TransformationResultPredicate	"{""MERGE_TRANSPARENT_COMPOSITION"": 5, ""QUARANTINE_EXACT_GAP"": 2, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 4}"	C_STRUCTURAL_REALIGNMENT	Causative-resultative, change-into, transformation, lexical-result, and changed-state relations.	Target family only; no member is promoted to supported_productive by R35.
L16	ClassifierAndQuantityNP	language_family	8	129	47	ApproximateQuantity;BareClassifierNP;ClassifierObjectNP;DemonstrativeQuantifiedClassifierNP;QuantifiedClassifierNP;QuantifiedPersonNP;QuantifiedTimeNP;QuantityNP	"{""DECOMPOSE_IMPLEMENTATION_UMBRELLA"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 7}"	C_STRUCTURAL_REALIGNMENT	Classifier, quantified, approximate, person, and time-measure nominal structures.	Target family only; no member is promoted to supported_productive by R35.
L17	DemonstrativeNP	language_family	2	33	32	DemonstrativeClassifierNP;DemonstrativeHeadNP	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1, ""RETIRE"": 1}"	B_EVIDENCE_BACKED_NARROWING	Demonstrative-classifier and demonstrative-headed nominal profiles.	Target family only; no member is promoted to supported_productive by R35.
L18	AssociativeAndCoordinatedNP	language_family	2	25	0	AssociativeNP;CoordinatedNP	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 2}"	C_STRUCTURAL_REALIGNMENT	Associative and coordination relations with marker/comitative boundaries.	Target family only; no member is promoted to supported_productive by R35.
L19	NominalModificationAndRelatives	language_family	5	78	46	ModifiedNP;ModifierNP;NominalModifierNP;RelativeClauseNP;StativeNominalComplement	"{""DECOMPOSE_IMPLEMENTATION_UMBRELLA"": 1, ""MERGE_TRANSPARENT_COMPOSITION"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 3}"	C_STRUCTURAL_REALIGNMENT	Bare, 嘅-marked, relative-clause, and stative nominal modification.	Target family only; no member is promoted to supported_productive by R35.
L20	PossessiveNominals	language_family	3	27	0	PossessiveClassifierNP;PossessiveNP;PossessiveTransferClause	"{""MERGE_TRANSPARENT_COMPOSITION"": 2, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1}"	C_STRUCTURAL_REALIGNMENT	嘅, classifier, and headless possession; transfer remains ordinary clause composition.	Target family only; no member is promoted to supported_productive by R35.
L21	OrdinalNominals	language_family	2	39	5	DiMarkedNP;OrdinalClassifierNP	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 2}"	B_EVIDENCE_BACKED_NARROWING	第 ordinals, headless forms, and lexical 第二 contrasts.	Target family only; no member is promoted to supported_productive by R35.
L22	WhNominals	language_family	1	10	3	WhClassifierQuestion	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1}"	C_STRUCTURAL_REALIGNMENT	Wh-classifier and headless nominal question structure.	Target family only; no member is promoted to supported_productive by R35.
L23	ANotAQuestions	language_family	4	69	12	ANotAQuestion;AcceptabilityANotA;CopularANotAQuestion;ModalANotAQuestion	"{""QUARANTINE_EXACT_GAP"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 3}"	C_STRUCTURAL_REALIGNMENT	Lexical, modal, copular, and suppletive A-not-A subtypes.	Target family only; no member is promoted to supported_productive by R35.
L24	ExistentialQuestions	language_family	3	51	10	ExistentialQuestion;ExistentialWhQuestion;PostposedExistentialQuestion	"{""QUARANTINE_EXACT_GAP"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 2}"	C_STRUCTURAL_REALIGNMENT	有冇, existential wh, and postposed-question profiles.	Target family only; no member is promoted to supported_productive by R35.
L25	TypedWhAndStanceQuestions	language_family	7	88	7	IdentityWhQuestion;LocativeWhQuestion;OpinionQuestion;ProgressivePlaceQuestion;ProgressiveWhObjectQuestion;ScalarValueQuestion;SchedulingQuestion	"{""MERGE_TRANSPARENT_COMPOSITION"": 2, ""QUARANTINE_EXACT_GAP"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 4}"	C_STRUCTURAL_REALIGNMENT	Identity, location, object, scalar, cognition, and scheduling wh complements.	Target family only; no member is promoted to supported_productive by R35.
L26	Negation	language_family	6	77	13	NegatedDirectionalMotionVP;NegatedExistentialClause;NegatedLexicalizedStative;NegatedStativePredicate;NegatedVP;NegativeHaveClause	"{""MERGE_TRANSPARENT_COMPOSITION"": 2, ""RETAIN_LEXICALIZED_PROFILE"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 3}"	C_STRUCTURAL_REALIGNMENT	唔, 冇, 未, existential, stative, lexicalized, and directional negation distinctions.	Target family only; no member is promoted to supported_productive by R35.
L27	AcceptabilityAndFreeChoice	language_family	1	17	0	AcceptabilityClause	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1}"	C_STRUCTURAL_REALIGNMENT	都得 acceptability, permission, feasibility, and free-choice scope distinctions.	Target family only; no member is promoted to supported_productive by R35.
L28	DirectivesRequestsAndSuggestions	language_family	3	38	1	PoliteImperativeClause;ProhibitiveImperative;SuggestionQuestion	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 3}"	C_STRUCTURAL_REALIGNMENT	Prohibitives, requests, suggestions, and directive-particle profiles.	Target family only; no member is promoted to supported_productive by R35.
L29	Modality	language_family	1	35	15	ModalVP	"{""DECOMPOSE_IMPLEMENTATION_UMBRELLA"": 1}"	D_ARCHITECTURE_RECONSTRUCTION	Modal/auxiliary classes with lexical scope and complement selection.	Target family only; no member is promoted to supported_productive by R35.
L30	DesirePreferenceAndIntention	language_family	3	40	12	DesiderativeVP;IntentionFrame;PreferenceVP	"{""RETAIN_LEXICALIZED_PROFILE"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 2}"	C_STRUCTURAL_REALIGNMENT	Desiderative, preference, and lexicalized intention predicates.	Target family only; no member is promoted to supported_productive by R35.
L31	CognitionAndStance	language_family	5	65	27	CognitionContentFrame;CognitionDelimitedObjectVP;CognitionDelimitedVP;CognitionStatementClause;OpinionStanceFrame	"{""QUARANTINE_EXACT_GAP"": 2, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 3}"	C_STRUCTURAL_REALIGNMENT	Cognition predicates, stance markers, complement types, and delimitative variants.	Target family only; no member is promoted to supported_productive by R35.
L32	SpeechReportingAndCommunicationEffect	language_family	3	36	7	DitransitiveSpeechVP;ReportedSpeech;SpeechTransferClause	"{""MERGE_TRANSPARENT_COMPOSITION"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 2}"	C_STRUCTURAL_REALIGNMENT	Reported speech, communication-effect serial sequences, and transfer-like speech relations.	Target family only; no member is promoted to supported_productive by R35.
L33	DirectionalMotion	language_family	4	84	84	CompoundDirectionalMotionVP;DirectedMannerMotionVP;DirectionalCausedMotionVP;DirectionalMotionVP	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 3, ""RETIRE"": 1}"	C_STRUCTURAL_REALIGNMENT	Simple/compound directional motion, directed manner, and causative-directional boundary.	Target family only; no member is promoted to supported_productive by R35.
L34	GoalSourceAndPath	language_family	5	76	48	ExperientialMotionGoalVP;GoalAttainmentMotionVP;MotionGoalVP;PathPhrase;SourceMotionClause	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 5}"	C_STRUCTURAL_REALIGNMENT	Goal, attainment, source, route, and experiential-motion composition.	Target family only; no member is promoted to supported_productive by R35.
L35	PurposeSerialRelations	language_family	5	88	6	MotionDelimitedVP;MotionPurposeChain;ProgressivePurposeClause;PurposePredicate;SerialVerbPurposeChain	"{""MERGE_TRANSPARENT_COMPOSITION"": 2, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 3}"	C_STRUCTURAL_REALIGNMENT	Purpose serials, motion-purpose relations, and delimitative/progressive composition.	Target family only; no member is promoted to supported_productive by R35.
L36	LocativeAndPosturalPredication	language_family	2	35	15	LocativePlacePhrase;LocativePostureVP	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 2}"	C_STRUCTURAL_REALIGNMENT	Place phrases, locative predicates, posture, and progressive/location boundaries.	Target family only; no member is promoted to supported_productive by R35.
L37	MannerAndReduplication	language_family	4	47	6	DegreeMannerAdverbial;DegreeMannerModifiedVP;MannerAdverbialVP;ReduplicatedVP	"{""DECOMPOSE_IMPLEMENTATION_UMBRELLA"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 3}"	C_STRUCTURAL_REALIGNMENT	Manner modification, scalar/manner split, and reduplication profiles.	Target family only; no member is promoted to supported_productive by R35.
L38	NamingAndAddress	lexicalized_family	2	28	0	NamingClause;VocativeAddressTerm	"{""RETAIN_LEXICALIZED_PROFILE"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1}"	B_EVIDENCE_BACKED_NARROWING	Naming relations and socially/lexically constrained address terms.	Target family only; no member is promoted to supported_productive by R35.
L39	ExistentialAndPresentationalClauses	language_family	3	40	14	ExistentialClause;ExistentialPresentationalClause;LocativeExistentialClause	"{""MERGE_TRANSPARENT_COMPOSITION"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 2}"	C_STRUCTURAL_REALIGNMENT	Possession, existence, presentation, and locative existential distinctions.	Target family only; no member is promoted to supported_productive by R35.
L40	LocativeClauseFrames	language_family	1	16	4	LocativeFrameClause	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1}"	C_STRUCTURAL_REALIGNMENT	Event location, property location, inversion, and ambient locative frames.	Target family only; no member is promoted to supported_productive by R35.
L41	EnvironmentalClauses	language_family	1	26	15	ImpersonalEnvironmentalClause	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1}"	C_STRUCTURAL_REALIGNMENT	Ambient, event, transition, and subjectless environmental profiles.	Target family only; no member is promoted to supported_productive by R35.
L42	StativePredication	language_family	5	68	30	ActionStativeVP;AdjectivalPredicateClause;DegreeModifiedLexicalStative;DegreeStativePredicate;StativePredicate	"{""DECOMPOSE_IMPLEMENTATION_UMBRELLA"": 1, ""MERGE_TRANSPARENT_COMPOSITION"": 2, ""RETAIN_LEXICALIZED_PROFILE"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1}"	D_ARCHITECTURE_RECONSTRUCTION	Property predicates, degree statives, lexicalized statives, and clause composition.	Target family only; no member is promoted to supported_productive by R35.
L43	ScalarComparisonAndEvaluation	language_family	4	49	0	ComparativeStative;EvaluationWithDouSyun;ScalarEvaluation;ScalarRangeFragment	"{""MERGE_TRANSPARENT_COMPOSITION"": 2, ""RETAIN_LEXICALIZED_PROFILE"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1}"	C_STRUCTURAL_REALIGNMENT	Comparatives, scalar evaluation, lexical 算 profiles, and range fragments.	Target family only; no member is promoted to supported_productive by R35.
L44	TemporalAndMeasurePredication	language_family	3	38	13	NominalPredicateClause;TimeNP;TimeToActionFrame	"{""QUARANTINE_EXACT_GAP"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 2}"	C_STRUCTURAL_REALIGNMENT	Time nominals, age/price/area/length predication, and time-to-action profiles.	Target family only; no member is promoted to supported_productive by R35.
L45	ValencyAndArgumentStructure	architecture_family	3	121	59	IntransitiveVP;ProductiveVO;TransitiveVP	"{""DECOMPOSE_IMPLEMENTATION_UMBRELLA"": 3}"	D_ARCHITECTURE_RECONSTRUCTION	Transitive/intransitive use, complement type, null arguments, and role-neutral VO grouping.	Target family only; no member is promoted to supported_productive by R35.
