probe_or_target	current_runtime_result	overlap_or_failure	decisive_difference	current_disposition
`我食開呢隻藥㗎。`	Root PASS through `SubjectPredicateClause`; child `食開呢隻藥` is `TransitiveVP` with nested false `開呢隻藥`.	Full clause coverage masks lexical-host reversal and no habitual aspect is represented.	The intended profile has `食` as event host, `開` as aspect marker, and `呢隻藥` as object.	FULL_ROOT_COVERAGE_FALSE_HOI1_VERB_ANALYSIS
`我哋行開呢邊，不如去埋時代廣場囉。`	PARTIAL; only the second clause is `SuggestionQuestion`; the entire `我哋行開呢邊` circumstance remains unwrapped.	No already-underway continuative/converbal `開` relation is represented.	The grammar explicitly separates this less-common continuation profile from ordinary habitual use.	CONTINUATIVE_SUBTYPE_MISSING_KEEP_SEPARATE
`講開佢哋兩個，究竟有冇離婚呀？`	PARTIAL; `講開佢哋兩個` is `TransitiveVP` with nested false `講開佢哋`, false `ModifiedNP` `開佢哋`, and `QuantifiedClassifierNP` `兩個`; question clause remains largely unwrapped.	The runtime treats discourse-topic `講開` as ordinary transitivity and misassigns `開` to nominal structure.	The exact grammar example is a discourse-linking “speaking of” frame, not a habitual statement.	DISCOURSE_TOPIC_HOI1_FALSE_NP_AND_TRANSITIVE_ANALYSIS
`去開買餸，幫我買樽豉油吖。`	Root PASS through `ClauseRelationGraph`; first clause splits into `DirectionalMotionVP` `去` and `TransitiveVP` `開買餸`.	Generic linkage masks the incidental/converbal relation and treats `開` as an ordinary verb.	This neighboring attested profile means going to buy groceries anyway / when doing so, not opening groceries.	INCIDENTAL_CONVERBAL_PROFILE_GENERIC_MASKING
`我冇食開呢隻藥。`	Root PASS through `NegatedExistentialClause`; child `食開呢隻藥` contains nested false `開呢隻藥`.	Broad `冇` coverage conceals the missing habitual operator; sentence naturalness and exact scope were not source-verified here.	Any future negative profile must preserve negator scope and the `食-開` host relation separately.	NEGATION_PROBE_UNRESOLVED_AND_FALSE_CHILD_ANALYSIS
`我以前食開呢隻藥。`	PARTIAL; only `食開呢隻藥` is `TransitiveVP` with nested false `開呢隻藥`; subject and `以前` are unwrapped.	The runtime loses former-time anchoring and habitual aspect.	This generated former-habit probe requires native confirmation and cannot establish that bare `V開` freely supports discontinued habits.	FORMER_HABIT_PROFILE_PENDING_NATIVE_EVIDENCE
`我食開咗呢隻藥。`	PARTIAL; `食開咗` is `PerfectiveVP` with nested `PerfectiveVP` `開咗`; object is a separate NP.	The runtime makes lexical `開` the host of perfective `咗`; no habitual-plus-outer-aspect structure is represented.	Naturalness and interpretation of this generated stack were not independently established; no aspect-order rule is authorized.	ASPECT_STACKING_UNRESOLVED_FALSE_PERFECTIVE_HOST
`佢開門。`	Root PASS through `SubjectPredicateClause` with `TransitiveVP` `開門`.	Ordinary lexical `開` is represented as a verb.	A habitual implementation must not capture lexical `開` without a preceding verbal host.	LEXICAL_OPEN_CONTROL_CORRECTLY_SEPARATE
`間舖今日冇開。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	Lexical opening under negation is absent, but no false habitual target occurs.	This is lexical/business-state `開`, not postverbal habitual aspect.	LEXICAL_OPEN_NEGATION_CONTROL_MISSING_BUT_NOT_HABITUAL
`佢打開道門。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	Resultative/lexicalized `打開` is absent.	Postverbal graph identity alone cannot distinguish resultative “open” from habitual `V開`.	RESULTATIVE_OPEN_CONTROL_REQUIRES_SEPARATE_FAMILY
`你行開啲。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	Directional/result-like “move aside/a bit away” is absent.	This control is not the already-underway continuative `行開呢邊`; object/degree position and context differ.	DIRECTIONAL_AWAY_CONTROL_REQUIRES_SEPARATE_FAMILY
`我唔慣用iPhone。`	NO_TOP_CONSTRUCTION; content remains unwrapped, including Latin-letter tokenization.	Neighboring habituation/familiarity `慣` is absent.	`慣` is grouped with habitual markers in grammars but must not be aliased to `開` without comparative evidence.	GWAAN3_NEIGHBOR_RESEARCH_PENDING
`佢成日睇中醫。`	PARTIAL; false `ActionStativeVP` `睇中`; subject, frequency adverb, and final `醫` remain unwrapped.	Frequency adverbial and object segmentation fail; no habitual aspect is present.	`成日` expresses frequency independently and must not be treated as an overt replacement token for `開`.	FREQUENCY_ADVERB_CONTROL_SEPARATE_AND_PARTIAL
`我睇過呢個醫生。`	Root PASS through `ExperientialClause`; child `ExperientialVP` `睇過` and object NP are represented.	The runtime has a dedicated experiential path unavailable to habitual `開`.	Prior experience is not the same as a recurrent or established practice.	EXPERIENTIAL_CONTROL_CORRECTLY_DISTINCT
`我睇緊呢個醫生。`	Root PASS through `SubjectPredicateClause`; child `ProgressiveVP` `睇緊` and object NP are represented.	The runtime has a dedicated progressive path unavailable to habitual `開`.	Ongoing event at a reference point is not the same as an established recurring pattern.	PROGRESSIVE_CONTROL_CORRECTLY_DISTINCT
Habitual aspect inventory	No dedicated `HabitualVP` or equivalent target appears in tested runtime rows.	Existing aspect infrastructure is asymmetric: `過` and `緊` are typed, while `開` falls into generic lexical/VP paths.	External sources independently classify `開` as habitual aspect.	DEDICATED_RESEARCH_UNIT_JUSTIFIED_NO_IMPLEMENTATION_AUTHORIZED
TransitiveVP	Repeatedly captures spans beginning at aspectual `開` as though `開` selected the following NP.	Surface adjacency to NP causes host reversal and false lexical transitivity.	The verbal host precedes `開`; the object follows the aspect marker.	REQUIRE_ASPECT_HOST_BEFORE_OBJECT_ATTACHMENT
ClauseRelationGraph / ClauseSpan	Can produce full root coverage for questions, relative-clause sentences, and multi-clause examples.	Broad wrappers preserve span but erase habitual semantics and local lexical/aspect distinctions.	Habitual `V開` must remain a typed child even under higher clause or question structures.	ROOT_COVERAGE_IS_NOT_TARGET_COVERAGE
UC-RQ-032 `未` research	Existing research records one tested incompatibility between simple `未` and habitual `開`.	Negation/aspect selection cannot be inferred from generic preverbal negation handling.	The boundary is source-specific and incomplete; it blocks unrestricted merger but not every context.	KEEP_MEI6_HOI1_MATRIX_QUARANTINED
