probe_or_target	current_runtime_result	overlap_or_failure	decisive_difference	current_disposition
`呢個差啲。`	PARTIAL; only `呢個` is `HeadlessDemonstrativeClassifierNP`; `差` and `啲` remain unwrapped.	The runtime lacks the adjectival comparison but does not currently confuse it with a near miss.	Here `差` is a gradable predicate and `啲` a differential; no following event proposition exists.	NEGATIVE_CONTROL_ADJECTIVAL_PROFILE_MUST_STAY_SEPARATE
`今次你嘅表現爭啲喎。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	The separately documented adjectival `爭啲` profile is absent.	Near-miss implementation must not capture evaluative “less satisfactory” uses merely by surface token identity.	NEGATIVE_CONTROL_EVALUATIVE_PROFILE_MUST_STAY_SEPARATE
`差唔多兩點。`	PARTIAL; `差唔多兩` is `ActionStativeVP`, internal `差唔多` is `ActionStativeVP`, and `唔多` is `NegatedStativePredicate`; final `點` remains unwrapped.	Approximate time/quantity is missegmented as action/stative material and compositional negation.	`差唔多` is a separate lexical approximator; PRQ2-004 must not absorb it into event near-miss.	NEIGHBORING_APPROXIMATE_QUANTITY_FALSE_ANALYSIS
`佢兩兄弟差唔多高。`	PARTIAL; only `差唔多高` is wrapped as `ActionStativeVP`, with internal `差唔多` and `唔多`; subject/domain remains unwrapped.	Similarity/degree is misanalyzed and the comparison domain is lost.	This control belongs to `差唔多` similarity, not `差啲 + event`.	NEIGHBORING_SIMILARITY_FALSE_ANALYSIS
`我差一啲跌親。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	No target analysis occurs.	The checked sources support `差啲`; written-out `差一啲` has not been established as an interchangeable modern spoken form.	FORM_VARIANT_QUARANTINE_PENDING_DIRECT_EVIDENCE
`我爭少少跌親。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	No target analysis occurs.	`爭少少` is listed as a scope adverb but exact event syntax and regional/register distribution were not independently established here.	NEIGHBORING_VARIANT_RESEARCH_PENDING
`我差啲。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	The parser does not infer a missing event.	Bare `差啲` may be adjectival, elliptical, corrective, or incomplete depending on context; no hidden VP should be fabricated.	ELLIPSIS_UNRESOLVED_KEEP_CONTEXT_REQUIRED
`差啲就。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	No false target analysis occurs.	An overt event predicate is required in the narrow prototype unless a specific discourse ellipsis is independently licensed.	INCOMPLETE_FRAGMENT_NEGATIVE_CONTROL
ApproximateQuantity	Existing unsupported-generalization family covers marker-specific quantity approximation and broad fallbacks; one target example falsely creates `QuantifiedClassifierNP` from near-miss `啲` onward.	Shares written `啲` and approximation vocabulary but not constituent structure or semantic domain.	Near-miss `差啲` scopes over an event; quantity approximation modifies a measure expression.	DO_NOT_MERGE_AND_FIX_NP_PREEMPTION_BEFORE_IMPLEMENTATION
UC-RQ-026 `啲` degree family	Research covers post-predicate differential, scalar adjustment, manner, time, and quantity uses of `啲`.	Shares the surface sequence `差 + 啲` in adjectival `差啲`.	Adjectival `差啲` has `差` as the property predicate; event near-miss `差啲 + VP` treats the two-character unit as a preverbal approximative operator.	REQUIRE_LEXICAL_CATEGORY_AND_FOLLOWING_EVENT_BOUNDARY
ClauseRelationGraph / conditional `就`	Can represent generic linker relations elsewhere but does not fire on tested near-miss strings.	Shares `就` and possible consequence-like interpretation.	Near-miss examples occur without `就`, and the construction contributes event proximity and actualization inferences absent from generic clause linking.	POSSIBLE_FUTURE_CHILD_OR_LINKER_NO_TARGET_MERGE
NegatedVP and potential/result nodes	Existing runtime has independent negation and result infrastructure but target negative examples remain unwrapped; lower nodes appear only inside the false full-span wallet example.	May supply the complement host of near-miss scope.	A valid child analysis must remain inside a higher approximative operator and must not decide actual-world outcome by itself.	RETAIN_AS_FUTURE_CHILD_WITH_SCOPE_AND_POLARITY_GUARDS
Sentence-final `咁滯／乜滯` approximatives	Not probed as target; independently researched in the cited Cantonese semantic literature.	Shares general proximity and polarity-sensitive approximative semantics.	They are sentence-final particles with different morphology and distribution, not preverbal `差啲`.	KEEP_SEPARATE_CONSTRUCTION_FAMILY_ALLOW_ONLY_HIGH_LEVEL_TAXONOMY
