runtime_label	accounting_class	claim_layer	legitimacy_claim_type	legitimacy_status	mapped_external_source_count	mapped_external_source_ids	source_mapping_batch	source_mapping_status	design_provenance	productive_acceptance_eligible	note
ChangeIntoPredicate	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-LAI-PANG-2023;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R28	COMPLETE_WITH_SPLIT_GAP_MERGE_AND_REALIGNMENT_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ClassifierObjectNP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	4	SRC-BOND-SIO-2024-CLASSIFIERS,SRC-CHENG-SYBESMA-1999-NP,SRC-SIMPSON-SOH-NOMOTO-2011-BARE-CL,SRC-XIA-2025-CLASSIFIERS	CP021B-R5	COMPLETE_REPRESENTATION_REALIGNMENT		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ClauseRelationEdge	internal_representation_or_heuristic	internal	parser_representation_decision	parser_heuristic	0				EP-CP022-I1A-I02-D1; docs/research/CP022-I1A-I02-A1-ACCEPTANCE.md	false	Internal representation or heuristic; cannot independently license Cantonese grammar.
ClauseRelationGraph	internal_representation_or_heuristic	internal	parser_representation_decision	parser_heuristic	0				EP-CP022-I1A-I02-D1; docs/research/CP022-I1A-I02-A1-ACCEPTANCE.md	false	Internal representation or heuristic; cannot independently license Cantonese grammar.
ClauseRelationMemberSpan	internal_representation_or_heuristic	internal	parser_representation_decision	parser_heuristic	0				EP-CP022-I1A-I02-D1; docs/research/CP022-I1A-I02-A1-ACCEPTANCE.md	false	Internal representation or heuristic; cannot independently license Cantonese grammar.
ClauseSpan	internal_representation_or_heuristic	internal	parser_representation_decision	parser_heuristic	0				EP-CP022-I1A-I01-D1; docs/research/CP022-I1A-I01-A1-ACCEPTANCE.md	false	Internal representation or heuristic; cannot independently license Cantonese grammar.
CognitionContentFrame	external_source_mapped	language	cantonese_language_claim	research_pending	3	SRC-ALDERETE-ETAL-2017-SYNOPSIS,SRC-LUI-2025-REPORTED-THOUGHT,SRC-YAP-WONG-CHOR-2014-STANCE	CP021B-R15	COMPLETE_WITH_LEXICAL_SELECTION_AND_COMPLEMENT_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
CognitionDelimitedObjectVP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	3	SRC-ALDERETE-ETAL-2017-SYNOPSIS,SRC-SIO-BOND-2025,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R31	COMPLEMENT_TYPES_LINKED_EXACT_NP_TEMPLATE_GAP		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
CognitionDelimitedVP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-SIO-BOND-2025,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R31	COMPONENT_FORM_LINKED_SPECIAL_WRAPPER_REALIGNMENT		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
CognitionStatementClause	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-LUI-2025-REPORTED-THOUGHT,SRC-YAP-WONG-CHOR-2014-STANCE	CP021B-R15	PARTIAL_GENERAL_BARE_PROFILE_LINKED_EXACT_POSITIVE_FORM_GAP		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
Comment	internal_representation_or_heuristic	internal	parser_representation_decision	parser_heuristic	0		CP021B-R34	COMPLETE_INTERNAL_DISPOSITION	CP021B-R34; PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv; MERGE_COMMENT_NODE_INTO_TOPICCOMMENT_PREDICATE_ROLE	false	Internal representation or heuristic; cannot independently license Cantonese grammar.
ComparativeStative	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-LAM-2014-SURPASS-COMPARATIVE;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R29	SOURCE_LINKED_DI1_SCALAR_COMPARATIVE_WITH_POSITIONAL_SPLIT_AND_DORMANT_DUPLICATE_MERGE_OR_RETIRE		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ComplementEllipsisFragment	external_source_mapped	language	cantonese_language_claim	research_pending	6	SRC-ALDERETE-ETAL-2017-SYNOPSIS;SRC-CHENG-2022-HAI6-RESPONSE;SRC-LEE-PAN-2024-VP-ELLIPSIS;SRC-LUKE-NANCARROW-1998-AUXILIARIES;SRC-YIP-MATTHEWS-2000-SYNTACTIC-TRANSFER;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R26	COMPLETE_WITH_SPLIT_AND_REALIGNMENT_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
CompletionQuestion	external_source_mapped	language	cantonese_language_claim	research_pending	1	SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R6	COMPLETE_WITH_OVERT_LICENSING_NARROWING		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
CompletionThenClause	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	3	SRC-FAN-CHAN-2022,SRC-LIANG-MAI-2025-GRAMMAR-CODING,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R25	COMPLETE_WITH_SPLIT_AND_REALIGNMENT_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
CompletionVP	external_source_mapped	language	cantonese_language_claim	research_pending	4	SRC-FAN-CHAN-2022,SRC-SIO-BOND-2025,SRC-SYBESMA-2013,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R6	COMPLETE_WITH_PARTICLE_CLASS_SPLIT_BOUNDARY		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
CompoundDirectionalMotionVP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	3	SRC-CHOR-2018-DIRECTIONALS,SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-YIU-2016-DIRECTIONAL-ASPECT	CP021B-R3	REPRESENTATION_REALIGNMENT_REQUIRED		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ConditionResult	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	3	SRC-CHENG-2023-TP-SFP-CONDITIONAL,SRC-LIANG-MAI-2025-GRAMMAR-CODING,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R25	COMPLETE_WITH_SPLIT_AND_REALIGNMENT_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ConditionalClause	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	4	SRC-CHENG-2023-TP-SFP-CONDITIONAL,SRC-IIDA-2009-CONDITIONAL-GE3,SRC-LIANG-MAI-2025-GRAMMAR-CODING,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R25	COMPLETE_WITH_SPLIT_AND_REALIGNMENT_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
CoordinatedNP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R32	NOMINAL_COORDINATION_LINKED_MARKER_AND_ROLE_SPLIT		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
CopularANotAQuestion	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	3	SRC-LAW-2001-ANOTA,SRC-LI-2017-ANOTA,SRC-YIP-1988-NEGATION	CP021B-R7	COMPLETE_WITH_CONTESTED_ANALYSIS_BOUNDARY		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
CopularIdentificationFrame	internal_representation_or_heuristic	internal	parser_representation_decision	parser_heuristic	0		CP021B-R34	COMPLETE_INTERNAL_DISPOSITION	CP021B-R34; PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv; MERGE_TO_CANONICAL_COPULAR_CLAUSE_WITH_IDENTIFICATION_SUBTYPE	false	Internal representation or heuristic; cannot independently license Cantonese grammar.
CopularRelationFrame	internal_representation_or_heuristic	internal	parser_representation_decision	parser_heuristic	0		CP021B-R34	COMPLETE_INTERNAL_DISPOSITION	CP021B-R34; PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv; MERGE_TO_CANONICAL_COPULAR_CLAUSE_COMPLEMENT_TYPE_AS_METADATA	false	Internal representation or heuristic; cannot independently license Cantonese grammar.
CoverbFrame	external_source_mapped	language	cantonese_language_claim	research_pending	5	SRC-FRANCIS-MATTHEWS-2006-COVERBS,SRC-KWAN-2010-LOCATIVE,SRC-LEUNG-2014-COVERBS,SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R23	COMPLETE_WITH_MARKER_ORDER_SCOPE_AND_WRAPPER_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DefinitionComplement	internal_representation_or_heuristic	internal	parser_representation_decision	parser_heuristic	0		CP021B-R34	COMPLETE_INTERNAL_DISPOSITION	CP021B-R34; PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv; KEEP_INTERNAL_BOUNDED_DEFINITION_COMPLEMENT_SPAN_ONLY	false	Internal representation or heuristic; cannot independently license Cantonese grammar.
DefinitionExplanatoryFrame	internal_representation_or_heuristic	internal	parser_representation_decision	parser_heuristic	0		CP021B-R34	COMPLETE_INTERNAL_DISPOSITION	CP021B-R34; PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv; NARROW_EXACT_HAI6_COMPLEMENT_LAI4_GAA3_DEFINITION_PROFILE_OR_RECLASSIFY_LANGUAGE	false	Internal representation or heuristic; cannot independently license Cantonese grammar.
DegreeMannerAdverbial	external_source_mapped	language	cantonese_language_claim	research_pending	3	SRC-CHOW-2007-CANTONESE-EVERYONE,SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R23	COMPLETE_WITH_MARKER_ORDER_SCOPE_AND_WRAPPER_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DegreeMannerModifiedVP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R23	COMPLETE_WITH_MARKER_ORDER_SCOPE_AND_WRAPPER_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DegreeModifiedLexicalStative	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	1	SRC-LAM-LAU-LEE-2024-SEGMENTATION	CP021B-R8	GENERAL_COMPONENTS_LINKED_EXACT_COMBINATION_GAP		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DegreeStativePredicate	external_source_mapped	language	cantonese_language_claim	provisional	2	SRC-ALDERETE-ETAL-2017-SYNOPSIS,SRC-LAM-LAU-LEE-2024-SEGMENTATION	CP021B-R8	COMPLETE_WITH_MODIFIER_INVENTORY_AND_STACKING_GAPS		false	Provisional mapping requires retroactive source re-verification and two-speaker review before productive acceptance. External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DelimitedVP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	3	SRC-CUHK-CANTONESE-EXPRESS-DAILY09,SRC-SIO-BOND-2025,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R21	COMPLETE_WITH_FORM_SEMANTIC_AND_CONTEXT_SPLIT_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DemonstrativeClassifierNP	internal_representation_or_heuristic	internal	parser_representation_decision	parser_heuristic	0		CP024-P1-DEMO01-R1	COMPATIBILITY_ALIAS_ONLY	CP024-P1-DEMO01-R1; CP024-P1-DEMO01-IMPLEMENTATION-CANDIDATE-R1.md; INTERNAL_PUBLIC_DIAGNOSTIC_ALIAS_NO_LANGUAGE_LICENSING	false	Internal representation or heuristic; cannot independently license Cantonese grammar.
DemonstrativeHeadNP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-BOND-SIO-2024-CLASSIFIERS,SRC-LAM-LAU-LEE-2024-SEGMENTATION	CP021B-R5	COMPLETE_RETIRE_MISANALYSIS		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DemonstrativeQuantifiedClassifierNP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	3	SRC-BOND-SIO-2024-CLASSIFIERS,SRC-LAM-LAU-LEE-2024-SEGMENTATION,SRC-XIA-2025-CLASSIFIERS	CP021B-R5	COMPLETE_DORMANT_NARROW_OR_MERGE		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DesiderativeVP	external_source_mapped	language	cantonese_language_claim	research_pending	2	SRC-LUKE-NANCARROW-1998-AUXILIARIES,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R14	COMPLETE_WITH_AUXILIARY_CLASS_SCOPE_AND_COMPLEMENT_SPLITS		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DiMarkedNP	external_source_mapped	language	cantonese_language_claim	provisional	1	SRC-WINTERSTEIN-ETAL-2023-NOMINAL-EXPRESSIONS	CP021B-R11	COMPLETE_WITH_PLURAL_CLASSIFIER_RELABEL_BOUNDARY		false	Provisional mapping requires retroactive source re-verification and two-speaker review before productive acceptance. External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DirectedMannerMotionVP	external_source_mapped	language	cantonese_language_claim	research_pending	3	SRC-LEUNG-2014-COVERBS,SRC-SHAN-JIN-2025-MOTION-TYPOLOGY,SRC-YIU-2016-DIRECTIONAL-ASPECT	CP021B-R3	NARROWING_SPLIT_REQUIRED		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DirectionalCausedMotionVP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-LAI-PANG-2023,SRC-YIU-2005-DIRECTIONAL-VERBS	CP021B-R33	CAUSED_MOTION_FAMILY_LINKED_DORMANT_LABEL_MERGE_OR_RETIRE		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DirectionalMotionVP	external_source_mapped	language	cantonese_language_claim	provisional	2	SRC-SHAN-JIN-2025-MOTION-TYPOLOGY,SRC-YIU-2016-DIRECTIONAL-ASPECT	CP021B-R3	PARTIAL_SPLIT_REQUIRED		false	Provisional mapping requires retroactive source re-verification and two-speaker review before productive acceptance. External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DiscourseParticleFrame	internal_representation_or_heuristic	internal	parser_representation_decision	parser_heuristic	0		CP021B-R34	COMPLETE_INTERNAL_DISPOSITION	CP021B-R34; PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv; RENAME_INTERNAL_PARTICLE_SCOPE_WRAPPER_SUBTYPE_SEMANTICS_INHERIT_SOURCE_MAP	false	Internal representation or heuristic; cannot independently license Cantonese grammar.
DisposalChangeIntoResultFrame	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-MATTHEWS-YIP-2011-ASPECT-MULTIMEDIA;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R28	COMPLETE_WITH_SPLIT_GAP_MERGE_AND_REALIGNMENT_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DitransitiveSpeechVP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-MATTHEWS-2006-SVC,SRC-YIP-MATTHEWS-2017-INTERMEDIATE	CP021B-R31	EXACT_LEXICAL_SEQUENCE_LINKED_CATEGORY_CROSSPRODUCT_NARROWING		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
DurativeVP	external_source_mapped	language	cantonese_language_claim	research_pending	4	SRC-FAN-2024-JAU-VP-ASPECT,SRC-KATAOKA-2018-PROGRESSIVE-GAN,SRC-MATTHEWS-YIP-2011-ASPECT-MULTIMEDIA,SRC-SIO-BOND-2025	CP021B-R13	COMPLETE_WITH_ASPECT_SELECTION_AND_COMPOSITION_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
EvaluationWithDouSyun	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-LAM-2014-SURPASS-COMPARATIVE;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R29	COMPONENTS_PARTLY_LINKED_EXACT_DOU1_SYUN3_PRICE_WRAPPER_SOURCE_GAP_MERGE_OR_RETIRE		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ExistentialClause	external_source_mapped	language	cantonese_language_claim	research_pending	3	SRC-FAN-2026-JAU-VP,SRC-LAM-LAU-LEE-2024-SEGMENTATION,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R9	COMPLETE_WITH_POSSESSION_EXISTENCE_PRESENTATION_AND_AUXILIARY_SPLITS		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ExistentialPresentationalClause	external_source_mapped	language	cantonese_language_claim	research_pending	2	SRC-LAM-LAU-LEE-2024-SEGMENTATION,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R9	GENERAL_FAMILY_LINKED_EXACT_LOCATIVE_CODA_UNMAPPED		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ExistentialQuestion	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	3	SRC-HARA-2023-POLAR,SRC-LIANG-MAI-2026-GRAMMAR-CODING,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R9	COMPLETE_WITH_POSSESSION_EXISTENCE_AVAILABILITY_EVENT_AND_ELLIPSIS_SPLITS		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ExistentialWhQuestion	external_source_mapped	language	cantonese_language_claim	research_pending	1	SRC-LIANG-MAI-2026-GRAMMAR-CODING	CP021B-R9	GENERAL_WH_COMPONENTS_LINKED_EXACT_YAU-ME_TEMPLATE_UNMAPPED		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ExperientialClause	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	4	SRC-FAN-2024-JAU-VP-ASPECT,SRC-SIO-BOND-2025,SRC-ZHANG-1970-PREDICATIVE-SUFFIXES,SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R24	COMPLETE_WITH_TRANSPARENT_WRAPPER_REALIGNMENT		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ExperientialMotionGoalVP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	1	SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R13	COMPLETE_WITH_ASPECT_SELECTION_AND_COMPOSITION_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ExperientialQuestion	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-MATTHEWS-YIP-2011-ASPECT-MULTIMEDIA,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R13	COMPLETE_WITH_ASPECT_SELECTION_AND_COMPOSITION_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ExperientialVP	external_source_mapped	language	cantonese_language_claim	provisional	4	SRC-FAN-2024-JAU-VP-ASPECT,SRC-MATTHEWS-YIP-2011-ASPECT-MULTIMEDIA,SRC-SIO-BOND-2025,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R13	COMPLETE_WITH_ASPECT_SELECTION_AND_COMPOSITION_BOUNDARIES		false	Provisional mapping requires retroactive source re-verification and two-speaker review before productive acceptance. External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ExperientialYesNoQuestion	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	4	SRC-FAN-2024-JAU-VP-ASPECT,SRC-HARA-2023-POLAR,SRC-MATTHEWS-YIP-2011-ASPECT-MULTIMEDIA,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R13	COMPLETE_WITH_ASPECT_SELECTION_AND_COMPOSITION_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
FocusParticleFrame	internal_representation_or_heuristic	internal	parser_representation_decision	parser_heuristic	0		CP021B-R34	COMPLETE_INTERNAL_DISPOSITION	CP021B-R34; PARSER-CONSTRUCTION-INTERNAL-DISPOSITION-MATRIX-CP021B-R34.tsv; RENAME_INTERNAL_RESTRICTIVE_FOCUS_SCOPE_WRAPPER_REQUIRE_OVERT_LICENSED_HOST	false	Internal representation or heuristic; cannot independently license Cantonese grammar.
FormulaDiscourseUnit	external_source_mapped	language	lexicalized_language_claim	lexicalized_only	4	SRC-CHENG-2022-HAI6-RESPONSE,SRC-HUANG-HER-KONG-2025-INTERROGATIVES,SRC-LI-2006-FINAL-PARTICLES,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R17	COMPLETE_WITH_LEXICAL_RESPONSE_AND_REPETITION_SPLIT_BOUNDARY		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
FragmentAnswer	external_source_mapped	language	cantonese_language_claim	research_pending	5	SRC-HUANG-HER-KONG-2025-INTERROGATIVES,SRC-LEE-PAN-2024-VP-ELLIPSIS,SRC-LUKE-NANCARROW-1998-AUXILIARIES,SRC-SIO-2011-GE3,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R17	COMPLETE_WITH_CONTEXT_ELLIPSIS_LEXEME_AND_NOMINAL_SPLIT_BOUNDARY		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
FragmentQuestion	external_source_mapped	language	cantonese_language_claim	research_pending	1	SRC-LI-2006-FINAL-PARTICLES	CP021B-R17	THEMATIC_NP_NE_LINKED_EXACT_PRONOUN_AND_BARE_FORM_GAPS		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
GoalAttainmentMotionVP	external_source_mapped	language	cantonese_language_claim	research_pending	2	SRC-SHAN-JIN-2025-MOTION-TYPOLOGY,SRC-WONG-2023-LANGUAGE-SAMPLE	CP021B-R3	NARROWING_REQUIRED		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
HeadlessDemonstrativeClassifierNP	external_source_mapped	language	cantonese_language_claim	research_pending	1	SRC-YU-2006-NOMINAL-MODIFIERS	CP024-P1-DEMO01-R1	SINGLE_SOURCE_EXACT_FORM_SEPARATED		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
IdentificationFragment	external_source_mapped	language	lexicalized_language_claim	lexicalized_only	3	SRC-KWONG-2018-DEMONSTRATIVES,SRC-TANG-2015-UTTERANCE-PARTICLES,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R18	COMPONENTS_LINKED_EXACT_FRAGMENT_AND_PARTICLE_SLOT_GAP		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
IdentityWhQuestion	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-WONG-2023-LANGUAGE-SAMPLE;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R20	GENERAL_IDENTITY_WH_SOURCE_LINKED_EXACT_BIN1GO3_LAI4_TEMPLATE_GAP_AND_COPULA_SPLIT_REQUIRED		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
