set_id	profile_id	context_or_variable	condition	candidate	judgment_target	control_purpose
PVA-C09	PVA-HEILAI	Sudden crying begins	unsplit_dynamic_onset	佢好突然咁喊起上嚟。	Onset of a dynamic event.	Source-backed unsplit baseline
PVA-C09	PVA-HEILAI	Bird rises toward speaker	literal_self_motion	隻雀突然飛咗上嚟。	Physical upward/deictic motion without inchoative marker.	Motion control
PVA-C09	PVA-HEILAI	Person physically gets up	literal_rise_candidate	佢突然企起上嚟。	Literal rise, onset, or ambiguity with correction evidence.	Surface-near ambiguity test
PVA-C10	PVA-HEILAI	Property becomes manifest	state_manifestation	佢野蠻起上嚟，真係不可理喻。	Onset or manifestation interpretation.	State/property profile
PVA-C10	PVA-HEILAI	Generic evaluation when smiling	generic_manifestation	佢笑起上嚟好明顯。	Generic when/manifestation versus one-time onset.	Semantic subtype boundary
PVA-C10	PVA-HEILAI	Lexical beginning	lexical_begin	佢開始笑。	Beginning expressed with lexical 開始.	Structural competitor
PVA-C11	PVA-HEILAI	Transitive activity manifests	split_transitive_long	佢打起網球上嚟成個職業球員咁。	Source-backed V起O上嚟 shape.	Discontinuous positive baseline
PVA-C11	PVA-HEILAI	Short split variant	split_transitive_short	佢打起網球嚟成個職業球員咁。	Short/long comparison under matched context.	Variant boundary
PVA-C11	PVA-HEILAI	Object precedes complete marker	unsplit_postobject	佢打網球起上嚟成個職業球員咁。	Naturalness, interpretation, and preferred repair.	Source-incompatible order control
PVA-C11	PVA-HEILAI	Object follows complete marker	postmarker_object	佢打起上嚟網球成個職業球員咁。	Naturalness, interpretation, and preferred repair.	Source-incompatible order control
PVA-C12	PVA-HEILAI	Verb-object compound manifests	split_vo	老闆發起脾氣上嚟好得人驚。	Preserve 發–脾氣 relation across marker split.	Split VO baseline
PVA-C12	PVA-HEILAI	Contiguous VO before marker	contiguous_vo_control	老闆發脾氣起上嚟好得人驚。	Judgment and repair rather than assumed categorical rejection.	VO order boundary
PVA-C13	PVA-HEILAI	Appearance judgment	appearance_boundary	呢件事睇起嚟好困難。	Appearance/evaluation, not automatic onset.	Lexical/discourse competitor
PVA-C13	PVA-HEILAI	Speaking-of discourse frame	discourse_boundary	講起嚟，我都識佢。	Discourse-topic function, not automatic onset.	Discourse competitor
PVA-C14	PVA-SHARED	Each matched item	forced_interpretation	Target item from PVA-C01–C13.	Choose recurrence/establishment; forward continuation; onset; manifestation; literal motion; lexical/result; discourse/evaluation; other; unclear.	Naturalness alone cannot identify profile
PVA-C14	PVA-SHARED	Each matched item	correction_and_reason	Target item from PVA-C01–C13.	Optional correction plus reason: context, lexical choice, object order, aspect, direction, register, or grammar.	Adjudication and null-outcome support
