pattern	prior_status	current_linguistic_status	status_reason	source_reverification	manual_example_review	first_speaker_record	second_speaker_record	code_document_alignment	negative_boundary_record	implementation_test_record	provisional_eligible	supported_productive_eligible	provisional_blockers	productive_blockers	next_action
NegatedExistentialFragment	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	NO_CANDIDATE_HITS_RECORDED	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
PassivePermissiveRelation	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	NOT_RECORDED	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	CP020_FROZEN_DESIGN_AND_HELDOUT_BOUNDARIES	CP020_FROZEN_60_ROW_HEADLESS_REVIEW_PENDING_RENDERED_ACCEPTANCE	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
PerfectiveVP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	two_project_aspect_order_boundary_probes_recorded_not_independent_ungrammaticality_evidence	CANDIDATE_HEADLESS_4_OF_4_INDEPENDENT_COMPLETION_PERFECTIVE_POSITIVES_PASS_RENDERED_PENDING	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
PostThemeParticipantRelation	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	NO_CANDIDATE_HITS_RECORDED	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	CP021B_FROZEN_24_ROW_DESIGN_BOUNDARIES	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
PostverbalZoPerfectiveVP	supported_productive	provisional_reaudit	prior_productive_acceptance_withdrawn_pending_current_definition_of_done	COMPLETE_4_SOURCES;SEMANTIC_OVERCLAIM_FOUND	COMPLETE_PUBLISHED_EXAMPLES;LEGACY_6_CORPUS_COUNT_UNTRACEABLE_ZERO_WEIGHT	INSUFFICIENT_ONLY_1_EXACT_POSITIVE_NO_CONTROLLED_BOUNDARY_SET	NOT_STARTED	FAIL_RUNTIME_SCOPE_AND_SEMANTIC_METADATA_OVERSTATE_EVIDENCE	EXECUTABLE_HISTORICAL_SET_PRESENT;TWO_SPEAKER_REVIEW_PENDING	HISTORICAL_GATES_PASS_SOFTWARE_ONLY;CP025_CONTROLLED_POSITIVES_2_OF_6_TARGET_PRESENT	false	false	controlled Speaker A positive+boundary review; runtime/doc correction; source-linked object/lexicon coverage decision	controlled Speaker A and B reviews; runtime action_verb scope justification or narrowing; selectional coverage correction; source-linked positive implementation breadth; exact code-doc alignment	collect both speaker forms; specify evidence-bounded object policy; then create a new runtime candidate and rerun render/held-out/regression gates
QuantifiedClassifierNP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
QuantityNP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
ReportedSpeech	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
TemporalClause	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
TransitiveVP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
VerbComplementVP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
ResourceUseLaiFunctionRelation	supported_productive	provisional_reaudit	prior_productive_acceptance_withdrawn_pending_current_definition_of_done	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	NOT_RECORDED	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	source_linked_profile_split_plus_v0.5.182_locked_separate_user_modal_copular_actual_use_instrumental_general_purpose_negation_A_not_A_reduplication_and_omission_boundaries	PROSPECTIVE_8_OF_8_PASS_CONSUMED	false	false		all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Complete the full current Definition of Done before restoring supported_productive status.
