pattern	prior_status	current_linguistic_status	status_reason	source_reverification	manual_example_review	first_speaker_record	second_speaker_record	code_document_alignment	negative_boundary_record	implementation_test_record	provisional_eligible	supported_productive_eligible	provisional_blockers	productive_blockers	next_action
NegatedExistentialFragment	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	NO_CANDIDATE_HITS_RECORDED	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
PassivePermissiveRelation	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	NOT_RECORDED	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	CP020_FROZEN_DESIGN_AND_HELDOUT_BOUNDARIES	CP020_FROZEN_60_ROW_HEADLESS_REVIEW_PENDING_RENDERED_ACCEPTANCE	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
PerfectiveVP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	two_project_aspect_order_boundary_probes_recorded_not_independent_ungrammaticality_evidence	CANDIDATE_HEADLESS_4_OF_4_INDEPENDENT_COMPLETION_PERFECTIVE_POSITIVES_PASS_RENDERED_PENDING	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
PostThemeParticipantRelation	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	NO_CANDIDATE_HITS_RECORDED	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	CP021B_FROZEN_24_ROW_DESIGN_BOUNDARIES	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
PostverbalZoPerfectiveVP	supported_productive	provisional_reaudit	prior productive status withdrawn; one-speaker gate complete but full productive re-audit incomplete	COMPLETE_4_SOURCES;SEMANTIC_OVERCLAIM_FOUND	COMPLETE_PUBLISHED_EXAMPLES;LEGACY_6_CORPUS_COUNT_UNTRACEABLE_ZERO_WEIGHT	COMPLETE_SPEAKER_A_CONTROLLED_PACKET_6_POSITIVES_NATURAL_2_COMPARISONS_REJECTED	FROZEN_BY_USER_NOT_WAIVED	FAIL_RUNTIME_SCOPE_AND_SEMANTIC_METADATA_OVERSTATE_EVIDENCE	EXECUTABLE_HISTORICAL_SET_PRESENT;TWO_SPEAKER_REVIEW_PENDING	HISTORICAL_GATES_PASS_SOFTWARE_ONLY;CP025_CONTROLLED_POSITIVES_2_OF_6_TARGET_PRESENT	false	false	not_applicable_formerly_accepted_construction_remains_provisional_reaudit_under_current_rule	second independent speaker; runtime action_verb scope justification or narrowing; selectional coverage correction; source-linked positive implementation breadth; exact code-doc alignment	continue implementation specification and other source work; do not recruit or schedule Speaker B until user unfreezes second-speaker work
QuantifiedClassifierNP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
QuantityNP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
ReportedSpeech	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
TemporalClause	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
TransitiveVP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
VerbComplementVP	provisional	research_pending	prior_provisional_status_withdrawn_until_current_provisional_checklist_is_reverified	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	false	checked_exact_source;one_speaker_positive_negative_review;drafted_negative_boundaries;independent_evidence_beyond_parser_tests	all_sources_reverified;all_used_corpus_hits_manually_classified;two_independent_speakers;executable_negative_boundaries;code_document_alignment;separate_implementation_and_linguistic_reporting;plain_language_claim	Reverify at least one exact source, confirm one independent native-speaker review of the relevant positive and negative examples, and draft boundaries before restoring provisional status.
ResourceUseLaiFunctionRelation	supported_productive	provisional_reaudit	prior_productive_acceptance_withdrawn_pending_current_definition_of_done	COMPLETE_5_FULL_OR_PAGE_SOURCES;MATTHEWS_METADATA_ONLY_ZERO_SPECIFIC_WEIGHT	COMPLETE_6_ITEMS;1_DIRECT_QUOTE;1_EDITORIAL_NARRATIVE;1_PUBLISHED_ILLUSTRATIVE;BOUNDARIES_CLASSIFIED	NOT_STARTED_SPEAKER_A_FORM_PREPARED	FROZEN_BY_USER_NOT_WAIVED	FAIL_RESOURCE_SEMANTICS_SELECTIONAL_SCOPE_COORDINATION_AND_STALE_METADATA	EXECUTABLE_HISTORICAL_BOUNDARIES_REPROBED;BROAD_RELATION_RETAINS_MODAL_COPULAR_PERFECTIVE_PROFILES	CP026_22_CASE_PROBE;6_NARROW_TARGET;5_BROAD_ONLY;11_NO_RELATION;SOURCE_S02_BLOCKED;SOURCE_S04_NOT_CLEAN	false	false	one independent Speaker A positive+comparison review; plain-language claim narrowed to current evidence	second independent speaker frozen; semantic resource/predicate scope; coordination coverage decision; exact code-doc alignment; later runtime metadata correction	collect Speaker A form when convenient; specify a narrower evidence-backed resource-function candidate; keep second-speaker work frozen
