runtime_label	lane	primary_claim_type	current_status	canonical_family_id	canonical_family	family_type	target_action	survives_as_public_construction	required_endpoint	target_boundary
ComparativeStative	LANE-10	cantonese_language_claim	unsupported_generalization	L43	ScalarComparisonAndEvaluation	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
ComplementEllipsisFragment	LANE-04	cantonese_language_claim	research_pending	L05	FragmentsAndEllipsis	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split existential-domain omission, response particles/propositional anaphora, independently evidenced copular omission, null arguments, and selectively licensed VP ellipsis; preserve overt tokens and unresolved antecedent status.
CompletionQuestion	LANE-05	cantonese_language_claim	research_pending	L11	Completion	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Require an overt completion/result/aspect licensing subtype for the language claim; keep perfective, experiential, and result/completion readings distinct; quarantine bare reviewed VO + 未 pending evidence.
CompletionThenClause	LANE-02	cantonese_language_claim	unsupported_generalization	L03	TemporalAndSequentialRelations	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Realign to ordinary completion structure plus a 就-marked sequence relation; preserve local subjects and clause boundaries, and do not infer conditionality.
CompletionVP	LANE-05	cantonese_language_claim	research_pending	L11	Completion	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Keep the sourced V完 and V完咗O family narrow; split 完 phase/endpoint, 晒 totality, result-state, and outer-perfective layers. Research 晒 separately before disposition.
CompoundDirectionalMotionVP	LANE-09	cantonese_language_claim	unsupported_generalization	L33	DirectionalMotion	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Reconcile the inconsistent runtime spans for 返上嚟 and 行返過嚟; preserve ordering and object-placement restrictions.
ConditionResult	LANE-02	cantonese_language_claim	unsupported_generalization	L02	ConditionalRelations	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Replace the action+就+stative wrapper with a relation between independently parsed clauses; distinguish conditional consequent 就 from temporal/sequential and other uses.
ConditionalClause	LANE-02	cantonese_language_claim	unsupported_generalization	L02	ConditionalRelations	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split 如果, 嘅話, bare conditional 嘅, markerless/contextual condition relations, and isolated antecedent fragments; preserve marker tone and result attachment without inserting hidden content.
CoordinatedNP	LANE-06	cantonese_language_claim	unsupported_generalization	L18	AssociativeAndCoordinatedNP	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split overt 同, 同埋, and juxtaposition profiles; distinguish coordination from comitative/coverb 同 and assign clause role outside the NP.
CopularANotAQuestion	LANE-07	cantonese_language_claim	unsupported_generalization	L23	ANotAQuestions	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve overt 係唔係 while distinguishing nominal and clausal complements; record the syntactic analysis as contested and keep tokenization decisions internal.
CopularIdentificationFrame	LANE-10	parser_representation_decision	parser_heuristic	I06	CopularComposition	hybrid_internal_language_sensitive	MERGE_INTERNAL_WRAPPER	NO	INTERNAL_ONLY_NON_LICENSING	Consolidate with a canonical copular-clause design; if the identification subtype survives, move its licensing claim to the language layer and source it explicitly.
CopularRelationFrame	LANE-10	parser_representation_decision	parser_heuristic	I06	CopularComposition	hybrid_internal_language_sensitive	MERGE_INTERNAL_WRAPPER	NO	INTERNAL_ONLY_NON_LICENSING	Merge into canonical copular composition; preserve complement type and stance embedding as metadata rather than a parallel frame ontology.
CoverbFrame	LANE-01	cantonese_language_claim	research_pending	L01	CoverbAndParticipantRelations	language_family	DECOMPOSE_IMPLEMENTATION_UMBRELLA	NO	RETIRE_PUBLIC_UMBRELLA_AFTER_DECOMPOSITION	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
DefinitionComplement	LANE-10	parser_representation_decision	parser_heuristic	I04	NominalAndMeasureSpan	internal_architecture	RETAIN_INTERNAL	NO	INTERNAL_ONLY_NON_LICENSING	Keep only as an internal child span; it may not independently license a definition reading or convert arbitrary text into an NP.
DefinitionExplanatoryFrame	LANE-10	parser_representation_decision	parser_heuristic	I06	CopularComposition	hybrid_internal_language_sensitive	QUARANTINE_INTERNAL_MATCHER	NO	INTERNAL_ONLY_NON_LICENSING	Keep quarantined. In consolidation, either merge it into sourced copular/identity/question components or reclassify the retained exact construction to the language layer before implementation.
DegreeMannerAdverbial	LANE-10	cantonese_language_claim	research_pending	L37	MannerAndReduplication	language_family	DECOMPOSE_IMPLEMENTATION_UMBRELLA	NO	RETIRE_PUBLIC_UMBRELLA_AFTER_DECOMPOSITION	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
DegreeMannerModifiedVP	LANE-10	cantonese_language_claim	unsupported_generalization	L37	MannerAndReduplication	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
DegreeModifiedLexicalStative	LANE-10	cantonese_language_claim	unsupported_generalization	L42	StativePredication	language_family	RETAIN_LEXICALIZED_PROFILE	LEXICAL_OR_SUBTYPE_ONLY	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Keep quarantined or lexically enumerated until exact corpus examples establish degree + lexicalized property combinations such as 好好食 and their context conditions.
DegreeStativePredicate	LANE-10	cantonese_language_claim	provisional	L42	StativePredication	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Retain overt degree tokens; research 太, 有啲, degree stacking, and discourse-sensitive bare predicates separately before productive licensing.
DelimitedVP	LANE-05	cantonese_language_claim	unsupported_generalization	L10	DelimitativeAspect	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve frozen behavior; use the R21 source map to split overt form, event class, 返 polysemy, prior-state licensing, and argument composition before any implementation.
DemonstrativeClassifierNP	LANE-06	cantonese_language_claim	provisional	L17	DemonstrativeNP	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Keep overt-head D-(X)-C-N and headless D-C-Ø distinct; record variation over overt one and prohibit hidden numeral insertion.
DemonstrativeHeadNP	LANE-06	cantonese_language_claim	unsupported_generalization	L17	DemonstrativeNP	language_family	RETIRE	NO	RETIRE_MERGE_OR_RECLASSIFY	Retire the current template/example mismatch; route 呢個蘋果-type forms through demonstrative+classifier+noun analysis.
DemonstrativeQuantifiedClassifierNP	LANE-06	cantonese_language_claim	unsupported_generalization	L16	ClassifierAndQuantityNP	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Keep dormant and narrow to overt D+Num+CL+N only if a separate node remains useful after design review.
DesiderativeVP	LANE-08	cantonese_language_claim	research_pending	L30	DesirePreferenceAndIntention	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Separate 想 and 要 readings, NP versus VP complementation, and desire versus necessity polarity; quarantine the generic degree/cooccurrence fallback.
DiMarkedNP	LANE-06	cantonese_language_claim	provisional	L21	OrdinalNominals	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Relabel theory-neutrally as an overt di1-marked nominal expression; preserve plural interpretation while keeping gloss and clause role context-dependent.
DirectedMannerMotionVP	LANE-09	cantonese_language_claim	research_pending	L33	DirectionalMotion	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Keep postverbal manner-direction profiles separate from preverbal 向 phrases and caused-motion participant mappings.
DirectionalCausedMotionVP	LANE-09	cantonese_language_claim	unsupported_generalization	L33	DirectionalMotion	language_family	RETIRE	NO	RETIRE_MERGE_OR_RECLASSIFY	Merge or retire the dormant label; represent sourced causative directional compounds only through independently typed caused-motion/result and directional relations, preserving the causative-versus-directional boundary.
DirectionalMotionVP	LANE-09	cantonese_language_claim	provisional	L33	DirectionalMotion	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Use the R4 matrix to split independent path predicates, manner-directional sequences, postverbal directionals, and caused-motion subspans before any implementation design.
DiscourseParticleFrame	LANE-03	parser_representation_decision	parser_heuristic	I03	ParticleScope	internal_architecture	RENAME_INTERNAL	NO	INTERNAL_ONLY_NON_LICENSING	Retain only as an internal particle-scope wrapper; rename away from a standalone construction claim and require each particle/cluster subtype to inherit mapped evidence.
DisposalChangeIntoResultFrame	LANE-05	cantonese_language_claim	unsupported_generalization	L15	ResultativeAndChangePredication	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Merge/retire as modal/disposal/object/change composition; directly source the combined template before preserving a dedicated frame.
DitransitiveSpeechVP	LANE-08	cantonese_language_claim	unsupported_generalization	L32	SpeechReportingAndCommunicationEffect	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Retain exact 話+recipient+知 evidence, preserve both verbs, and prohibit category-wide cross-product generation.
DurativeVP	LANE-05	cantonese_language_claim	research_pending	L09	DurativeContinuativeAspect	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split continuing-state, transitive, and accompanying/subordinate V住 profiles and add lexical restrictions before implementation.
EvaluationWithDouSyun	LANE-10	cantonese_language_claim	unsupported_generalization	L43	ScalarComparisonAndEvaluation	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
ExistentialClause	LANE-10	cantonese_language_claim	research_pending	L39	ExistentialAndPresentationalClauses	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split overt possessor + 有 + NP, location-domain + 有 + NP, participant-introducing 有 + NP + predicate, and 有 + VP auxiliary profiles before implementation.
ExistentialPresentationalClause	LANE-10	cantonese_language_claim	research_pending	L39	ExistentialAndPresentationalClauses	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Research exact 有/冇 + NP + 喺-coda order and polarity using natural corpora and construction-specific analysis; do not extrapolate from general 有+NP+predicate presentation.
ExistentialQuestion	LANE-07	cantonese_language_claim	unsupported_generalization	L24	ExistentialQuestions	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Separate possessive NP, locative existential NP, availability, event/experiential VP, and discourse-elliptical 有冇; preserve suppletive marker status.
ExistentialWhQuestion	LANE-07	cantonese_language_claim	research_pending	L24	ExistentialQuestions	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Find exact 有咩(+NP) examples and analysis; replace co-occurrence fallback with source-backed order and complement boundaries only after authorization.
ExperientialClause	LANE-05	cantonese_language_claim	unsupported_generalization	L07	ExperientialAspect	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Preserve frozen behavior; apply R24 directional-aspect composition, wrapper transparency, negator-type, not-yet, and question/statement boundaries before implementation.
ExperientialMotionGoalVP	LANE-09	cantonese_language_claim	unsupported_generalization	L34	GoalSourceAndPath	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Narrow to independently licensed motion predicates with overt goals; do not generalize from 去過.
ExperientialQuestion	LANE-05	cantonese_language_claim	unsupported_generalization	L07	ExperientialAspect	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Require an interrogative final-未 profile after overt experiential material; separate negative statements.
ExperientialVP	LANE-05	cantonese_language_claim	provisional	L07	ExperientialAspect	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Retain overt V過 narrowly and research lexical/event compatibility rather than promoting action_verb + 過 productivity.
ExperientialYesNoQuestion	LANE-05	cantonese_language_claim	unsupported_generalization	L07	ExperientialAspect	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Keep suppletive 有冇+V過 separate from ordinary A-not-A and prevent duplicate object/topic relations.
FocusParticleFrame	LANE-03	parser_representation_decision	parser_heuristic	I03	ParticleScope	internal_architecture	RENAME_INTERNAL	NO	INTERNAL_ONLY_NON_LICENSING	Retain as internal scope/coverage structure only; require an overt licensed host and independently mapped restrictive-particle subtype.
FormulaDiscourseUnit	LANE-03	lexicalized_language_claim	lexicalized_only	L04	FormulaicDiscourse	lexicalized_family	RETAIN_LEXICALIZED_PROFILE	LEXICAL_OR_SUBTYPE_ONLY	SUPPORTED_BOUNDED_LEXICALIZED	Split individually sourced lexical formulae, response-particle 係, repetition/acknowledgement heuristics, and transparent reaction/acceptance clauses; leave unsourced list members and repetition cross-products lexicalized or quarantined.
FragmentAnswer	LANE-03	cantonese_language_claim	research_pending	L05	FragmentsAndEllipsis	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Separate response particles, predicate/aspect repetition, lexeme-specific modal replies, and discourse-linked stance answers; realign possessor+嘅 with headless nominal analysis and preserve context without inserting hidden words.
FragmentQuestion	LANE-03	cantonese_language_claim	research_pending	L05	FragmentsAndEllipsis	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Retain context-linked thematic topic+呢 narrowly; obtain direct full-source evidence for exact 你呢 and bare 呢 before promotion, and preserve other ne1 question/declarative analyses.
GoalAttainmentMotionVP	LANE-09	cantonese_language_claim	research_pending	L34	GoalSourceAndPath	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Separate main arrival 到, spatial attainment V-到-goal, nonspatial result/extent, and ability-related uses.
IdentificationFragment	LANE-03	lexicalized_language_claim	lexicalized_only	L05	FragmentsAndEllipsis	language_family	QUARANTINE_EXACT_GAP	CONDITIONAL_AFTER_REMEDIATION	SUPPORTED_BOUNDED_LEXICALIZED	Split ordinary copular/focus 就係 from particle-bound utterance uses; require direct context for fragment status and do not make the final-particle slot freely optional.
IdentityWhQuestion	LANE-07	cantonese_language_claim	unsupported_generalization	L25	TypedWhAndStanceQuestions	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve the R20 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
ImpersonalEnvironmentalClause	LANE-10	cantonese_language_claim	research_pending	L41	EnvironmentalClauses	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve frozen behavior; use the R22 source map to split environmental events, lexical transitions, ambient properties, locative inversion, place properties, posture locatives, and spatial/progressive 喺度 before implementation.
IntendedFunctionRelation	LANE-01	cantonese_language_claim	provisional	L01	CoverbAndParticipantRelations	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Narrow 用嚟 to sourced instrumental/function serial-verb profiles; preserve overt resource/topic structure and split actual-use events, intended function, affordance, and ordinary lexical 用.
IntentionFrame	LANE-08	cantonese_language_claim	unsupported_generalization	L30	DesirePreferenceAndIntention	language_family	RETAIN_LEXICALIZED_PROFILE	LEXICAL_OR_SUBTYPE_ONLY	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Narrow to lexicalized 諗住 senses and typed complements; split planning from cognition/assumption and ordinary V住.
IntransitiveVP	LANE-10	cantonese_language_claim	unsupported_generalization	L45	ValencyAndArgumentStructure	architecture_family	DECOMPOSE_IMPLEMENTATION_UMBRELLA	NO	RETIRE_PUBLIC_UMBRELLA_AFTER_DECOMPOSITION	Replace the generic action_verb-only template with sourced lexeme/use valency and typed omission diagnostics; preserve genuine one-place predicates without fabricating objects.
LexicalGiveRelation	LANE-08	cantonese_language_claim	provisional	L01	CoverbAndParticipantRelations	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Use the cumulative R4 source matrix; retain SOURCE_LINKED_PROVISIONAL until behavior review.
LocativeExistentialClause	LANE-10	cantonese_language_claim	research_pending	L39	ExistentialAndPresentationalClauses	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Retire or replace the dormant mismatched template; retain only overt location-domain + 有/冇 + NP as the source-linked target for future authorized remediation.
LocativeFragment	LANE-03	cantonese_language_claim	unsupported_generalization	L05	FragmentsAndEllipsis	language_family	QUARANTINE_EXACT_GAP	CONDITIONAL_AFTER_REMEDIATION	RETIRE_MERGE_OR_RECLASSIFY	Represent the overt locative phrase compositionally; require discourse context for standalone-answer status and preserve spatial/progressive ambiguity without hidden figures.
LocativeFrameClause	LANE-10	cantonese_language_claim	research_pending	L40	LocativeClauseFrames	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve frozen behavior; use the R22 source map to split environmental events, lexical transitions, ambient properties, locative inversion, place properties, posture locatives, and spatial/progressive 喺度 before implementation.
