canonical_family_id	canonical_family	family_type	member_label_count	member_labels	productive_target_denominator	required_endpoint	route	current_readiness	prerequisite_family_ids	dependent_family_ids	external_source_count	accepted_tree_occurrence_count	implementation_readiness_points_0_20	remediation_priority_points_0_20	active_program_disposition
L26	Negation	language_family	6	NegatedDirectionalMotionVP;NegatedExistentialClause;NegatedLexicalizedStative;NegatedStativePredicate;NegatedVP;NegativeHaveClause	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	L39;L42;L33	L07	10	13	9	15	QUEUED
L27	AcceptabilityAndFreeChoice	language_family	1	AcceptabilityClause	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT			2	0	6	8	QUEUED
L28	DirectivesRequestsAndSuggestions	language_family	3	PoliteImperativeClause;ProhibitiveImperative;SuggestionQuestion	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	I03		3	1	7	10	QUEUED
L29	Modality	language_family	1	ModalVP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	ARCHITECTURE_PROGRAM		L23;L30	2	15	3	13	QUEUED
L30	DesirePreferenceAndIntention	language_family	3	DesiderativeVP;IntentionFrame;PreferenceVP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	L29		4	12	9	12	QUEUED
L31	CognitionAndStance	language_family	5	CognitionContentFrame;CognitionDelimitedObjectVP;CognitionDelimitedVP;CognitionStatementClause;OpinionStanceFrame	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	RESEARCH_GAP_BEFORE_FULL_IMPLEMENTATION	I07	L25	6	27	6	15	QUEUED
L32	SpeechReportingAndCommunicationEffect	language_family	3	DitransitiveSpeechVP;ReportedSpeech;SpeechTransferClause	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	I07;L01		7	7	9	14	QUEUED
L33	DirectionalMotion	language_family	4	CompoundDirectionalMotionVP;DirectedMannerMotionVP;DirectionalCausedMotionVP;DirectionalMotionVP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT		L13;L26;L34;L35	7	84	10	18	QUEUED
L34	GoalSourceAndPath	language_family	5	ExperientialMotionGoalVP;GoalAttainmentMotionVP;MotionGoalVP;PathPhrase;SourceMotionClause	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	L33		7	48	11	16	QUEUED
L35	PurposeSerialRelations	language_family	5	MotionDelimitedVP;MotionPurposeChain;ProgressivePurposeClause;PurposePredicate;SerialVerbPurposeChain	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	I02;L33;L10		5	6	8	16	QUEUED
L36	LocativeAndPosturalPredication	language_family	2	LocativePlacePhrase;LocativePostureVP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	L40	L40	5	15	8	13	QUEUED
L37	MannerAndReduplication	language_family	4	DegreeMannerAdverbial;DegreeMannerModifiedVP;MannerAdverbialVP;ReduplicatedVP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	L42		5	6	7	11	QUEUED
L38	NamingAndAddress	lexicalized_family	2	NamingClause;VocativeAddressTerm	NO	SUPPORTED_BOUNDED_LEXICALIZED_REQUIRED	ATTEST_BOUNDARIES_BLOCK_PRODUCTIVITY	READY_AFTER_PACKET			3	0	8	7	QUEUED
L39	ExistentialAndPresentationalClauses	language_family	3	ExistentialClause;ExistentialPresentationalClause;LocativeExistentialClause	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	L45	L24;L26	4	14	9	16	QUEUED
L40	LocativeClauseFrames	language_family	1	LocativeFrameClause	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	L36	L36	3	4	6	11	QUEUED
L41	EnvironmentalClauses	language_family	1	ImpersonalEnvironmentalClause	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT			3	15	8	10	QUEUED
L42	StativePredication	language_family	5	ActionStativeVP;AdjectivalPredicateClause;DegreeModifiedLexicalStative;DegreeStativePredicate;StativePredicate	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	ARCHITECTURE_PROGRAM	L43	L26;L37;L44	7	30	5	18	QUEUED
L43	ScalarComparisonAndEvaluation	language_family	4	ComparativeStative;EvaluationWithDouSyun;ScalarEvaluation;ScalarRangeFragment	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT		L42	2	0	6	12	QUEUED
L44	TemporalAndMeasurePredication	language_family	3	NominalPredicateClause;TimeNP;TimeToActionFrame	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	RESEARCH_GAP_BEFORE_FULL_IMPLEMENTATION	I04;L42		6	13	5	11	QUEUED
L45	ValencyAndArgumentStructure	architecture_family	3	IntransitiveVP;ProductiveVO;TransitiveVP	NO	DECOMPOSE_AND_RETIRE_PUBLIC_UMBRELLA	LEXEME_USE_VALENCY_AND_TYPED_COMPLEMENTS	ARCHITECTURE_PROGRAM	I01	I07;L05;L12;L15;L39	4	59	6	17	QUEUED
