respondent_id	background_category	native_cantonese_confirmed	usage_frequency	consent_confirmed	independence_confirmed	RUL-P03	RUL-B02	RUL-P01	RUL-B05	RUL-S01	RUL-P04	RUL-B01	RUL-B11	RUL-P06	RUL-B07	RUL-Q01	RUL-P02	RUL-B12	RUL-B03	RUL-S02	RUL-P05	RUL-B06	RUL-B08	RUL-B04	RUL-B10	RUL-B09
RUL-EXT-011	hong_kong	true	daily	true	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	unnatural	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable
RUL-EXT-012	hong_kong	true	daily	true	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable
RUL-EXT-013	hong_kong	true	daily	true	true	unnatural	natural_or_acceptable	unnatural	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable
RUL-EXT-014	hong_kong	true	daily	true	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural
RUL-EXT-015	hong_kong	true	daily	true	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural
RUL-EXT-016	hong_kong	true	daily	true	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable
RUL-EXT-017	hong_kong	true	daily	true	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable
RUL-EXT-018	hong_kong	true	daily	true	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	unnatural	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural
RUL-EXT-019	hong_kong	true	daily	true	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable
RUL-EXT-020	hong_kong	true	daily	true	true	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable
RUL-EXT-021	hong_kong	true	daily	true	true	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	unnatural	unnatural
RUL-EXT-022	hong_kong	true	daily	true	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable
RUL-EXT-023	hong_kong	true	daily	true	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable
