evidence_id	surface	jyutping	unit_word	unit_word_jyutping	unit_word_sense	unit_word_type	noun	noun_jyutping	construction_profile	project_provenance	source_ids	pair_status	structural_np_status	downstream_policy	region_register_context	competing_analysis_or_limit	confidence
UWNM-R1-016	一杯奶茶	jat1 bui1 naai5 caa4	杯	bui1	cup-container content unit	container_measure	奶茶	naai5 caa4	Num-UNIT-N	current BUI1 liquid-measure rule; HKCanCor exact follower count 4	CORPUS-HKCANCOR-UWNM-R1;SRC-WORDSHK-CONTAINER-MEASURES;SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	measure_relation_attested	visible_profile_complete	descriptive_evidence_only	beverage serving or quantity	This is a container-content measure relation, not evidence that 杯 is a sortal classifier for the liquid kind	HIGH
UWNM-R1-017	三杯茶	saam1 bui1 caa4	杯	bui1	cup-container content unit	container_measure	茶	caa4	Num-UNIT-N	current BUI1 liquid-measure rule; active NP fixture	SRC-WORDSHK-CONTAINER-MEASURES;SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	measure_relation_attested	visible_profile_complete	descriptive_evidence_only	beverage serving or quantity	Physical cups themselves take a classifier such as 隻; this row measures tea content	HIGH
UWNM-R1-018	三杯水	saam1 bui1 seoi2	杯	bui1	cup-container content unit	container_measure	水	seoi2	Num-UNIT-N	current BUI1 liquid-measure rule; bounded container-content contrast	SRC-WORDSHK-CONTAINER-MEASURES;SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	measure_relation_attested	visible_profile_complete	descriptive_evidence_only	literal cupful or serving of water	No exact bounded-corpus hit was found; the category-level measure analysis does not establish frequency or preferred serving size	MEDIUM
UWNM-R1-019	三杯書	saam1 bui1 syu1	杯	bui1	cup-container content unit	container_measure	書	syu1	Num-UNIT-N	current mismatch control	SRC-WORDSHK-CONTAINER-MEASURES;FIXTURE-NP-SUBSYSTEM-V0.5.184	structurally_ineligible_for_profile	visible_profile_complete	keep_blocked_under_ordinary_literal_reading	ordinary count of books	A coercive context involving shredded, liquid, or containerized book material would be a different measure interpretation and is not licensed here	HIGH
UWNM-R1-020	兩碗飯	loeng5 wun2 faan6	碗	wun2	bowl-container content unit	container_measure	飯	faan6	Num-UNIT-N	current WUN2 food-bowl rule; active NP fixture	SRC-WORDSHK-CONTAINER-MEASURES;SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	measure_relation_attested	visible_profile_complete	descriptive_evidence_only	serving or quantity of cooked rice	This is a bowl-content measure; it does not classify the physical food as a bowl-shaped sortal	HIGH
UWNM-R1-021	兩碗水	loeng5 wun2 seoi2	碗	wun2	bowl-container content unit	container_measure	水	seoi2	Num-UNIT-N	project 杯 versus 碗 boundary probe; no exact bounded-corpus hit	SRC-WORDSHK-CONTAINER-MEASURES;SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	unreviewed	visible_profile_complete	do_not_encode_preference_without_context	literal bowls containing water	Structurally interpretable as a container measure, but conventionality and discourse purpose were not independently tested	MEDIUM
UWNM-R1-022	兩本書	loeng5 bun2 syu1	本	bun2	bound-volume sortal	sortal_classifier	書	syu1	Num-UNIT-N	current BUN2 book rule; HKCanCor exact pair count 16; active NP fixture	CORPUS-HKCANCOR-UWNM-R1;SRC-GLOSSIKA-W19-CLASSIFIERS	source_attested_preferred	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; physical or individuated book volume	The row does not automatically extend 本 to all publications, documents, or electronic texts	HIGH
UWNM-R1-023	三本水	saam1 bun2 seoi2	本	bun2	bound-volume sortal	sortal_classifier	水	seoi2	Num-UNIT-N	current mismatch control	SRC-GLOSSIKA-W19-CLASSIFIERS;FIXTURE-NP-SUBSYSTEM-V0.5.184	structurally_ineligible_for_profile	visible_profile_complete	keep_blocked_under_ordinary_literal_reading	ordinary quantity of water	A title or publication named 水 would be a different noun sense; the literal mass-noun reading does not match the volume sortal	HIGH
UWNM-R1-024	三本電話	saam1 bun2 din6 waa2	本	bun2	bound-volume sortal	sortal_classifier	電話	din6 waa2	Num-UNIT-N	current mismatch control	SRC-GLOSSIKA-W19-CLASSIFIERS;SRC-WORDSHK-BOU6-DEVICES;FIXTURE-NP-SUBSYSTEM-V0.5.184	structurally_ineligible_for_profile	visible_profile_complete	keep_blocked_under_ordinary_literal_reading	ordinary physical telephone-device reading	A telephone directory, manual, or book title would require an overt or independently established volume noun sense	HIGH
UWNM-R1-025	兩張紙	loeng5 zoeng1 zi2	張	zoeng1	flat or spread-object sortal	sortal_classifier	紙	zi2	Num-UNIT-N	current ZOENG1 flat-object rule; HKCanCor exact pair count 3; active NP fixture	CORPUS-HKCANCOR-UWNM-R1;SRC-GLOSSIKA-W19-CLASSIFIERS	source_attested_preferred	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; sheet reading	The classifier also has conventional extensions, but this row establishes only the sheet-of-paper pairing	HIGH
UWNM-R1-026	三張水	saam1 zoeng1 seoi2	張	zoeng1	flat or spread-object sortal	sortal_classifier	水	seoi2	Num-UNIT-N	current mismatch control	SRC-GLOSSIKA-W19-CLASSIFIERS;FIXTURE-NP-SUBSYSTEM-V0.5.184	structurally_ineligible_for_profile	visible_profile_complete	keep_blocked_under_ordinary_literal_reading	ordinary quantity of water	A frozen sheet, image, or named work involving water would be a different coerced or lexical sense	HIGH
UWNM-R1-027	兩支筆	loeng5 zi1 bat1	支	zi1	long-thin sortal	sortal_classifier	筆	bat1	Num-UNIT-N	current ZI1 long-rigid rule; HKCanCor exact pair count 2; active NP fixture	CORPUS-HKCANCOR-UWNM-R1;SRC-WORDSHK-ZI1-ORTHOGRAPHY	source_attested_preferred	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; writing instrument	支 has additional bottle, song, troop, and fleet senses that must not be collapsed into this long-thin pair	HIGH
UWNM-R1-028	一枝鉛筆	jat1 zi1 jyun4 bat1	枝	zi1	long-thin sortal	sortal_classifier	鉛筆	jyun4 bat1	Num-UNIT-N	Week 19 missing exact surface; no exact 枝筆 bounded-corpus hit	SRC-GLOSSIKA-W19-CLASSIFIERS;SRC-WORDSHK-ZI1-ORTHOGRAPHY	source_attested_alternative	visible_profile_complete	candidate_for_later_controlled_implementation	written Cantonese lexical choice	枝 and 支 share zi1 and are both documented for long thin objects, but character choice and sense-specific extensions must remain explicit rather than implemented as a blind alias	HIGH
UWNM-R1-029	三件衫	saam1 gin6 saam1	件	gin6	clothing-item sortal	sortal_classifier	衫	saam1	Num-UNIT-N	current GIN6 clothing rule; HKCanCor exact pair count 4; active NP fixture	CORPUS-HKCANCOR-UWNM-R1;SRC-GLOSSIKA-W19-CLASSIFIERS	source_attested_preferred	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; clothing item	件 also counts matters and extended individuated items; this row establishes only clothing	HIGH
UWNM-R1-030	兩間屋	loeng5 gaan1 uk1	間	gaan1	bounded room, shop, building, or institution sortal	sortal_classifier	屋	uk1	Num-UNIT-N	current GAAN1 building-shop rule; HKCanCor exact pair count 4; active NP fixture	CORPUS-HKCANCOR-UWNM-R1;SRC-WORDSHK-GAAN1-PLACES	source_attested_preferred	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; bounded building reference	The classifier can count rooms, premises, and institutions; semantic subtype should remain visible	HIGH
UWNM-R1-031	三間公司	saam1 gaan1 gung1 si1	間	gaan1	bounded room, shop, building, or institution sortal	sortal_classifier	公司	gung1 si1	Num-UNIT-N	current GAAN1 building-shop rule; HKCanCor exact pair count 34	CORPUS-HKCANCOR-UWNM-R1;SRC-WORDSHK-GAAN1-PLACES	source_attested_preferred	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; institutional establishment	The pairing can profile an establishment or organizational unit and should not be reduced to physical building shape alone	HIGH
UWNM-R1-032	嗰間餐廳	go2 gaan1 caan1 teng1	間	gaan1	bounded room, shop, building, or institution sortal	sortal_classifier	餐廳	caan1 teng1	Dem-UNIT-N	current GAAN1 building-shop rule; active NP fixture	SRC-WORDSHK-GAAN1-PLACES;SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	source_attested_preferred	visible_profile_complete	descriptive_evidence_only	ordinary restaurant-establishment reference	The lexical source directly assigns 間; this does not license animal classifier 隻 for the establishment sense	HIGH
UWNM-R1-033	三間醫生	saam1 gaan1 ji1 sang1	間	gaan1	bounded room, shop, building, or institution sortal	sortal_classifier	醫生	ji1 sang1	Num-UNIT-N	current mismatch control	SRC-WORDSHK-GAAN1-PLACES;SRC-WORDSHK-BOUNDED-PAIRS;FIXTURE-NP-SUBSYSTEM-V0.5.184	structurally_ineligible_for_profile	visible_profile_complete	keep_blocked_under_ordinary_literal_reading	ordinary count of medical practitioners	A clinic, office, hospital, or practice can take 間 when that location noun is overt or independently understood; the human noun itself does not instantiate that place sense here	HIGH
UWNM-R1-034	一對鞋	jat1 deoi3 haai4	對	deoi3	paired-set unit	pair_measure	鞋	haai4	Num-UNIT-N	Week 19 missing exact surface; no exact bounded-corpus pair hit	SRC-GLOSSIKA-W19-CLASSIFIERS;SRC-WORDSHK-BOUNDED-PAIRS	source_attested_preferred	visible_profile_complete	candidate_for_later_controlled_implementation	ordinary matched pair of shoes	A single shoe takes 隻; the pair measure creates a two-member unit and is not a sortal property of shoe kind	HIGH
UWNM-R1-035	一對筷子	jat1 deoi3 faai3 zi2	對	deoi3	paired-set unit	pair_measure	筷子	faai3 zi2	Num-UNIT-N	Week 19 missing exact surface; no exact bounded-corpus pair hit	SRC-GLOSSIKA-W19-CLASSIFIERS;SRC-WORDSHK-BOUNDED-PAIRS	source_attested_alternative	visible_profile_complete	candidate_for_later_controlled_implementation	ordinary functional pair of chopsticks	Lexical evidence also permits 雙, 枝, and 隻 depending whether the unit is a pair or an individual stick; pair semantics must remain explicit	HIGH
UWNM-R1-036	一把刀	jat1 baa2 dou1	把	baa2	handled, grasped, or bundled unit	sortal_or_configuration_classifier	刀	dou1	Num-UNIT-N	Week 19 missing exact surface; HKCanCor exact pair count 1	CORPUS-HKCANCOR-UWNM-R1;SRC-GLOSSIKA-W19-CLASSIFIERS;SRC-WORDSHK-BAA2	source_attested_preferred	visible_profile_complete	candidate_for_later_controlled_implementation	Hong Kong conversational corpus; handled implement	把 also counts bundles, hand actions, fire, and other grasp-based units; this row establishes only the handled-knife sense	HIGH
UWNM-R1-037	一把較剪	jat1 baa2 gaau3 zin2	把	baa2	handled, grasped, or bundled unit	sortal_or_configuration_classifier	較剪	gaau3 zin2	Num-UNIT-N	Week 19 missing exact surface; bounded lexical example	SRC-GLOSSIKA-W19-CLASSIFIERS;SRC-WORDSHK-BAA2	source_attested_preferred	visible_profile_complete	candidate_for_later_controlled_implementation	ordinary handled scissors reference	English pair morphology must not force classification as 對; Cantonese lexical evidence directly uses 把 for the handled implement	HIGH
UWNM-R1-038	一條魚	jat1 tiu4 jyu2	條	tiu4	long, narrow, flexible, or conventional extended sortal	sortal_classifier	魚	jyu2	Num-UNIT-N	Week 19 missing exact surface; HKCanCor exact pair count 3	CORPUS-HKCANCOR-UWNM-R1;SRC-GLOSSIKA-W19-CLASSIFIERS;SRC-WORDSHK-TIU4	source_attested_preferred	visible_profile_complete	candidate_for_later_controlled_implementation	Hong Kong conversational corpus; individual fish	The conventional fish pairing does not mean every animal or elongated entity takes 條	HIGH
UWNM-R1-039	一條街	jat1 tiu4 gaai1	條	tiu4	long, narrow, flexible, or conventional extended sortal	sortal_classifier	街	gaai1	Num-UNIT-N	Week 19 missing exact surface; HKCanCor exact pair count 4	CORPUS-HKCANCOR-UWNM-R1;SRC-GLOSSIKA-W19-CLASSIFIERS;SRC-WORDSHK-TIU4	source_attested_preferred	visible_profile_complete	candidate_for_later_controlled_implementation	Hong Kong conversational corpus; street as bounded route	The pairing is conventional and spatial; it should not be generalized from geometric length alone	HIGH
UWNM-R1-040	三條樹枝	saam1 tiu4 syu6 zi1	條	tiu4	long, narrow, flexible, or conventional extended sortal	sortal_classifier	樹枝	syu6 zi1	Num-UNIT-N	Week 19 missing exact surface; bounded lexical example	SRC-GLOSSIKA-W19-CLASSIFIERS;SRC-WORDSHK-TIU4	source_attested_preferred	visible_profile_complete	candidate_for_later_controlled_implementation	ordinary count of branches or twigs	Do not confuse noun 樹枝 with classifier spelling 枝; the noun head and the unit word are independent tokens	HIGH
UWNM-R1-041	啲魚	di1 jyu2	啲	di1	plural, mass, quantity, or partitive marker	plural_mass_partitive_unit	魚	jyu2	DI-N	project 啲 classification question; HKCanCor exact pair count 16	CORPUS-HKCANCOR-UWNM-R1;SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	structurally_ineligible_for_profile	not_a_Num_or_Dem_sortal_classifier_profile	model_in_separate_plural_mass_partitive_path	Hong Kong conversational corpus; plural, partitive, or kind-sensitive readings	The corpus rows mix argument, possessed, and discourse-linked uses; 啲 must not be forced into the same pair-compatibility table as sortal classifiers	HIGH
UWNM-R1-042	啲書	di1 syu1	啲	di1	plural, mass, quantity, or partitive marker	plural_mass_partitive_unit	書	syu1	DI-N	project 啲 classification question; HKCanCor exact pair count 2	CORPUS-HKCANCOR-UWNM-R1;SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	structurally_ineligible_for_profile	not_a_Num_or_Dem_sortal_classifier_profile	model_in_separate_plural_mass_partitive_path	Hong Kong conversational corpus; plural or partitive books	The row establishes a plural or partitive nominal unit, not a competing classifier for individual books	HIGH
UWNM-R1-043	啲水	di1 seoi2	啲	di1	plural, mass, quantity, or partitive marker	plural_mass_partitive_unit	水	seoi2	DI-N	project 啲 classification question; HKCanCor exact pair count 2	CORPUS-HKCANCOR-UWNM-R1;SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	structurally_ineligible_for_profile	not_a_Num_or_Dem_sortal_classifier_profile	model_in_separate_plural_mass_partitive_path	Hong Kong conversational corpus; mass or partitive water	One corpus row is possessive inside 魚缸啲水 and one is quantity-like 攞啲水; these distinct structures must not be collapsed	HIGH
UWNM-R1-044	啲蘋果	di1 ping4 gwo2	啲	di1	plural, mass, quantity, or partitive marker	plural_mass_partitive_unit	蘋果	ping4 gwo2	DI-N	project lexical gap and 啲 boundary probe; no exact bounded-corpus hit	SRC-WORDSHK-BOUNDED-PAIRS;SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	structurally_ineligible_for_profile	not_a_Num_or_Dem_sortal_classifier_profile	model_in_separate_plural_mass_partitive_path	ordinary plural or partitive fruit reading	The phrase is structurally distinct from 呢個蘋果 and does not answer which singular classifier is preferred	MEDIUM
