id	ordinal	item_type	source_display	duplicate_status	terminal_classification	evidence_use	discrepancy_status	implementation_crosswalk_targets	review_note
GLOSSIKA-YUEHK-A1-W16-20260705-I012	12	lexical_entry	跑步	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I013	13	lexical_entry	影相	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I014	14	lexical_entry	聽歌	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I015	15	lexical_entry	睇書	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I016	16	lexical_entry	打機	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I017	17	lexical_entry	煮嘢食	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_runtime_crosswalk_and_source_difference	source_runtime_tokenization_boundary_difference	src/runtime-resources/lexicon/productive-vo.js	The runtime representation is retained, but the source/runtime reading or tokenization difference remains explicit and no source value is overwritten.
GLOSSIKA-YUEHK-A1-W16-20260705-I018	18	lexical_entry	唱K	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I019	19	lexical_entry	行街	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I020	20	lexical_entry	去沙灘	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/presentation/learner-glosses.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I021	21	lexical_entry	做運動	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I022	22	lexical_entry	畫畫	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_runtime_crosswalk_and_source_difference	source_runtime_reading_and_category_difference	src/runtime-resources/lexicon/token-lexicon/verbs.js	The runtime representation is retained, but the source/runtime reading or tokenization difference remains explicit and no source value is overwritten.
GLOSSIKA-YUEHK-A1-W16-20260705-I023	23	lexical_entry	踢波	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I024	24	lexical_entry	打波	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I025	25	lexical_entry	彈琴	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I026	26	lexical_entry	釣魚	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_runtime_crosswalk_and_source_difference	source_runtime_reading_difference	src/runtime-resources/lexicon/productive-vo.js	The runtime representation is retained, but the source/runtime reading or tokenization difference remains explicit and no source value is overwritten.
GLOSSIKA-YUEHK-A1-W16-20260705-I027	27	lexical_entry	旅行	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I028	28	lexical_entry	唱歌	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I029	29	lexical_entry	睇波	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I030	30	lexical_entry	瑜伽	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I031	31	lexical_entry	露營	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I032	32	lexical_entry	下棋	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_runtime_crosswalk_and_source_difference	source_runtime_reading_difference	src/runtime-resources/lexicon/productive-vo.js	The runtime representation is retained, but the source/runtime reading or tokenization difference remains explicit and no source value is overwritten.
GLOSSIKA-YUEHK-A1-W16-20260705-I033	33	lexical_entry	行公園	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I034	34	lexical_entry	一百萬	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/compositional-lexical-phrases.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I035	35	lexical_entry	二百萬	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/compositional-lexical-phrases.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I036	36	lexical_entry	三百萬	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/compositional-lexical-phrases.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I037	37	lexical_entry	四百萬	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/compositional-lexical-phrases.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I038	38	lexical_entry	五百萬	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/compositional-lexical-phrases.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I039	39	lexical_entry	六百萬	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/compositional-lexical-phrases.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I040	40	lexical_entry	七百萬	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/compositional-lexical-phrases.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I041	41	lexical_entry	八百萬	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/compositional-lexical-phrases.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I042	42	lexical_entry	九百萬	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/compositional-lexical-phrases.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I043	43	lexical_entry	一千萬	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/compositional-lexical-phrases.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I044	44	sentence	我放假鍾意去行山。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I045	45	sentence	不如聽日去睇戲啦。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I046	46	sentence	佢鍾意游水同跑步。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I047	47	sentence	你平時有咩嗜好？	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I048	48	dialog_turn	你放假鍾意做咩？	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I049	49	dialog_turn	我鍾意睇戲同行街。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I050	50	dialog_turn	今個星期六有時間嗎？	no_accepted_duplicate	naturalness_review_candidate	formula_or_register_unresolved_requires_independent_review			Retained as an unresolved formula/register item for independent corpus or speaker review; the source label is not adopted as a sociolinguistic conclusion.
GLOSSIKA-YUEHK-A1-W16-20260705-I051	51	dialog_turn	有呀，不如一齊去唱K啦！	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I052	52	sentence	我唔食肉。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I053	53	sentence	佢唔係醫生。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I054	54	phonics_pair	哥 / 姑	no_accepted_duplicate	new_corpus_attestation	unverified_pedagogical_pronunciation_attestation	requires_independent_phonological_and_lexical_verification		The phonics row is preserved as pedagogical pronunciation material only and is not adopted as a verified contrast.
GLOSSIKA-YUEHK-A1-W16-20260705-I055	55	phonics_pair	多 / 都	no_accepted_duplicate	new_corpus_attestation	unverified_pedagogical_pronunciation_attestation	requires_independent_phonological_and_lexical_verification		The phonics row is preserved as pedagogical pronunciation material only and is not adopted as a verified contrast.
GLOSSIKA-YUEHK-A1-W16-20260705-I056	56	phonics_pair	鎖 / 數	no_accepted_duplicate	new_corpus_attestation	unverified_pedagogical_pronunciation_attestation	requires_independent_phonological_and_lexical_verification		The phonics row is preserved as pedagogical pronunciation material only and is not adopted as a verified contrast.
GLOSSIKA-YUEHK-A1-W16-20260705-I057	57	phonics_pair	朗 / 龍	no_accepted_duplicate	new_corpus_attestation	unverified_pedagogical_pronunciation_attestation	requires_independent_phonological_and_lexical_verification		The phonics row is preserved as pedagogical pronunciation material only and is not adopted as a verified contrast.
GLOSSIKA-YUEHK-A1-W16-20260705-I058	58	phonics_pair	好 / 虎	no_accepted_duplicate	new_corpus_attestation	unverified_pedagogical_pronunciation_attestation	requires_independent_phonological_and_lexical_verification		The phonics row is preserved as pedagogical pronunciation material only and is not adopted as a verified contrast.
GLOSSIKA-YUEHK-A1-W16-20260705-I059	59	phonics_pair	裝 / 中	no_accepted_duplicate	new_corpus_attestation	unverified_pedagogical_pronunciation_attestation	requires_independent_phonological_and_lexical_verification		The phonics row is preserved as pedagogical pronunciation material only and is not adopted as a verified contrast.
