id	ordinal	section	subsection	item_type	register	source_display	source_jyutping	source_english	source_morpheme_gloss	source_hash	normalized_cantonese	duplicate_status	ingress_classification	runtime_crosswalk_status	duplicate_candidate_paths	source_discrepancies_json	review_state
GLOSSIKA-YUEHK-A1-W16-20260705-I015	15	vocabulary_and_situations	hobbies_free_time	lexical_entry		睇書	tai2 syu1	to read		sha256:e1452fbfd32d0cefe584610558e575d06aaf111883213fb4bf1134863c8176cd	睇書	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R13-ADDITIONS.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R13.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R14.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R15.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R16.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R17.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R18.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R19.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R20.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R21.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R22.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R23.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R24.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R25.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R26.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R27.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R28.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R29.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R30.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R31.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R32.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R33.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R34.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R35.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R36.tsv|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/items.tsv|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/review.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W14-20260621/source.json|docs/research/AB30-ZO-R-HKCANCOR-CLAIM-CROSS-REFERENCE-R2.md|docs/research/CP024-P0-L45-CODE-REFERENCE-INVENTORY-R1.tsv|docs/research/CP024-P0-L45-PRODUCTIVE-VO-SEED-INVENTORY-R1.tsv|docs/research/GLOSSIKA-WEEK16-LEXICON-PROVENANCE.md|docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R37.tsv|docs/research/UC-RQ-029-ZYU6-DURATIVE-COLLISION-AUDIT-R1.tsv|docs/research/UC-RQ-029-ZYU6-DURATIVE-DISPOSITION-R1.md|docs/research/UC-RQ-029-ZYU6-DURATIVE-SOURCE-VERIFICATION-R1.tsv|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.json|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.tsv|external-evidence/aa62-hkcancor/hkcancor-aa62-v-gwo-candidate-inventory.json|external-evidence/aa62-hkcancor/hkcancor-aa62-v-gwo-candidate-inventory.tsv|external-evidence/aa77-hkcancor/hkcancor-aa77-jau-mou-candidate-inventory.tsv|external-evidence/ab30-hkcancor/hkcancor-ab30-zo-r-candidate-inventory.json|external-evidence/ab30-hkcancor/hkcancor-ab30-zo-r-candidate-inventory.tsv|main.js|review-packets/corpus-review/AB30/hkcancor-zo-r-decisions-r2.json|review-packets/native-panel/active-v2/followup-draft-v1-item-crosswalk.tsv|review-packets/native-panel/active-v2/followup-draft-v1-items.tsv|src/runtime-resources/lexicon/productive-vo.js|src/runtime-resources/presentation/learner-glosses.js|test-data/CP023-P1-PROG01-visible-research-packet.tsv|test-data/pre-intermediate-gold-corpus.tsv|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js|validation/cp022-i1a-i01-a1/rendered-review/CP022-I1A-I01-R1-FOCUSED-RENDER-REVIEW.canto-span-acceptance-summary.json|validation/cp022-i1a-i01-a1/rendered-review/CP022-I1A-I01-R1-FOCUSED-RENDER-REVIEW.canto-span-full-diagnostics.json|validation/cp023-p1-prog01/current-baseline-observation.json	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I016	16	vocabulary_and_situations	hobbies_free_time	lexical_entry		打機	daa2 gei1	to play video games		sha256:5be044b099d2f022fbbd727ab14bb24971dc10e0c49a2e8e8f0926d43c1e8a3c	打機	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	external-evidence/aa77-hkcancor/hkcancor-aa77-jau-mou-candidate-inventory.tsv|main.js|src/runtime-resources/lexicon/productive-vo.js|src/runtime-resources/presentation/learner-glosses.js|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I017	17	vocabulary_and_situations	hobbies_free_time	lexical_entry		煮嘢食	zyu2 je5 sik6	to cook		sha256:458fc644d91ddfe316fec1d55554233edb3728a343fa0446a14f94a29b0a1653	煮嘢食	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	docs/research/GLOSSIKA-WEEK16-LEXICON-PROVENANCE.md|main.js|src/plugin-entry.js|src/runtime-resources/lexicon/productive-vo.js|src/runtime-resources/presentation/learner-glosses.js|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[{"type":"tokenization_boundary","status":"merged_pr_121","note":"Phrase-local food-object handling preserves existing 有冇嘢食 behavior."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I018	18	vocabulary_and_situations	hobbies_free_time	lexical_entry		唱K	coeng3 kei1	to do karaoke		sha256:799e1e12f5309591493a9a4fe99c01b41c6a55da9965d29558420c32c8cb5124	唱K	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	main.js|src/runtime-resources/lexicon/productive-vo.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js|src/runtime-resources/presentation/learner-glosses.js|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I019	19	vocabulary_and_situations	hobbies_free_time	lexical_entry		行街	haang4 gaai1	to go shopping (browsing)		sha256:77c02eeaf78e2033b5f03a61af9ec56caed9e78b81e913e0605e828149eb9894	行街	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	docs/research/PRQ2-011-M4DAAN1ZI2-ZUNG6-ADDITIVE-CORRELATIVE-COLLISION-AUDIT-R1.tsv|docs/research/PRQ2-011-M4DAAN1ZI2-ZUNG6-ADDITIVE-CORRELATIVE-RESEARCH-R1.md|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.json|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.tsv|external-evidence/aa77-hkcancor/hkcancor-aa77-jau-mou-candidate-inventory.tsv|external-evidence/aa89-hkcancor/hkcancor-aa89-modal-lexeme-candidate-inventory.tsv|main.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js|src/runtime-resources/presentation/learner-glosses.js|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I020	20	vocabulary_and_situations	hobbies_free_time	lexical_entry		去沙灘	heoi3 saa1 taan1	to go to the beach		sha256:7a3ad91a48edc930a3172ae229dbba86f795944022f1ec074b4cc16d96b7275a	去沙灘	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	docs/research/GLOSSIKA-WEEK16-LEXICON-PROVENANCE.md|main.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js|src/runtime-resources/presentation/learner-glosses.js|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I021	21	vocabulary_and_situations	hobbies_free_time	lexical_entry		做運動	zou6 wan6 dung6	to exercise		sha256:dc60df40c87d549307b74f316d98971e77dd16224937c8124a4e09153b08bb0a	做運動	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	external-evidence/aa89-hkcancor/hkcancor-aa89-modal-lexeme-candidate-inventory.tsv|main.js|src/runtime-resources/lexicon/productive-vo.js|src/runtime-resources/presentation/learner-glosses.js|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I022	22	vocabulary_and_situations	hobbies_free_time	lexical_entry		畫畫	waak6 waa2	to draw/paint		sha256:e46f72386f9bf3c58e7f09c2905ad40615a612e2e9291eacd047ab74f554e14f	畫畫	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	archive/registry-pre-obsidian-v0.5.184/full-construction-registry.json|archive/release-history/CHANGELOG-FULL-through-v0.5.182.md|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R23-ADDITIONS.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R23.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R24.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R25.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R26.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R27.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R28.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R29.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R30.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R31.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R32.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R33.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R34.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R35.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R36.tsv|data/construction-adjudication-batches/batch-03.json|data/construction-identities.json|docs/research/CONSTRUCTION-ADJUDICATION-BATCH-03.md|docs/research/CP024-P0-L45-VERB-VALENCY-INVENTORY-R1.tsv|docs/research/GLOSSIKA-WEEK16-LEXICON-PROVENANCE.md|docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R37.tsv|docs/research/UC-RQ-026-DI1-DEGREE-DISPOSITION-R1.md|grammar/research_pending/DegreeMannerAdverbial.md|grammar/research_pending/DegreeMannerModifiedVP.md|main.js|src/runtime-resources/lexicon/token-lexicon/verbs.js|src/runtime-resources/presentation/learner-glosses.js|src/runtime-resources/pronunciation/jyutping-review-expectations.js|tests/constructions/DegreeMannerModifiedVP.json|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[{"type":"reading_collision","sourceValue":"waak6 waa2","reviewedRuntimeValue":"waak6 waa2","status":"merged_pr_121","note":"PR #121 corrected the drawing verb reading while preserving noun 畫 waa2."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I023	23	vocabulary_and_situations	hobbies_free_time	lexical_entry		踢波	tek3 bo1	to play football		sha256:84899ea145d588f9108887b4f8387ce57f8b5a9de2546b1fd9b0520a53bc80e4	踢波	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.json|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.tsv|external-evidence/aa77-hkcancor/hkcancor-aa77-jau-mou-candidate-inventory.tsv|external-evidence/aa89-hkcancor/hkcancor-aa89-modal-lexeme-candidate-inventory.tsv|main.js|src/runtime-resources/lexicon/productive-vo.js|src/runtime-resources/presentation/learner-glosses.js|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I024	24	vocabulary_and_situations	hobbies_free_time	lexical_entry		打波	daa2 bo1	to play ball		sha256:8277bb23321cea4b9e150796d5fb8b2131abe7339f7a6d22b39c885236e166f0	打波	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	main.js|src/runtime-resources/lexicon/productive-vo.js|src/runtime-resources/presentation/learner-glosses.js|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
